dataset,feature,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_sim_mean,input_neg_sim_mean,input_gt_margin_vs_neg_mean_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean
pog,openai_text,250,0.328,0.132,0.344,0.3279492063492063,5.088,0.434069883108139,0.4208691964745522,0.0132006866335868,-0.1181221480369567,0.16,4.492
pog,item_cf,250,0.328,0.076,0.332,0.2922095238095238,5.252,0.0086405492573976,0.0009867997927358,0.0076537495683878,-0.1928462857604027,0.088,5.196
pog,bi_lgcn,250,0.328,0.184,0.408,0.3776888888888888,4.764,0.0957861322015524,-0.0039955326616764,0.0997816646769642,-0.1665407308638095,0.144,5.124
pog_dense,openai_text,250,0.336,0.072,0.284,0.2685555555555555,5.648,0.4557728004455566,0.4604789416790008,-0.0047061412334442,-0.1196800616979599,0.104,5.148
pog_dense,item_cf,250,0.336,0.152,0.348,0.3240428571428571,5.692,-0.0141068457514047,0.0711825128162745,-0.0852893608212471,-0.5323982593119144,0.148,5.816
pog_dense,bi_lgcn,250,0.336,0.368,0.676,0.5613571428571429,3.048,0.5863565132915973,-0.0333337208516895,0.6196902355924249,-0.2454064634442329,0.2,4.528
spotify,openai_text,250,0.82,0.72,0.892,0.8144555555555555,1.78,0.5416469662189484,0.4051157968044281,0.1365311694145202,0.0514241406917572,0.728,1.64
spotify,item_cf,250,0.82,0.204,0.44,0.3895698412698413,4.652,0.0702688974849879,0.0096835659372191,0.0605853318702429,-0.1326072611361742,0.196,4.76
spotify,bi_lgcn,250,0.82,0.272,0.628,0.493115873015873,3.404,0.6795418248176575,0.1426503783464431,0.5368914475440979,-0.3193264284133911,0.268,3.424
spotify_sparse,openai_text,250,0.82,0.728,0.896,0.8218142857142857,1.7,0.5552648457288742,0.3981372621059417,0.1571275836229324,0.0659117555618286,0.728744939271255,1.6680161943319838
spotify_sparse,item_cf,250,0.82,0.204,0.416,0.391179365079365,4.504,0.0814689926952123,0.011008351463126,0.0704606413319706,-0.1188664826601743,0.2064777327935222,4.502024291497976
spotify_sparse,bi_lgcn,250,0.82,0.528,0.74,0.6623269841269841,2.852,0.5876156883835792,0.0444739526595221,0.543141736112535,-0.1752876807749271,0.5222672064777328,2.7327935222672064
