dataset,sample_idx,bundle_id,input_count,input_items,input_categories,input_category_names,role_top_categories,role_top_category_names,role_top_scores,prior_top_categories,prior_top_category_names,prior_top_scores,prior_observed_support,category_overlap_count,category_jaccard,role_supported_candidate_items,prior_supported_candidate_items,candidate_item_overlap_count,candidate_item_jaccard,role_candidate_supported_count,prior_candidate_supported_count,rag_bundle_ids,rag_bundle_scores,cc_bundle_ids,cc_bundle_scores,bundle_overlap_count,bundle_jaccard,same_top1_bundle,retrieved_category_union_jaccard
pog,0,722,1,[6606],"[""126c091a8ff171f694733a624089e68a""]","[""Women's Casual Shoes and Sneakers""]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's High Waist Wide Leg Trousers""]","[0.8892924785614014, 0.784608006477356, 0.7743432521820068]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's Fashion Berets and Bucket Hats""]","[0.5885347916273808, 0.245332830473317, 0.2310013200075429]",5303,2,0.5,"[43712, 10621, 47966, 27471, 35369]","[43712, 47966, 34939, 35369]",3,0.5,5,4,"[1932, 9695, 1420]","[0.9758628010749817, 0.9758628010749817, 0.9738407135009766]","[3599, 16669, 5421]","[2.288515934376768, 2.2609843484819914, 2.2536300207429756]",0,0.0,0,0.25
pog,1,2266,2,"[35611, 8973]","[""664162d351ab59ea042546db288bbf7c"", ""841c8877534da01768696cd2375bab70""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Sterling Silver Necklaces""]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""95c3a26ab13f3ec5cd28a281e3685e7b"", ""64fe11119537f0ea81cfb5e4d54b3c71""]","[""Women's Chiffon and Floral Dresses"", ""Fashion Drop and Stud Earrings"", ""Women's Sterling Silver Bracelets""]","[0.8535558581352234, 0.7457479238510132, 0.6531957387924194]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""126c091a8ff171f694733a624089e68a"", ""95c3a26ab13f3ec5cd28a281e3685e7b""]","[""Women's Chiffon and Floral Dresses"", ""Women's Casual Shoes and Sneakers"", ""Fashion Drop and Stud Earrings""]","[0.45985401459854014, 0.44525547445255476, 0.23722627737226276]",274,2,0.5,[26779],"[10879, 26779, 45823]",1,0.3333333333333333,1,3,"[7182, 1656, 16184]","[0.9795554876327515, 0.9766950607299805, 0.9760720729827881]","[13037, 2516, 9870]","[2.954859328168644, 2.954859328168644, 2.954859328168644]",0,0.0,0,0.5
pog,2,4809,1,[47294],"[""664162d351ab59ea042546db288bbf7c""]","[""Women's Fashion Shoulder and Crossbody Bags""]","[""126c091a8ff171f694733a624089e68a"", ""3e600277f4bf92983bf6fcb0ac09e0d7"", ""b608ccb44928992e75009892971acd46""]","[""Women's Casual Shoes and Sneakers"", ""Women's High Waist Wide Leg Trousers"", ""Women's Fashion Berets and Bucket Hats""]","[0.8892925977706909, 0.8510384559631348, 0.7941641807556152]","[""126c091a8ff171f694733a624089e68a"", ""b608ccb44928992e75009892971acd46"", ""2450d5bfc87a1f5b96e2837f5c87a70c""]","[""Women's Casual Shoes and Sneakers"", ""Women's Fashion Berets and Bucket Hats"", ""Women's Chiffon and Floral Dresses""]","[0.440011278725504, 0.24672212040039476, 0.24573523191879318]",7093,2,0.5,"[22427, 4193, 43180]","[22427, 34717, 4193, 17053]",2,0.4,3,4,"[1459, 532, 828]","[0.9837856888771057, 0.9834551215171814, 0.9834551215171814]","[3599, 1376, 1710]","[2.136331594529818, 2.133229945016213, 2.133229945016213]",0,0.0,0,0.5
pog,3,11737,1,[41715],"[""46eacb79120159c0d446c08e1f671b0f""]","[""Women's Casual Short Sleeve T-Shirts""]","[""44187dfef4ed2dd3669957cc9592514e"", ""3afab60a60abe737c6b12772e0fcec0a"", ""0ab410a4baf435f5b6496cb061c11dc1""]","[""Minimalist Fashion Quartz Watches"", ""Women's Fashion Heeled Sandals"", ""Sterling Silver Fashion Earrings""]","[0.8624429106712341, 0.8564954996109009, 0.8388507962226868]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""a6cd655d1645f38869be793d5fb194cb""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Women's Cropped Denim Jeans""]","[0.4249775381850854, 0.3998203054806828, 0.3692722371967655]",1113,0,0.0,[],[],0,1.0,0,0,"[8342, 12540, 13885]","[0.9432397484779358, 0.9363327026367188, 0.9363327026367188]","[10429, 14608, 13367]","[2.426774483378257, 2.426774483378257, 2.426774483378257]",0,0.0,0,0.1111111111111111
pog,4,17869,1,[32245],"[""0ab410a4baf435f5b6496cb061c11dc1""]","[""Sterling Silver Fashion Earrings""]","[""841c8877534da01768696cd2375bab70"", ""3afab60a60abe737c6b12772e0fcec0a"", ""46eacb79120159c0d446c08e1f671b0f""]","[""Women's Sterling Silver Necklaces"", ""Women's Fashion Heeled Sandals"", ""Women's Casual Short Sleeve T-Shirts""]","[0.8899957537651062, 0.8874249458312988, 0.8388506770133972]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""2450d5bfc87a1f5b96e2837f5c87a70c""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Women's Chiffon and Floral Dresses""]","[0.5869853917662683, 0.4555112881806109, 0.34395750332005315]",753,0,0.0,[],"[4128, 41412]",0,0.0,0,2,"[15201, 6396, 13668]","[0.9700267314910889, 0.9641065001487732, 0.9585963487625122]","[18566, 15285, 19481]","[2.5325365205843293, 2.4887118193891102, 2.4887118193891102]",0,0.0,0,0.2222222222222222
pog,5,12361,1,[32117],"[""12ba81fb3ad68ad5b21e4cec7be42666""]","[""Classic Branded Sneakers and Skate Shoes""]","[""72b059d86956ec93bbe2ae5a6622f4bd"", ""83fb64f0af37f88a42f311549fb261cb"", ""c6342df4744ae61888fa993d281972d7""]","[""Men's Short Sleeve T-Shirts"", ""Men's Slim Fit Denim Jeans"", ""Men's Long-Sleeved Casual and Formal Shirts""]","[0.9191750288009644, 0.8889492750167847, 0.87410968542099]","[""03bfc1d4783966c69cc6aef8247e0103"", ""72b059d86956ec93bbe2ae5a6622f4bd"", ""19125833f147d19800e3aa39ecfc76c2""]","[""Men's Casual Joggers and Harem Pants"", ""Men's Short Sleeve T-Shirts"", ""Men's and Women's Wristwatches""]","[0.5397727272727273, 0.39204545454545453, 0.3125]",176,1,0.2,[],[28539],0,0.0,0,1,"[18487, 2149, 5284]","[0.9639960527420044, 0.9610060453414917, 0.9610060453414917]","[9134, 8970, 9014]","[2.3238636363636367, 2.3238636363636367, 2.2443181818181817]",0,0.0,0,0.2857142857142857
pog,6,4551,2,"[32824, 24325]","[""8476c833956c74092868c24514562b0b"", ""bc11aa63d5a69b1b0f90c34fd2c62102""]","[""Women's Mid-Length Woolen Coats"", ""Women's Long-Sleeved Blouses and Shirts""]","[""fc528592c3858f90196fbfacc814f235"", ""fbf269b6cc339b080853c548156a1050"", ""126c091a8ff171f694733a624089e68a""]","[""Women's High-Waist Fashion Skirts"", ""Women's Mid-Length Trench Coats"", ""Women's Casual Shoes and Sneakers""]","[0.5505613088607788, 0.5410550832748413, 0.5195662975311279]","[""126c091a8ff171f694733a624089e68a"", ""3e600277f4bf92983bf6fcb0ac09e0d7"", ""fc528592c3858f90196fbfacc814f235""]","[""Women's Casual Shoes and Sneakers"", ""Women's High Waist Wide Leg Trousers"", ""Women's High-Waist Fashion Skirts""]","[0.47619047619047616, 0.2857142857142857, 0.2857142857142857]",21,2,0.5,[41550],[],0,0.0,1,0,"[12818, 13748, 10504]","[0.8165130019187927, 0.8165130019187927, 0.8126000165939331]","[5231, 10904, 578]","[2.9911800500585546, 2.927131736664447, 2.773051964453834]",0,0.0,0,0.2
pog,7,379,2,"[8719, 6839]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""b608ccb44928992e75009892971acd46""]","[""Women's Chiffon and Floral Dresses"", ""Women's Fashion Berets and Bucket Hats""]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Women's High Waist Wide Leg Trousers""]","[0.8709874153137207, 0.7688241004943848, 0.6420518159866333]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""95c3a26ab13f3ec5cd28a281e3685e7b""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Fashion Drop and Stud Earrings""]","[0.5774058577405857, 0.39609483960948394, 0.16457461645746166]",717,2,0.5,"[27939, 36231, 38568, 39127]","[27939, 36231, 38568, 39127]",4,1.0,4,4,"[7225, 17709, 17722]","[1.0000001192092896, 1.0000001192092896, 1.0000001192092896]","[18879, 1710, 11177]","[3.240185348447311, 3.240185348447311, 3.240185348447311]",0,0.0,0,0.4
pog,8,10076,2,"[22106, 29575]","[""0ab410a4baf435f5b6496cb061c11dc1"", ""664162d351ab59ea042546db288bbf7c""]","[""Sterling Silver Fashion Earrings"", ""Women's Fashion Shoulder and Crossbody Bags""]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""95c3a26ab13f3ec5cd28a281e3685e7b"", ""64fe11119537f0ea81cfb5e4d54b3c71""]","[""Women's Chiffon and Floral Dresses"", ""Fashion Drop and Stud Earrings"", ""Women's Sterling Silver Bracelets""]","[0.872492253780365, 0.8098821640014648, 0.6210916042327881]","[""126c091a8ff171f694733a624089e68a"", ""2450d5bfc87a1f5b96e2837f5c87a70c"", ""3afab60a60abe737c6b12772e0fcec0a""]","[""Women's Casual Shoes and Sneakers"", ""Women's Chiffon and Floral Dresses"", ""Women's Fashion Heeled Sandals""]","[0.45475113122171945, 0.3936651583710407, 0.1425339366515837]",442,1,0.2,[35534],"[26030, 11606]",0,0.0,1,2,"[18634, 6079, 354]","[1.0000001192092896, 0.981069028377533, 0.9796441793441772]","[18566, 19481, 15285]","[2.917580301473742, 2.917097529333767, 2.917097529333767]",0,0.0,0,0.375
pog,9,14042,2,"[582, 26217]","[""83fb64f0af37f88a42f311549fb261cb"", ""9e3e1aff5fca5f418e5e3679ff932c05""]","[""Men's Slim Fit Denim Jeans"", ""Men's Casual Canvas Sneakers""]","[""03bfc1d4783966c69cc6aef8247e0103"", ""814ed433f7b89cef654140214dfdaab5"", ""82462c11b65faedd60ec94210debc584""]","[""Men's Casual Joggers and Harem Pants"", ""Men's Casual White Sneakers"", ""Men's Casual Workwear Jackets""]","[0.9623244404792786, 0.9421926736831665, 0.9307053089141846]","[""72b059d86956ec93bbe2ae5a6622f4bd"", ""ecff24c1d93157b5c20fd73bb31faced"", ""82462c11b65faedd60ec94210debc584""]","[""Men's Short Sleeve T-Shirts"", ""Men's Streetwear Hoodies and Sweatshirts"", ""Men's Casual Workwear Jackets""]","[0.2777777777777778, 0.20833333333333334, 0.19444444444444445]",72,1,0.2,[],[13907],0,0.0,0,1,"[3668, 8807, 8868]","[0.9918568134307861, 0.9918568134307861, 0.9918568134307861]","[16147, 4377, 4903]","[2.6425458274580182, 2.499230867837457, 2.4867324701961286]",0,0.0,0,0.5
