dataset,sample_idx,bundle_id,input_count,input_items,input_categories,input_category_names,role_top_categories,role_top_category_names,role_top_scores,prior_top_categories,prior_top_category_names,prior_top_scores,prior_observed_support,category_overlap_count,category_jaccard,role_supported_candidate_items,prior_supported_candidate_items,candidate_item_overlap_count,candidate_item_jaccard,role_candidate_supported_count,prior_candidate_supported_count,rag_bundle_ids,rag_bundle_scores,cc_bundle_ids,cc_bundle_scores,bundle_overlap_count,bundle_jaccard,same_top1_bundle,retrieved_category_union_jaccard
pog_dense,0,9388,2,"[27786, 4787]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""852a581f78e4f4d7ecf9972a038e440c""]","[""Women's Chiffon Summer Dresses"", ""Women's Fashion Ankle Boots""]","[""fc528592c3858f90196fbfacc814f235"", ""126c091a8ff171f694733a624089e68a"", ""b6f318187d9a7cf416a2e84fc24349aa""]","[""Women's High-Waist Mid-Length Skirts"", ""Women's Dress Pumps and Heels"", ""Women's Casual Blazers and Suits""]","[0.9136160016059875, 0.8656642436981201, 0.7768576741218567]","[""664162d351ab59ea042546db288bbf7c"", ""b608ccb44928992e75009892971acd46"", ""95c3a26ab13f3ec5cd28a281e3685e7b""]","[""Women's Leather Crossbody Bags"", ""Women's Fashion Sun Hats"", ""Women's Fashion Drop Earrings""]","[0.7584973166368515, 0.6744186046511628, 0.2844364937388193]",559,0,0.0,"[14120, 2839]","[21880, 27985]",0,0.0,2,2,"[4946, 2597, 4404]","[0.9904394149780273, 0.9879881143569946, 0.9879881143569946]","[25164, 10934, 3226]","[3.5429759608135303, 3.5429759608135303, 3.5429759608135303]",0,0.0,0,0.1
pog_dense,1,21401,2,"[3596, 27114]","[""19125833f147d19800e3aa39ecfc76c2"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Quartz Watches"", ""Women's Fashion Sun Hats""]","[""188ff8c06949a640ea5ac102e60941ec"", ""7b0b5e99f45560c0f83ee235d461ca04"", ""bc11aa63d5a69b1b0f90c34fd2c62102""]","[""Long Tassel and Threader Earrings"", ""Women's Fashion Quartz Watches"", ""Women's Chiffon Blouses and Shirts""]","[0.9884530305862427, 0.9867987036705017, 0.9844161868095398]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""126c091a8ff171f694733a624089e68a"", ""95c3a26ab13f3ec5cd28a281e3685e7b""]","[""Women's Chiffon Summer Dresses"", ""Women's Dress Pumps and Heels"", ""Women's Fashion Drop Earrings""]","[0.3203125, 0.296875, 0.2890625]",128,0,0.0,[24174],"[8911, 6491]",0,0.0,1,2,"[18117, 59, 1161]","[0.9993524551391602, 0.998788595199585, 0.998788595199585]","[24220, 11370, 14415]","[3.130540119273516, 2.924867285623927, 2.9017134273064062]",0,0.0,0,0.09090909090909091
pog_dense,2,11208,2,"[18531, 24847]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""95c3a26ab13f3ec5cd28a281e3685e7b""]","[""Women's Chiffon Summer Dresses"", ""Women's Fashion Drop Earrings""]","[""188ff8c06949a640ea5ac102e60941ec"", ""bc11aa63d5a69b1b0f90c34fd2c62102"", ""7b0b5e99f45560c0f83ee235d461ca04""]","[""Long Tassel and Threader Earrings"", ""Women's Chiffon Blouses and Shirts"", ""Women's Fashion Quartz Watches""]","[0.9845932722091675, 0.9811295866966248, 0.9810361266136169]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""3afab60a60abe737c6b12772e0fcec0a""]","[""Women's Leather Crossbody Bags"", ""Women's Dress Pumps and Heels"", ""Women's Ankle Strap Heeled Sandals""]","[0.5981794538361509, 0.47009102730819247, 0.1947334200260078]",3076,0,0.0,[],"[17810, 29465]",0,0.0,0,2,"[1053, 1979, 6700]","[1.0, 0.9988073706626892, 0.9987807273864746]","[12618, 20964, 19125]","[3.4501551871254335, 3.4501551871254335, 3.4501551871254335]",0,0.0,0,0.375
pog_dense,3,14200,2,"[29124, 29032]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""664162d351ab59ea042546db288bbf7c""]","[""Women's Chiffon Summer Dresses"", ""Women's Leather Crossbody Bags""]","[""2b28f4772c30b8544c742f6a349a06b3"", ""64fe11119537f0ea81cfb5e4d54b3c71"", ""c5a37fdeb54701aa580971fcfe834201""]","[""Women's Mules and Outdoor Slides"", ""Sterling Silver Crystal Bracelets"", ""Branded Quartz Wristwatches""]","[0.978535532951355, 0.9705259799957275, 0.9638291597366333]","[""95c3a26ab13f3ec5cd28a281e3685e7b"", ""126c091a8ff171f694733a624089e68a"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Drop Earrings"", ""Women's Dress Pumps and Heels"", ""Women's Fashion Sun Hats""]","[0.5330243337195828, 0.511297798377752, 0.34617612977983775]",3452,0,0.0,[],"[5151, 29493, 26372]",0,0.0,0,3,"[26323, 1385, 1436]","[0.9992866516113281, 0.9986522197723389, 0.9986522197723389]","[23673, 24220, 12618]","[3.3964182810618437, 3.387699211508286, 3.385848952215129]",0,0.0,0,0.5454545454545454
pog_dense,4,23312,2,"[29124, 1932]","[""664162d351ab59ea042546db288bbf7c"", ""852a581f78e4f4d7ecf9972a038e440c""]","[""Women's Leather Crossbody Bags"", ""Women's Fashion Ankle Boots""]","[""fc528592c3858f90196fbfacc814f235"", ""126c091a8ff171f694733a624089e68a"", ""6eb82f81b7105a1112fec1bb3c8dd62b""]","[""Women's High-Waist Mid-Length Skirts"", ""Women's Dress Pumps and Heels"", ""Women's Knit Sweaters and Cardigans""]","[0.9632273316383362, 0.877991259098053, 0.8628484010696411]","[""b608ccb44928992e75009892971acd46"", ""a6cd655d1645f38869be793d5fb194cb"", ""8476c833956c74092868c24514562b0b""]","[""Women's Fashion Sun Hats"", ""Women's High-Waist Cropped Jeans"", ""Women's Long Woolen Overcoats""]","[0.5425566874794611, 0.2343082484390404, 0.22214919487348012]",3043,0,0.0,"[9229, 30656]",[3670],0,0.0,2,1,"[3571, 3084, 16175]","[0.996503472328186, 0.995661199092865, 0.9940011501312256]","[14174, 23420, 3336]","[2.99113911648484, 2.99113911648484, 2.99113911648484]",0,0.0,0,0.16666666666666666
pog_dense,5,25705,2,"[15228, 28196]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb""]","[""Women's Leather Crossbody Bags"", ""Women's High-Waist Cropped Jeans""]","[""3e600277f4bf92983bf6fcb0ac09e0d7"", ""b608ccb44928992e75009892971acd46"", ""de802e3a05e11e88ddd894aa58e0f4d9""]","[""Women's High Waist Casual Trousers"", ""Women's Fashion Sun Hats"", ""Women's White Canvas Sneakers""]","[0.9589729309082031, 0.9496399164199829, 0.9477936029434204]","[""126c091a8ff171f694733a624089e68a"", ""852a581f78e4f4d7ecf9972a038e440c"", ""b608ccb44928992e75009892971acd46""]","[""Women's Dress Pumps and Heels"", ""Women's Fashion Ankle Boots"", ""Women's Fashion Sun Hats""]","[0.46778846153846154, 0.34278846153846154, 0.3408653846153846]",2080,1,0.2,[],"[3579, 17003]",0,0.0,0,2,"[1936, 5737, 8932]","[0.998466968536377, 0.998466968536377, 0.998466968536377]","[28599, 28920, 15723]","[3.2457746495649937, 3.22717424552844, 3.1742703280891167]",0,0.0,0,0.3333333333333333
pog_dense,6,5022,2,"[24914, 30641]","[""852a581f78e4f4d7ecf9972a038e440c"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Ankle Boots"", ""Women's Fashion Sun Hats""]","[""fc528592c3858f90196fbfacc814f235"", ""6eb82f81b7105a1112fec1bb3c8dd62b"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's High-Waist Mid-Length Skirts"", ""Women's Knit Sweaters and Cardigans"", ""Women's High Waist Casual Trousers""]","[0.9617819786071777, 0.925977349281311, 0.8142324090003967]","[""664162d351ab59ea042546db288bbf7c"", ""8476c833956c74092868c24514562b0b"", ""a6cd655d1645f38869be793d5fb194cb""]","[""Women's Leather Crossbody Bags"", ""Women's Long Woolen Overcoats"", ""Women's High-Waist Cropped Jeans""]","[0.7193899782135076, 0.25882352941176473, 0.1655773420479303]",2295,0,0.0,[],[23203],0,0.0,0,1,"[732, 15857, 13907]","[0.9987024068832397, 0.9967625141143799, 0.9955779314041138]","[12836, 18095, 3226]","[3.0639336678097844, 3.0637786615178615, 3.0635635680909417]",0,0.0,0,0.36363636363636365
pog_dense,7,19001,2,"[5502, 20676]","[""664162d351ab59ea042546db288bbf7c"", ""852a581f78e4f4d7ecf9972a038e440c""]","[""Women's Leather Crossbody Bags"", ""Women's Fashion Ankle Boots""]","[""fc528592c3858f90196fbfacc814f235"", ""126c091a8ff171f694733a624089e68a"", ""6eb82f81b7105a1112fec1bb3c8dd62b""]","[""Women's High-Waist Mid-Length Skirts"", ""Women's Dress Pumps and Heels"", ""Women's Knit Sweaters and Cardigans""]","[0.9632273316383362, 0.877991259098053, 0.8628484010696411]","[""b608ccb44928992e75009892971acd46"", ""a6cd655d1645f38869be793d5fb194cb"", ""8476c833956c74092868c24514562b0b""]","[""Women's Fashion Sun Hats"", ""Women's High-Waist Cropped Jeans"", ""Women's Long Woolen Overcoats""]","[0.5425566874794611, 0.2343082484390404, 0.22214919487348012]",3043,0,0.0,[29852],[1287],0,0.0,1,1,"[3571, 3084, 16175]","[0.996503472328186, 0.995661199092865, 0.9940011501312256]","[2238, 25164, 14174]","[2.99113911648484, 2.99113911648484, 2.99113911648484]",0,0.0,0,0.16666666666666666
pog_dense,8,23312,2,"[29124, 1932]","[""664162d351ab59ea042546db288bbf7c"", ""852a581f78e4f4d7ecf9972a038e440c""]","[""Women's Leather Crossbody Bags"", ""Women's Fashion Ankle Boots""]","[""fc528592c3858f90196fbfacc814f235"", ""126c091a8ff171f694733a624089e68a"", ""6eb82f81b7105a1112fec1bb3c8dd62b""]","[""Women's High-Waist Mid-Length Skirts"", ""Women's Dress Pumps and Heels"", ""Women's Knit Sweaters and Cardigans""]","[0.9632273316383362, 0.877991259098053, 0.8628484010696411]","[""b608ccb44928992e75009892971acd46"", ""a6cd655d1645f38869be793d5fb194cb"", ""8476c833956c74092868c24514562b0b""]","[""Women's Fashion Sun Hats"", ""Women's High-Waist Cropped Jeans"", ""Women's Long Woolen Overcoats""]","[0.5425566874794611, 0.2343082484390404, 0.22214919487348012]",3043,0,0.0,"[9229, 30656]",[3670],0,0.0,2,1,"[3571, 3084, 16175]","[0.996503472328186, 0.995661199092865, 0.9940011501312256]","[14174, 23420, 3336]","[2.99113911648484, 2.99113911648484, 2.99113911648484]",0,0.0,0,0.16666666666666666
pog_dense,9,23040,2,"[1215, 10858]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""664162d351ab59ea042546db288bbf7c""]","[""Women's Chiffon Summer Dresses"", ""Women's Leather Crossbody Bags""]","[""2b28f4772c30b8544c742f6a349a06b3"", ""64fe11119537f0ea81cfb5e4d54b3c71"", ""c5a37fdeb54701aa580971fcfe834201""]","[""Women's Mules and Outdoor Slides"", ""Sterling Silver Crystal Bracelets"", ""Branded Quartz Wristwatches""]","[0.978535532951355, 0.9705259799957275, 0.9638291597366333]","[""95c3a26ab13f3ec5cd28a281e3685e7b"", ""126c091a8ff171f694733a624089e68a"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Drop Earrings"", ""Women's Dress Pumps and Heels"", ""Women's Fashion Sun Hats""]","[0.5330243337195828, 0.511297798377752, 0.34617612977983775]",3452,0,0.0,[],"[31093, 276, 22455, 454]",0,0.0,0,4,"[26323, 1385, 1436]","[0.9992866516113281, 0.9986522197723389, 0.9986522197723389]","[23673, 24220, 22085]","[3.3964182810618437, 3.387699211508286, 3.385848952215129]",0,0.0,0,0.5454545454545454
