dataset,antecedent_size,antecedent,consequent,joint_count,antecedent_count,consequent_count,support,confidence,lift,pmi
pog,1,126c091a8ff171f694733a624089e68a,664162d351ab59ea042546db288bbf7c,4427,7537,10107,0.22135,0.5873689797001459,1.1623013351145661,0.21698414646747527
pog,1,664162d351ab59ea042546db288bbf7c,126c091a8ff171f694733a624089e68a,4427,10107,7537,0.22135,0.4380132581379242,1.162301335114566,0.216984146467475
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,664162d351ab59ea042546db288bbf7c,2475,3599,10107,0.12375,0.6876910252848013,1.360821263054915,0.44447758863614256
pog,1,664162d351ab59ea042546db288bbf7c,2450d5bfc87a1f5b96e2837f5c87a70c,2475,10107,3599,0.12375,0.24487978628673196,1.360821263054915,0.44447758863614256
pog,1,b608ccb44928992e75009892971acd46,664162d351ab59ea042546db288bbf7c,2472,4689,10107,0.1236,0.527191298784389,1.0432201420488552,0.06104362989008972
pog,1,664162d351ab59ea042546db288bbf7c,b608ccb44928992e75009892971acd46,2472,10107,4689,0.1236,0.2445829623033541,1.0432201420488552,0.06104362989008972
pog,1,852a581f78e4f4d7ecf9972a038e440c,664162d351ab59ea042546db288bbf7c,2200,3520,10107,0.11,0.625,1.2367665974077373,0.30657326059389833
pog,1,664162d351ab59ea042546db288bbf7c,852a581f78e4f4d7ecf9972a038e440c,2200,10107,3520,0.11,0.21767092114376174,1.2367665974077373,0.30657326059389833
pog,1,a6cd655d1645f38869be793d5fb194cb,664162d351ab59ea042546db288bbf7c,2070,3991,10107,0.1035,0.5186670007516913,1.0263520347317527,0.03752565458195173
pog,1,664162d351ab59ea042546db288bbf7c,a6cd655d1645f38869be793d5fb194cb,2070,10107,3991,0.1035,0.20480854853072128,1.0263520347317527,0.03752565458195173
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,664162d351ab59ea042546db288bbf7c,2029,3217,10107,0.10145,0.6307118433322971,1.2480693446765552,0.3196980948104563
pog,1,664162d351ab59ea042546db288bbf7c,95c3a26ab13f3ec5cd28a281e3685e7b,2029,10107,3217,0.10145,0.2007519540912239,1.2480693446765552,0.3196980948104563
pog,1,a6cd655d1645f38869be793d5fb194cb,126c091a8ff171f694733a624089e68a,1829,3991,7537,0.09145,0.45828113254823355,1.2160836740035386,0.2822424984499678
pog,1,126c091a8ff171f694733a624089e68a,a6cd655d1645f38869be793d5fb194cb,1829,7537,3991,0.09145,0.24266949714740613,1.2160836740035386,0.2822424984499678
pog,1,b608ccb44928992e75009892971acd46,126c091a8ff171f694733a624089e68a,1750,4689,7537,0.0875,0.37321390488377054,0.9903513463812406,-0.013987654788606575
pog,1,126c091a8ff171f694733a624089e68a,b608ccb44928992e75009892971acd46,1750,7537,4689,0.0875,0.23218787315908188,0.9903513463812407,-0.013987654788606413
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,126c091a8ff171f694733a624089e68a,1674,3599,7537,0.0837,0.4651292025562656,1.2342555461225038,0.3036411278381389
pog,1,126c091a8ff171f694733a624089e68a,2450d5bfc87a1f5b96e2837f5c87a70c,1674,7537,3599,0.0837,0.2221042855247446,1.234255546122504,0.3036411278381392
pog,1,3e600277f4bf92983bf6fcb0ac09e0d7,664162d351ab59ea042546db288bbf7c,1528,2926,10107,0.0764,0.5222146274777854,1.0333721727075995,0.04735993960379781
pog,1,664162d351ab59ea042546db288bbf7c,3e600277f4bf92983bf6fcb0ac09e0d7,1528,10107,2926,0.0764,0.15118234886712179,1.0333721727075993,0.047359939603797495
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,126c091a8ff171f694733a624089e68a,1461,3217,7537,0.07305,0.4541498290332608,1.2051209474147824,0.2691779443632826
pog,1,126c091a8ff171f694733a624089e68a,95c3a26ab13f3ec5cd28a281e3685e7b,1461,7537,3217,0.07305,0.19384370439166776,1.2051209474147826,0.26917794436328285
pog,1,3e600277f4bf92983bf6fcb0ac09e0d7,126c091a8ff171f694733a624089e68a,1338,2926,7537,0.0669,0.45727956254272045,1.2134259321818242,0.27908604871549697
pog,1,126c091a8ff171f694733a624089e68a,3e600277f4bf92983bf6fcb0ac09e0d7,1338,7537,2926,0.0669,0.1775242138782009,1.2134259321818242,0.27908604871549697
pog,1,fc528592c3858f90196fbfacc814f235,664162d351ab59ea042546db288bbf7c,1323,2565,10107,0.06615,0.5157894736842106,1.020657907755438,0.02949940149079653
pog,1,664162d351ab59ea042546db288bbf7c,fc528592c3858f90196fbfacc814f235,1323,10107,2565,0.06615,0.13089937666963491,1.0206579077554379,0.029499401490796218
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,2450d5bfc87a1f5b96e2837f5c87a70c,1218,3217,3599,0.0609,0.3786136151694125,2.103993415778897,1.0731301898783159
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,95c3a26ab13f3ec5cd28a281e3685e7b,1218,3599,3217,0.0609,0.33842734092803556,2.103993415778897,1.0731301898783159
pog,1,852a581f78e4f4d7ecf9972a038e440c,b608ccb44928992e75009892971acd46,1123,3520,4689,0.05615,0.3190340909090909,1.3607766726768646,0.4444303147045704
pog,1,b608ccb44928992e75009892971acd46,852a581f78e4f4d7ecf9972a038e440c,1123,4689,3520,0.05615,0.23949669439112817,1.3607766726768646,0.4444303147045704
pog,1,fc528592c3858f90196fbfacc814f235,126c091a8ff171f694733a624089e68a,1072,2565,7537,0.0536,0.4179337231968811,1.109018769263317,0.14928378217587884
pog,1,126c091a8ff171f694733a624089e68a,fc528592c3858f90196fbfacc814f235,1072,7537,2565,0.0536,0.14223165715802044,1.1090187692633173,0.14928378217587915
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,b608ccb44928992e75009892971acd46,1008,3599,4689,0.0504,0.2800777993887191,1.1946163334984818,0.25654735240381765
pog,1,b608ccb44928992e75009892971acd46,2450d5bfc87a1f5b96e2837f5c87a70c,1008,4689,3599,0.0504,0.21497120921305182,1.1946163334984818,0.25654735240381765
