dataset,itemset_size,category_itemset,support,support_ratio
pog,2,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c,4427,0.22135
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c,2475,0.12375
pog,2,664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,2472,0.1236
pog,2,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c,2200,0.11
pog,2,664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,2070,0.1035
pog,2,664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,2029,0.10145
pog,2,126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb,1829,0.09145
pog,2,126c091a8ff171f694733a624089e68a|b608ccb44928992e75009892971acd46,1750,0.0875
pog,2,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c,1674,0.0837
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c,1528,0.0764
pog,2,126c091a8ff171f694733a624089e68a|95c3a26ab13f3ec5cd28a281e3685e7b,1461,0.07305
pog,2,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7,1338,0.0669
pog,2,664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,1323,0.06615
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|95c3a26ab13f3ec5cd28a281e3685e7b,1218,0.0609
pog,2,852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,1123,0.05615
pog,2,126c091a8ff171f694733a624089e68a|fc528592c3858f90196fbfacc814f235,1072,0.0536
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|b608ccb44928992e75009892971acd46,1008,0.0504
pog,2,664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b,951,0.04755
pog,2,a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,891,0.04455
pog,2,022ab423f035b47ac0af5046c51ed093|664162d351ab59ea042546db288bbf7c,815,0.04075
pog,2,3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c,798,0.0399
pog,2,852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,788,0.0394
pog,2,8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c,752,0.0376
pog,2,664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b,715,0.03575
pog,2,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c,691,0.03455
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|b608ccb44928992e75009892971acd46,687,0.03435
pog,2,126c091a8ff171f694733a624089e68a|bc11aa63d5a69b1b0f90c34fd2c62102,674,0.0337
pog,2,664162d351ab59ea042546db288bbf7c|de802e3a05e11e88ddd894aa58e0f4d9,674,0.0337
pog,2,664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102,652,0.0326
pog,2,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f,648,0.0324
pog,2,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5,640,0.032
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a,638,0.0319
pog,2,03bfc1d4783966c69cc6aef8247e0103|ecff24c1d93157b5c20fd73bb31faced,638,0.0319
pog,2,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a,632,0.0316
pog,2,126c091a8ff171f694733a624089e68a|6eb82f81b7105a1112fec1bb3c8dd62b,631,0.03155
pog,2,0ab410a4baf435f5b6496cb061c11dc1|664162d351ab59ea042546db288bbf7c,628,0.0314
pog,2,b608ccb44928992e75009892971acd46|fc528592c3858f90196fbfacc814f235,604,0.0302
pog,2,126c091a8ff171f694733a624089e68a|c6ba1690407cbd175f036694488a914e,599,0.02995
pog,2,852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,598,0.0299
pog,2,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd,597,0.02985
pog,2,46eacb79120159c0d446c08e1f671b0f|a6cd655d1645f38869be793d5fb194cb,594,0.0297
pog,2,126c091a8ff171f694733a624089e68a|8476c833956c74092868c24514562b0b,578,0.0289
pog,2,664162d351ab59ea042546db288bbf7c|c6ba1690407cbd175f036694488a914e,568,0.0284
pog,2,08734b0d499542a3a0ae060fb5597d09|664162d351ab59ea042546db288bbf7c,542,0.0271
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|852a581f78e4f4d7ecf9972a038e440c,541,0.02705
pog,2,a6cd655d1645f38869be793d5fb194cb|de802e3a05e11e88ddd894aa58e0f4d9,539,0.02695
pog,2,a6cd655d1645f38869be793d5fb194cb|c6ba1690407cbd175f036694488a914e,519,0.02595
pog,2,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a,501,0.02505
pog,2,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a,478,0.0239
pog,2,8476c833956c74092868c24514562b0b|b608ccb44928992e75009892971acd46,473,0.02365
pog,2,022ab423f035b47ac0af5046c51ed093|852a581f78e4f4d7ecf9972a038e440c,457,0.02285
pog,2,a6cd655d1645f38869be793d5fb194cb|bc11aa63d5a69b1b0f90c34fd2c62102,422,0.0211
pog,2,664162d351ab59ea042546db288bbf7c|8585a77eaebc91282b433359863cb569,415,0.02075
pog,2,2b28f4772c30b8544c742f6a349a06b3|664162d351ab59ea042546db288bbf7c,414,0.0207
pog,2,3afab60a60abe737c6b12772e0fcec0a|95c3a26ab13f3ec5cd28a281e3685e7b,413,0.02065
