dataset,category_set,set_size,support,support_ratio
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,4,299,0.01495
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c,3,275,0.01375
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,4,183,0.00915
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,3,130,0.0065
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|95c3a26ab13f3ec5cd28a281e3685e7b,3,126,0.0063
pog,2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,4,125,0.00625
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,3,124,0.0062
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|b608ccb44928992e75009892971acd46,3,111,0.00555
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,3,102,0.0051
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,3,100,0.005
pog,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c,4,99,0.00495
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c,3,98,0.0049
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,3,95,0.00475
pog,03bfc1d4783966c69cc6aef8247e0103|856a563554cc6f5b2bac63e3e8ff10b5|dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,4,93,0.00465
pog,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5,3,92,0.0046
pog,2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c,3,92,0.0046
pog,126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb|c6ba1690407cbd175f036694488a914e,3,89,0.00445
pog,664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c,3,84,0.0042
pog,664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,4,78,0.0039
pog,8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,3,77,0.00385
pog,126c091a8ff171f694733a624089e68a|6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,3,76,0.0038
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|c6ba1690407cbd175f036694488a914e,4,76,0.0038
pog,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|a6cd655d1645f38869be793d5fb194cb,3,74,0.0037
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c,3,72,0.0036
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|ecff24c1d93157b5c20fd73bb31faced,3,69,0.00345
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,4,69,0.00345
