dataset,split,category_a,category_b,count_weight,binary_weight,freq_a,freq_b,p_b_given_a,p_a_given_b,lift_binary,pmi_binary,ppmi_binary
pog,train,126c091a8ff171f694733a624089e68a,664162d351ab59ea042546db288bbf7c,3121.0,3121.0,5303.0,7093.0,0.5885347916273808,0.440011278725504,0.5885347916273808,-0.5301192348663505,0.0
pog,train,664162d351ab59ea042546db288bbf7c,b608ccb44928992e75009892971acd46,1750.0,1750.0,7093.0,3313.0,0.24672212040039476,0.528222155146393,0.528222155146393,-0.6382383353823361,0.0
pog,train,2450d5bfc87a1f5b96e2837f5c87a70c,664162d351ab59ea042546db288bbf7c,1744.0,1743.0,2525.0,7093.0,0.6902970297029702,0.24573523191879318,0.6902970297029702,-0.37063329618943935,0.0
pog,train,664162d351ab59ea042546db288bbf7c,852a581f78e4f4d7ecf9972a038e440c,1556.0,1556.0,7093.0,2444.0,0.219371211053151,0.6366612111292962,0.6366612111292963,-0.45151761555314895,0.0
pog,train,664162d351ab59ea042546db288bbf7c,a6cd655d1645f38869be793d5fb194cb,1446.0,1446.0,7093.0,2816.0,0.20386296348512617,0.5134943181818182,0.5134943181818181,-0.6665163145592231,0.0
pog,train,664162d351ab59ea042546db288bbf7c,95c3a26ab13f3ec5cd28a281e3685e7b,1424.0,1424.0,7093.0,2260.0,0.20076131397152122,0.6300884955752213,0.6300884955752213,-0.4618950002944104,0.0
pog,train,126c091a8ff171f694733a624089e68a,a6cd655d1645f38869be793d5fb194cb,1301.0,1301.0,5303.0,2816.0,0.245332830473317,0.4620028409090909,0.617949490961377,-0.4813485547004709,0.0
pog,train,126c091a8ff171f694733a624089e68a,b608ccb44928992e75009892971acd46,1225.0,1225.0,5303.0,3313.0,0.2310013200075429,0.3697555086024751,0.4945645526150021,-0.7040775952561117,0.0
pog,train,126c091a8ff171f694733a624089e68a,2450d5bfc87a1f5b96e2837f5c87a70c,1187.0,1186.0,5303.0,2525.0,0.22364699226852724,0.4697029702970297,0.6282487588755103,-0.46481907808683276,0.0
pog,train,3e600277f4bf92983bf6fcb0ac09e0d7,664162d351ab59ea042546db288bbf7c,1075.0,1075.0,2031.0,7093.0,0.5292959133431807,0.1515578739602425,0.5292959133431808,-0.6362076210186213,0.0
pog,train,126c091a8ff171f694733a624089e68a,95c3a26ab13f3ec5cd28a281e3685e7b,1040.0,1040.0,5303.0,2260.0,0.19611540637375072,0.46017699115044247,0.6155073351367317,-0.4853084160659565,0.0
pog,train,126c091a8ff171f694733a624089e68a,3e600277f4bf92983bf6fcb0ac09e0d7,954.0,953.0,5303.0,2031.0,0.17970959834056194,0.4692269817823732,0.6276121029195499,-0.4658329738612258,0.0
pog,train,664162d351ab59ea042546db288bbf7c,fc528592c3858f90196fbfacc814f235,923.0,923.0,7093.0,1768.0,0.1301282955026082,0.5220588235294118,0.5220588235294118,-0.6499750086947366,0.0
pog,train,2450d5bfc87a1f5b96e2837f5c87a70c,95c3a26ab13f3ec5cd28a281e3685e7b,861.0,860.0,2525.0,2260.0,0.3405940594059406,0.3805309734513274,1.0689529483921845,0.06667961647384851,0.06667961647384851
pog,train,852a581f78e4f4d7ecf9972a038e440c,b608ccb44928992e75009892971acd46,803.0,803.0,2444.0,3313.0,0.3285597381342062,0.24237850890431634,0.7034332093528297,-0.35178234744253334,0.0
pog,train,126c091a8ff171f694733a624089e68a,fc528592c3858f90196fbfacc814f235,743.0,743.0,5303.0,1768.0,0.1401093720535546,0.42024886877828055,0.5621016832442663,-0.5760725144148726,0.0
pog,train,2450d5bfc87a1f5b96e2837f5c87a70c,b608ccb44928992e75009892971acd46,717.0,717.0,2525.0,3313.0,0.28396039603960394,0.216420162994265,0.6079478083636918,-0.497666242207649,0.0
pog,train,664162d351ab59ea042546db288bbf7c,8476c833956c74092868c24514562b0b,670.0,670.0,7093.0,1177.0,0.09445932609615114,0.5692438402718777,0.5692438402718777,-0.5634463948752649,0.0
pog,train,a6cd655d1645f38869be793d5fb194cb,b608ccb44928992e75009892971acd46,625.0,625.0,2816.0,3313.0,0.22194602272727273,0.18865076969514036,0.47517752466180063,-0.7440668086393406,0.0
pog,train,022ab423f035b47ac0af5046c51ed093,664162d351ab59ea042546db288bbf7c,580.0,577.0,1054.0,7093.0,0.547438330170778,0.08134780769773016,0.547438330170778,-0.602505462593208,0.0
pog,train,3afab60a60abe737c6b12772e0fcec0a,664162d351ab59ea042546db288bbf7c,562.0,562.0,876.0,7093.0,0.6415525114155252,0.07923304666572677,0.641552511415525,-0.44386424104270045,0.0
pog,train,852a581f78e4f4d7ecf9972a038e440c,a6cd655d1645f38869be793d5fb194cb,545.0,545.0,2444.0,2816.0,0.2229950900163666,0.19353693181818182,0.5616847206981848,-0.5768145817040882,0.0
pog,train,8476c833956c74092868c24514562b0b,852a581f78e4f4d7ecf9972a038e440c,526.0,525.0,1177.0,2444.0,0.4460492778249788,0.21481178396072012,1.2945284482866508,0.2581464962419479,0.2581464962419479
pog,train,664162d351ab59ea042546db288bbf7c,6eb82f81b7105a1112fec1bb3c8dd62b,502.0,500.0,7093.0,1001.0,0.07049203440011279,0.4995004995004995,0.4995004995004995,-0.6941466808930288,0.0
pog,train,3e600277f4bf92983bf6fcb0ac09e0d7,b608ccb44928992e75009892971acd46,487.0,487.0,2031.0,3313.0,0.2397833579517479,0.14699667974645336,0.5133665432996523,-0.666765179595604,0.0
pog,train,46eacb79120159c0d446c08e1f671b0f,664162d351ab59ea042546db288bbf7c,474.0,473.0,1113.0,7093.0,0.4249775381850854,0.06668546454250669,0.4249775381850853,-0.8557189627836119,0.0
pog,train,664162d351ab59ea042546db288bbf7c,de802e3a05e11e88ddd894aa58e0f4d9,460.0,460.0,7093.0,975.0,0.06485267164810377,0.4717948717948718,0.4717948717948718,-0.7512109815147066,0.0
pog,train,03bfc1d4783966c69cc6aef8247e0103,814ed433f7b89cef654140214dfdaab5,455.0,453.0,1387.0,712.0,0.32660418168709443,0.6362359550561798,3.2536565459361806,1.1797794549583132,1.1797794549583132
pog,train,022ab423f035b47ac0af5046c51ed093,126c091a8ff171f694733a624089e68a,455.0,451.0,1054.0,5303.0,0.4278937381404175,0.0850462002640015,0.5723270383990158,-0.5580447055336727,0.0
pog,train,126c091a8ff171f694733a624089e68a,6eb82f81b7105a1112fec1bb3c8dd62b,456.0,450.0,5303.0,1001.0,0.08485762775787291,0.44955044955044954,0.6012938598267658,-0.5086715124858984,0.0
pog,train,126c091a8ff171f694733a624089e68a,bc11aa63d5a69b1b0f90c34fd2c62102,448.0,446.0,5303.0,925.0,0.08410333773335847,0.4821621621621622,0.6449134859921207,-0.43863910142740437,0.0
pog,train,03bfc1d4783966c69cc6aef8247e0103,ecff24c1d93157b5c20fd73bb31faced,445.0,445.0,1387.0,622.0,0.32083633741888967,0.7154340836012861,3.658669037479396,1.297099430314316,1.297099430314316
pog,train,126c091a8ff171f694733a624089e68a,46eacb79120159c0d446c08e1f671b0f,445.0,445.0,5303.0,1113.0,0.08391476522722988,0.3998203054806828,0.5347775649207022,-0.6259043850443478,0.0
pog,train,0ab410a4baf435f5b6496cb061c11dc1,664162d351ab59ea042546db288bbf7c,442.0,442.0,753.0,7093.0,0.5869853917662683,0.0623149584096997,0.5869853917662683,-0.5327553457221954,0.0
pog,train,2450d5bfc87a1f5b96e2837f5c87a70c,3afab60a60abe737c6b12772e0fcec0a,439.0,439.0,2525.0,876.0,0.17386138613861385,0.5011415525114156,1.4077612007776121,0.34200064163140653,0.34200064163140653
pog,train,126c091a8ff171f694733a624089e68a,c6ba1690407cbd175f036694488a914e,435.0,433.0,5303.0,897.0,0.0816518951536866,0.48272017837235226,0.6456598576645475,-0.4374824499913494,0.0
pog,train,664162d351ab59ea042546db288bbf7c,bc11aa63d5a69b1b0f90c34fd2c62102,433.0,433.0,7093.0,925.0,0.06104610179049767,0.4681081081081081,0.4681081081081081,-0.7590560095099353,0.0
pog,train,b608ccb44928992e75009892971acd46,fc528592c3858f90196fbfacc814f235,428.0,428.0,3313.0,1768.0,0.1291880470872321,0.2420814479638009,0.5182866617589014,-0.6572267887136009,0.0
pog,train,03bfc1d4783966c69cc6aef8247e0103,72b059d86956ec93bbe2ae5a6622f4bd,427.0,425.0,1387.0,669.0,0.3064167267483778,0.6352765321375187,3.2487501387537274,1.1782703496834435,1.1782703496834435
