dataset,category_id,item_count_all,item_count_train,representative_item_ids,representative_item_titles
pog_dense,022ab423f035b47ac0af5046c51ed093,792,613,"[9923, 30798, 17802, 17941, 5621, 14531, 29818, 2078, 7491, 9100]","[""秋冬女装新款2018韩版粗毛线宽松套头流苏软妹网红慵懒毛衣针织衫"", ""毛衣女2018秋装新款套头网红慵懒风撞色宽松外套温柔超火针织衫"", ""秋季套头毛衣女中长款2018冬装新款条纹宽松韩版慵懒风时尚针织衫"", ""毛衣女秋装2018新款韩版宽松慵懒风套头羊毛长袖上衣针织衫外套冬"", ""毛衣女2018新款宽松韩版学生圆领开叉秋冬套头网红毛衣女慵懒风"", ""秋冬款毛衣女2019新款套头短款打底衫针织衫毛线衣韩版半高领宽松"", ""甜美小清新慵懒风毛衣女套头圆领中长款针织衫2018新款秋冬上衣潮"", ""高领毛衣女2018新款韩版女装冬季加厚中长款宽松套头慵懒针织上衣"", ""2018秋冬新款韩版宽松高领毛衣女装套头网红慵懒风打底针织衫上衣"", ""秋冬毛衣女2018新款 宽松慵懒风网红超火套头很仙的毛衣洋气百搭""]"
pog_dense,03bfc1d4783966c69cc6aef8247e0103,369,280,"[25396, 557, 22016, 14057, 7649, 3454, 28829, 5283, 3373, 2452]","[""春季新款男士日系九分裤男工装裤子宽松束脚休闲裤小脚哈伦裤潮"", ""春夏修身小脚休闲裤九分裤男日系裤子青年韩版百搭弹力黑色长裤潮"", ""熊猫本 夏季短裤男潮五分裤工装马裤男休闲日系潮牌宽松运动裤子"", ""夏秋原创日系条纹运动裤束脚裤青年男士小脚休闲裤宽松小脚裤子潮"", ""SXF男士休闲裤 日系迷彩修身长裤子小脚哈伦裤春秋季束脚卫裤男潮"", ""春夏收口运动束脚裤男加肥加大码小脚哈伦裤男宽松休闲裤子长裤潮"", ""春季新款修身条纹束脚库男日系复古撞色百搭小脚休闲裤韩版布裤潮"", ""LMTNZD夏季束脚裤子男士韩版宽松修身休闲潮牌bf港风潮运动九分裤"", ""炉品2019春季款休闲裤多口袋纯色宽松运动裤潮男小脚九分哈伦裤子"", ""炉品夏季新款日系水洗做旧工装裤青年男士迷彩短裤宽松潮流五分裤""]"
pog_dense,08734b0d499542a3a0ae060fb5597d09,508,405,"[29811, 7217, 8966, 19125, 30936, 26828, 3704, 814, 8443, 6601]","[""秋装女2018新款领子拼牛仔泰迪熊仿羊羔毛短外套毛毛上衣韩版宽松"", ""秋冬装女2018新款韩版chic港风加绒加厚羊羔毛连帽千鸟格短款外套"", ""女装2018新款冬季韩版时尚百搭宽松翻领加厚短款仿羊羔绒小外套女"", ""秋季女装2018新款韩版学生宽松bf潮原宿风连帽秋天牛仔外套女春秋"", ""2018新款秋冬季韩版chic羊羔毛绒港风百搭宽松短款外套女秋装夹克"", ""2018秋冬新款女韩版宽松大毛领加绒牛仔衣棉衣加厚夹克衫外套上衣"", ""秋装女2018新款韩版时尚圆领长袖上衣甜美羊羔毛纯色短款小外套潮"", ""秋装女上衣2018新款女装韩版时尚潮款翻领口袋毛毛短款外套宽松"", ""秋冬装女2018新款韩版慵懒宽松chic拼色夹克衫连帽羊毛绒外套潮"", ""皮毛一体羊羔绒小外套女春秋短款2019新款潮韩版宽松百搭上衣夹克""]"
pog_dense,0ab410a4baf435f5b6496cb061c11dc1,345,268,"[10411, 3674, 15465, 18828, 15325, 26658, 1319, 5416, 29331, 9426]","[""s925纯银耳钉女韩国气质耳坠雪花流苏个性百搭耳饰品潮人网红耳环"", ""耳钉纯银女气质韩国个性简约珍珠耳坠百搭时尚网红爱心耳环耳饰品"", ""耳钉纯银女气质韩国个性简约百搭耳环防过敏精致迷你甜美爱心耳饰"", ""S925银针韩国甜美气质爱心耳钉简约百搭耳环个性潮人网红耳坠女"", ""雪花耳钉纯银女个性简约百搭耳饰品锆石耳坠林浅同款耳环韩国气质"", ""耳钉女气质韩国个性百搭花瓣耳环纯银耳坠简约时尚超仙网红耳饰品"", ""925纯银耳钉女气质网红韩国个性大气防过敏珍珠耳环简约百搭耳饰"", ""耳钉纯银女气质韩国个性百搭月亮纯银耳饰品锆石星星耳坠超仙耳环"", ""耳钉女气质韩国个性学生简约百搭花朵耳坠s925纯银耳饰品网红耳环"", ""925纯银耳钉女气质耳环韩国简约个性百搭日韩大气耳饰防过敏饰品""]"
pog_dense,1199c4654170f33208d7932d7d2587a5,229,164,"[27612, 21914, 19647, 22080, 1072, 20051, 2134, 27071, 16700, 16819]","[""雪纺衫女夏季2018新款格子露肩超仙甜美洋气飘逸小清新衫宽松上衣"", ""很仙雪纺衫女长袖超仙百搭洋气小衫显瘦衬衫防晒上衣春夏2019新款"", ""2018夏装新款女装 小清新喇叭袖心机上衣小衫chic蕾丝衫女夏超仙"", ""一字领露肩雪纺衫女2019夏新款韩版碎花荷叶边洋气小衫小心机上衣"", ""荷叶边碎花雪纺衫女装短袖2019夏季新款百搭秋装洋气小衫漏肩衬衫"", ""夏装花朵飘逸超仙白色露肩短袖chic雪纺衫女洋气遮肚子上衣小衫"", ""超仙女气质雪纺衫女长袖小衫2019春夏装新款宽松小心机时尚上衣"", ""很仙的上衣洋气衬衫春装2019款女气质超仙长袖小衫白色打底雪纺衫"", ""2019春装新款洋气小衫超仙气碎花衬衫上衣衬衫宽松荷叶边雪纺衫女"", ""2018夏装新款时尚洋气小衫性感蕾丝衫女夏长袖镂空网纱打底衫上衣""]"
pog_dense,126c091a8ff171f694733a624089e68a,3221,2535,"[5374, 27262, 22314, 19576, 19305, 26038, 18542, 27266, 30695, 6968]","[""鞋子女2018新款百搭高跟鞋粗跟单鞋小皮鞋女英伦厚底女鞋2019春季"", ""春季粗跟深口单鞋女2019新款真皮休闲高跟鞋女中跟尖头女鞋皮鞋女"", ""2018新款春季单鞋女浅口尖头韩版真皮粗跟奶奶鞋中跟踩脚鞋女鞋子"", ""2019春季新款浅口百搭裸色真皮单鞋小清新中跟尖头细跟少女高跟鞋"", ""鞋子女2018新款小清新高跟鞋少女百搭优雅尖头春季单鞋女细跟绒面"", ""鞋遇女鞋2019新款春季单鞋韩版百搭漆皮方头网红色婚鞋粗跟高跟鞋"", ""白色高跟鞋女真皮细跟浅口尖头单鞋女2019春秋季新款性感亮片百搭"", ""低跟单鞋女2019春款浅口平底鞋百搭粗跟奶奶鞋软皮网红尖头鞋白色"", ""粗跟单鞋女2018新款韩版百搭小清新高跟鞋方头复古奶奶鞋深口女鞋"", ""2019春季新款尖头温柔鞋晚晚鞋平底百搭中跟仙女豆豆鞋粗跟单鞋女""]"
pog_dense,12ba81fb3ad68ad5b21e4cec7be42666,60,47,"[1, 7964, 18915, 7098, 23864, 27125, 11915, 20043, 8597, 15806]","[""Vans范斯官方正品 经典款Old Skool男女黑色低帮运动休闲板鞋"", ""Vans范斯官方正品 新款Old Skool黑色男女低帮运动休闲板鞋"", ""VANS范斯经典款男鞋女鞋黑白低帮Old Skool休闲滑板鞋VN-0D3HY28"", ""Vans范斯官方正品 经典侧边条纹男子黑色低帮运动休闲板鞋"", ""Vans范斯官方正品 经典侧边条纹男子黑色低帮运动休闲板鞋"", ""Vans范斯官方正品 经典侧边条纹男子黑色低帮运动休闲板鞋"", ""Vans范斯官方正品 经典款Sk8-Hi男女黑色高帮运动休闲板鞋"", ""Vans范斯官方正品 新款Old Skool黑色男女低帮板鞋"", ""VANS sk8-hi高帮黑白经典款翻毛皮男女休闲帆布鞋滑板鞋VN0D5IB8C"", ""Vans 范斯官方男子经典侧边条纹黑色低帮板鞋""]"
pog_dense,188ff8c06949a640ea5ac102e60941ec,16,11,"[20388, 9987, 19915, 29744, 17191, 4692, 23143, 9254, 16676, 27694]","[""925银淡水珍珠耳线长款流苏耳环百搭耳坠耳饰韩国女气质简约耳钉"", ""纯银耳坠女气质韩国长款耳钉个性流苏耳环时尚简约学生耳线耳饰品"", ""925纯银少女超仙长款耳线韩版气质百搭耳环耳链耳坠时尚简约性感"", ""蝴蝶结仿珍珠耳线耳环女长款吊坠气质韩国简约个性小清新耳坠耳钉"", ""简约显脸瘦的流苏耳环925银针韩国网红长款耳坠百搭ins少女心耳饰"", ""莫莉925银耳环韩国气质耳钉女耳线长款耳坠小红心个性流苏耳链"", ""耳环韩国气质珍珠纯银耳坠长款流苏耳线耳链女士吊坠耳饰母亲礼物"", ""五角星仿珍珠耳线流苏耳环韩国气质长款耳坠女生耳钉个性耳链饰品"", ""温柔又很仙小麋人手工拉丝S925纯银雪花耳线长耳坠气质节日礼物女"", ""纯银耳线 黄色橘子橙子耳坠耳吊 长款时尚气质925银耳链百搭耳饰""]"
pog_dense,19125833f147d19800e3aa39ecfc76c2,228,190,"[2168, 3597, 9560, 27522, 28282, 14547, 4480, 2831, 27282, 13147]","[""手表女防水时尚款女2018新款女士表正品学生简约大气皮带潮流女表"", ""正品女士手表女表时尚新款女生表简约钢带防水休闲学生女式石英表"", ""女士手表防水时尚2019新款潮流学生韩版简约休闲大气石英表女表"", ""正品防水女士手表女简约水钻时尚潮流石英表情侣钨钢女表2019新款"", ""2019新款女士手表防水时尚潮流学生简约超薄大气网红石英女表正品"", ""新款正品女士手表女钢带简约大表盘时尚潮流品牌防水大气石英女表"", ""手表女时尚潮流简约防水正品女款女式个性网红2019新款大气小表盘"", ""女士手表防水时尚2019新款潮流学生韩版简约休闲超薄钢带石英女表"", ""手表女学生韩版简约休闲大气时尚潮流复古手链表女士防水石英女表"", ""正品情侣手表女款防水时尚潮流简约休闲牛皮带女表石英表2018新款""]"
pog_dense,1d14b937ef24d01520848534952cee70,1,1,[18945],"[""GENANX闪电潮牌羊羔绒皮衣修身韩版冬季加厚潮流皮夹克男加绒""]"
