dataset,focal_view,bundle_id,true_option,input,true_item,true_added_context,rank_IBxBI,rank_IUxUI,rank_BIxIB,candidate_indices,IBxBI_top_wrong_option,IBxBI_top_wrong_item,IBxBI_top_wrong_context,BIxIB_top_wrong_option,BIxIB_top_wrong_item,BIxIB_top_wrong_context
pog,IUxUI,17869,E,1. 耳钉女气质韩国简约锆石网红纯银耳环甜美雪花水钻耳饰防过敏饰品,夏诗文定制 纽扣装饰高腰显瘦半身裙短裙女春款气质百搭纯色A字裙,,3,1,4,"[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]",B,复古一字领系带薄款亚麻衬衫女 夏季韩版chic气质纯色上衣娃娃衫,,B,复古一字领系带薄款亚麻衬衫女 夏季韩版chic气质纯色上衣娃娃衫,
pog,IUxUI,2032,D,1. 2019新款短裤女夏季纯棉松紧腰运动宽松裤子阔腿裤休闲裤白色热裤 [Additional context: This item is frequently co-purchased with: 衣品乐原创大码 文艺宽松镂空拼接长袖棉T恤女装早春新款打底上衣.]; 2. 粗跟单鞋女真皮2019春秋英伦风女鞋中跟深口方头加绒单鞋女小皮鞋,2019新款真皮女包菱格链条包单肩斜挎包商务小包羊皮小香风包包潮,,3,1,2,"[10354, 13595, 11339, 20323, 31149, 34005, 33807, 47553, 44948, 28623]",H,2018春装新款女装基础款上衣打底衫 纯色休闲百搭圆领短袖T恤女,,H,2018春装新款女装基础款上衣打底衫 纯色休闲百搭圆领短袖T恤女,
pog,IUxUI,8102,B,1. MASOOMAKE百搭中跟弹力套筒切尔西靴女马丁靴 2018新款秋冬短靴女,上品行牛仔裤女冬装2018新款网红同款加绒保暖裤子高腰百搭休闲裤,,2,1,2,"[12412, 27210, 27359, 7803, 6844, 37149, 10572, 35662, 36232, 26838]",E,小谷粒破洞牛仔裤女2017春秋新款韩版学生显瘦高腰chic百搭休闲裤,,H,棉服女2018新款冬装韩版中长款过膝大毛领加厚宽松bf棉袄chic外套,
pog,IUxUI,2599,G,1. 2019春秋新款真皮单鞋草编厚底松糕乐福鞋女厚底休闲一脚套懒人鞋; 2. 澄心女子原创撞色棉麻大布袋子 超大容量文艺范单肩包长款布包 [Additional context: This item is frequently co-purchased with: 原创日系手工棉麻包亚麻文艺帆布包森系简约大容量休闲单肩包大包; 时差 很仙的上衣洋气春款纯色圆领开衫修身显瘦t恤女长袖单排扣; 可然文书曲/两面穿 雨露棉麻白色衬衫女春装长袖宽松衬衣亚麻上衣.],麻霖文艺态度棉麻女装2019春秋装刺绣羊毛呢中式改良大衣外套女,,3,1,5,"[42277, 26561, 394, 31230, 10223, 3884, 32252, 9045, 15290, 7194]",E,omont蛋挞家 复古学院风休闲宽松高腰格子直筒中裤女阔腿短裤夏季,This item is frequently co-purchased with: FS2019夏季浅灰绿不规则贝壳扣单排扣松紧腰格纹半身裙女中长裙; JHXC时髦气质高领羊羔毛卫衣女加厚2018冬季新款韩版宽松毛绒上衣; 奶兔星球-自制 可爱の猫咪毛衣女v领宽松日系文艺复古开衫小外套.,E,omont蛋挞家 复古学院风休闲宽松高腰格子直筒中裤女阔腿短裤夏季,This item is frequently co-purchased with: FS2019夏季浅灰绿不规则贝壳扣单排扣松紧腰格纹半身裙女中长裙; JHXC时髦气质高领羊羔毛卫衣女加厚2018冬季新款韩版宽松毛绒上衣; 奶兔星球-自制 可爱の猫咪毛衣女v领宽松日系文艺复古开衫小外套.
pog,IUxUI,16824,B,1. 双面羊绒大衣女中长款2019新款流行阿尔巴卡羊驼绒羊毛呢外套 [Additional context: This item is frequently co-purchased with: 英伦风双排扣西装外套女中长款宽松休闲网红小西服春秋装2019新款; 梅子熟了文艺高腰波点网纱半身裙复古chic超仙少女裙2019春装新款; 画风 浅蓝色牛仔外套女宽松bf男友风牛仔衣短外套夹克2019春新款.],双面穿！蕾丝裙纱裙 高腰丝绒大摆裙半身裙 网纱百褶A字裙女半裙,,4,1,6,"[20980, 27240, 42702, 155, 11829, 30469, 43475, 23209, 8661, 13435]",D,LOSEA 鳄鱼纹小包包女2018新款铂金凯莉包小手提包百搭单肩斜挎包,This item is frequently co-purchased with: LOSEA 宽肩带斜挎包包女2018新款时尚菱格小方包女复古百搭单肩包; 真皮女包2019新款时尚韩版百搭手提包女气质女神大气单肩斜挎包女; 白色软牛皮单肩包简约百搭小托特包通勤斜跨包文艺小清新真皮女包.,D,LOSEA 鳄鱼纹小包包女2018新款铂金凯莉包小手提包百搭单肩斜挎包,This item is frequently co-purchased with: LOSEA 宽肩带斜挎包包女2018新款时尚菱格小方包女复古百搭单肩包; 真皮女包2019新款时尚韩版百搭手提包女气质女神大气单肩斜挎包女; 白色软牛皮单肩包简约百搭小托特包通勤斜跨包文艺小清新真皮女包.
pog,IUxUI,9504,F,1. 劳尔冬季原创简约黑色中长款棉衣日系宽松休闲加厚棉服外套男装; 2. LMTNZD夏季原创休闲灰牛仔衬衫日系宽松复古做旧条纹潮衬衣男上衣,黑色牛仔裤男士宽松加肥加大码束脚裤男潮牌春夏款小脚哈伦长裤子,,2,1,2,"[13757, 11113, 15840, 45795, 42417, 29802, 44170, 35261, 22673, 36688]",G,小胡子店2019新款ins工装裤男潮牌束脚休闲裤子小脚九分裤哈伦裤,This item is frequently co-purchased with: 高腰黑色半身裙2019春夏新款中长款开叉绑带不规则OL职业A字裙女; 撞色弹力短靴女粗跟2018韩版新款气质尖头显瘦针织弹力靴切尔西靴; 梅子熟了小清新格子半身裙 复古chic不规则中长款裙子女2019春装.,G,小胡子店2019新款ins工装裤男潮牌束脚休闲裤子小脚九分裤哈伦裤,This item is frequently co-purchased with: 高腰黑色半身裙2019春夏新款中长款开叉绑带不规则OL职业A字裙女; 撞色弹力短靴女粗跟2018韩版新款气质尖头显瘦针织弹力靴切尔西靴; 梅子熟了小清新格子半身裙 复古chic不规则中长款裙子女2019春装.
pog,IUxUI,18243,A,1. GXG男装 男士潮流多色长袖高领套头长袖T恤男#174834140; 2. 炉品工装裤男秋季潮牌宽松潮流束脚裤抽绳多口袋小脚休闲哈伦裤男,二十八间冬季街头潮牌个性迷彩男士棉服2018新款休闲宽松连帽棉衣,This item is frequently co-purchased with: 二十八间冬装街头潮牌纯色加绒工装束脚裤子ins超火男士休闲长裤; 港风韩风chic复古网红宽松格子高领假两件卫衣男连帽情侣外套男春; 二十八间冬季原创男装嘻哈潮牌高领卡通毛衣男士线衣潮流休闲外套.,2,1,2,"[27120, 5617, 33878, 45629, 31023, 9916, 25281, 12885, 12963, 2560]",C,BDCT 日系复古纯色大口袋工装夹克 春季薄款小立领休闲开衫外套潮,,C,BDCT 日系复古纯色大口袋工装夹克 春季薄款小立领休闲开衫外套潮,
pog,IUxUI,15094,H,1. 黑色复古修身羊毛呢外套加厚中长款呢子大衣秋冬季女装20199新款 [Additional context: This item is frequently co-purchased with: 气质修身丝绒长裙OL长袖中长款打底裙连衣裙女装秋装20199新款; 丝绒修身长裙气质名媛收腰显瘦中长款连衣裙女装秋装20199新款; 连体裤女2019夏新款高腰显瘦阔腿短裤韩版宽松碎花度假雪纺连衣裤.]; 2. 鲨鱼皮裤运动打底裤女外穿2018秋新款女士百搭黑色弹力小脚长裤 [Additional context: This item is frequently co-purchased with: shevennie2018秋冬季网红新款厚底小白鞋子 ins运动鞋休闲鞋女鞋; 子晴气质英伦斗篷外套百搭秋冬新款chic宽松女上衣50%羊毛呢大衣; 2019新款女装春装不规则泫雅高腰铅笔小脚裤子紧身网红牛仔裤显瘦.],弹力袜子靴女高跟鞋靴子针织袜靴瘦瘦靴细跟中筒短靴尖头秋冬裸靴,This item is frequently co-purchased with: 法式法国复古山本气质桔梗2019早春女春秋赫本裙子过膝红色连衣裙; DIAMOND 2019春款浅色阔腿裤高腰牛仔裤女显瘦百搭宽松直筒裤长裤; 半曲尖头短靴女粗跟靴子女2018新款秋冬瘦瘦高跟网红短靴冬季女鞋.,2,1,3,"[27204, 28488, 22848, 40592, 18687, 35769, 37831, 7749, 42082, 8682]",E,靴子女短靴2018新款秋冬季高跟鞋细跟皮带扣尖头时尚马丁靴及裸靴,,A,秋冬季女鞋子2018新款方头平底单鞋韩版百搭加绒毛毛鞋大码女鞋潮,
pog,IUxUI,630,E,1. 一字肩小清新白色连衣裙吊带裙女夏学生可爱仙女裙子2019夏装新款; 2. 小瑞靓包银色小方包包迷你女2018新款单肩包时尚斜挎包链条小包包,小蜜蜂草帽英伦太阳帽平顶帽大沿帽海边沙滩遮阳防晒度假帽子女夏,This item is frequently co-purchased with: 蛋糕裙连衣裙女春秋2019流行网纱裙子高腰中长款仙女裙短袖t恤裙; 日系春夏新款文艺复古休闲棉麻鸭舌帽女南瓜透气八角帽画家帽子潮; 【现货】iuiu阿晶法国爱心印花衬衫裙春装2019款女碎花雪纺连衣裙.,3,1,2,"[29212, 36474, 47238, 32288, 38643, 20856, 8982, 29749, 8693, 23042]",D,OXEN潮牌联名简约棒球帽女像素红心春夏遮阳帽子男白色弯檐鸭舌帽,,F,雪枫 韩国木质耳环女长款仙气毛球吊坠欧美复古圈圈个性流苏耳线,
pog,IUxUI,7120,B,1. 打底裤女冬季加绒2019新款高腰显瘦外穿铅笔小脚黑色杨幂同款裤子; 2. 2019春秋新款黑色高领毛衣女修身显瘦长袖套头纯色针织打底衫 [Additional context: This item is frequently co-purchased with: Studiofun2018秋冬新款 100%纯棉牛仔裤女 深蓝色高腰毛边直筒裤; SINCE THEN度假女夏格子巴厘海岛沙滩裙海边吊带裙长裙 英伦麦田.],波尔谛奇厚底鞋子女2019春季新款休闲运动鞋老爹鞋情侣亲子网红鞋,,5,1,4,"[16968, 41466, 7974, 35028, 15010, 25717, 29292, 22316, 26641, 7673]",E,傲麦粗跟女鞋2019春季新款方头单鞋女百搭小皮鞋一脚蹬乐福鞋两穿,This item is frequently co-purchased with: 奶兔星球-自制 日系直筒工装裤女半松紧腰宽松休闲裤子; 荒荒家小个子chic春季外套风衣中长款冷系女装港风宽松帅气bf上衣; 高腰牛仔裤女阔腿裤坠感长裤女款原宿bf时尚宽松直筒裤子2019春款.,G,华祺迪雅斯2018新款派克大衣韩版大毛领内胆皮草女外套棉服定制,This item is frequently co-purchased with: 欧洲风格站春秋新款尖头系带复古短靴真皮低跟英伦单靴女靴子裸靴; 直击人心的明媚！印花真丝衬衫 du家设计师原创手绘稿花色衬衣; FAN 2018夏季新品小仙女看过来 天丝木耳边泡泡袖上衣（送裹胸）.
