row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option,pairmean_sims_by_option,pairmax_sims_by_option
0,722,24445,4,E,A,0,0,0,,1,10,0.313209593296051,0.42799341678619385,0.6289958357810974,0.29977262020111084,-0.11478382349014282,-0.3157862424850464,9,0,0,0.1111111111111111,3,19254,0.6289958357810974,0.29977262020111084,0,10,0.313209593296051,0.42799341678619385,0.6289958357810974,-0.3157862424850464,9,0,0.313209593296051,0.42799341678619385,0.6289958357810974,-0.3157862424850464,9,0,0.31889134645462036,0.4048154652118683,0.2411825805902481,"[43712, 10621, 30288, 19254, 24445, 47966, 27471, 34939, 39495, 35369]","[0.29977262020111084, 0.39471983909606934, 0.3678246736526489, 0.6289958357810974, 0.313209593296051, 0.4183381199836731, 0.36982086300849915, 0.4256740212440491, 0.5147110223770142, 0.43208378553390503]","[0.29977262020111084, 0.39471983909606934, 0.3678246736526489, 0.6289958357810974, 0.313209593296051, 0.4183381199836731, 0.36982086300849915, 0.4256740212440491, 0.5147110223770142, 0.43208378553390503]","[0.29977262020111084, 0.39471983909606934, 0.3678246736526489, 0.6289958357810974, 0.313209593296051, 0.4183381199836731, 0.36982086300849915, 0.4256740212440491, 0.5147110223770142, 0.43208378553390503]"
1,2266,10879,1,B,C,2,0,0,,2,10,0.4445389211177826,0.40926530957221985,0.49358686804771423,0.3163853883743286,0.035273611545562744,-0.04904794692993164,5,0,0,0.2,2,26779,0.49358686804771423,0.49358686804771423,1,1,0.36895912885665894,0.33968257904052734,0.4096680283546448,-0.04070889949798584,5,0,0.47554317116737366,0.4035579562187195,0.5261737108230591,-0.050630539655685425,3,0,0.37864193320274353,0.6136175990104675,0.20224103331565857,"[1540, 10879, 26779, 21065, 9083, 5638, 19706, 45823, 28886, 17927]","[0.3163853883743286, 0.4445389211177826, 0.49358686804771423, 0.35338616371154785, 0.3686027526855469, 0.4656486511230469, 0.4614701569080353, 0.4664766192436218, 0.3475382924079895, 0.4102928638458252]","[0.2625940442085266, 0.36895912885665894, 0.4096680283546448, 0.2933039665222168, 0.3059333562850952, 0.3864796757698059, 0.3830116391181946, 0.38716691732406616, 0.28845012187957764, 0.3405354619026184]","[0.26568886637687683, 0.47554317116737366, 0.4819296896457672, 0.3331165313720703, 0.34745773673057556, 0.46638214588165283, 0.4467630684375763, 0.5261737108230591, 0.32300952076911926, 0.4415004253387451]"
2,4809,22427,1,B,J,9,0,0,,1,10,0.35635268688201904,0.33205118775367737,0.3810846507549286,0.254695862531662,0.024301499128341675,-0.024731963872909546,4,0,0,0.25,4,10820,0.3810846507549286,0.36766934394836426,0,3,0.35635268688201904,0.33205118775367737,0.3810846507549286,-0.024731963872909546,4,0,0.35635268688201904,0.33205118775367737,0.3810846507549286,-0.024731963872909546,4,0,0.42010724544525146,0.6147458553314209,0.2869594097137451,"[7616, 22427, 11817, 34717, 10820, 43661, 4193, 43180, 20045, 17053]","[0.29926908016204834, 0.35635268688201904, 0.3249778747558594, 0.3749224543571472, 0.3810846507549286, 0.2893293499946594, 0.3446708023548126, 0.3518412113189697, 0.254695862531662, 0.36766934394836426]","[0.29926908016204834, 0.35635268688201904, 0.3249778747558594, 0.3749224543571472, 0.3810846507549286, 0.2893293499946594, 0.3446708023548126, 0.3518412113189697, 0.254695862531662, 0.36766934394836426]","[0.29926908016204834, 0.35635268688201904, 0.3249778747558594, 0.3749224543571472, 0.3810846507549286, 0.2893293499946594, 0.3446708023548126, 0.3518412113189697, 0.254695862531662, 0.36766934394836426]"
3,11737,39944,6,G,D,3,0,0,,1,10,0.6476918458938599,0.40916907787323,0.556640088558197,0.2829422652721405,0.23852276802062988,0.09105175733566284,1,1,1,1.0,6,39944,0.6476918458938599,0.42546239495277405,0,6,0.6476918458938599,0.40916907787323,0.556640088558197,0.09105175733566284,1,1,0.6476918458938599,0.40916907787323,0.556640088558197,0.09105175733566284,1,1,0.42197558283805847,0.5814520120620728,0.2887863516807556,"[39915, 23668, 4207, 969, 17969, 8753, 39944, 4642, 15192, 45281]","[0.3838907480239868, 0.3710627555847168, 0.43494564294815063, 0.42546239495277405, 0.29982060194015503, 0.4544219970703125, 0.6476918458938599, 0.556640088558197, 0.4733352065086365, 0.2829422652721405]","[0.3838907480239868, 0.3710627555847168, 0.43494564294815063, 0.42546239495277405, 0.29982060194015503, 0.4544219970703125, 0.6476918458938599, 0.556640088558197, 0.4733352065086365, 0.2829422652721405]","[0.3838907480239868, 0.3710627555847168, 0.43494564294815063, 0.42546239495277405, 0.29982060194015503, 0.4544219970703125, 0.6476918458938599, 0.556640088558197, 0.4733352065086365, 0.2829422652721405]"
4,17869,43126,4,E,E,4,1,0,,1,10,0.4063238501548767,0.37802982330322266,0.7069144248962402,0.25288060307502747,0.028294026851654053,-0.3005905747413635,3,0,1,0.3333333333333333,7,47662,0.7069144248962402,0.4063238501548767,0,3,0.4063238501548767,0.37802982330322266,0.7069144248962402,-0.3005905747413635,3,0,0.4063238501548767,0.37802982330322266,0.7069144248962402,-0.3005905747413635,3,0,0.421787828207016,0.5169244408607483,0.2972852289676666,"[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]","[0.32690146565437317, 0.36240720748901367, 0.3084358274936676, 0.43679431080818176, 0.4063238501548767, 0.33143284916877747, 0.37803032994270325, 0.7069144248962402, 0.2984713912010193, 0.25288060307502747]","[0.32690146565437317, 0.36240720748901367, 0.3084358274936676, 0.43679431080818176, 0.4063238501548767, 0.33143284916877747, 0.37803032994270325, 0.7069144248962402, 0.2984713912010193, 0.25288060307502747]","[0.32690146565437317, 0.36240720748901367, 0.3084358274936676, 0.43679431080818176, 0.4063238501548767, 0.33143284916877747, 0.37803032994270325, 0.7069144248962402, 0.2984713912010193, 0.25288060307502747]"
5,12361,26154,0,A,B,1,0,0,,1,10,0.31513944268226624,0.4040273129940033,0.587020754814148,0.2603631615638733,-0.08888787031173706,-0.2718813121318817,8,0,0,0.125,9,39433,0.587020754814148,0.357545405626297,0,6,0.31513944268226624,0.4040273129940033,0.587020754814148,-0.2718813121318817,8,0,0.31513944268226624,0.4040273129940033,0.587020754814148,-0.2718813121318817,8,0,0.3250487744808197,0.48585158586502075,0.24896948039531708,"[26154, 28539, 21189, 4960, 37285, 21853, 1654, 3688, 41202, 39433]","[0.31513944268226624, 0.357545405626297, 0.5310109257698059, 0.36997538805007935, 0.2810332477092743, 0.3382541537284851, 0.2603631615638733, 0.5463586449623108, 0.3646840453147888, 0.587020754814148]","[0.31513944268226624, 0.357545405626297, 0.5310109257698059, 0.36997538805007935, 0.2810332477092743, 0.3382541537284851, 0.2603631615638733, 0.5463586449623108, 0.3646840453147888, 0.587020754814148]","[0.31513944268226624, 0.357545405626297, 0.5310109257698059, 0.36997538805007935, 0.2810332477092743, 0.3382541537284851, 0.2603631615638733, 0.5463586449623108, 0.3646840453147888, 0.587020754814148]"
6,4551,32272,2,C,D,3,0,0,,2,10,0.4192044734954834,0.5075051188468933,0.6372726559638977,0.38191282749176025,-0.08830064535140991,-0.2180681824684143,9,0,0,0.1111111111111111,6,21652,0.6372726559638977,0.420339435338974,0,8,0.3622512221336365,0.43855535984039307,0.550692617893219,-0.18844139575958252,9,0,0.3939898610115051,0.46975719928741455,0.590390145778656,-0.19640028476715088,8,0,0.330461323261261,0.4044615924358368,0.2794201970100403,"[19155, 47719, 32272, 19995, 41106, 41550, 21652, 10778, 16170, 41367]","[0.5486457347869873, 0.5017606019973755, 0.4192044734954834, 0.420339435338974, 0.38191282749176025, 0.6257950067520142, 0.6372726559638977, 0.5457322001457214, 0.4227779805660248, 0.4833091199398041]","[0.47410663962364197, 0.433591365814209, 0.3622512221336365, 0.3632320761680603, 0.33002620935440063, 0.5407743453979492, 0.550692617893219, 0.4715890884399414, 0.3653392195701599, 0.4176465570926666]","[0.5238290429115295, 0.4851176142692566, 0.3939898610115051, 0.39555269479751587, 0.3568914234638214, 0.5678502917289734, 0.590390145778656, 0.4986993372440338, 0.373019278049469, 0.4364650249481201]"
7,379,39127,8,I,C,2,0,0,,2,10,0.3668425977230072,0.4304717481136322,0.5466759204864502,0.2386944741010666,-0.063629150390625,-0.179833322763443,9,0,0,0.1111111111111111,0,13334,0.5466759204864502,0.5104394555091858,0,2,0.3004503846168518,0.3525635600090027,0.44773679971694946,-0.14728641510009766,9,0,0.3005460798740387,0.39357826113700867,0.5214705467224121,-0.2209244668483734,9,0,0.38043442368507385,0.4971492886543274,0.23777969181537628,"[13334, 35153, 27939, 44, 36231, 12369, 38568, 25367, 39127, 15496]","[0.5466759204864502, 0.38514894247055054, 0.5104394555091858, 0.2386944741010666, 0.4244711101055145, 0.4193405508995056, 0.39032071828842163, 0.5088300704956055, 0.3668425977230072, 0.4503244161605835]","[0.44773679971694946, 0.3154434859752655, 0.4180585741996765, 0.19549474120140076, 0.3476489186286926, 0.34344688057899475, 0.3196791410446167, 0.416740357875824, 0.3004503846168518, 0.3688233196735382]","[0.5214705467224121, 0.3320143520832062, 0.45679426193237305, 0.20338360965251923, 0.36043182015419006, 0.3984949588775635, 0.3451707363128662, 0.5200429558753967, 0.3005460798740387, 0.4044009745121002]"
8,10076,11606,6,G,C,2,0,0,,2,10,0.44680994749069214,0.4785211384296417,0.5918134450912476,0.2821468114852905,-0.031711190938949585,-0.14500349760055542,7,0,0,0.14285714285714285,4,48201,0.5918134450912476,0.4413934350013733,0,8,0.3639349937438965,0.38976430892944336,0.4820430278778076,-0.11810803413391113,7,0,0.38375920057296753,0.4551909267902374,0.7027233242988586,-0.3189641237258911,6,0,0.43467316031455994,0.608828067779541,0.27895504236221313,"[18780, 18870, 26030, 42036, 48201, 30559, 11606, 35534, 10506, 19327]","[0.4479691982269287, 0.2821468114852905, 0.4413934350013733, 0.3852604925632477, 0.5918134450912476, 0.5906772613525391, 0.44680994749069214, 0.5758152008056641, 0.5405827760696411, 0.4510316848754883]","[0.3648792803287506, 0.22981376945972443, 0.3595231771469116, 0.31380176544189453, 0.4820430278778076, 0.4811175465583801, 0.3639349937438965, 0.46901214122772217, 0.44031476974487305, 0.36737334728240967]","[0.3662690222263336, 0.24401363730430603, 0.3626641035079956, 0.3373458981513977, 0.5962534546852112, 0.7027233242988586, 0.38375920057296753, 0.625797688961029, 0.4409950077533722, 0.4206559956073761]"
9,14042,13907,1,B,B,1,1,0,,2,10,0.5087489485740662,0.3925620913505554,0.5111451148986816,0.2790396213531494,0.11618685722351074,-0.0023961663246154785,2,0,1,0.5,8,45516,0.5111451148986816,0.5087489485740662,0,2,0.4212823510169983,0.32507094740867615,0.42326653003692627,-0.0019841790199279785,2,0,0.42447003722190857,0.37496042251586914,0.5769637823104858,-0.15249374508857727,4,0,0.35832202434539795,0.5176453590393066,0.2682359218597412,"[359, 13907, 18639, 5486, 9889, 12199, 47474, 43932, 45516, 19213]","[0.352243572473526, 0.5087489485740662, 0.2953733503818512, 0.3817909359931946, 0.34666064381599426, 0.4435730576515198, 0.2790396213531494, 0.42607444524765015, 0.5111451148986816, 0.49715813994407654]","[0.29168421030044556, 0.4212823510169983, 0.24459128081798553, 0.31615149974823, 0.28706103563308716, 0.3673117756843567, 0.2310658097267151, 0.3528217077255249, 0.42326653003692627, 0.4116847515106201]","[0.3084581792354584, 0.42447003722190857, 0.25072231888771057, 0.34209874272346497, 0.366376131772995, 0.45172539353370667, 0.2531317472457886, 0.365531861782074, 0.5769637823104858, 0.4596357047557831]"
