row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option,pairmean_sims_by_option,pairmax_sims_by_option
0,9388,27985,9,J,H,7,0,0,,2,10,0.5031604766845703,0.5171281099319458,0.6051850318908691,0.4332343339920044,-0.013967633247375488,-0.10202455520629883,6,0,0,0.16666666666666666,0,9877,0.6051850318908691,0.5643004775047302,0,3,0.4230732321739197,0.4348176419734955,0.5088587999343872,-0.08578556776046753,6,0,0.4774946868419647,0.4801347553730011,0.568831741809845,-0.09133705496788025,5,0,0.4144095480442047,0.4792052209377289,0.3614332675933838,"[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]","[0.6051850318908691, 0.4358964264392853, 0.4332343339920044, 0.5522463321685791, 0.4757249653339386, 0.4779890477657318, 0.5308104157447815, 0.5643004775047302, 0.5787658095359802, 0.5031604766845703]","[0.5088587999343872, 0.36651548743247986, 0.36427706480026245, 0.46434611082077026, 0.40000438690185547, 0.401908278465271, 0.44632217288017273, 0.4744817018508911, 0.4866446256637573, 0.4230732321739197]","[0.526465117931366, 0.4557531774044037, 0.40669670701026917, 0.47289568185806274, 0.49044254422187805, 0.42504438757896423, 0.4695940911769867, 0.5054889917373657, 0.568831741809845, 0.4774946868419647]"
1,21401,6491,7,H,D,3,0,0,,2,10,0.3125113248825073,0.4087514877319336,0.5299782156944275,0.3077852129936218,-0.09624016284942627,-0.21746689081192017,9,0,0,0.1111111111111111,8,15299,0.5299782156944275,0.45482152700424194,0,2,0.24702364206314087,0.3230963945388794,0.41891980171203613,-0.17189615964889526,9,0,0.25343355536460876,0.3689590096473694,0.5478970408439636,-0.29446348547935486,10,0,0.40446269512176514,0.5096232295036316,0.29809314012527466,"[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]","[0.4498755633831024, 0.38064494729042053, 0.3289790749549866, 0.45482152700424194, 0.40989571809768677, 0.3077852129936218, 0.42107242345809937, 0.3125113248825073, 0.5299782156944275, 0.3957105875015259]","[0.35560277104377747, 0.3008798062801361, 0.2600405216217041, 0.3595122694969177, 0.32400089502334595, 0.24328795075416565, 0.33283543586730957, 0.24702364206314087, 0.41891980171203613, 0.3127882480621338]","[0.4185381233692169, 0.32697969675064087, 0.26612192392349243, 0.4137554168701172, 0.3820909857749939, 0.25580912828445435, 0.3783308267593384, 0.25343355536460876, 0.5478970408439636, 0.33110785484313965]"
2,11208,12800,3,D,J,9,0,0,,2,10,0.3662934899330139,0.46175533533096313,0.5616428256034851,0.31668442487716675,-0.09546184539794922,-0.1953493356704712,8,0,0,0.125,5,8933,0.5616428256034851,0.3565874993801117,0,9,0.30236172676086426,0.3811621367931366,0.4636155962944031,-0.16125386953353882,8,0,0.346554696559906,0.4566326141357422,0.5700269341468811,-0.2234722375869751,9,0,0.3742162883281708,0.5364117622375488,0.30444926023483276,"[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]","[0.5077923536300659, 0.47523319721221924, 0.45445358753204346, 0.3662934899330139, 0.4353170394897461, 0.5616428256034851, 0.31668442487716675, 0.508690357208252, 0.5393965244293213, 0.3565874993801117]","[0.4191640019416809, 0.39228755235671997, 0.3751348555088043, 0.30236172676086426, 0.35933831334114075, 0.4636155962944031, 0.2614113688468933, 0.41990524530410767, 0.44525235891342163, 0.2943498492240906]","[0.4824053645133972, 0.48787766695022583, 0.47857242822647095, 0.346554696559906, 0.3934425413608551, 0.5700269341468811, 0.27177631855010986, 0.5078891515731812, 0.563431441783905, 0.3542715609073639]"
3,14200,16886,7,H,H,7,1,0,,2,10,0.5310837030410767,0.5014712810516357,0.5912490487098694,0.38262373208999634,0.029612421989440918,-0.060165345668792725,3,0,1,0.3333333333333333,8,14267,0.5912490487098694,0.5310837030410767,0,3,0.4317065179347992,0.4076351523399353,0.4806135296821594,-0.04890701174736023,3,0,0.4819276034832001,0.45289018750190735,0.6473093032836914,-0.16538169980049133,4,0,0.37201493978500366,0.5110898017883301,0.3004445433616638,"[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]","[0.42097675800323486, 0.5284233093261719, 0.5223188400268555, 0.503555417060852, 0.38262373208999634, 0.52032071352005, 0.5404495596885681, 0.5310837030410767, 0.5912490487098694, 0.5033242702484131]","[0.34220290184020996, 0.4295438826084137, 0.42458170652389526, 0.40932923555374146, 0.31102657318115234, 0.42295750975608826, 0.4393197298049927, 0.4317065179347992, 0.4806135296821594, 0.40914154052734375]","[0.3444797098636627, 0.45232272148132324, 0.48878103494644165, 0.4943902790546417, 0.31788599491119385, 0.4514888823032379, 0.46714454889297485, 0.4819276034832001, 0.6473093032836914, 0.4122091829776764]"
4,23312,27238,2,C,J,9,0,0,,2,10,0.42273634672164917,0.49176639318466187,0.5655280351638794,0.44463253021240234,-0.0690300464630127,-0.14279168844223022,10,0,0,0.1,4,17868,0.5655280351638794,0.44463253021240234,0,9,0.3537680506706238,0.4115360379219055,0.47326380014419556,-0.11949574947357178,10,0,0.35401272773742676,0.4578106701374054,0.5048286318778992,-0.1508159041404724,10,0,0.34869420528411865,0.5413357615470886,0.22572946548461914,"[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]","[0.5468777418136597, 0.4787697196006775, 0.42273634672164917, 0.4575945734977722, 0.5655280351638794, 0.5238968133926392, 0.4575348496437073, 0.5060176849365234, 0.445045530796051, 0.44463253021240234]","[0.4576561450958252, 0.4006596803665161, 0.3537680506706238, 0.38293933868408203, 0.47326380014419556, 0.4384244382381439, 0.38288936018943787, 0.4234621822834015, 0.3724375367164612, 0.3720918297767639]","[0.5048286318778992, 0.4231652319431305, 0.35401272773742676, 0.44856369495391846, 0.5010932683944702, 0.486306369304657, 0.49014297127723694, 0.4507655203342438, 0.3957872986793518, 0.4196428656578064]"
5,25705,17003,6,G,A,0,0,0,,2,10,0.43542352318763733,0.4887835681438446,0.6018824577331543,0.36293402314186096,-0.053360044956207275,-0.16645893454551697,8,0,0,0.125,5,1288,0.6018824577331543,0.4811493158340454,0,5,0.3572014570236206,0.4009755551815033,0.49375665187835693,-0.13655519485473633,8,0,0.37448588013648987,0.4787214696407318,0.63603276014328,-0.26154688000679016,8,0,0.4279446601867676,0.5810209512710571,0.30439138412475586,"[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]","[0.4811493158340454, 0.4506913721561432, 0.4796995520591736, 0.549797773361206, 0.403441846370697, 0.6018824577331543, 0.43542352318763733, 0.5019593238830566, 0.5674964189529419, 0.36293402314186096]","[0.39471277594566345, 0.36972641944885254, 0.3935234844684601, 0.45102882385253906, 0.3309651017189026, 0.49375665187835693, 0.3572014570236206, 0.41178441047668457, 0.4655478894710541, 0.2977343201637268]","[0.43412286043167114, 0.4405207633972168, 0.4091339409351349, 0.604362964630127, 0.3613530397415161, 0.63603276014328, 0.37448588013648987, 0.4446828365325928, 0.6271470189094543, 0.35113734006881714]"
6,5022,23203,5,F,A,0,0,0,,2,10,0.38760149478912354,0.46971118450164795,0.6026737689971924,0.25566530227661133,-0.08210968971252441,-0.21507227420806885,9,0,0,0.1111111111111111,2,5065,0.6026737689971924,0.49857592582702637,0,4,0.3203756511211395,0.38824427127838135,0.4981457591056824,-0.17777010798454285,9,0,0.34812307357788086,0.46856430172920227,0.6430269479751587,-0.29490387439727783,9,0,0.36489686369895935,0.4264504015445709,0.2879025340080261,"[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]","[0.49857592582702637, 0.5445436239242554, 0.6026737689971924, 0.4175257682800293, 0.42318177223205566, 0.38760149478912354, 0.5186272263526917, 0.47826826572418213, 0.25566530227661133, 0.4883391857147217]","[0.41210275888442993, 0.4500977694988251, 0.4981457591056824, 0.34510987997055054, 0.34978508949279785, 0.3203756511211395, 0.4286763072013855, 0.3953171372413635, 0.2113226056098938, 0.40364134311676025]","[0.4956817924976349, 0.49205777049064636, 0.6430269479751587, 0.42874041199684143, 0.4725091755390167, 0.34812307357788086, 0.46426576375961304, 0.49896863102912903, 0.21197402477264404, 0.5098541975021362]"
7,19001,29328,7,H,J,9,0,0,,2,10,0.38260525465011597,0.5702784657478333,0.6762983202934265,0.44299936294555664,-0.18767321109771729,-0.29369306564331055,10,0,0,0.1,9,18613,0.6762983202934265,0.6762983202934265,1,1,0.32178211212158203,0.47962087392807007,0.5687866806983948,-0.24700456857681274,10,0,0.3602270483970642,0.5454534292221069,0.6884390115737915,-0.3282119631767273,10,0,0.28878042101860046,0.3548702001571655,0.23587456345558167,"[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]","[0.6109985709190369, 0.6637556552886963, 0.5928770303726196, 0.6495873928070068, 0.4566402733325958, 0.44299936294555664, 0.5596405267715454, 0.38260525465011597, 0.47970956563949585, 0.6762983202934265]","[0.5138676762580872, 0.5582379102706909, 0.49862679839134216, 0.5463219881057739, 0.3840477764606476, 0.3725752830505371, 0.47067394852638245, 0.32178211212158203, 0.40344977378845215, 0.5687866806983948]","[0.5846791863441467, 0.6412454843521118, 0.5535067915916443, 0.6251187324523926, 0.4231429100036621, 0.4532187581062317, 0.5030841827392578, 0.3602270483970642, 0.4366456866264343, 0.6884390115737915]"
8,23312,17404,2,C,C,2,1,0,,2,10,0.5104596614837646,0.49176639318466187,0.5655280351638794,0.44463253021240234,0.018693268299102783,-0.055068373680114746,4,0,0,0.25,4,17868,0.5655280351638794,0.5104596614837646,0,4,0.4271795153617859,0.4115360379219055,0.47326380014419556,-0.04608428478240967,4,0,0.47466111183166504,0.4578106701374054,0.5048286318778992,-0.03016752004623413,5,0,0.42667827010154724,0.6093924045562744,0.27287259697914124,"[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]","[0.5468777418136597, 0.4787697196006775, 0.5104596614837646, 0.4575945734977722, 0.5655280351638794, 0.5238968133926392, 0.4575348496437073, 0.5060176849365234, 0.445045530796051, 0.44463253021240234]","[0.4576561450958252, 0.4006596803665161, 0.4271795153617859, 0.38293933868408203, 0.47326380014419556, 0.4384244382381439, 0.38288936018943787, 0.4234621822834015, 0.3724375367164612, 0.3720918297767639]","[0.5048286318778992, 0.4231652319431305, 0.47466111183166504, 0.44856369495391846, 0.5010932683944702, 0.486306369304657, 0.49014297127723694, 0.4507655203342438, 0.3957872986793518, 0.4196428656578064]"
9,23040,22455,4,E,F,5,0,0,,2,10,0.4324169456958771,0.4459353983402252,0.5542935132980347,0.3484014868736267,-0.013518452644348145,-0.12187656760215759,6,0,0,0.16666666666666666,7,23788,0.5542935132980347,0.42721301317214966,0,7,0.35353267192840576,0.36458495259284973,0.45317572355270386,-0.0996430516242981,6,0,0.3644784092903137,0.40379804372787476,0.4963012933731079,-0.1318228840827942,7,0,0.43915435671806335,0.5445111989974976,0.3382924795150757,"[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]","[0.4451853930950165, 0.3484014868736267, 0.38679784536361694, 0.4759032726287842, 0.4324169456958771, 0.42721301317214966, 0.500356912612915, 0.5542935132980347, 0.40032535791397095, 0.47494202852249146]","[0.36397185921669006, 0.2848438322544098, 0.3162356913089752, 0.38908588886260986, 0.35353267192840576, 0.3492780327796936, 0.409078449010849, 0.45317572355270386, 0.32729530334472656, 0.3882998824119568]","[0.36639586091041565, 0.3380695581436157, 0.3325709402561188, 0.4963012933731079, 0.3644784092903137, 0.3776520788669586, 0.45986899733543396, 0.46340692043304443, 0.33525848388671875, 0.46465831995010376]"
