row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option,pairmean_sims_by_option,pairmax_sims_by_option
0,560,96605,6,G,G,6,1,0,,5,10,0.6699676513671875,0.43181312084198,0.5296775698661804,0.32817697525024414,0.23815453052520752,0.14029008150100708,1,1,1,1.0,6,96605,0.6699676513671875,0.6699676513671875,1,1,0.47998636960983276,0.30936482548713684,0.3794781267642975,0.10050824284553528,1,1,0.7400225400924683,0.3495483994483948,0.48350363969802856,0.2565189003944397,1,1,0.3135967254638672,0.4048600494861603,0.21743930876255035,"[38498, 121710, 50340, 194622, 197664, 231037, 96605, 154457, 52328, 176444]","[0.36870813369750977, 0.4469204246997833, 0.4921221435070038, 0.3437177538871765, 0.3822595179080963, 0.32817697525024414, 0.6699676513671875, 0.4933066666126251, 0.5296775698661804, 0.5014289021492004]","[0.2641543745994568, 0.3201881945133209, 0.3525722324848175, 0.2462504804134369, 0.2738630175590515, 0.23511651158332825, 0.47998636960983276, 0.35342079401016235, 0.3794781267642975, 0.3592396676540375]","[0.2867611050605774, 0.37898075580596924, 0.39004769921302795, 0.2609789967536926, 0.2912217378616333, 0.2641197443008423, 0.7400225400924683, 0.38790732622146606, 0.48350363969802856, 0.40241435170173645]"
1,6507,107053,5,F,C,2,0,0,,5,10,0.5354762673377991,0.43104982376098633,0.5025613903999329,0.3297392725944519,0.10442644357681274,0.03291487693786621,1,1,1,1.0,5,107053,0.5354762673377991,0.499092698097229,0,3,0.3826332092285156,0.3080136775970459,0.3591136634349823,0.023519545793533325,1,1,0.4255499541759491,0.35686182975769043,0.46105462312698364,-0.035504668951034546,2,0,0.3035297095775604,0.38320186734199524,0.23816120624542236,"[192994, 27855, 102241, 184703, 126040, 107053, 17294, 111858, 100712, 43726]","[0.3503730893135071, 0.4859861731529236, 0.499092698097229, 0.43185532093048096, 0.4614230990409851, 0.5354762673377991, 0.36940115690231323, 0.3297392725944519, 0.4490162134170532, 0.5025613903999329]","[0.25036484003067017, 0.34726929664611816, 0.3566347360610962, 0.3085891902446747, 0.32971733808517456, 0.3826332092285156, 0.26396164298057556, 0.2356206476688385, 0.3208516538143158, 0.3591136634349823]","[0.2814142107963562, 0.42372405529022217, 0.4014841616153717, 0.38569915294647217, 0.34952419996261597, 0.4255499541759491, 0.2853926718235016, 0.2755027413368225, 0.34796079993247986, 0.46105462312698364]"
2,12962,159560,3,D,D,3,1,0,,5,10,0.5159952640533447,0.3959706127643585,0.4805511236190796,0.2907337248325348,0.1200246512889862,0.03544414043426514,1,1,1,1.0,3,159560,0.5159952640533447,0.5159952640533447,1,1,0.34150081872940063,0.262065052986145,0.3180428743362427,0.02345794439315796,1,1,0.4007226526737213,0.3350535035133362,0.4152557849884033,-0.014533132314682007,2,0,0.2941921055316925,0.417999804019928,0.17652353644371033,"[10016, 218542, 198616, 159560, 84192, 113571, 12020, 39461, 15185, 108898]","[0.2907337248325348, 0.41765210032463074, 0.3748050034046173, 0.5159952640533447, 0.3910638689994812, 0.4805511236190796, 0.44261839985847473, 0.3000068962574005, 0.41221287846565247, 0.4540916383266449]","[0.19241613149642944, 0.2764144539833069, 0.24805700778961182, 0.34150081872940063, 0.2588176131248474, 0.3180428743362427, 0.29293787479400635, 0.19855336844921112, 0.2728146016597748, 0.300531268119812]","[0.27362948656082153, 0.3702046871185303, 0.3013732433319092, 0.4007226526737213, 0.3241467773914337, 0.38039112091064453, 0.4152557849884033, 0.22593969106674194, 0.3480522036552429, 0.37648868560791016]"
3,6085,134443,1,B,B,1,1,0,,5,10,0.6384867429733276,0.42752325534820557,0.49025267362594604,0.3367127776145935,0.21096348762512207,0.1482340693473816,1,1,1,1.0,1,134443,0.6384867429733276,0.6384867429733276,1,1,0.44385209679603577,0.29719820618629456,0.3408052921295166,0.10304680466651917,1,1,0.6530907154083252,0.33274969458580017,0.37400928139686584,0.27908143401145935,1,1,0.32661569118499756,0.3812914788722992,0.24479857087135315,"[78194, 134443, 64649, 189684, 181776, 23750, 197260, 173765, 112483, 91501]","[0.45467469096183777, 0.6384867429733276, 0.41756361722946167, 0.3367127776145935, 0.49025267362594604, 0.4884830713272095, 0.43959423899650574, 0.3887961506843567, 0.3598708212375641, 0.4717611074447632]","[0.31607288122177124, 0.44385209679603577, 0.2902746796607971, 0.23407025635242462, 0.3408052921295166, 0.33957523107528687, 0.305589497089386, 0.27027657628059387, 0.25016874074935913, 0.32795077562332153]","[0.3682085871696472, 0.6530907154083252, 0.31320276856422424, 0.278520405292511, 0.35172897577285767, 0.37400928139686584, 0.3708692491054535, 0.29531535506248474, 0.27632036805152893, 0.36657223105430603]"
4,8542,121160,3,D,D,3,1,0,,5,10,0.5889174938201904,0.32329413294792175,0.352977991104126,0.2572050094604492,0.2656233608722687,0.23593950271606445,1,1,1,1.0,3,121160,0.5889174938201904,0.5889174938201904,1,1,0.4426541328430176,0.24300098419189453,0.2653126120567322,0.1773415207862854,1,1,0.49401700496673584,0.2864203453063965,0.3356667757034302,0.15835022926330566,1,1,0.2566405236721039,0.2905573546886444,0.1917661875486374,"[202064, 225961, 62971, 121160, 70155, 144698, 227393, 6474, 113524, 120980]","[0.352977991104126, 0.34709686040878296, 0.2985113263130188, 0.5889174938201904, 0.34185636043548584, 0.3438865840435028, 0.33360564708709717, 0.288783997297287, 0.2572050094604492, 0.3457234501838684]","[0.2653126120567322, 0.26089203357696533, 0.22437319159507751, 0.4426541328430176, 0.25695306062698364, 0.2584790885448456, 0.2507515549659729, 0.21706178784370422, 0.19332565367221832, 0.25985971093177795]","[0.28159013390541077, 0.3043788969516754, 0.3356667757034302, 0.49401700496673584, 0.29491645097732544, 0.2758774161338806, 0.27599114179611206, 0.26442596316337585, 0.24551093578338623, 0.2994254231452942]"
5,17250,113233,6,G,G,6,1,0,,5,10,0.5308037996292114,0.4151480495929718,0.481070339679718,0.262617290019989,0.11565575003623962,0.04973345994949341,1,1,1,1.0,6,113233,0.5308037996292114,0.5308037996292114,1,1,0.3596463203430176,0.2812836766242981,0.32594946026802063,0.03369686007499695,1,1,0.42676302790641785,0.3395870625972748,0.41277968883514404,0.013983339071273804,1,1,0.31839483976364136,0.40526750683784485,0.2016153633594513,"[178614, 86566, 25370, 70315, 227531, 91652, 113233, 41056, 180560, 239161]","[0.4392703175544739, 0.4047889709472656, 0.42660170793533325, 0.4554293751716614, 0.481070339679718, 0.386320024728775, 0.5308037996292114, 0.262617290019989, 0.4042399525642395, 0.475994348526001]","[0.2976277768611908, 0.2742649018764496, 0.2890440821647644, 0.3085763454437256, 0.32594946026802063, 0.26175132393836975, 0.3596463203430176, 0.1779364049434662, 0.27389290928840637, 0.32251009345054626]","[0.3702816069126129, 0.3161543011665344, 0.3377216160297394, 0.41277968883514404, 0.37092337012290955, 0.28824278712272644, 0.42676302790641785, 0.24108153581619263, 0.32576051354408264, 0.39333826303482056]"
6,8602,113522,9,J,A,0,0,0,,5,10,0.4675271511077881,0.41518762707710266,0.4927452802658081,0.30924245715141296,0.052339524030685425,-0.02521812915802002,3,0,1,0.3333333333333333,0,222284,0.4927452802658081,0.4927452802658081,1,1,0.33174392580986023,0.2946053743362427,0.3496379554271698,-0.01789402961730957,3,0,0.3750969171524048,0.32780253887176514,0.3848366439342499,-0.009739726781845093,2,0,0.2688044607639313,0.3735131621360779,0.16551217436790466,"[222284, 172958, 189861, 32730, 97945, 93363, 67692, 9632, 174974, 113522]","[0.4927452802658081, 0.41423505544662476, 0.44526851177215576, 0.4486987590789795, 0.4030725359916687, 0.30924245715141296, 0.4694622755050659, 0.31219053268432617, 0.4417732357978821, 0.4675271511077881]","[0.3496379554271698, 0.29392948746681213, 0.31594982743263245, 0.31838396191596985, 0.2860088348388672, 0.21942970156669617, 0.33311712741851807, 0.22152158617973328, 0.313469797372818, 0.33174392580986023]","[0.3848366439342499, 0.3472141623497009, 0.36910492181777954, 0.33964216709136963, 0.3439747393131256, 0.22721096873283386, 0.3598124086856842, 0.24952742457389832, 0.32889944314956665, 0.3750969171524048]"
7,4689,53676,6,G,F,5,0,0,,5,10,0.6114583015441895,0.40717658400535583,0.5597968101501465,0.33845043182373047,0.20428171753883362,0.05166149139404297,1,1,1,1.0,6,53676,0.6114583015441895,0.5597968101501465,0,2,0.4394358992576599,0.29262495040893555,0.40230831503868103,0.03712758421897888,1,1,0.491477906703949,0.3521919548511505,0.4356112778186798,0.055866628885269165,1,1,0.3231298625469208,0.4800008535385132,0.25029268860816956,"[67858, 199956, 26761, 91773, 106575, 123764, 53676, 133765, 213649, 211905]","[0.35024017095565796, 0.3930831849575043, 0.33845043182373047, 0.38750648498535156, 0.3470280170440674, 0.5597968101501465, 0.6114583015441895, 0.42953991889953613, 0.48589450120925903, 0.37304964661598206]","[0.25170662999153137, 0.28249645233154297, 0.24323368072509766, 0.2784886956214905, 0.2493981420993805, 0.40230831503868103, 0.4394358992576599, 0.30869680643081665, 0.349197119474411, 0.268098920583725]","[0.30511274933815, 0.33371371030807495, 0.29982608556747437, 0.33100807666778564, 0.2902955710887909, 0.4356112778186798, 0.491477906703949, 0.3692842721939087, 0.4067452847957611, 0.39813047647476196]"
8,1274,115639,4,E,E,4,1,0,,5,10,0.5855234265327454,0.4275158941745758,0.5007765889167786,0.36826080083847046,0.15800753235816956,0.0847468376159668,1,1,1,1.0,4,115639,0.5855234265327454,0.5855234265327454,1,1,0.4234427511692047,0.3091737926006317,0.3621549904346466,0.061287760734558105,1,1,0.46031150221824646,0.354892760515213,0.41384246945381165,0.046469032764434814,1,1,0.3068045377731323,0.3640555143356323,0.2537840008735657,"[47985, 201459, 153771, 224079, 115639, 38493, 193494, 53396, 149618, 70797]","[0.3833296298980713, 0.36826080083847046, 0.40025806427001953, 0.43147361278533936, 0.5855234265327454, 0.4139901399612427, 0.4737515449523926, 0.43418368697166443, 0.441619336605072, 0.5007765889167786]","[0.2772188186645508, 0.2663213312625885, 0.28946128487586975, 0.31203585863113403, 0.4234427511692047, 0.29939213395118713, 0.34261074662208557, 0.31399592757225037, 0.3193732798099518, 0.3621549904346466]","[0.295131117105484, 0.31200918555259705, 0.3148752748966217, 0.3371434807777405, 0.46031150221824646, 0.41384246945381165, 0.3646349608898163, 0.3857824206352234, 0.40121471881866455, 0.36940115690231323]"
9,15323,17960,7,H,H,7,1,0,,5,10,0.5218009948730469,0.3777000308036804,0.47659218311309814,0.31065842509269714,0.14410096406936646,0.04520881175994873,1,1,1,1.0,7,17960,0.5218009948730469,0.5218009948730469,1,1,0.37855932116508484,0.27401605248451233,0.34576094150543213,0.03279837965965271,1,1,0.3937288224697113,0.31605562567710876,0.4022764563560486,-0.00854763388633728,3,0,0.2838214635848999,0.3683762550354004,0.2396717518568039,"[67592, 22051, 61595, 244708, 208084, 7872, 228990, 17960, 152376, 216182]","[0.31065842509269714, 0.3389280140399933, 0.47659218311309814, 0.3569418489933014, 0.3556722402572632, 0.3249906301498413, 0.37448662519454956, 0.5218009948730469, 0.44872742891311646, 0.41230306029319763]","[0.22537827491760254, 0.24588748812675476, 0.34576094150543213, 0.2589563727378845, 0.25803524255752563, 0.2357761561870575, 0.27168476581573486, 0.37855932116508484, 0.32554545998573303, 0.2991199493408203]","[0.2652217447757721, 0.2630656659603119, 0.4022764563560486, 0.2969629764556885, 0.27484840154647827, 0.27725470066070557, 0.30937403440475464, 0.3937288224697113, 0.40064936876296997, 0.35484710335731506]"
10,9097,185453,0,A,A,0,1,0,,5,10,0.4933184087276459,0.423756867647171,0.5161147117614746,0.2988952398300171,0.06956154108047485,-0.022796303033828735,3,0,1,0.3333333333333333,1,220043,0.5161147117614746,0.4933184087276459,0,3,0.354206383228302,0.3042606711387634,0.37057429552078247,-0.01636791229248047,3,0,0.4357411563396454,0.35359323024749756,0.4126388728618622,0.023102283477783203,1,1,0.2929229438304901,0.3535127639770508,0.23151680827140808,"[185453, 220043, 232894, 57785, 143293, 221816, 210132, 50876, 127835, 31530]","[0.4933184087276459, 0.5161147117614746, 0.391235888004303, 0.4451078474521637, 0.4126479923725128, 0.39211374521255493, 0.2988952398300171, 0.4191284775733948, 0.49689289927482605, 0.4416749179363251]","[0.354206383228302, 0.37057429552078247, 0.2809104025363922, 0.31959086656570435, 0.29628437757492065, 0.28154072165489197, 0.2146090269088745, 0.3009374737739563, 0.35677289962768555, 0.31712600588798523]","[0.4357411563396454, 0.40568819642066956, 0.31109005212783813, 0.3785749077796936, 0.3342740833759308, 0.3297157287597656, 0.24368293583393097, 0.3648838996887207, 0.4126388728618622, 0.4017902910709381]"
11,7296,11329,3,D,C,2,0,0,,5,10,0.4358367323875427,0.4351423978805542,0.4872244596481323,0.3740611970424652,0.0006943345069885254,-0.0513877272605896,7,0,0,0.14285714285714285,2,19584,0.4872244596481323,0.4872244596481323,1,1,0.2861050069332123,0.2856491804122925,0.3198384642601013,-0.03373345732688904,7,0,0.3511063754558563,0.3551945686340332,0.43973836302757263,-0.08863198757171631,6,0,0.2610313892364502,0.29953673481941223,0.21918052434921265,"[149465, 146395, 19584, 11329, 107854, 2681, 111824, 212802, 18853, 194910]","[0.4459446668624878, 0.4508006274700165, 0.4872244596481323, 0.4358367323875427, 0.3740611970424652, 0.43594586849212646, 0.4653043746948242, 0.4641164541244507, 0.4168257713317871, 0.3760579228401184]","[0.2927403151988983, 0.29592812061309814, 0.3198384642601013, 0.2861050069332123, 0.24555246531963348, 0.2861766815185547, 0.3054490089416504, 0.3046692907810211, 0.2736251950263977, 0.2468632161617279]","[0.35614919662475586, 0.43148288130760193, 0.43973836302757263, 0.3511063754558563, 0.2818765640258789, 0.3104082942008972, 0.39729487895965576, 0.3515205681324005, 0.3227185904979706, 0.3055616617202759]"
12,5458,169144,8,I,I,8,1,0,,5,10,0.4638272523880005,0.3717641234397888,0.4139488637447357,0.3228296637535095,0.09206312894821167,0.04987838864326477,1,1,1,1.0,8,169144,0.4638272523880005,0.4638272523880005,1,1,0.341514527797699,0.2737288177013397,0.30478933453559875,0.03672519326210022,1,1,0.3958640396595001,0.31567731499671936,0.35249432921409607,0.04336971044540405,1,1,0.25258737802505493,0.3074919879436493,0.20574820041656494,"[168415, 181604, 164085, 133622, 231981, 79816, 59721, 177727, 169144, 57392]","[0.34081920981407166, 0.3228296637535095, 0.4139488637447357, 0.39189282059669495, 0.3761095404624939, 0.36837613582611084, 0.3320411443710327, 0.38645610213279724, 0.4638272523880005, 0.41340363025665283]","[0.2509441673755646, 0.23769855499267578, 0.30478933453559875, 0.2885494828224182, 0.2769283652305603, 0.2712342441082001, 0.2444809228181839, 0.28454655408859253, 0.341514527797699, 0.30438780784606934]","[0.27951592206954956, 0.3041613698005676, 0.35249432921409607, 0.3373640477657318, 0.33371907472610474, 0.2867761254310608, 0.27263879776000977, 0.34881049394607544, 0.3958640396595001, 0.3256155252456665]"
13,7857,3062,7,H,H,7,1,0,,5,10,0.5214110016822815,0.3866562843322754,0.49915075302124023,0.28482866287231445,0.1347547173500061,0.02226024866104126,1,1,1,1.0,7,3062,0.5214110016822815,0.5214110016822815,1,1,0.3609567880630493,0.267670214176178,0.3455466628074646,0.015410125255584717,1,1,0.4572497606277466,0.32129254937171936,0.4024759531021118,0.054773807525634766,1,1,0.24983607232570648,0.4379589259624481,0.16213437914848328,"[239238, 250560, 131082, 7531, 7750, 53107, 145410, 3062, 26394, 77910]","[0.4588303565979004, 0.3582986891269684, 0.3626995086669922, 0.28482866287231445, 0.39204809069633484, 0.3344823718070984, 0.37489330768585205, 0.5214110016822815, 0.4146748185157776, 0.49915075302124023]","[0.31763404607772827, 0.2480391263961792, 0.2510856091976166, 0.19717811048030853, 0.2714027762413025, 0.231551855802536, 0.2595270872116089, 0.3609567880630493, 0.28706663846969604, 0.3455466628074646]","[0.4024759531021118, 0.3293743431568146, 0.26025375723838806, 0.2433575689792633, 0.3307989239692688, 0.2875717580318451, 0.33858609199523926, 0.4572497606277466, 0.32118502259254456, 0.37802982330322266]"
14,11456,253789,8,I,I,8,1,0,,5,10,0.6229709386825562,0.35637930035591125,0.5889453887939453,0.18433624505996704,0.2665916383266449,0.03402554988861084,1,1,1,1.0,8,253789,0.6229709386825562,0.6229709386825562,1,1,0.4824168086051941,0.2759733200073242,0.45606812834739685,0.02634868025779724,1,1,0.5108312368392944,0.3155228793621063,0.48059073090553284,0.030240505933761597,1,1,0.2876577079296112,0.44078153371810913,0.12843981385231018,"[134265, 13159, 67377, 146080, 190483, 190606, 6857, 75229, 253789, 15036]","[0.3142624497413635, 0.32402947545051575, 0.41796165704727173, 0.18433624505996704, 0.34132498502731323, 0.5889453887939453, 0.3956960141658783, 0.22410961985588074, 0.6229709386825562, 0.41674792766571045]","[0.2433588206768036, 0.2509222626686096, 0.3236614763736725, 0.1427464634180069, 0.2643154263496399, 0.45606812834739685, 0.3064194321632385, 0.1735461950302124, 0.4824168086051941, 0.3227216601371765]","[0.28924649953842163, 0.2909386157989502, 0.33484721183776855, 0.16926126182079315, 0.3167857527732849, 0.48059073090553284, 0.3424704670906067, 0.19846521317958832, 0.5108312368392944, 0.41710007190704346]"
