row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option,pairmean_sims_by_option,pairmax_sims_by_option
0,6641,43996,6,G,G,6.0,1,0,,5,10,0.6083387136459351,0.3872579336166382,0.5113496780395508,0.2544979453086853,0.22108078002929688,0.09698903560638428,1,1,1,1.0,6,43996,0.6083387136459351,0.6083387136459351,1.0,1.0,0.45749029517173767,0.2912304103374481,0.38455137610435486,0.07293891906738281,1,1,0.4915007948875427,0.32571470737457275,0.45355772972106934,0.03794306516647339,1,1,0.28828394412994385,0.4459199905395508,0.20979227125644684,"[2741, 126439, 110165, 122215, 15695, 167399, 43996, 135810, 97823, 53968]","[0.32564371824264526, 0.5113496780395508, 0.4421824812889099, 0.4462171196937561, 0.3377891182899475, 0.33040058612823486, 0.6083387136459351, 0.49925994873046875, 0.3379807472229004, 0.2544979453086853]","[0.24489454925060272, 0.38455137610435486, 0.33253544569015503, 0.33556967973709106, 0.2540282607078552, 0.24847185611724854, 0.45749029517173767, 0.3754594922065735, 0.25417235493659973, 0.19139060378074646]","[0.2572995722293854, 0.4245809316635132, 0.3414958119392395, 0.36022311449050903, 0.29020795226097107, 0.3086296319961548, 0.4915007948875427, 0.45355772972106934, 0.2848357856273651, 0.21060168743133545]"
1,6753,212590,6,G,G,6.0,1,0,,5,10,0.6965616345405579,0.3529963195323944,0.5201034545898438,0.25577232241630554,0.34356531500816345,0.1764581799507141,1,1,1,1.0,6,212590,0.6965616345405579,0.6965616345405579,1.0,1.0,0.5131107568740845,0.26002901792526245,0.38312584161758423,0.12998491525650024,1,1,0.782569169998169,0.2957341969013214,0.42210814356803894,0.36046102643013,1,1,0.2614455223083496,0.40132442116737366,0.1822257936000824,"[153849, 53102, 194082, 6214, 20886, 121264, 212590, 149258, 139949, 6154]","[0.33835369348526, 0.31568461656570435, 0.3678831458091736, 0.32114309072494507, 0.32974183559417725, 0.25577232241630554, 0.6965616345405579, 0.3424016833305359, 0.3858829736709595, 0.5201034545898438]","[0.24924270808696747, 0.2325439155101776, 0.270995169878006, 0.23656482994556427, 0.24289903044700623, 0.18841055035591125, 0.5131107568740845, 0.2522246241569519, 0.2842544615268707, 0.38312584161758423]","[0.31297945976257324, 0.2535746097564697, 0.2895157039165497, 0.2612020671367645, 0.27740272879600525, 0.25919637084007263, 0.782569169998169, 0.2829244136810303, 0.30270424485206604, 0.42210814356803894]"
2,11971,212698,0,A,A,0.0,1,0,,4,10,0.5813298225402832,0.3187115490436554,0.43030139803886414,0.18933790922164917,0.2626182734966278,0.15102842450141907,1,1,1,1.0,0,212698,0.5813298225402832,0.5813298225402832,1.0,1.0,0.46113190054893494,0.25281354784965515,0.3413306474685669,0.11980125308036804,1,1,0.5061327219009399,0.2859885096549988,0.39426085352897644,0.1118718683719635,1,1,0.27624592185020447,0.38972601294517517,0.14116284251213074,"[212698, 71119, 153134, 194731, 54054, 153032, 10633, 165780, 209073, 10945]","[0.5813298225402832, 0.40573978424072266, 0.25202488899230957, 0.33132296800613403, 0.18933790922164917, 0.30508607625961304, 0.4074040651321411, 0.2916486859321594, 0.43030139803886414, 0.2555381655693054]","[0.46113190054893494, 0.321847528219223, 0.19991524517536163, 0.2628174424171448, 0.15018974244594574, 0.24200531840324402, 0.32316768169403076, 0.23134633898735046, 0.3413306474685669, 0.2027021050453186]","[0.5061327219009399, 0.3588765263557434, 0.2291850447654724, 0.2888624668121338, 0.18865257501602173, 0.2606121003627777, 0.3524770140647888, 0.25927674770355225, 0.39426085352897644, 0.24169324338436127]"
3,3179,158934,0,A,A,0.0,1,0,,5,10,0.5096134543418884,0.43804317712783813,0.5186969041824341,0.341381311416626,0.07157027721405029,-0.009083449840545654,2,0,1,0.5,8,30381,0.5186969041824341,0.5096134543418884,0.0,2.0,0.35305529832839966,0.3034720718860626,0.3593481183052063,-0.006292819976806641,2,0,0.4858042001724243,0.3453741669654846,0.4306318759918213,0.05517232418060303,1,1,0.2831808626651764,0.35707229375839233,0.14911925792694092,"[158934, 80690, 101833, 97916, 22241, 195311, 29124, 30323, 30381, 109282]","[0.5096134543418884, 0.40391847491264343, 0.38080427050590515, 0.341381311416626, 0.4250141978263855, 0.48919928073883057, 0.4933255910873413, 0.38812941312789917, 0.5186969041824341, 0.501919150352478]","[0.35305529832839966, 0.27983084321022034, 0.26381754875183105, 0.23650571703910828, 0.29444578289985657, 0.33891257643699646, 0.3417711853981018, 0.268892377614975, 0.3593481183052063, 0.3477247655391693]","[0.4858042001724243, 0.3243999481201172, 0.2992278039455414, 0.29366829991340637, 0.31458598375320435, 0.37823355197906494, 0.3641594648361206, 0.30162060260772705, 0.4306318759918213, 0.40183964371681213]"
4,10486,46669,1,B,B,1.0,1,0,,5,10,0.5783718824386597,0.4118839204311371,0.48812979459762573,0.3346901535987854,0.16648796200752258,0.09024208784103394,1,1,1,1.0,1,46669,0.5783718824386597,0.5783718824386597,1.0,1.0,0.40131527185440063,0.28579410910606384,0.33869898319244385,0.06261628866195679,1,1,0.48519080877304077,0.33274078369140625,0.42571893334388733,0.05947187542915344,1,1,0.2924712896347046,0.36276090145111084,0.2096492052078247,"[127398, 46669, 175148, 57340, 186641, 135309, 99632, 67592, 184885, 139393]","[0.4332358241081238, 0.5783718824386597, 0.45179229974746704, 0.36480069160461426, 0.3533507287502289, 0.36879605054855347, 0.48812979459762573, 0.44908297061920166, 0.3346901535987854, 0.4630768597126007]","[0.3006095290184021, 0.40131527185440063, 0.31348535418510437, 0.2531244158744812, 0.24517960846424103, 0.255896657705307, 0.33869898319244385, 0.31160539388656616, 0.23223157227039337, 0.32131537795066833]","[0.3313616216182709, 0.48519080877304077, 0.34254294633865356, 0.3156745433807373, 0.25828880071640015, 0.29479533433914185, 0.42571893334388733, 0.3487754464149475, 0.2856156527996063, 0.39189374446868896]"
5,6673,113141,2,C,C,2.0,1,0,,5,10,0.8229199647903442,0.3567841649055481,0.43993276357650757,0.2842116355895996,0.46613579988479614,0.38298720121383667,1,1,1,1.0,2,113141,0.8229199647903442,0.8229199647903442,1.0,1.0,0.7132362723350525,0.3092297911643982,0.3812958896160126,0.3319403827190399,1,1,0.7501016855239868,0.33881667256355286,0.4124850630760193,0.33761662244796753,1,1,0.3125075101852417,0.38847312331199646,0.22496861219406128,"[166254, 171537, 113141, 144850, 160660, 209499, 166876, 99090, 35428, 88383]","[0.4175257384777069, 0.41087886691093445, 0.8229199647903442, 0.3101089596748352, 0.3153838515281677, 0.36043596267700195, 0.2959689497947693, 0.37661054730415344, 0.43993276357650757, 0.2842116355895996]","[0.3618753254413605, 0.3561144471168518, 0.7132362723350525, 0.2687757611274719, 0.2733476161956787, 0.312394917011261, 0.25652045011520386, 0.32641348242759705, 0.3812958896160126, 0.2463301420211792]","[0.37880077958106995, 0.3795076012611389, 0.7501016855239868, 0.2935384213924408, 0.31327030062675476, 0.35424166917800903, 0.29416143894195557, 0.3621116578578949, 0.4124850630760193, 0.2612331807613373]"
6,4815,211509,1,B,B,1.0,1,0,,5,10,0.6779667735099792,0.35336968302726746,0.4125896692276001,0.3041446805000305,0.3245970904827118,0.26537710428237915,1,1,1,1.0,1,211509,0.6779667735099792,0.6779667735099792,1.0,1.0,0.5251238942146301,0.2737049162387848,0.31957414746284485,0.20554974675178528,1,1,0.582619845867157,0.31600242853164673,0.38286149501800537,0.1997583508491516,1,1,0.2925531268119812,0.37257206439971924,0.20241041481494904,"[149639, 211509, 51354, 187500, 74256, 142068, 163521, 193779, 86799, 187436]","[0.3579756021499634, 0.6779667735099792, 0.4067018926143646, 0.37830692529678345, 0.3184511959552765, 0.371229887008667, 0.31190425157546997, 0.4125896692276001, 0.31902289390563965, 0.3041446805000305]","[0.2772725224494934, 0.5251238942146301, 0.3150137960910797, 0.29302024841308594, 0.246658593416214, 0.28753867745399475, 0.24158760905265808, 0.31957414746284485, 0.24710138142108917, 0.23557737469673157]","[0.34424489736557007, 0.582619845867157, 0.349831759929657, 0.3132418394088745, 0.29648029804229736, 0.3168574571609497, 0.2747832238674164, 0.38286149501800537, 0.30757319927215576, 0.2581477165222168]"
7,5647,19773,5,F,F,5.0,1,0,,5,10,0.5419235229492188,0.35119935870170593,0.4317491054534912,0.2853916883468628,0.19072416424751282,0.11017441749572754,1,1,1,1.0,5,19773,0.5419235229492188,0.5419235229492188,1.0,1.0,0.4068329930305481,0.263652503490448,0.32412290573120117,0.08271008729934692,1,1,0.4801514148712158,0.3141108751296997,0.41515955328941345,0.06499186158180237,1,1,0.2582148313522339,0.3267369568347931,0.2074974924325943,"[198556, 109962, 118245, 174269, 135587, 19773, 57733, 44756, 8952, 33857]","[0.37398678064346313, 0.3334839940071106, 0.4317491054534912, 0.30187052488327026, 0.2938196063041687, 0.5419235229492188, 0.3968409299850464, 0.2853916883468628, 0.3825104236602783, 0.3611411154270172]","[0.2807595729827881, 0.25035327672958374, 0.32412290573120117, 0.2266203612089157, 0.22057640552520752, 0.4068329930305481, 0.29791656136512756, 0.2142493724822998, 0.2871583104133606, 0.2711159586906433]","[0.3030214309692383, 0.2721640169620514, 0.41515955328941345, 0.278727650642395, 0.29280203580856323, 0.4801514148712158, 0.32884329557418823, 0.23807600140571594, 0.3559859097003937, 0.3422178030014038]"
8,9840,175839,9,J,J,9.0,1,0,,5,10,0.6259036064147949,0.4142620265483856,0.4959089756011963,0.37882041931152344,0.2116415798664093,0.12999463081359863,1,1,1,1.0,9,175839,0.6259036064147949,0.6259036064147949,1.0,1.0,0.4428293704986572,0.29309210181236267,0.3508576452732086,0.09197172522544861,1,1,0.5626268982887268,0.3405860662460327,0.3867219388484955,0.17590495944023132,1,1,0.2975418269634247,0.4007135331630707,0.23817583918571472,"[28554, 88842, 45668, 121845, 135527, 93639, 30440, 65336, 84982, 175839]","[0.41024404764175415, 0.37882041931152344, 0.4959089756011963, 0.40788352489471436, 0.4133034348487854, 0.3969525992870331, 0.379458487033844, 0.442457914352417, 0.4033288359642029, 0.6259036064147949]","[0.2902493476867676, 0.2680169939994812, 0.3508576452732086, 0.2885793149471283, 0.2924138605594635, 0.2808455526828766, 0.2684684097766876, 0.3130407929420471, 0.28535670042037964, 0.4428293704986572]","[0.3537871241569519, 0.2852322459220886, 0.37932074069976807, 0.33169451355934143, 0.3458242118358612, 0.33880189061164856, 0.2999206781387329, 0.3867219388484955, 0.34397098422050476, 0.5626268982887268]"
9,7963,60048,0,A,A,0.0,1,0,,5,10,0.415041446685791,0.41408008337020874,0.4734020531177521,0.3609316051006317,0.0009613633155822754,-0.05836060643196106,5,0,0,0.2,2,85341,0.4734020531177521,0.415041446685791,0.0,5.0,0.2798774838447571,0.27922922372817993,0.3192320764064789,-0.0393545925617218,5,0,0.30570855736732483,0.3400859832763672,0.4093983471393585,-0.10368978977203369,8,0,0.27220746874809265,0.35967251658439636,0.2125897854566574,"[60048, 187697, 85341, 133768, 50491, 12120, 195773, 50310, 168906, 30524]","[0.415041446685791, 0.4515523314476013, 0.4734020531177521, 0.3717544972896576, 0.40596190094947815, 0.4671035408973694, 0.3656507432460785, 0.3609316051006317, 0.38561034202575684, 0.4447537362575531]","[0.2798774838447571, 0.3044981360435486, 0.3192320764064789, 0.25068745017051697, 0.2737548351287842, 0.31498485803604126, 0.24657157063484192, 0.24338921904563904, 0.260031133890152, 0.29991352558135986]","[0.30570855736732483, 0.35036924481391907, 0.4093983471393585, 0.2833230793476105, 0.3718287944793701, 0.3710019588470459, 0.27857187390327454, 0.3151261508464813, 0.3213236331939697, 0.35983097553253174]"
