method,signal,source_csv,index,bundle_id,true_indice,true_option_idx,true_option_char,prediction,prediction_idx,hit,score_len_ok,candidate_count,scores,candidate_indices,gt_valid_choice,gt_score,gt_min_rank,gt_max_rank,gt_avg_rank,gt_in_top_tie,gt_unique_top1,gt_gap_to_top,gt_top_score,gt_second_margin,gt_top_tie_size,gt_all_tied,gt_all_zero,gt_positive_signal,pred_valid_choice,pred_score,pred_min_rank,pred_max_rank,pred_avg_rank,pred_in_top_tie,pred_unique_top1,pred_gap_to_top,pred_top_score,pred_second_margin,pred_top_tie_size,pred_all_tied,pred_all_zero,pred_positive_signal
base,cooccurrence,results\pog\results_pog_20260416_142034.csv,0,722.0,24445.0,4,E,A,0,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43712, 10621, 30288, 19254, 24445, 47966, 27471, 34939, 39495, 35369]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog\results_pog_20260416_142034.csv,0,722.0,24445.0,4,E,A,0,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[43712, 10621, 30288, 19254, 24445, 47966, 27471, 34939, 39495, 35369]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog\results_pog_20260416_142034.csv,1,2266.0,10879.0,1,B,C,2,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1540, 10879, 26779, 21065, 9083, 5638, 19706, 45823, 28886, 17927]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog\results_pog_20260416_142034.csv,1,2266.0,10879.0,1,B,C,2,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1540, 10879, 26779, 21065, 9083, 5638, 19706, 45823, 28886, 17927]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog\results_pog_20260416_142034.csv,2,4809.0,22427.0,1,B,J,9,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7616, 22427, 11817, 34717, 10820, 43661, 4193, 43180, 20045, 17053]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog\results_pog_20260416_142034.csv,2,4809.0,22427.0,1,B,J,9,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7616, 22427, 11817, 34717, 10820, 43661, 4193, 43180, 20045, 17053]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog\results_pog_20260416_142034.csv,3,11737.0,39944.0,6,G,D,3,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39915, 23668, 4207, 969, 17969, 8753, 39944, 4642, 15192, 45281]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog\results_pog_20260416_142034.csv,3,11737.0,39944.0,6,G,D,3,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[39915, 23668, 4207, 969, 17969, 8753, 39944, 4642, 15192, 45281]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog\results_pog_20260416_142034.csv,4,17869.0,43126.0,4,E,E,4,1,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog\results_pog_20260416_142034.csv,4,17869.0,43126.0,4,E,E,4,1,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
