comparison,n,baseline_only,intent_prompt_only,both_hit,both_fail,baseline_acc,intent_prompt_acc,delete_prompt_only,delete_prompt_acc,image_text_only,image_text_acc,delete_image_text_only,delete_image_text_acc,intent_image_text_only,intent_image_text_acc,co_occer_cf_only,co_occer_cf_acc,user_prefer_cf_only,user_prefer_cf_acc
baseline_vs_intent_prompt,250,12.0,13.0,72,153,0.336,0.34,,,,,,,,,,,,
baseline_vs_delete_prompt,250,12.0,,72,144,0.336,,22.0,0.376,,,,,,,,,,
baseline_vs_image_text,250,21.0,,63,148,0.336,,,,18.0,0.324,,,,,,,,
baseline_vs_delete_image_text,250,21.0,,63,147,0.336,,,,,,19.0,0.328,,,,,,
baseline_vs_intent_image_text,250,25.0,,59,150,0.336,,,,,,,,16.0,0.3,,,,
baseline_vs_co_occer_cf,250,19.0,,65,92,0.336,,,,,,,,,,74.0,0.556,,
baseline_vs_user_prefer_cf,250,23.0,,61,132,0.336,,,,,,,,,,,,34.0,0.38
intent_prompt_vs_delete_prompt,250,,11.0,74,145,,0.34,20.0,0.376,,,,,,,,,,
intent_prompt_vs_image_text,250,,23.0,62,146,,0.34,,,19.0,0.324,,,,,,,,
intent_prompt_vs_delete_image_text,250,,22.0,63,146,,0.34,,,,,19.0,0.328,,,,,,
intent_prompt_vs_intent_image_text,250,,24.0,61,151,,0.34,,,,,,,14.0,0.3,,,,
intent_prompt_vs_co_occer_cf,250,,19.0,66,92,,0.34,,,,,,,,,73.0,0.556,,
intent_prompt_vs_user_prefer_cf,250,,19.0,66,136,,0.34,,,,,,,,,,,29.0,0.38
delete_prompt_vs_image_text,250,,,63,138,,,31.0,0.376,18.0,0.324,,,,,,,,
delete_prompt_vs_delete_image_text,250,,,65,139,,,29.0,0.376,,,17.0,0.328,,,,,,
delete_prompt_vs_intent_image_text,250,,,62,143,,,32.0,0.376,,,,,13.0,0.3,,,,
delete_prompt_vs_co_occer_cf,250,,,69,86,,,25.0,0.376,,,,,,,70.0,0.556,,
delete_prompt_vs_user_prefer_cf,250,,,67,128,,,27.0,0.376,,,,,,,,,28.0,0.38
image_text_vs_delete_image_text,250,,,66,153,,,,,15.0,0.324,16.0,0.328,,,,,,
image_text_vs_intent_image_text,250,,,63,157,,,,,18.0,0.324,,,12.0,0.3,,,,
image_text_vs_co_occer_cf,250,,,60,90,,,,,21.0,0.324,,,,,79.0,0.556,,
image_text_vs_user_prefer_cf,250,,,60,134,,,,,21.0,0.324,,,,,,,35.0,0.38
delete_image_text_vs_intent_image_text,250,,,64,157,,,,,,,18.0,0.328,11.0,0.3,,,,
delete_image_text_vs_co_occer_cf,250,,,61,90,,,,,,,21.0,0.328,,,78.0,0.556,,
delete_image_text_vs_user_prefer_cf,250,,,62,135,,,,,,,20.0,0.328,,,,,33.0,0.38
intent_image_text_vs_co_occer_cf,250,,,56,92,,,,,,,,,19.0,0.3,83.0,0.556,,
intent_image_text_vs_user_prefer_cf,250,,,60,140,,,,,,,,,15.0,0.3,,,35.0,0.38
co_occer_cf_vs_user_prefer_cf,250,,,78,94,,,,,,,,,,,61.0,0.556,17.0,0.38
