method,signal,source_csv,index,bundle_id,true_indice,true_option_idx,true_option_char,prediction,prediction_idx,hit,score_len_ok,candidate_count,scores,candidate_indices,gt_valid_choice,gt_score,gt_min_rank,gt_max_rank,gt_avg_rank,gt_in_top_tie,gt_unique_top1,gt_gap_to_top,gt_top_score,gt_second_margin,gt_top_tie_size,gt_all_tied,gt_all_zero,gt_positive_signal,pred_valid_choice,pred_score,pred_min_rank,pred_max_rank,pred_avg_rank,pred_in_top_tie,pred_unique_top1,pred_gap_to_top,pred_top_score,pred_second_margin,pred_top_tie_size,pred_all_tied,pred_all_zero,pred_positive_signal
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,0,9388,27985,9,J,H,7,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]",1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1,0,0,1,1,0.0,2,10,6.0,0,0,1.0,1.0,1.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,0,9388,27985,9,J,H,7,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,1,21401,6491,7,H,D,3,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,1,21401,6491,7,H,D,3,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]","[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]",1,0.0,2,10,6.0,0,0,0.2,0.2,0.2,1,0,0,1,1,0.0,2,10,6.0,0,0,0.2,0.2,0.2,1,0,0,1
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,2,11208,12800,3,D,J,9,0,1,10,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",1,0.0,3,10,6.5,0,0,2.0,2.0,1.0,1,0,0,1,1,0.0,3,10,6.5,0,0,2.0,2.0,1.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,2,11208,12800,3,D,J,9,0,1,10,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",1,0.0,2,10,6.0,0,0,0.2,0.2,0.2,1,0,0,1,1,0.0,2,10,6.0,0,0,0.2,0.2,0.2,1,0,0,1
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,3,14200,16886,7,H,H,7,1,1,10,"[0, 0, 0, 0, 0, 0, 0, 12, 0, 0]","[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]",1,12.0,1,1,1.0,1,1,0.0,12.0,12.0,1,0,0,1,1,12.0,1,1,1.0,1,1,0.0,12.0,12.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,3,14200,16886,7,H,H,7,1,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,4,23312,27238,2,C,J,9,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,4,23312,27238,2,C,J,9,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,5,25705,17003,6,G,A,0,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,5,25705,17003,6,G,A,0,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.4, 0.0]","[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",1,0.0,3,10,6.5,0,0,0.4,0.4,0.30000000000000004,1,0,0,1,1,0.0,3,10,6.5,0,0,0.4,0.4,0.30000000000000004,1,0,0,1
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,6,5022,23203,5,F,A,0,0,1,10,"[0, 0, 1, 0, 1, 9, 0, 0, 0, 1]","[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]",1,9.0,1,1,1.0,1,1,0.0,9.0,8.0,1,0,0,1,1,0.0,5,10,7.5,0,0,9.0,9.0,8.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,6,5022,23203,5,F,A,0,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.3, 0.4, 0.0, 0.0, 0.0, 0.0]","[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]",1,0.4,1,1,1.0,1,1,0.0,0.4,0.10000000000000003,1,0,0,1,1,0.0,3,10,6.5,0,0,0.4,0.4,0.10000000000000003,1,0,0,1
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,7,19001,29328,7,H,J,9,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,7,19001,29328,7,H,J,9,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,8,23312,17404,2,C,C,2,1,1,10,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1,0,0,1,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,8,23312,17404,2,C,C,2,1,1,10,"[0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1,0.8,1,1,1.0,1,1,0.0,0.8,0.8,1,0,0,1,1,0.8,1,1,1.0,1,1,0.0,0.8,0.8,1,0,0,1
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,9,23040,22455,4,E,F,5,0,1,10,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0]","[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]",1,8.0,1,1,1.0,1,1,0.0,8.0,8.0,1,0,0,1,1,0.0,2,10,6.0,0,0,8.0,8.0,8.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,9,23040,22455,4,E,F,5,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,10,24350,13741,4,E,E,4,1,1,10,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0]","[8622, 22303, 9672, 673, 13741, 5674, 23823, 24176, 9610, 14307]",1,2.0,1,1,1.0,1,1,0.0,2.0,2.0,1,0,0,1,1,2.0,1,1,1.0,1,1,0.0,2.0,2.0,1,0,0,1
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,10,24350,13741,4,E,E,4,1,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8622, 22303, 9672, 673, 13741, 5674, 23823, 24176, 9610, 14307]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,cooccurrence,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,11,23620,27114,4,E,D,3,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26813, 15828, 15656, 21306, 27114, 14704, 27472, 24107, 18853, 2715]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
base,user_pref,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,11,23620,27114,4,E,D,3,0,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[26813, 15828, 15656, 21306, 27114, 14704, 27472, 24107, 18853, 2715]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
