row_idx,bundle_id,true_indice,num_input_items,num_valid_input_embeddings,gt_input_sim,neg_input_sim_mean,neg_input_sim_max,gt_margin_vs_best_neg,gt_margin_vs_neg_mean,gt_semantic_rank,gt_semantic_top1,gt_semantic_mrr,semantic_top_option_idx,semantic_top_item,semantic_top_sim,pred_option_idx,pred_input_sim,pred_is_semantic_top1,hit,gt_to_distractor_sim_mean,gt_to_distractor_sim_max
0,9388,27985,2,2,0.6855382919311523,0.6605250835418701,0.7654992341995239,-0.07996094226837158,0.025013208389282227,4,0,0.25,7,19082,0.7654992341995239,7.0,0.7654992341995239,1.0,0,0.6741036176681519,1.0
1,21401,6491,2,2,0.7500660419464111,0.6460913419723511,0.8013876080513,-0.051321566104888916,0.10397469997406006,3,0,0.3333333333333333,3,29904,0.8013876080513,1.0,0.6047358512878418,0.0,0,0.5834773778915405,0.7024158835411072
2,11208,12800,2,2,0.6092935800552368,0.6777021288871765,0.9309532642364502,-0.3216596841812134,-0.0684085488319397,7,0,0.14285714285714285,1,18668,0.9309532642364502,2.0,0.7056578397750854,0.0,0,0.5714746713638306,0.7243044376373291
3,14200,16886,2,2,0.6066434979438782,0.5803552269935608,0.6402103900909424,-0.03356689214706421,0.026288270950317383,6,0,0.16666666666666666,9,321,0.6402103900909424,6.0,0.6066434979438782,0.0,1,0.5470539927482605,0.6487674713134766
4,23312,27238,2,2,0.7533873319625854,0.6844003200531006,0.7699979543685913,-0.01661062240600586,0.06898701190948486,3,0,0.3333333333333333,4,29940,0.7699979543685913,0.0,0.7533873319625854,0.0,1,0.6254790425300598,0.9999998807907104
5,25705,17003,2,2,0.601899266242981,0.61748206615448,0.7556193470954895,-0.15372008085250854,-0.015582799911499023,7,0,0.14285714285714285,7,443,0.7556193470954895,1.0,0.6741823554039001,0.0,0,0.570842444896698,0.7127406001091003
6,5022,23203,2,2,0.6265972852706909,0.5907475352287292,0.8084613084793091,-0.18186402320861816,0.03584975004196167,4,0,0.25,6,30696,0.8084613084793091,0.0,0.552811861038208,0.0,0,0.48359808325767517,0.6441208720207214
7,19001,29328,2,2,0.6771723031997681,0.6441865563392639,0.7693338990211487,-0.09216159582138062,0.03298574686050415,5,0,0.2,1,24875,0.7693338990211487,1.0,0.7693338990211487,1.0,0,0.5503920316696167,0.7325910329818726
8,23312,17404,2,2,0.6655720472335815,0.6809965968132019,0.7446460127830505,-0.079073965549469,-0.015424549579620361,7,0,0.14285714285714285,6,17087,0.7446460127830505,3.0,0.6655720472335815,0.0,1,0.5577930212020874,0.7244364023208618
9,23040,22455,2,2,0.723614513874054,0.6672375202178955,0.7610734701156616,-0.037458956241607666,0.05637699365615845,2,0,0.5,0,8435,0.7610734701156616,3.0,0.723614513874054,0.0,1,0.537385880947113,0.6214498281478882
10,24350,13741,2,2,0.5764471888542175,0.546085774898529,0.6894562244415283,-0.11300903558731079,0.030361413955688477,5,0,0.2,6,1682,0.6894562244415283,8.0,0.5764471888542175,0.0,1,0.5142852663993835,0.6309803128242493
11,23620,27114,2,2,0.7660586833953857,0.6211130619049072,0.7660586833953857,0.0,0.14494562149047852,1,1,1.0,5,27114,0.7660586833953857,5.0,0.7660586833953857,1.0,1,0.600345253944397,1.0
12,27603,3116,2,2,0.6355323195457458,0.6578132510185242,0.8612476587295532,-0.22571533918380737,-0.02228093147277832,7,0,0.14285714285714285,8,461,0.8612476587295532,1.0,0.6355323195457458,0.0,1,0.5462112426757812,0.691865086555481
13,20372,15971,2,2,0.6500712633132935,0.6407226920127869,0.7175263166427612,-0.06745505332946777,0.009348571300506592,6,0,0.16666666666666666,6,4606,0.7175263166427612,3.0,0.5248614549636841,0.0,0,0.5280287861824036,0.6578675508499146
14,13452,24673,2,2,0.7942099571228027,0.6350277662277222,0.7670142650604248,0.02719569206237793,0.15918219089508057,1,1,1.0,2,24673,0.7942099571228027,2.0,0.7942099571228027,1.0,1,0.5447379350662231,0.741290807723999
15,21723,5441,2,2,0.6091848611831665,0.640009880065918,0.8851335644721985,-0.275948703289032,-0.030825018882751465,6,0,0.16666666666666666,1,29334,0.8851335644721985,0.0,0.5545525550842285,0.0,0,0.5150691270828247,0.599330723285675
16,680,15370,2,2,0.5687184929847717,0.6115248203277588,0.6488980054855347,-0.08017951250076294,-0.04280632734298706,9,0,0.1111111111111111,0,18258,0.6488980054855347,0.0,0.6488980054855347,1.0,0,0.5794425010681152,0.7152262926101685
17,11400,8318,2,2,0.8385611176490784,0.7125754952430725,0.8982875347137451,-0.05972641706466675,0.12598562240600586,2,0,0.5,3,15922,0.8982875347137451,1.0,0.8385611176490784,0.0,1,0.7382904291152954,1.0
18,18241,13625,2,2,0.6099992990493774,0.6148838400840759,0.7482646703720093,-0.13826537132263184,-0.004884541034698486,5,0,0.2,6,1656,0.7482646703720093,2.0,0.5531058311462402,0.0,0,0.5446606278419495,0.6363396644592285
19,2765,8376,2,2,0.7156248092651367,0.6522367000579834,0.7158848643302917,-0.0002600550651550293,0.06338810920715332,2,0,0.5,8,261,0.7158848643302917,4.0,0.6692222356796265,0.0,0,0.6751542687416077,0.7860147953033447
20,23453,22140,2,2,0.502325713634491,0.7181859612464905,0.8317746520042419,-0.329448938369751,-0.2158602476119995,10,0,0.1,6,28388,0.8317746520042419,0.0,0.7536653280258179,0.0,0,0.5135882496833801,0.6054345369338989
