k,success_pattern,count,ratio
1,BIxIB,27,0.108
1,IBxBI,33,0.132
1,IBxBI|BIxIB,30,0.12
1,IBxBI|IUxUI,8,0.032
1,IBxBI|IUxUI|BIxIB,36,0.144
1,IUxUI,13,0.052
1,IUxUI|BIxIB,16,0.064
1,None,87,0.348
3,BIxIB,15,0.06
3,IBxBI,18,0.072
3,IBxBI|BIxIB,40,0.16
3,IBxBI|IUxUI,12,0.048
3,IBxBI|IUxUI|BIxIB,117,0.468
3,IUxUI,9,0.036
3,IUxUI|BIxIB,13,0.052
3,None,26,0.104
5,BIxIB,13,0.052
5,IBxBI,5,0.02
5,IBxBI|BIxIB,26,0.104
5,IBxBI|IUxUI,9,0.036
5,IBxBI|IUxUI|BIxIB,175,0.7
5,IUxUI,4,0.016
5,IUxUI|BIxIB,11,0.044
5,None,7,0.028
