hit1_view,bundle_id,true_indice,true_option_char,best_other_rank,best_other_margin,worst_other_rank,candidate_indices,true_rank_IBxBI,ranking_IBxBI,prediction_IBxBI,true_rank_IUxUI,ranking_IUxUI,prediction_IUxUI,true_rank_BIxIB,ranking_BIxIB,prediction_BIxIB
IBxBI,15060,30993,G,8,7,8,"[46475, 44835, 21614, 13202, 10978, 13455, 30993, 21154, 23750, 2034]",1,"[""G"", ""H"", ""J"", ""C"", ""F"", ""I"", ""A"", ""D"", ""B"", ""E""]",G,8,"[""J"", ""H"", ""D"", ""A"", ""C"", ""F"", ""I"", ""G"", ""B"", ""E""]",J,8,"[""C"", ""H"", ""J"", ""I"", ""F"", ""A"", ""D"", ""G"", ""B"", ""E""]",C
IBxBI,7017,17236,I,7,6,8,"[33262, 36431, 36355, 1302, 3980, 44387, 7937, 46952, 17236, 30321]",1,"[""I"", ""C"", ""D"", ""H"", ""B"", ""E"", ""G"", ""F"", ""J"", ""A""]",I,8,"[""C"", ""J"", ""D"", ""H"", ""B"", ""E"", ""G"", ""I"", ""A"", ""F""]",C,7,"[""D"", ""B"", ""C"", ""J"", ""H"", ""E"", ""I"", ""G"", ""A"", ""F""]",D
IBxBI,7282,20851,G,6,5,9,"[7315, 42828, 18048, 44619, 10711, 15869, 20851, 40462, 6869, 6062]",1,"[""G"", ""J"", ""C"", ""A"", ""F"", ""H"", ""I"", ""B"", ""D"", ""E""]",G,9,"[""J"", ""D"", ""C"", ""I"", ""B"", ""A"", ""E"", ""H"", ""G"", ""F""]",J,6,"[""C"", ""B"", ""I"", ""E"", ""H"", ""G"", ""A"", ""F"", ""D"", ""J""]",C
IBxBI,18951,43920,A,5,4,5,"[43920, 44630, 42150, 39691, 23389, 15546, 6485, 37610, 45761, 1671]",1,"[""A"", ""J"", ""G"", ""C"", ""E"", ""B"", ""H"", ""D"", ""I"", ""F""]",A,5,"[""C"", ""J"", ""B"", ""G"", ""A"", ""E"", ""D"", ""H"", ""I"", ""F""]",C,5,"[""J"", ""G"", ""C"", ""E"", ""A"", ""B"", ""D"", ""H"", ""I"", ""F""]",J
IBxBI,16123,10378,J,4,3,5,"[36814, 3872, 29046, 44385, 47551, 5430, 14613, 46301, 29108, 10378]",1,"[""J"", ""E"", ""C"", ""I"", ""A"", ""H"", ""B"", ""G"", ""F"", ""D""]",J,4,"[""C"", ""E"", ""A"", ""J"", ""I"", ""H"", ""B"", ""F"", ""G"", ""D""]",C,5,"[""C"", ""E"", ""A"", ""I"", ""J"", ""H"", ""G"", ""F"", ""B"", ""D""]",C
IUxUI,16824,27240,B,4,3,6,"[20980, 27240, 42702, 155, 11829, 30469, 43475, 23209, 8661, 13435]",4,"[""D"", ""H"", ""I"", ""B"", ""A"", ""F"", ""C"", ""E"", ""J"", ""G""]",D,1,"[""B"", ""D"", ""H"", ""F"", ""A"", ""I"", ""C"", ""E"", ""G"", ""J""]",B,6,"[""D"", ""H"", ""I"", ""F"", ""C"", ""B"", ""A"", ""E"", ""G"", ""J""]",D
IUxUI,7120,41466,B,4,3,5,"[16968, 41466, 7974, 35028, 15010, 25717, 29292, 22316, 26641, 7673]",5,"[""E"", ""A"", ""G"", ""J"", ""B"", ""C"", ""F"", ""I"", ""D"", ""H""]",E,1,"[""B"", ""E"", ""J"", ""A"", ""G"", ""C"", ""D"", ""H"", ""F"", ""I""]",B,4,"[""G"", ""E"", ""A"", ""B"", ""I"", ""J"", ""C"", ""F"", ""D"", ""H""]",G
IUxUI,14562,35875,J,3,2,7,"[2231, 2137, 30411, 15885, 19587, 9897, 1881, 31535, 35776, 35875]",7,"[""C"", ""I"", ""E"", ""A"", ""D"", ""F"", ""J"", ""H"", ""B"", ""G""]",C,1,"[""J"", ""F"", ""I"", ""H"", ""E"", ""C"", ""D"", ""A"", ""B"", ""G""]",J,3,"[""C"", ""E"", ""J"", ""D"", ""F"", ""A"", ""H"", ""I"", ""B"", ""G""]",C
IUxUI,2599,32252,G,3,2,5,"[42277, 26561, 394, 31230, 10223, 3884, 32252, 9045, 15290, 7194]",3,"[""E"", ""J"", ""G"", ""F"", ""I"", ""H"", ""C"", ""B"", ""A"", ""D""]",E,1,"[""G"", ""C"", ""F"", ""J"", ""B"", ""I"", ""A"", ""H"", ""E"", ""D""]",G,5,"[""E"", ""J"", ""C"", ""F"", ""G"", ""B"", ""A"", ""H"", ""I"", ""D""]",E
IUxUI,17869,43126,E,3,2,4,"[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]",3,"[""B"", ""F"", ""E"", ""A"", ""C"", ""D"", ""G"", ""I"", ""H"", ""J""]",B,1,"[""E"", ""F"", ""B"", ""A"", ""C"", ""I"", ""D"", ""G"", ""J"", ""H""]",E,4,"[""B"", ""A"", ""C"", ""E"", ""F"", ""G"", ""I"", ""D"", ""J"", ""H""]",B
BIxIB,11060,24796,A,5,4,5,"[24796, 32556, 19673, 8647, 39977, 6470, 48519, 39001, 31622, 41522]",5,"[""I"", ""C"", ""G"", ""H"", ""A"", ""F"", ""J"", ""B"", ""E"", ""D""]",I,5,"[""I"", ""G"", ""J"", ""H"", ""A"", ""C"", ""F"", ""B"", ""E"", ""D""]",I,1,"[""A"", ""H"", ""C"", ""J"", ""F"", ""B"", ""I"", ""E"", ""D"", ""G""]",A
BIxIB,13559,28733,F,4,3,6,"[4017, 34322, 27031, 25661, 25159, 28733, 11291, 8369, 40553, 40548]",4,"[""J"", ""B"", ""C"", ""F"", ""D"", ""A"", ""H"", ""G"", ""I"", ""E""]",J,6,"[""J"", ""C"", ""A"", ""H"", ""B"", ""F"", ""D"", ""E"", ""G"", ""I""]",J,1,"[""F"", ""B"", ""J"", ""C"", ""D"", ""A"", ""H"", ""E"", ""I"", ""G""]",F
BIxIB,15012,8748,E,4,3,5,"[2818, 17184, 21065, 41663, 8748, 12150, 27477, 1508, 26982, 26990]",5,"[""J"", ""C"", ""B"", ""F"", ""E"", ""A"", ""G"", ""H"", ""I"", ""D""]",J,4,"[""B"", ""F"", ""C"", ""E"", ""A"", ""J"", ""I"", ""G"", ""H"", ""D""]",B,1,"[""E"", ""C"", ""F"", ""B"", ""A"", ""J"", ""G"", ""I"", ""H"", ""D""]",E
