k,success_pattern,count,ratio
1,BIxIB,21,0.084
1,IBxBI,17,0.068
1,IBxBI|BIxIB,19,0.076
1,IBxBI|IUxUI,5,0.02
1,IBxBI|IUxUI|BIxIB,40,0.16
1,IUxUI,14,0.056
1,IUxUI|BIxIB,15,0.06
1,None,119,0.476
3,BIxIB,10,0.04
3,IBxBI,13,0.052
3,IBxBI|BIxIB,27,0.108
3,IBxBI|IUxUI,11,0.044
3,IBxBI|IUxUI|BIxIB,117,0.468
3,IUxUI,6,0.024
3,IUxUI|BIxIB,22,0.088
3,None,44,0.176
5,BIxIB,5,0.02
5,IBxBI,8,0.032
5,IBxBI|BIxIB,14,0.056
5,IBxBI|IUxUI,11,0.044
5,IBxBI|IUxUI|BIxIB,180,0.72
5,IUxUI,3,0.012
5,IUxUI|BIxIB,18,0.072
5,None,11,0.044
