row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_valid_input_embeddings,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option
0,560,96605,6,G,G,6,1,0,,5,5,10,1.000000238418579,0.11134280264377594,0.9999999403953552,-1.0,0.8886574506759644,2.980232238769531e-07,1,1,1,1.0,6,96605,1.000000238418579,1.000000238418579,1,1,1.0,0.11134283989667892,0.9999998807907104,1.1920928955078125e-07,1,1,1.0,0.11134571582078934,0.9999998807907104,1.1920928955078125e-07,1,1,0.11134322732686996,0.9999999403953552,-0.9999998807907104,"[38498, 121710, 50340, 194622, 197664, 231037, 96605, 154457, 52328, 176444]","[0.9999999403953552, -0.9979022741317749, 0.9999934434890747, 0.9999977946281433, 0.9999966025352478, -1.0, 1.000000238418579, -0.9999996423721313, 0.9999988079071045, -0.9999992847442627]"
1,6507,107053,5,F,C,2,0,0,,5,5,10,1.0,0.1119307428598404,1.0,-0.9999996423721313,0.8880692720413208,0.0,4,0,0,0.25,2,102241,1.0,1.0,1,1,1.0,0.1119307279586792,1.0,0.0,4,0,1.0,0.11193280667066574,1.0000001192092896,-1.1920928955078125e-07,4,0,0.1119316816329956,1.0,-0.9999997019767761,"[192994, 27855, 102241, 184703, 126040, 107053, 17294, 111858, 100712, 43726]","[-0.9999836087226868, 0.9999480247497559, 1.0, 1.0, 1.0, 1.0, -0.9999996423721313, -0.9999748468399048, -0.9926131963729858, 0.9999998807907104]"
2,12962,159560,3,D,D,3,1,0,,5,5,10,0.9999916553497314,-0.7776846289634705,0.9999945163726807,-0.9999991655349731,1.7776763439178467,-2.86102294921875e-06,2,0,1,0.5,9,108898,0.9999945163726807,0.9999916553497314,0,2,0.6000134348869324,-0.4666251540184021,0.6000152230262756,-1.7881393432617188e-06,2,0,0.9999999403953552,0.99989914894104,1.000000238418579,-2.980232238769531e-07,2,0,-0.7777035236358643,0.9999997615814209,-0.9999997615814209,"[10016, 218542, 198616, 159560, 84192, 113571, 12020, 39461, 15185, 108898]","[-0.9999939203262329, -0.9999942779541016, -0.9999958276748657, 0.9999916553497314, -0.9999991655349731, -0.9999209642410278, -0.9998711943626404, -0.9994637370109558, -0.9999173879623413, 0.9999945163726807]"
3,6085,134443,1,B,B,1,1,0,,5,5,10,0.9999996423721313,0.3333302438259125,1.0,-0.9999995231628418,0.6666693687438965,-3.5762786865234375e-07,5,0,0,0.2,0,78194,1.0,0.9999996423721313,0,5,0.6000000238418579,0.19999819993972778,0.6000001430511475,-1.1920928955078125e-07,4,0,0.9999999403953552,0.9999912977218628,1.0000001192092896,-1.7881393432617188e-07,4,0,0.33332890272140503,1.0,-0.9999999403953552,"[78194, 134443, 64649, 189684, 181776, 23750, 197260, 173765, 112483, 91501]","[1.0, 0.9999996423721313, -0.9999904632568359, 0.999965250492096, 0.9999997615814209, 0.9999997615814209, 0.9999997615814209, -0.9999995231628418, -0.9999890923500061, 0.9999866485595703]"
4,8542,121160,3,D,D,3,1,0,,5,5,10,0.9999999403953552,0.33333778381347656,0.9999955892562866,-0.999994158744812,0.6666621565818787,4.351139068603516e-06,1,1,1,1.0,3,121160,0.9999999403953552,0.9999999403953552,1,1,0.9999996423721313,0.333337664604187,0.9999953508377075,4.291534423828125e-06,1,1,0.9999999403953552,0.33334261178970337,0.9999982714653015,1.6689300537109375e-06,1,1,0.3333383798599243,0.999996542930603,-0.999995231628418,"[202064, 225961, 62971, 121160, 70155, 144698, 227393, 6474, 113524, 120980]","[0.999994695186615, 0.9999953508377075, 0.9999942779541016, 0.9999999403953552, -0.999994158744812, 0.9999654293060303, -0.9999590516090393, -0.9999451637268066, 0.9999955892562866, 0.999993085861206]"
5,17250,113233,6,G,G,6,1,0,,5,5,10,1.0,0.3333817720413208,1.0000001192092896,-0.9999982714653015,0.6666182279586792,-1.1920928955078125e-07,4,0,0,0.25,0,178614,1.0000001192092896,1.0,0,4,1.0,0.3333817422389984,1.0,0.0,2,0,1.000000238418579,0.33338260650634766,1.0000001192092896,1.1920928955078125e-07,1,1,0.3333815038204193,1.0,-0.9999980330467224,"[178614, 86566, 25370, 70315, 227531, 91652, 113233, 41056, 180560, 239161]","[1.0000001192092896, -0.9999964237213135, -0.9999982714653015, 0.9999997019767761, 0.9999884963035583, -0.9995505213737488, 1.0, 0.9999924898147583, 1.0000001192092896, 1.0000001192092896]"
6,8602,113522,9,J,A,0,0,0,,5,5,10,0.9999999403953552,-0.09950277954339981,1.0,-0.9999999403953552,1.099502682685852,-5.960464477539063e-08,2,0,1,0.5,0,222284,1.0,1.0,1,1,1.0,-0.09950274229049683,1.0,0.0,3,0,1.0000001192092896,-0.09949997067451477,1.0,1.1920928955078125e-07,1,1,-0.09951120615005493,1.0,-0.9999999403953552,"[222284, 172958, 189861, 32730, 97945, 93363, 67692, 9632, 174974, 113522]","[1.0, -0.9999845027923584, -0.8955956697463989, -0.999943733215332, -0.9999998211860657, 0.999998927116394, 0.9999998807907104, -0.9999999403953552, 0.9999998211860657, 0.9999999403953552]"
7,4689,53676,6,G,F,5,0,0,,5,5,10,1.0,0.11113863438367844,1.0000001192092896,-0.999998927116394,0.888861358165741,-1.1920928955078125e-07,3,0,1,0.3333333333333333,3,91773,1.0000001192092896,1.0,0,2,0.9999997019767761,0.11113861948251724,0.9999998211860657,-1.1920928955078125e-07,3,0,1.0000001192092896,0.11114300787448883,1.000000238418579,-1.1920928955078125e-07,3,0,0.11113835871219635,1.0,-0.9999986290931702,"[67858, 199956, 26761, 91773, 106575, 123764, 53676, 133765, 213649, 211905]","[-0.9999986886978149, 0.9999995231628418, -0.9999911189079285, 1.0000001192092896, -0.999998927116394, 1.0, 1.0, -0.9997631907463074, 1.0, 1.0]"
8,1274,115639,4,E,E,4,1,0,,5,5,10,0.9999921321868896,-0.11110248416662216,0.9999948740005493,-0.9999964237213135,1.11109459400177,-2.7418136596679688e-06,4,0,0,0.25,5,38493,0.9999948740005493,0.9999921321868896,0,4,0.6000148057937622,-0.06666365265846252,0.6000164151191711,-1.6093254089355469e-06,4,0,1.0,0.9999595284461975,1.0000001192092896,-1.1920928955078125e-07,2,0,-0.11110576242208481,1.0,-1.0,"[47985, 201459, 153771, 224079, 115639, 38493, 193494, 53396, 149618, 70797]","[-0.9999461770057678, -0.9999749660491943, -0.9999918937683105, 0.9999922513961792, 0.9999921321868896, 0.9999948740005493, -0.9999964237213135, 0.9999908208847046, -0.9999838471412659, 0.9999930262565613]"
9,15323,17960,7,H,H,7,1,0,,5,5,10,0.9999999403953552,0.11140140146017075,1.0,-1.0000001192092896,0.8885985612869263,-5.960464477539063e-08,2,0,1,0.5,0,67592,1.0,0.9999999403953552,0,2,0.9999998807907104,0.11140140146017075,1.0,-1.1920928955078125e-07,2,0,1.0,0.11140378564596176,1.0,0.0,2,0,0.11140178143978119,0.9999998211860657,-0.9999998807907104,"[67592, 22051, 61595, 244708, 208084, 7872, 228990, 17960, 152376, 216182]","[1.0, 0.9999998807907104, 0.9999995827674866, -0.9973956346511841, -0.9999990463256836, -1.0000001192092896, 0.9999961853027344, 0.9999999403953552, -0.9999858140945435, 0.999997615814209]"
10,9097,185453,0,A,A,0,1,0,,5,5,10,0.9999999403953552,0.11127781867980957,1.0000001192092896,-0.9999998807907104,0.8887221217155457,-1.7881393432617188e-07,3,0,1,0.3333333333333333,8,127835,1.0000001192092896,0.9999999403953552,0,3,0.9999996423721313,0.11127778142690659,0.9999998211860657,-1.7881393432617188e-07,2,0,1.0000001192092896,0.11128810048103333,1.0000001192092896,0.0,1,1,0.11127349734306335,1.0,-1.0,"[185453, 220043, 232894, 57785, 143293, 221816, 210132, 50876, 127835, 31530]","[0.9999999403953552, 0.9999999403953552, -0.9987276792526245, -0.9998001456260681, 1.0, 0.999997615814209, -0.9999998807907104, 0.9999998211860657, 1.0000001192092896, -0.999969482421875]"
11,7296,11329,3,D,C,2,0,0,,5,5,10,0.9999823570251465,0.3333330452442169,0.9999868273735046,-0.999983549118042,0.666649341583252,-4.470348358154297e-06,2,0,1,0.5,4,107854,0.9999868273735046,0.9999794363975525,0,5,0.20000803470611572,0.0666704773902893,0.20000891387462616,-8.791685104370117e-07,2,0,1.0,0.9999983906745911,1.0000001192092896,-1.1920928955078125e-07,3,0,0.33333560824394226,1.0,-0.9999998807907104,"[149465, 146395, 19584, 11329, 107854, 2681, 111824, 212802, 18853, 194910]","[-0.999983549118042, 0.9999817609786987, 0.9999794363975525, 0.9999823570251465, 0.9999868273735046, 0.9999735951423645, -0.9999798536300659, 0.9999786615371704, -0.9999215006828308, 0.9999820590019226]"
12,5458,169144,8,I,I,8,1,0,,5,5,10,0.9999698400497437,0.11100500077009201,0.99993497133255,-0.9999510049819946,0.888964831829071,3.4868717193603516e-05,1,1,1,1.0,8,169144,0.9999698400497437,0.9999698400497437,1,1,0.5998212099075317,0.06658519804477692,0.5998004078865051,2.0802021026611328e-05,1,1,0.9999812245368958,0.9999626874923706,0.9999996423721313,-1.8417835235595703e-05,4,0,0.11091910302639008,0.9999933242797852,-0.9999976754188538,"[168415, 181604, 164085, 133622, 231981, 79816, 59721, 177727, 169144, 57392]","[-0.9999322891235352, 0.99993497133255, 0.9997668266296387, 0.9997457265853882, -0.9999262094497681, 0.9994527697563171, 0.9998934268951416, -0.9999510049819946, 0.9999698400497437, -0.9999393224716187]"
