row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_valid_input_embeddings,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option
0,6641,43996,6,G,G,6.0,1,0,,5,5,10,-0.6401916742324829,0.07976816594600677,0.9445002675056458,-0.901637077331543,-0.7199598550796509,-1.5846920013427734,7,0,0,0.14285714285714285,1,126439,0.9445002675056458,-0.6401916742324829,0.0,7.0,-0.5091865062713623,0.06344489753246307,0.7512232065200806,-1.2604097127914429,7,0,0.4554850161075592,0.3588811457157135,0.9771586060523987,-0.5216735601425171,6,0,-0.21733058989048004,0.8291263580322266,-0.9365169405937195,"[2741, 126439, 110165, 122215, 15695, 167399, 43996, 135810, 97823, 53968]","[-0.6685829162597656, 0.9445002675056458, 0.7010781764984131, 0.516552209854126, 0.6399211883544922, -0.901637077331543, -0.6401916742324829, -0.0703420490026474, -0.6926519274711609, 0.2490757405757904]"
1,6753,212590,6,G,G,6.0,1,0,,5,5,10,0.5967928171157837,0.21324419975280762,0.6460286974906921,-0.48195797204971313,0.3835486173629761,-0.04923588037490845,3,0,1,0.3333333333333333,1,53102,0.6460286974906921,0.5967928171157837,0.0,3.0,0.3903818726539612,0.1394900679588318,0.42258867621421814,-0.03220680356025696,3,0,0.6875340342521667,0.6234098076820374,0.9427900910377502,-0.2552560567855835,5,0,0.09836398810148239,0.5655142068862915,-0.6445950865745544,"[153849, 53102, 194082, 6214, 20886, 121264, 212590, 149258, 139949, 6154]","[0.45112285017967224, 0.6460286974906921, -0.34107714891433716, 0.5512953996658325, 0.6013765931129456, -0.48195797204971313, 0.5967928171157837, 0.189088836312294, 0.3793755769729614, -0.07605491578578949]"
2,11971,212698,0,A,A,0.0,1,0,,4,4,10,0.9801754951477051,0.11459250003099442,0.8972753882408142,-0.8448585867881775,0.8655830025672913,0.08290010690689087,1,1,1,1.0,0,212698,0.9801754951477051,0.9801754951477051,1.0,1.0,0.9744420051574707,0.11392225325107574,0.8920269012451172,0.08241510391235352,1,1,0.9835785627365112,0.16525109112262726,0.9297152757644653,0.0538632869720459,1,1,0.11119630932807922,0.9090834856033325,-0.7467384934425354,"[212698, 71119, 153134, 194731, 54054, 153032, 10633, 165780, 209073, 10945]","[0.9801754951477051, 0.7674137353897095, -0.8448585867881775, -0.3481423854827881, 0.8182564973831177, 0.40295594930648804, 0.11772520840167999, -0.34835851192474365, 0.8972753882408142, -0.4309346079826355]"
3,3179,158934,0,A,A,0.0,1,0,,5,5,10,0.9439443945884705,0.17983478307724,0.9009555578231812,-0.7021299600601196,0.7641096115112305,0.04298883676528931,1,1,1,1.0,0,158934,0.9439443945884705,0.9439443945884705,1.0,1.0,0.5442681908607483,0.10369081795215607,0.5194812417030334,0.024786949157714844,1,1,0.9803112149238586,0.6699779033660889,0.998029351234436,-0.017718136310577393,2,0,0.1849353015422821,0.9795048236846924,-0.8062143325805664,"[158934, 80690, 101833, 97916, 22241, 195311, 29124, 30323, 30381, 109282]","[0.9439443945884705, -0.6956766843795776, -0.5137799978256226, 0.8887674808502197, -0.7021299600601196, 0.18038323521614075, 0.13311031460762024, 0.6740443110466003, 0.7528387904167175, 0.9009555578231812]"
4,10486,46669,1,B,B,1.0,1,0,,5,5,10,0.9469945430755615,0.16965574026107788,0.8910119533538818,-0.8732683658599854,0.7773388028144836,0.05598258972167969,1,1,1,1.0,1,46669,0.9469945430755615,0.9469945430755615,1.0,1.0,0.7131890654563904,0.12776906788349152,0.671028196811676,0.042160868644714355,1,1,0.9819896221160889,0.5174524784088135,0.9645087718963623,0.017480850219726562,1,1,0.22631067037582397,0.9561312794685364,-0.9405515193939209,"[127398, 46669, 175148, 57340, 186641, 135309, 99632, 67592, 184885, 139393]","[0.14361342787742615, 0.9469945430755615, -0.2865050435066223, -0.7847107648849487, -0.8732683658599854, 0.2207525372505188, 0.5530656576156616, 0.8910119533538818, 0.8104000091552734, 0.8525422811508179]"
5,6673,113141,2,C,C,2.0,1,0,,5,5,10,0.9994481801986694,0.24394041299819946,0.9549694657325745,-0.9172188639640808,0.75550776720047,0.04447871446609497,1,1,1,1.0,2,113141,0.9994481801986694,0.9994481801986694,1.0,1.0,0.9974315762519836,0.24344822764396667,0.9530426263809204,0.04438894987106323,1,1,0.9986605048179626,0.26809319853782654,0.9684184789657593,0.03024202585220337,1,1,0.24316562712192535,0.96380615234375,-0.9156739711761475,"[166254, 171537, 113141, 144850, 160660, 209499, 166876, 99090, 35428, 88383]","[0.8811371922492981, 0.24957337975502014, 0.9994481801986694, 0.656278669834137, -0.8909039497375488, 0.024565070867538452, -0.9172188639640808, 0.6913695931434631, 0.9549694657325745, 0.5456932187080383]"
6,4815,211509,1,B,B,1.0,1,0,,5,5,10,0.9440581798553467,-0.1537661999464035,0.7160411477088928,-0.7452367544174194,1.0978243350982666,0.22801703214645386,1,1,1,1.0,1,211509,0.9440581798553467,0.9440581798553467,1.0,1.0,0.7521907687187195,-0.12251526862382889,0.5705152750015259,0.1816754937171936,1,1,0.9999144673347473,0.13708806037902832,0.7290096282958984,0.2709048390388489,1,1,-0.170131117105484,0.7010505199432373,-0.7484201192855835,"[149639, 211509, 51354, 187500, 74256, 142068, 163521, 193779, 86799, 187436]","[-0.7452367544174194, 0.9440581798553467, -0.7191309928894043, 0.7008093595504761, -0.7034785747528076, 0.7160411477088928, -0.2362310290336609, -0.7269290685653687, 0.5096489787101746, -0.1793888509273529]"
7,5647,19773,5,F,F,5.0,1,0,,5,5,10,0.4551187753677368,-0.4510607123374939,0.6595519781112671,-0.9307796955108643,0.9061794877052307,-0.20443320274353027,2,0,1,0.5,7,44756,0.6595519781112671,0.4551187753677368,0.0,2.0,0.35618287324905396,-0.3530069589614868,0.5161754488945007,-0.15999257564544678,2,0,0.685691237449646,-0.08923161029815674,0.7059144973754883,-0.020223259925842285,2,0,-0.2259162813425064,0.5107082724571228,-0.6434944868087769,"[198556, 109962, 118245, 174269, 135587, 19773, 57733, 44756, 8952, 33857]","[-0.5659154057502747, 0.12272754311561584, -0.7470136880874634, -0.04592173546552658, -0.9307796955108643, 0.4551187753677368, -0.9061346054077148, 0.6595519781112671, -0.8181112408638, -0.8279497623443604]"
8,9840,175839,9,J,J,9.0,1,0,,5,5,10,0.9688382744789124,0.13388009369373322,0.9371961355209351,-0.8374897241592407,0.8349581956863403,0.031642138957977295,1,1,1,1.0,9,175839,0.9688382744789124,0.9688382744789124,1.0,1.0,0.9434248208999634,0.13036835193634033,0.9126127362251282,0.030812084674835205,1,1,0.9905794262886047,0.24315166473388672,0.9599537253379822,0.03062570095062256,1,1,0.10169568657875061,0.9298199415206909,-0.880888044834137,"[28554, 88842, 45668, 121845, 135527, 93639, 30440, 65336, 84982, 175839]","[-0.35126712918281555, -0.17894846200942993, 0.9088909029960632, -0.548396646976471, 0.6473644375801086, 0.8769361972808838, -0.24936465919017792, 0.9371961355209351, -0.8374897241592407, 0.9688382744789124]"
9,7963,60048,0,A,A,0.0,1,0,,5,5,10,0.8889981508255005,0.04828638583421707,0.7464359402656555,-0.8078545331954956,0.840711772441864,0.14256221055984497,1,1,1,1.0,0,60048,0.8889981508255005,0.8889981508255005,1.0,1.0,0.8011305928230286,0.043513793498277664,0.6726590394973755,0.12847155332565308,1,1,0.9443914890289307,0.29685133695602417,0.9491564035415649,-0.004764914512634277,2,0,0.06635512411594391,0.8266152143478394,-0.8136943578720093,"[60048, 187697, 85341, 133768, 50491, 12120, 195773, 50310, 168906, 30524]","[0.8889981508255005, 0.17265117168426514, -0.8078545331954956, -0.7686321139335632, 0.22882212698459625, -0.6079428195953369, 0.7446479797363281, 0.7464359402656555, 0.30963802337646484, 0.4168117046356201]"
