dataset,feature,split,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_sim_mean,input_neg_sim_mean,input_neg_sim_max_mean,input_gt_margin_vs_neg_mean_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean,pairmean_gt_top1_rate,pairmean_gt_rank_mean,pairmean_gt_margin_vs_best_neg_mean,pairmax_gt_top1_rate,pairmax_gt_rank_mean,pairmax_gt_margin_vs_best_neg_mean,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean
pog,item_cf,all,250,0.328,0.076,0.332,0.2922095238095238,5.252,0.008640549257397651,0.0009867997927358375,0.20148683555424213,0.007653749568387866,-0.1928462857604027,0.088,5.196,0.076,5.252,-0.16320357927680015,0.088,5.304,-0.17712033545970918,8.276494930032641e-05,0.21497231762111188
pog,item_cf,llm_hit,82,1.0,0.06097560975609756,0.4024390243902439,0.30287456445993033,4.951219512195122,0.022554459141158476,0.0008994883729184683,0.20825584986951293,0.02165497135280109,-0.18570139072835445,0.06097560975609756,4.951219512195122,0.06097560975609756,4.951219512195122,-0.15272552211110185,0.0975609756097561,5.024390243902439,-0.15923981077787353,-0.00023647973799464724,0.20762766879506228
pog,item_cf,llm_miss,168,0.0,0.08333333333333333,0.2976190476190476,0.2870039682539683,5.398809523809524,0.0018492360998477256,0.0010294160809800296,0.19818291190035997,0.000819819887900459,-0.19633367500223575,0.10119047619047619,5.315476190476191,0.08333333333333333,5.398809523809524,-0.1683178690838672,0.08333333333333333,5.440476190476191,-0.18584773441155752,0.0002385867609562064,0.21855720573858844
pog_dense,item_cf,all,250,0.336,0.152,0.348,0.32404285714285713,5.692,-0.014106845751404763,0.07118251281627454,0.5182914126217365,-0.0852893608212471,-0.5323982593119144,0.148,5.816,0.152,5.692,-0.42642097583413124,0.108,6.1,-0.4961689068078995,0.11255460752546788,0.7126995544433594
pog_dense,item_cf,llm_hit,84,1.0,0.21428571428571427,0.38095238095238093,0.3632180650037793,5.75,-0.0020328801834867114,0.1296929469508108,0.5965720510908535,-0.13172583432779425,-0.5986049333143801,0.21428571428571427,5.75,0.21428571428571427,5.75,-0.4900072416113246,0.11904761904761904,6.535714285714286,-0.5799859489003817,0.008824930215875307,0.7214020217458407
pog_dense,item_cf,llm_miss,166,0.0,0.12048192771084337,0.3313253012048193,0.30421925798431826,5.662650602409639,-0.020216563267700643,0.04157482325422005,0.4786795232759183,-0.06179138627576541,-0.49889608692512455,0.1144578313253012,5.849397590361446,0.12048192771084337,5.662650602409639,-0.394244793151696,0.10240963855421686,5.879518072289157,-0.4537554638213422,0.16504432375441833,0.7082958962902965
spotify,item_cf,all,250,0.82,0.204,0.44,0.3895698412698413,4.652,0.07026889748498798,0.0096835659372191,0.2028761579245329,0.06058533187024295,-0.13260726113617421,0.196,4.76,0.204,4.652,-0.05983818193897605,0.256,4.436,-0.0689576611816883,0.0017484256918542088,0.18970389011502267
spotify,item_cf,llm_hit,205,1.0,0.21951219512195122,0.45365853658536587,0.4032539682539683,4.560975609756097,0.08062485278833931,0.009853379526776269,0.2045608597194276,0.07077147364389243,-0.12393600746262365,0.21951219512195122,4.560975609756097,0.21951219512195122,4.560975609756097,-0.055967474338121534,0.2780487804878049,4.185365853658537,-0.05609697165285669,0.002223874788118027,0.1903115484045773
spotify,item_cf,llm_miss,45,0.0,0.13333333333333333,0.37777777777777777,0.32723104056437385,5.066666666666666,0.02309176776972082,0.008909970695903111,0.1952014053033458,0.014181797123617597,-0.17210963898234896,0.08888888888888889,5.666666666666667,0.13333333333333333,5.066666666666666,-0.07747140545397997,0.15555555555555556,5.5777777777777775,-0.12754524681303236,-0.00041750908001429504,0.1869356690181626
spotify_sparse,item_cf,all,250,0.82,0.204,0.416,0.39117936507936507,4.504,0.08146899269521236,0.011008351463126018,0.20033547501266002,0.07046064133197069,-0.11886648266017437,0.20647773279352227,4.502024291497976,0.204,4.504,-0.05548337246477604,0.284,4.384,-0.06742623788118363,0.00408524392801337,0.19190158613026143
spotify_sparse,item_cf,llm_hit,205,1.0,0.2146341463414634,0.43902439024390244,0.4047406116918313,4.385365853658537,0.09161795935616261,0.010841680152580233,0.19744484682635563,0.08077627921976695,-0.10582688761557021,0.2146341463414634,4.385365853658537,0.2146341463414634,4.385365853658537,-0.049197638071164854,0.3121951219512195,4.2439024390243905,-0.05683974794498304,0.0031115593831622748,0.18988126794376026
spotify_sparse,item_cf,llm_miss,45,0.0,0.15555555555555556,0.3111111111111111,0.32940035273368606,5.044444444444444,0.03523481123977237,0.011767631877834599,0.2135038923058245,0.023467179843121105,-0.17826908230781555,0.16666666666666666,5.071428571428571,0.15555555555555556,5.044444444444444,-0.08411838470233811,0.15555555555555556,5.022222222222222,-0.11565358092387518,0.008520917965668357,0.2011052578687668
pog,bi_lgcn,all,250,0.328,0.184,0.408,0.37768888888888885,4.764,0.0957861322015524,-0.003995532661676407,0.26232686306536196,0.09978166467696428,-0.16654073086380958,0.144,5.124,0.184,4.764,-0.1423845914900303,0.196,4.708,-0.15553036017715932,-8.237876603379846e-05,0.25568915509432555
pog,bi_lgcn,llm_hit,82,1.0,0.2073170731707317,0.4024390243902439,0.3906068524970964,4.7439024390243905,0.08048633844932405,-0.004653398041249957,0.2509837593519833,0.08513973623786758,-0.170497421856697,0.2073170731707317,4.7439024390243905,0.2073170731707317,4.7439024390243905,-0.1445102838390484,0.1951219512195122,4.7926829268292686,-0.16103642888185454,-0.00227656683078172,0.2508198220918818
pog,bi_lgcn,llm_miss,168,0.0,0.17261904761904762,0.4107142857142857,0.37138369236583524,4.773809523809524,0.10325388867585432,-0.003674431702598841,0.2678633779730825,0.10692832022461862,-0.16460948883156692,0.1130952380952381,5.309523809523809,0.17261904761904762,4.773809523809524,-0.14134705117681906,0.19642857142857142,4.666666666666667,-0.15284287426177234,0.000988593979855068,0.2580658533455183
pog_dense,bi_lgcn,all,250,0.336,0.368,0.676,0.5613571428571429,3.048,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,-0.24540646344423295,0.2,4.528,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633
