row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_valid_input_embeddings,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option
0,722,24445,4,E,A,0,0,0,,1,1,10,-0.21379676461219788,0.09044502675533295,0.31182873249053955,-0.13252350687980652,-0.30424177646636963,-0.525625467300415,10,0,0,0.1,2,30288,0.31182873249053955,0.05072855204343796,0,6,-0.2137967348098755,0.09044503420591354,0.31182870268821716,-0.525625467300415,10,0,-0.2137967348098755,0.09044503420591354,0.31182870268821716,-0.525625467300415,10,0,0.07201308012008667,0.22275719046592712,-0.06751442700624466,"[43712, 10621, 30288, 19254, 24445, 47966, 27471, 34939, 39495, 35369]","[0.05072855204343796, 0.0035986341536045074, 0.31182873249053955, 0.27597326040267944, -0.21379676461219788, -0.00747329369187355, 0.12768656015396118, 0.05141693353652954, 0.13276943564414978, -0.13252350687980652]"
1,2266,10879,1,B,C,2,0,0,,2,2,10,0.12900306284427643,0.008364628069102764,0.20719048380851746,-0.12785224616527557,0.12063843756914139,-0.07818742096424103,3,0,1,0.3333333333333333,7,45823,0.20719048380851746,0.1876543164253235,0,2,0.09937110543251038,0.006443275138735771,0.1595989167690277,-0.060227811336517334,3,0,0.14325575530529022,0.09137867391109467,0.25103116035461426,-0.10777540504932404,4,0,0.006676705554127693,0.1867045909166336,-0.25935620069503784,"[1540, 10879, 26779, 21065, 9083, 5638, 19706, 45823, 28886, 17927]","[-0.12785224616527557, 0.12900306284427643, 0.1876543164253235, 0.030519628897309303, -0.08318581432104111, -0.048386357724666595, -0.10019202530384064, 0.20719048380851746, -0.06255322694778442, 0.0720868855714798]"
2,4809,22427,1,B,J,9,0,0,,1,1,10,0.21187138557434082,-0.03120814450085163,0.04199974238872528,-0.1902032196521759,0.2430795282125473,0.16987164318561554,1,1,1,1.0,1,22427,0.21187138557434082,-0.03688589483499527,0,7,0.21187138557434082,-0.03120814450085163,0.04199974238872528,0.16987164318561554,1,1,0.21187138557434082,-0.03120814450085163,0.04199974238872528,0.16987164318561554,1,1,-0.06066290661692619,0.0842883288860321,-0.17480556666851044,"[7616, 22427, 11817, 34717, 10820, 43661, 4193, 43180, 20045, 17053]","[-0.1902032196521759, 0.21187138557434082, 0.004535473883152008, 0.04199974238872528, -0.06870660930871964, -0.03991756588220596, -0.02140754461288452, 0.027999194338917732, 0.0017131417989730835, -0.03688589483499527]"
3,11737,39944,6,G,D,3,0,0,,1,1,10,-0.05518173426389694,-0.004319170955568552,0.26038920879364014,-0.12673711776733398,-0.05086256191134453,-0.3155709505081177,6,0,0,0.16666666666666666,8,15192,0.26038920879364014,0.04447050392627716,0,3,-0.055181726813316345,-0.004319167695939541,0.26038917899131775,-0.3155708909034729,6,0,-0.055181726813316345,-0.004319167695939541,0.26038917899131775,-0.3155708909034729,6,0,-0.06204675883054733,0.262823224067688,-0.38993874192237854,"[39915, 23668, 4207, 969, 17969, 8753, 39944, 4642, 15192, 45281]","[-0.05258127301931381, 0.11169862747192383, -0.027841631323099136, 0.04447050392627716, -0.08239729702472687, -0.1077883392572403, -0.05518173426389694, -0.05808521807193756, 0.26038920879364014, -0.12673711776733398]"
4,17869,43126,4,E,E,4,1,0,,1,1,10,0.14621132612228394,-0.007336616516113281,0.15561434626579285,-0.2118343710899353,0.15354794263839722,-0.009403020143508911,2,0,1,0.5,7,47662,0.15561434626579285,0.14621132612228394,0,2,0.14621132612228394,-0.007336616516113281,0.15561434626579285,-0.009403020143508911,2,0,0.14621132612228394,-0.007336616516113281,0.15561434626579285,-0.009403020143508911,2,0,0.029009725898504257,0.23765534162521362,-0.11498461663722992,"[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]","[-0.07286132872104645, 0.07612761855125427, -0.0890212208032608, 0.08567874878644943, 0.14621132612228394, -0.1715807020664215, 0.01823495328426361, 0.15561434626579285, 0.14361239969730377, -0.2118343710899353]"
5,12361,26154,0,A,B,1,0,0,,1,1,10,-0.14871488511562347,-0.021622514352202415,0.08999408781528473,-0.21366679668426514,-0.1270923763513565,-0.2387089729309082,9,0,0,0.1111111111111111,3,4960,0.08999408781528473,-0.010747075080871582,0,5,-0.1487148553133011,-0.021622516214847565,0.08999405801296234,-0.23870891332626343,9,0,-0.1487148553133011,-0.021622516214847565,0.08999405801296234,-0.23870891332626343,9,0,0.056354548782110214,0.19641682505607605,-0.12170331180095673,"[26154, 28539, 21189, 4960, 37285, 21853, 1654, 3688, 41202, 39433]","[-0.14871488511562347, -0.010747075080871582, 0.07957632839679718, 0.08999408781528473, 0.04258468747138977, -0.037882015109062195, -0.14282366633415222, -0.05184079706668854, 0.050202626734972, -0.21366679668426514]"
6,4551,32272,2,C,D,3,0,0,,2,2,10,0.03384881466627121,0.0074277701787650585,0.08584940433502197,-0.07758210599422455,0.026421044021844864,-0.05200058966875076,4,0,0,0.25,9,41367,0.08584940433502197,-0.04035405069589615,0,9,0.02341177500784397,0.00513746403157711,0.059378303587436676,-0.035966530442237854,4,0,0.03572392463684082,0.11809616535902023,0.2399417906999588,-0.20421786606311798,9,0,0.028093066066503525,0.2438773512840271,-0.20492076873779297,"[19155, 47719, 32272, 19995, 41106, 41550, 21652, 10778, 16170, 41367]","[0.008542254567146301, -0.07758210599422455, 0.03384881466627121, -0.04035405069589615, 0.003512755036354065, -0.011115871369838715, 0.059860385954380035, 0.05949116870760918, -0.021354006603360176, 0.08584940433502197]"
7,379,39127,8,I,C,2,0,0,,2,2,10,0.04050533473491669,-0.041306376457214355,0.12845779955387115,-0.1844494342803955,0.08181171119213104,-0.08795246481895447,4,0,0,0.25,4,36231,0.12845779955387115,-0.022278420627117157,0,6,0.031081531196832657,-0.03169624134898186,0.09857138991355896,-0.0674898624420166,4,0,0.03708681836724281,0.05888493359088898,0.19722194969654083,-0.16013513505458832,6,0,0.02361801266670227,0.23599649965763092,-0.26421329379081726,"[13334, 35153, 27939, 44, 36231, 12369, 38568, 25367, 39127, 15496]","[0.04274134337902069, 0.08555570244789124, -0.022278420627117157, -0.15041014552116394, 0.12845779955387115, -0.09893897920846939, -0.0010822145268321037, -0.1713530570268631, 0.04050533473491669, -0.1844494342803955]"
8,10076,11606,6,G,C,2,0,0,,2,2,10,0.12459447979927063,-0.00016303856682498008,0.2137061059474945,-0.14094644784927368,0.12475752085447311,-0.08911162614822388,2,0,1,0.5,2,26030,0.2137061059474945,0.2137061059474945,1,1,0.08384746313095093,-0.00010971642041113228,0.143816277384758,-0.05996881425380707,2,0,0.1042950376868248,0.07107798755168915,0.27020367980003357,-0.16590863466262817,4,0,-0.011389361694455147,0.22137662768363953,-0.2883226275444031,"[18780, 18870, 26030, 42036, 48201, 30559, 11606, 35534, 10506, 19327]","[-0.09366290271282196, 0.10183887928724289, 0.2137061059474945, -0.011891312897205353, -0.11173095554113388, 0.02766617387533188, 0.12459447979927063, 0.10941961407661438, -0.09586649388074875, -0.14094644784927368]"
9,14042,13907,1,B,B,1,1,0,,2,2,10,0.060659877955913544,-0.004188301507383585,0.24176999926567078,-0.1335267573595047,0.06484817713499069,-0.18111011385917664,3,0,1,0.3333333333333333,8,45516,0.24176999926567078,0.060659877955913544,0,3,0.04399649798870087,-0.0030377665534615517,0.17535537481307983,-0.13135887682437897,3,0,0.07698628306388855,0.05075451359152794,0.18416599929332733,-0.10717971622943878,4,0,-0.03004118800163269,0.2609281539916992,-0.3966829478740692,"[359, 13907, 18639, 5486, 9889, 12199, 47474, 43932, 45516, 19213]","[-0.09652332216501236, 0.060659877955913544, -0.03295016288757324, -0.08154547214508057, 0.004663629457354546, -0.1335267573595047, 0.05470995977520943, 0.07030460983514786, 0.24176999926567078, -0.06459719687700272]"
