row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_valid_input_embeddings,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option
0,9388,27985,9,J,H,7,0,0,,2,2,10,-0.23855727910995483,0.21767884492874146,0.26612699031829834,0.14060257375240326,-0.4562361240386963,-0.5046842694282532,10,0,0,0.1,7,30353,0.26612699031829834,0.26612699031829834,1,1,-0.07514306902885437,0.06856661289930344,0.08382728695869446,-0.15897035598754883,10,0,0.8247301578521729,0.8586215972900391,0.9844202995300293,-0.15969014167785645,8,0,-0.8634232878684998,-0.4538016617298126,-0.9871246218681335,"[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]","[0.24288153648376465, 0.2007524073123932, 0.2600848972797394, 0.1716926097869873, 0.24434547126293182, 0.14060257375240326, 0.25620365142822266, 0.26612699031829834, 0.1764194667339325, -0.23855727910995483]"
1,21401,6491,7,H,D,3,0,0,,2,2,10,0.14693981409072876,0.17834913730621338,0.270467072725296,0.08612652868032455,-0.03140932321548462,-0.12352725863456726,7,0,0,0.14285714285714285,5,6154,0.270467072725296,0.1716989278793335,0,5,0.047658771276474,0.05784604325890541,0.0877237319946289,-0.04006496071815491,7,0,0.9468214511871338,0.8201353549957275,0.9533548951148987,-0.006533443927764893,2,0,0.8046504259109497,0.993827223777771,-0.11617092788219452,"[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]","[0.1535940319299698, 0.08726389706134796, 0.26438039541244507, 0.1716989278793335, 0.12926548719406128, 0.270467072725296, 0.25794556736946106, 0.14693981409072876, 0.1844002902507782, 0.08612652868032455]"
2,11208,12800,3,D,J,9,0,0,,2,2,10,0.3021945059299469,0.07069991528987885,0.3311195373535156,-0.3077832758426666,0.23149459064006805,-0.028925031423568726,3,0,1,0.3333333333333333,6,9552,0.3311195373535156,0.3100200891494751,0,2,0.1058742105960846,0.024769794195890427,0.11600813269615173,-0.010133922100067139,3,0,0.9651933312416077,0.761084258556366,0.9693419337272644,-0.004148602485656738,3,0,0.22933441400527954,0.9930346012115479,-0.9827041029930115,"[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]","[-0.28766772150993347, 0.2926519811153412, -0.3077832758426666, 0.3021945059299469, 0.22277745604515076, 0.29882320761680603, 0.3311195373535156, -0.013134829699993134, -0.21050724387168884, 0.3100200891494751]"
3,14200,16886,7,H,H,7,1,0,,2,2,10,-0.07864564657211304,0.10674849897623062,0.22510451078414917,-0.09528793394565582,-0.18539413809776306,-0.3037501573562622,9,0,0,0.1111111111111111,1,31039,0.22510451078414917,-0.07864564657211304,0,9,-0.010819189250469208,0.014685271307826042,0.030967354774475098,-0.041786544024944305,9,0,0.13547907769680023,0.7638059258460999,0.9895150065422058,-0.8540359139442444,10,0,-0.1508391797542572,-0.005928337574005127,-0.2283441126346588,"[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]","[0.11984734237194061, 0.22510451078414917, 0.08782576769590378, 0.10274851322174072, 0.1875259131193161, 0.15471439063549042, 0.06323200464248657, -0.07864564657211304, 0.11502595245838165, -0.09528793394565582]"
4,23312,27238,2,C,J,9,0,0,,2,2,10,-0.36563777923583984,-0.3315465748310089,-0.16889040172100067,-0.48623761534690857,-0.03409120440483093,-0.19674737751483917,6,0,0,0.16666666666666666,0,9229,-0.16889040172100067,-0.30179888010025024,0,3,-0.17202916741371155,-0.1559896171092987,-0.07946141064167023,-0.09256775677204132,6,0,0.6186721920967102,0.567125141620636,0.6408554315567017,-0.022183239459991455,3,0,0.9081081748008728,0.9989201426506042,0.5747820138931274,"[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]","[-0.16889040172100067, -0.3689727783203125, -0.36563777923583984, -0.48623761534690857, -0.209964781999588, -0.3878151476383209, -0.3744119703769684, -0.34530600905418396, -0.3405216336250305, -0.30179888010025024]"
5,25705,17003,6,G,A,0,0,0,,2,2,10,-0.8284000158309937,-0.7102227210998535,0.9109511971473694,-0.9317730665206909,-0.11817729473114014,-1.7393512725830078,2,0,1,0.5,8,30629,0.9109511971473694,-0.9242880344390869,0,7,-0.789169192314148,-0.6765884757041931,0.8678110837936401,-1.656980276107788,2,0,-0.7282301187515259,-0.5956737995147705,0.9542348980903625,-1.6824650764465332,2,0,0.6539967060089111,0.8592584133148193,-0.8582133054733276,"[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]","[-0.9242880344390869, -0.9253630042076111, -0.8922249674797058, -0.8794542551040649, -0.9317730665206909, -0.9098661541938782, -0.8284000158309937, -0.9111875891685486, 0.9109511971473694, -0.9287986755371094]"
6,5022,23203,5,F,A,0,0,0,,2,2,10,0.17773020267486572,-0.156464621424675,0.33676451444625854,-0.41858524084091187,0.3341948390007019,-0.15903431177139282,3,0,1,0.3333333333333333,7,24302,0.33676451444625854,-0.1546994000673294,0,4,0.07421687245368958,-0.06533683091402054,0.14062684774398804,-0.06640997529029846,3,0,0.7436788082122803,0.6061745882034302,0.9186810255050659,-0.17500221729278564,3,0,-0.369717001914978,0.8577777743339539,-0.8554967641830444,"[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]","[-0.1546994000673294, -0.20586127042770386, -0.41858524084091187, -0.3012009561061859, 0.29675257205963135, 0.17773020267486572, -0.3166317045688629, 0.33676451444625854, -0.32241693139076233, -0.3223031461238861]"
7,19001,29328,7,H,J,9,0,0,,2,2,10,-0.6632009744644165,0.6263887882232666,0.8188824653625488,-0.041574373841285706,-1.289589762687683,-1.4820834398269653,10,0,0,0.1,4,6750,0.8188824653625488,0.7686763405799866,0,6,-0.5728519558906555,0.5410546660423279,0.7073246836662292,-1.2801766395568848,10,0,-0.49327969551086426,0.5792937874794006,0.7427594065666199,-1.236039161682129,10,0,-0.6301011443138123,-0.04922571778297424,-0.8246119022369385,"[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]","[0.39995625615119934, -0.041574373841285706, 0.7907975316047668, 0.8088675737380981, 0.8188824653625488, 0.5118057727813721, 0.7936643958091736, -0.6632009744644165, 0.7864229083061218, 0.7686763405799866]"
8,23312,17404,2,C,C,2,1,0,,2,2,10,0.38668370246887207,-0.3315465748310089,-0.16889040172100067,-0.48623761534690857,0.7182302474975586,0.5555741190910339,1,1,1,1.0,2,17404,0.38668370246887207,0.38668370246887207,1,1,0.18193110823631287,-0.1559896171092987,-0.07946141064167023,0.2613925337791443,1,1,0.9639493823051453,0.567125141620636,0.6408554315567017,0.3230939507484436,1,1,-0.9103231430053711,-0.5842721462249756,-0.9953048825263977,"[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]","[-0.16889040172100067, -0.3689727783203125, 0.38668370246887207, -0.48623761534690857, -0.209964781999588, -0.3878151476383209, -0.3744119703769684, -0.34530600905418396, -0.3405216336250305, -0.30179888010025024]"
9,23040,22455,4,E,F,5,0,0,,2,2,10,-0.36570867896080017,0.0577705055475235,0.43302053213119507,-0.4456064701080322,-0.42347919940948486,-0.7987291812896729,7,0,0,0.14285714285714285,1,7653,0.43302053213119507,-0.3939914405345917,0,9,-0.15638020634651184,0.02470318228006363,0.18516331911087036,-0.3415435254573822,7,0,0.614594578742981,0.6882266402244568,0.9837971925735474,-0.3692026138305664,6,0,-0.1710381805896759,0.952945351600647,-0.9611057639122009,"[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]","[0.20990175008773804, 0.43302053213119507, 0.40999865531921387, -0.0315774530172348, -0.36570867896080017, -0.3939914405345917, -0.4456064701080322, -0.3848217725753784, 0.3342897891998291, 0.3887210190296173]"
