row_idx,bundle_id,true_indice,true_option_idx,true_option_char,prediction,pred_option_idx,hit,skipped,skip_reason,num_input_items,num_valid_input_embeddings,num_candidates,input_gt_sim,input_neg_sim_mean,input_neg_sim_max,input_neg_sim_min,input_gt_margin_vs_neg_mean,input_gt_margin_vs_best_neg,input_gt_rank,input_gt_top1,input_gt_top3,input_gt_mrr,input_semantic_top_option_idx,input_semantic_top_item,input_semantic_top_sim,pred_input_sim,pred_is_input_semantic_top1,pred_input_rank,pairmean_input_gt_sim,pairmean_input_neg_sim_mean,pairmean_input_neg_sim_max,pairmean_input_gt_margin_vs_best_neg,pairmean_input_gt_rank,pairmean_input_gt_top1,pairmax_input_gt_sim,pairmax_input_neg_sim_mean,pairmax_input_neg_sim_max,pairmax_input_gt_margin_vs_best_neg,pairmax_input_gt_rank,pairmax_input_gt_top1,gt_to_distractor_sim_mean,gt_to_distractor_sim_max,gt_to_distractor_sim_min,candidate_ids,input_sims_by_option
0,6641,43996,6,G,G,6.0,1,0,,5,5,10,0.5219409465789795,0.1649133563041687,0.3774257004261017,-0.09536755084991455,0.3570275902748108,0.1445152461528778,1,1,1,1.0,6,43996,0.5219409465789795,0.5219409465789795,1.0,1.0,0.3205893039703369,0.10129394382238388,0.23182442784309387,0.08876487612724304,1,1,0.4669666886329651,0.24655717611312866,0.42715516686439514,0.039811521768569946,1,1,0.1554066687822342,0.38170957565307617,-0.08554227650165558,"[2741, 126439, 110165, 122215, 15695, 167399, 43996, 135810, 97823, 53968]","[0.19376736879348755, 0.13762441277503967, 0.3142949938774109, 0.3774257004261017, 0.0935181975364685, 0.15309369564056396, 0.5219409465789795, 0.3475200831890106, -0.09536755084991455, -0.037656817585229874]"
1,6753,212590,6,G,G,6.0,1,0,,5,5,10,-0.16776224970817566,-0.01552520040422678,0.1777481883764267,-0.14608967304229736,-0.15223704278469086,-0.34551042318344116,10,0,0,0.1,7,149258,0.1777481883764267,-0.16776224970817566,0.0,10.0,-0.06622563302516937,-0.0061287120915949345,0.070167675614357,-0.13639330863952637,10,0,0.11590009182691574,0.1646718829870224,0.3321446180343628,-0.21624451875686646,7,0,-0.04894362390041351,0.09449724107980728,-0.21543645858764648,"[153849, 53102, 194082, 6214, 20886, 121264, 212590, 149258, 139949, 6154]","[-0.09717701375484467, 0.0950707271695137, -0.1273316740989685, -0.11440897732973099, -0.14608967304229736, 0.006709299981594086, -0.16776224970817566, 0.1777481883764267, 0.010299336165189743, 0.05545296147465706]"
2,11971,212698,0,A,A,0.0,1,0,,4,4,10,-0.01395198330283165,0.011347447521984577,0.13995739817619324,-0.2283334583044052,-0.025299429893493652,-0.15390938520431519,7,0,0,0.14285714285714285,1,71119,0.13995739817619324,-0.01395198330283165,0.0,7.0,-0.009740253910422325,0.00792195275425911,0.09770797938108444,-0.10744823515415192,7,0,0.03058912418782711,0.1103179007768631,0.23370873928070068,-0.20311962068080902,8,0,-0.02440914884209633,0.07674087584018707,-0.1887848973274231,"[212698, 71119, 153134, 194731, 54054, 153032, 10633, 165780, 209073, 10945]","[-0.01395198330283165, 0.13995739817619324, -0.20881038904190063, -0.025600522756576538, 0.13065753877162933, 0.12916329503059387, 0.10553015768527985, -0.2283334583044052, -0.013078834861516953, 0.07264184951782227]"
3,3179,158934,0,A,A,0.0,1,0,,5,5,10,0.029435772448778152,0.029842892661690712,0.18383868038654327,-0.1909714937210083,-0.0004071202129125595,-0.15440291166305542,7,0,0,0.14285714285714285,9,109282,0.18383868038654327,0.029435772448778152,0.0,7.0,0.014386254362761974,0.014585207216441631,0.08984802663326263,-0.07546177506446838,7,0,0.16468487679958344,0.17191797494888306,0.30251917243003845,-0.13783429563045502,7,0,0.04557771608233452,0.16198104619979858,-0.056020379066467285,"[158934, 80690, 101833, 97916, 22241, 195311, 29124, 30323, 30381, 109282]","[0.029435772448778152, 0.1486346572637558, 0.06365803629159927, -0.06628500670194626, 0.08307784050703049, -0.10992489010095596, -0.1909714937210083, 0.05342428386211395, 0.10313393175601959, 0.18383868038654327]"
4,10486,46669,1,B,B,1.0,1,0,,5,5,10,0.06008824333548546,-0.0880839005112648,0.053252123296260834,-0.41770365834236145,0.14817214012145996,0.006836120039224625,1,1,1,1.0,1,46669,0.06008824333548546,0.06008824333548546,1.0,1.0,0.02676025964319706,-0.03922809660434723,0.023715782910585403,0.003044476732611656,1,1,0.15901993215084076,0.08219470083713531,0.20853586494922638,-0.04951593279838562,3,0,-0.09926966577768326,-0.0034793075174093246,-0.16898392140865326,"[127398, 46669, 175148, 57340, 186641, 135309, 99632, 67592, 184885, 139393]","[0.053252123296260834, 0.06008824333548546, -0.04601410776376724, -0.008937612175941467, -0.09141847491264343, 0.024408116936683655, -0.1795559674501419, -0.05448075756430626, -0.41770365834236145, -0.07230480760335922]"
5,6673,113141,2,C,C,2.0,1,0,,5,5,10,0.582078754901886,-0.10223215073347092,0.12980857491493225,-0.3243962526321411,0.6843109130859375,0.45227017998695374,1,1,1,1.0,2,113141,0.582078754901886,0.582078754901886,1.0,1.0,0.32498663663864136,-0.05707832798361778,0.07247482240200043,0.25251179933547974,1,1,0.6047641038894653,0.10782697796821594,0.22639687359333038,0.37836724519729614,1,1,-0.06893685460090637,0.05079921334981918,-0.24598310887813568,"[166254, 171537, 113141, 144850, 160660, 209499, 166876, 99090, 35428, 88383]","[0.11704546958208084, -0.3243962526321411, 0.582078754901886, 0.12980857491493225, -0.09955834597349167, -0.28293824195861816, -0.03176318109035492, -0.02490934729576111, -0.10070092231035233, -0.30267709493637085]"
6,4815,211509,1,B,B,1.0,1,0,,5,5,10,0.12315531075000763,0.002277814783155918,0.15445145964622498,-0.11278387904167175,0.12087749689817429,-0.031296148896217346,3,0,1,0.3333333333333333,4,74256,0.15445145964622498,0.12315531075000763,0.0,3.0,0.06445001065731049,0.001192030031234026,0.08082801848649979,-0.0163780078291893,3,0,0.3300091028213501,0.15077638626098633,0.2889390289783478,0.04107007384300232,1,1,0.007618457078933716,0.24164512753486633,-0.20362243056297302,"[149639, 211509, 51354, 187500, 74256, 142068, 163521, 193779, 86799, 187436]","[-0.11278387904167175, 0.12315531075000763, 0.02602607011795044, 0.0062587670981884, 0.15445145964622498, 0.1245177611708641, -0.029184363782405853, -0.10477297008037567, 0.016739048063755035, -0.06075156480073929]"
7,5647,19773,5,F,F,5.0,1,0,,5,5,10,0.08309797197580338,-0.06640912592411041,0.1822073608636856,-0.25858572125434875,0.14950710535049438,-0.09910938888788223,2,0,1,0.5,2,118245,0.1822073608636856,0.08309797197580338,0.0,2.0,0.037531331181526184,-0.029993779957294464,0.08229423314332962,-0.044762901961803436,2,0,0.28175368905067444,0.08721094578504562,0.21344749629497528,0.06830619275569916,1,1,0.037665970623493195,0.19836366176605225,-0.1935388594865799,"[198556, 109962, 118245, 174269, 135587, 19773, 57733, 44756, 8952, 33857]","[-0.05929365009069443, 0.0062925368547439575, 0.1822073608636856, -0.03193672001361847, -0.19230759143829346, 0.08309797197580338, 0.03778929263353348, -0.25325652956962585, -0.028591137379407883, -0.25858572125434875]"
8,9840,175839,9,J,J,9.0,1,0,,5,5,10,0.22170251607894897,-0.04068973287940025,0.24189172685146332,-0.23419639468193054,0.2623922526836395,-0.020189210772514343,2,0,1,0.5,8,84982,0.24189172685146332,0.22170251607894897,0.0,2.0,0.10088364779949188,-0.01851547695696354,0.11007056385278702,-0.009186916053295135,2,0,0.2655973434448242,0.13357791304588318,0.21520331501960754,0.050394028425216675,1,1,-0.14440444111824036,0.05735516548156738,-0.3316798210144043,"[28554, 88842, 45668, 121845, 135527, 93639, 30440, 65336, 84982, 175839]","[0.057299911975860596, -0.16391867399215698, -0.014359161257743835, -0.05137835443019867, -0.17496013641357422, 0.043321460485458374, -0.06990797817707062, -0.23419639468193054, 0.24189172685146332, 0.22170251607894897]"
9,7963,60048,0,A,A,0.0,1,0,,5,5,10,-0.18297746777534485,-0.007360104937106371,0.19749698042869568,-0.22700682282447815,-0.17561736702919006,-0.3804744482040405,9,0,0,0.1111111111111111,3,133768,0.19749698042869568,-0.18297746777534485,0.0,9.0,-0.08355417102575302,-0.003360890783369541,0.09018432348966599,-0.173738494515419,9,0,0.033219918608665466,0.12240950018167496,0.3126872777938843,-0.2794673442840576,9,0,0.02094104327261448,0.22203482687473297,-0.1935117542743683,"[60048, 187697, 85341, 133768, 50491, 12120, 195773, 50310, 168906, 30524]","[-0.18297746777534485, 0.058238230645656586, -0.22700682282447815, 0.19749698042869568, -0.124688521027565, -0.03423251211643219, 0.1408238708972931, -0.019939038902521133, 0.049583032727241516, -0.10651617497205734]"
