split_setting,method,dataset,input_count,n,hit,accuracy,source_file
old,base,pog,overall,250,82,0.328,results\pog\results_pog_20260416_142034.csv
old,base,pog,1,115,33,0.28695652173913044,results\pog\results_pog_20260416_142034.csv
old,base,pog,2,135,49,0.362962962962963,results\pog\results_pog_20260416_142034.csv
old,base,pog_dense,overall,250,84,0.336,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv
old,base,pog_dense,2,245,83,0.33877551020408164,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv
old,base,pog_dense,3,5,1,0.2,results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv
old,BGRAPH,pog,overall,250,80,0.32,results\pog\results_pog_BGRAPH_HN_C10_T5_20260518_122018.csv
old,BGRAPH,pog,1,115,42,0.3652173913043478,results\pog\results_pog_BGRAPH_HN_C10_T5_20260518_122018.csv
old,BGRAPH,pog,2,135,38,0.2814814814814815,results\pog\results_pog_BGRAPH_HN_C10_T5_20260518_122018.csv
old,BGRAPH,pog_dense,overall,250,105,0.42,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260518_122059.csv
old,BGRAPH,pog_dense,2,245,103,0.4204081632653061,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260518_122059.csv
old,BGRAPH,pog_dense,3,5,2,0.4,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260518_122059.csv
fixed,base,pog,overall,250,120,0.48,results\pog\results_pog_HN_C10_T5_20260526_163534.csv
fixed,base,pog,1,7,2,0.2857142857142857,results\pog\results_pog_HN_C10_T5_20260526_163534.csv
fixed,base,pog,2,110,53,0.4818181818181818,results\pog\results_pog_HN_C10_T5_20260526_163534.csv
fixed,base,pog,3,95,45,0.47368421052631576,results\pog\results_pog_HN_C10_T5_20260526_163534.csv
fixed,base,pog,4,38,20,0.5263157894736842,results\pog\results_pog_HN_C10_T5_20260526_163534.csv
fixed,base,pog_dense,overall,250,105,0.42,results\pog_dense\results_pog_dense_HN_C10_T5_20260526_163647.csv
fixed,base,pog_dense,1,1,0,0.0,results\pog_dense\results_pog_dense_HN_C10_T5_20260526_163647.csv
fixed,base,pog_dense,2,150,61,0.4066666666666667,results\pog_dense\results_pog_dense_HN_C10_T5_20260526_163647.csv
fixed,base,pog_dense,3,69,29,0.42028985507246375,results\pog_dense\results_pog_dense_HN_C10_T5_20260526_163647.csv
fixed,base,pog_dense,4,29,14,0.4827586206896552,results\pog_dense\results_pog_dense_HN_C10_T5_20260526_163647.csv
fixed,base,pog_dense,5,1,1,1.0,results\pog_dense\results_pog_dense_HN_C10_T5_20260526_163647.csv
fixed,BGRAPH,pog,overall,250,130,0.52,results\pog\results_pog_BGRAPH_HN_C10_T5_20260526_173230.csv
fixed,BGRAPH,pog,1,7,3,0.42857142857142855,results\pog\results_pog_BGRAPH_HN_C10_T5_20260526_173230.csv
fixed,BGRAPH,pog,2,110,52,0.4727272727272727,results\pog\results_pog_BGRAPH_HN_C10_T5_20260526_173230.csv
fixed,BGRAPH,pog,3,95,50,0.5263157894736842,results\pog\results_pog_BGRAPH_HN_C10_T5_20260526_173230.csv
fixed,BGRAPH,pog,4,38,25,0.6578947368421053,results\pog\results_pog_BGRAPH_HN_C10_T5_20260526_173230.csv
fixed,BGRAPH,pog_dense,overall,250,127,0.508,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260526_173132.csv
fixed,BGRAPH,pog_dense,1,1,0,0.0,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260526_173132.csv
fixed,BGRAPH,pog_dense,2,150,67,0.44666666666666666,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260526_173132.csv
fixed,BGRAPH,pog_dense,3,69,43,0.6231884057971014,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260526_173132.csv
fixed,BGRAPH,pog_dense,4,29,16,0.5517241379310345,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260526_173132.csv
fixed,BGRAPH,pog_dense,5,1,1,1.0,results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260526_173132.csv
