method,signal,source_csv,index,bundle_id,true_indice,true_option_idx,true_option_char,prediction,prediction_idx,hit,score_len_ok,candidate_count,scores,candidate_indices,gt_valid_choice,gt_score,gt_min_rank,gt_max_rank,gt_avg_rank,gt_in_top_tie,gt_unique_top1,gt_gap_to_top,gt_top_score,gt_second_margin,gt_top_tie_size,gt_all_tied,gt_all_zero,gt_positive_signal,pred_valid_choice,pred_score,pred_min_rank,pred_max_rank,pred_avg_rank,pred_in_top_tie,pred_unique_top1,pred_gap_to_top,pred_top_score,pred_second_margin,pred_top_tie_size,pred_all_tied,pred_all_zero,pred_positive_signal
HN_base,cooccurrence,results\spotify\results_spotify_20260416_172608.csv,0,560,96605,9,J,C,2,0,1,10,"[0, 10, 1, 16, 0, 0, 0, 0, 2, 29]","[236438, 14628, 8966, 197511, 195202, 207103, 185643, 184689, 168235, 96605]",1,29.0,1,1,1.0,1,1,0.0,29.0,13.0,1,0,0,1,1,1.0,5,5,5.0,0,0,28.0,29.0,13.0,1,0,0,1
HN_base,user_pref,results\spotify\results_spotify_20260416_172608.csv,0,560,96605,9,J,C,2,0,1,10,"[3.5, 10.7, 27.4, 0.1, 4.9, 0.2, 6.8, 9.5, 35.2, 62.0]","[236438, 14628, 8966, 197511, 195202, 207103, 185643, 184689, 168235, 96605]",1,62.0,1,1,1.0,1,1,0.0,62.0,26.799999999999997,1,0,0,1,1,27.4,3,3,3.0,0,0,34.6,62.0,26.799999999999997,1,0,0,1
HN_base,cooccurrence,results\spotify\results_spotify_20260416_172608.csv,1,6507,107053,3,D,D,3,1,1,10,"[1, 2, 1, 66, 30, 0, 3, 1, 0, 0]","[70971, 144343, 240687, 107053, 126957, 143292, 82824, 142625, 184420, 207356]",1,66.0,1,1,1.0,1,1,0.0,66.0,36.0,1,0,0,1,1,66.0,1,1,1.0,1,1,0.0,66.0,36.0,1,0,0,1
HN_base,user_pref,results\spotify\results_spotify_20260416_172608.csv,1,6507,107053,3,D,D,3,1,1,10,"[0.0, 0.0, 0.0, 0.1, 0.0, 1.5, 0.0, 6.4, 0.0, 1.5]","[70971, 144343, 240687, 107053, 126957, 143292, 82824, 142625, 184420, 207356]",1,0.1,4,4,4.0,0,0,6.300000000000001,6.4,4.9,1,0,0,1,1,0.1,4,4,4.0,0,0,6.300000000000001,6.4,4.9,1,0,0,1
HN_base,cooccurrence,results\spotify\results_spotify_20260416_172608.csv,2,12962,159560,1,B,E,4,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[168116, 159560, 29372, 132760, 140172, 115179, 30936, 195978, 12323, 250501]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
HN_base,user_pref,results\spotify\results_spotify_20260416_172608.csv,2,12962,159560,1,B,E,4,0,1,10,"[8.0, 0.0, 4.4, 0.8, 13.3, 0.0, 0.1, 10.1, 4.3, 0.0]","[168116, 159560, 29372, 132760, 140172, 115179, 30936, 195978, 12323, 250501]",1,0.0,8,10,9.0,0,0,13.3,13.3,3.200000000000001,1,0,0,1,1,13.3,1,1,1.0,1,1,0.0,13.3,3.200000000000001,1,0,0,1
HN_base,cooccurrence,results\spotify\results_spotify_20260416_172608.csv,3,6085,134443,1,B,I,8,0,1,10,"[6, 0, 0, 2, 0, 4, 0, 0, 0, 0]","[175106, 134443, 152781, 186912, 85348, 190921, 213326, 248643, 216291, 94899]",1,0.0,4,10,7.0,0,0,6.0,6.0,2.0,1,0,0,1,1,0.0,4,10,7.0,0,0,6.0,6.0,2.0,1,0,0,1
HN_base,user_pref,results\spotify\results_spotify_20260416_172608.csv,3,6085,134443,1,B,I,8,0,1,10,"[7.0, 4.5, 2.9, 3.4, 0.2, 5.6, 5.7, 0.0, 0.0, 3.5]","[175106, 134443, 152781, 186912, 85348, 190921, 213326, 248643, 216291, 94899]",1,4.5,4,4,4.0,0,0,2.5,7.0,1.2999999999999998,1,0,0,1,1,0.0,9,10,9.5,0,0,7.0,7.0,1.2999999999999998,1,0,0,1
HN_base,cooccurrence,results\spotify\results_spotify_20260416_172608.csv,4,8542,121160,9,J,J,9,1,1,10,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 41]","[12936, 162264, 79134, 144257, 184230, 49203, 203425, 181867, 31721, 121160]",1,41.0,1,1,1.0,1,1,0.0,41.0,40.0,1,0,0,1,1,41.0,1,1,1.0,1,1,0.0,41.0,40.0,1,0,0,1
HN_base,user_pref,results\spotify\results_spotify_20260416_172608.csv,4,8542,121160,9,J,J,9,1,1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.8, 0.0, 19.0]","[12936, 162264, 79134, 144257, 184230, 49203, 203425, 181867, 31721, 121160]",1,19.0,1,1,1.0,1,1,0.0,19.0,14.2,1,0,0,1,1,19.0,1,1,1.0,1,1,0.0,19.0,14.2,1,0,0,1
