method,signal,gt_cf_group,pred_cf_group,n,accuracy,mean_gt_avg_rank,mean_pred_avg_rank,mean_top_tie_size
HN_base,cooccurrence,gt_not_top,pred_not_top,58,0.3275862068965517,4.879310344827586,4.543103448275862,1.1379310344827587
HN_base,cooccurrence,gt_not_top,pred_top,26,0.0,5.0576923076923075,1.1346153846153846,1.2692307692307692
HN_base,cooccurrence,gt_top,pred_not_top,30,0.0,1.0833333333333333,4.8,1.1666666666666667
HN_base,cooccurrence,gt_top,pred_top,136,0.8161764705882353,2.2573529411764706,2.2573529411764706,3.514705882352941
HN_co_occur,cooccurrence,gt_not_top,pred_not_top,2,0.5,2.5,2.0,1.0
HN_co_occur,cooccurrence,gt_not_top,pred_top,82,0.0,4.9939024390243905,1.0914634146341464,1.1829268292682926
HN_co_occur,cooccurrence,gt_top,pred_top,166,0.8433734939759037,2.0451807228915664,2.0451807228915664,3.0903614457831323
HN_user_prefer,cooccurrence,gt_not_top,pred_not_top,60,0.18333333333333332,5.0,5.241666666666666,1.0833333333333333
HN_user_prefer,cooccurrence,gt_not_top,pred_top,24,0.0,4.770833333333333,1.2083333333333333,1.4166666666666667
HN_user_prefer,cooccurrence,gt_top,pred_not_top,75,0.0,1.0933333333333333,5.326666666666667,1.1866666666666668
HN_user_prefer,cooccurrence,gt_top,pred_top,91,0.7252747252747253,2.82967032967033,2.82967032967033,4.65934065934066
HN_base,user_pref,gt_not_top,pred_not_top,145,0.5379310344827586,6.268965517241379,6.375862068965517,1.0482758620689656
HN_base,user_pref,gt_not_top,pred_top,13,0.0,6.6923076923076925,1.0,1.0
HN_base,user_pref,gt_top,pred_not_top,23,0.0,1.0217391304347827,4.608695652173913,1.0434782608695652
HN_base,user_pref,gt_top,pred_top,69,0.7536231884057971,3.2318840579710146,3.2318840579710146,5.463768115942029
HN_co_occur,user_pref,gt_not_top,pred_not_top,135,0.6148148148148148,6.411111111111111,6.425925925925926,1.0222222222222221
HN_co_occur,user_pref,gt_not_top,pred_top,23,0.0,5.673913043478261,1.0869565217391304,1.173913043478261
HN_co_occur,user_pref,gt_top,pred_not_top,16,0.0,1.0625,5.09375,1.125
HN_co_occur,user_pref,gt_top,pred_top,76,0.7631578947368421,3.0197368421052633,3.0197368421052633,5.0394736842105265
HN_user_prefer,user_pref,gt_not_top,pred_not_top,6,0.6666666666666666,6.166666666666667,4.25,1.0
HN_user_prefer,user_pref,gt_not_top,pred_top,152,0.0,6.309210526315789,1.0230263157894737,1.0460526315789473
HN_user_prefer,user_pref,gt_top,pred_not_top,1,0.0,1.0,2.5,1.0
HN_user_prefer,user_pref,gt_top,pred_top,91,0.8021978021978022,2.697802197802198,2.697802197802198,4.395604395604396
