row_idx,bundle_id,true_indice,num_input_items,num_valid_input_embeddings,gt_input_sim,neg_input_sim_mean,neg_input_sim_max,gt_margin_vs_best_neg,gt_margin_vs_neg_mean,gt_semantic_rank,gt_semantic_top1,gt_semantic_mrr,semantic_top_option_idx,semantic_top_item,semantic_top_sim,pred_option_idx,pred_input_sim,pred_is_semantic_top1,hit,gt_to_distractor_sim_mean,gt_to_distractor_sim_max
0,560,96605,5,5,0.901986837387085,0.7386756539344788,0.8330467343330383,0.06894010305404663,0.1633111834526062,1,1,1.0,6,96605,0.901986837387085,6,0.901986837387085,1,1,0.6935112476348877,0.8149038553237915
1,6507,107053,5,5,0.7234729528427124,0.6409631967544556,0.8154376745223999,-0.0919647216796875,0.08250975608825684,4,0,0.25,9,43726,0.8154376745223999,2,0.7623769640922546,0,0,0.5449012517929077,0.8050519824028015
2,12962,159560,5,5,0.7619768381118774,0.6469599008560181,0.8226165771484375,-0.06063973903656006,0.11501693725585938,3,0,0.3333333333333333,6,12020,0.8226165771484375,3,0.7619768381118774,0,1,0.6625831127166748,0.8177005648612976
3,6085,134443,5,5,0.5566927194595337,0.7283081412315369,0.9323332905769348,-0.3756405711174011,-0.17161542177200317,9,0,0.1111111111111111,4,181776,0.9323332905769348,1,0.5566927194595337,0,1,0.4936310052871704,0.575747013092041
4,8542,121160,5,5,0.764971137046814,0.6173288822174072,0.7157366871833801,0.04923444986343384,0.14764225482940674,1,1,1.0,3,121160,0.764971137046814,3,0.764971137046814,1,1,0.4943385124206543,0.5770378112792969
5,17250,113233,5,5,0.8102710843086243,0.7281160354614258,0.8598566055297852,-0.04958552122116089,0.08215504884719849,4,0,0.25,4,227531,0.8598566055297852,6,0.8102710843086243,0,1,0.640728235244751,0.797010600566864
6,8602,113522,5,5,0.6682784557342529,0.7170792818069458,0.8381567597389221,-0.1698783040046692,-0.04880082607269287,8,0,0.125,0,222284,0.8381567597389221,0,0.8381567597389221,1,0,0.6596561670303345,0.7790952324867249
7,4689,53676,5,5,0.9212309122085571,0.7132048606872559,0.8946498036384583,0.026581108570098877,0.20802605152130127,1,1,1.0,6,53676,0.9212309122085571,5,0.814359188079834,0,0,0.6448596119880676,0.8614194989204407
8,1274,115639,5,5,0.8975977301597595,0.733381450176239,0.8514286875724792,0.04616904258728027,0.1642162799835205,1,1,1.0,4,115639,0.8975977301597595,4,0.8975977301597595,1,1,0.7069547772407532,0.9312551021575928
9,15323,17960,5,5,0.9063823819160461,0.6703686118125916,0.8318374156951904,0.07454496622085571,0.2360137701034546,1,1,1.0,7,17960,0.9063823819160461,7,0.9063823819160461,1,1,0.6124682426452637,0.8493896722793579
10,9097,185453,5,5,0.7930728793144226,0.7425526976585388,0.8322995901107788,-0.0392267107963562,0.05052018165588379,3,0,0.3333333333333333,8,127835,0.8322995901107788,0,0.7930728793144226,0,1,0.7055994868278503,0.8222270607948303
11,7296,11329,5,5,0.6894192695617676,0.7355130910873413,0.8428738117218018,-0.15345454216003418,-0.04609382152557373,7,0,0.14285714285714285,8,18853,0.8428738117218018,2,0.7481734156608582,0,0,0.5763710141181946,0.7090805768966675
12,5458,169144,5,5,0.7596063613891602,0.690441906452179,0.8188462257385254,-0.059239864349365234,0.0691644549369812,2,0,0.5,2,164085,0.8188462257385254,8,0.7596063613891602,0,1,0.5624732971191406,0.7525346279144287
13,7857,3062,5,5,0.8100844621658325,0.7250481843948364,0.8529269695281982,-0.04284250736236572,0.0850362777709961,2,0,0.5,9,77910,0.8529269695281982,7,0.8100844621658325,0,1,0.652686357498169,0.7768931984901428
14,11456,253789,5,5,0.8210861682891846,0.5930255055427551,0.8711932897567749,-0.05010712146759033,0.22806066274642944,2,0,0.5,5,190606,0.8711932897567749,8,0.8210861682891846,0,1,0.41423097252845764,0.6365677714347839
