row_idx,bundle_id,true_indice,num_input_items,num_valid_input_embeddings,gt_input_sim,neg_input_sim_mean,neg_input_sim_max,gt_margin_vs_best_neg,gt_margin_vs_neg_mean,gt_semantic_rank,gt_semantic_top1,gt_semantic_mrr,semantic_top_option_idx,semantic_top_item,semantic_top_sim,pred_option_idx,pred_input_sim,pred_is_semantic_top1,hit,gt_to_distractor_sim_mean,gt_to_distractor_sim_max
0,560,96605,10,10,0.8819789886474609,0.8297035694122314,0.8872177004814148,-0.005238711833953857,0.05227541923522949,3,0,0.3333333333333333,3,197511,0.8872177004814148,9,0.8819789886474609,0,1,0.859897255897522,0.9251797199249268
1,6507,107053,10,10,0.7581857442855835,0.7741444110870361,0.8684049844741821,-0.11021924018859863,-0.015958666801452637,6,0,0.16666666666666666,7,142625,0.8684049844741821,7,0.8684049844741821,1,0,0.7712216973304749,0.8495128750801086
2,12962,159560,10,10,0.8371248841285706,0.6932419538497925,0.8213905096054077,0.015734374523162842,0.14388293027877808,1,1,1.0,1,159560,0.8371248841285706,4,0.7051507234573364,0,0,0.7832253575325012,0.8836419582366943
3,6085,134443,10,10,0.5567206144332886,0.7032977342605591,0.8043975830078125,-0.24767696857452393,-0.1465771198272705,10,0,0.1,9,94899,0.8043975830078125,0,0.5903922319412231,0,0,0.5902218818664551,0.7916713953018188
4,8542,121160,10,10,0.7671772241592407,0.7563357949256897,0.8384231328964233,-0.07124590873718262,0.010841429233551025,5,0,0.2,2,79134,0.8384231328964233,9,0.7671772241592407,0,1,0.5678288340568542,0.7929467558860779
5,17250,113233,10,10,0.8482871055603027,0.7671238780021667,0.8981149792671204,-0.04982787370681763,0.08116322755813599,5,0,0.2,7,54156,0.8981149792671204,8,0.7105588912963867,0,0,0.89349365234375,0.9615219235420227
6,8602,113522,10,10,0.715486466884613,0.7419054508209229,0.8898864984512329,-0.17440003156661987,-0.026418983936309814,6,0,0.16666666666666666,7,127978,0.8898864984512329,2,0.8444826602935791,0,0,0.7492398023605347,0.8657597303390503
7,4689,53676,10,10,0.8826910257339478,0.8755078911781311,0.9173628091812134,-0.034671783447265625,0.00718313455581665,6,0,0.16666666666666666,3,242127,0.9173628091812134,6,0.884354293346405,0,0,0.8104546666145325,0.9101333618164062
8,1274,115639,10,10,0.9257858991622925,0.8575262427330017,0.9075427055358887,0.01824319362640381,0.06825965642929077,1,1,1.0,2,115639,0.9257858991622925,0,0.8087159395217896,0,0,0.8687851428985596,0.9357461929321289
9,15323,17960,10,10,0.9236958026885986,0.8138362765312195,0.8543447256088257,0.06935107707977295,0.10985952615737915,1,1,1.0,1,17960,0.9236958026885986,7,0.8440225720405579,0,0,0.8650509119033813,0.9113484621047974
10,9097,185453,10,10,0.8361252546310425,0.760496973991394,0.8413156270980835,-0.005190372467041016,0.07562828063964844,2,0,0.5,1,110952,0.8413156270980835,3,0.8361252546310425,0,1,0.8275105953216553,0.9044861793518066
11,7296,11329,10,10,0.7697666883468628,0.7559812068939209,0.8643027544021606,-0.09453606605529785,0.013785481452941895,6,0,0.16666666666666666,8,140570,0.8643027544021606,1,0.8188221454620361,0,0,0.8661620020866394,0.9465386867523193
12,5458,169144,10,10,0.8454498052597046,0.740034282207489,0.9265480041503906,-0.08109819889068604,0.10541552305221558,3,0,0.3333333333333333,8,238207,0.9265480041503906,1,0.8183947205543518,0,0,0.6175227165222168,0.9016212224960327
13,7857,3062,10,10,0.844880223274231,0.790637195110321,0.8827918767929077,-0.03791165351867676,0.05424302816390991,2,0,0.5,1,72100,0.8827918767929077,6,0.7378989458084106,0,0,0.7032604217529297,0.9000799059867859
14,11456,253789,10,10,0.8210041522979736,0.842559278011322,0.9345966577529907,-0.11359250545501709,-0.02155512571334839,6,0,0.16666666666666666,7,241057,0.9345966577529907,7,0.9345966577529907,1,0,0.7015622854232788,0.9206002354621887
15,12649,46681,10,10,0.8799124360084534,0.7780684232711792,0.9119096398353577,-0.0319972038269043,0.10184401273727417,2,0,0.5,6,83630,0.9119096398353577,4,0.8799124360084534,0,1,0.7868573665618896,0.8970147371292114
