method,signal,source_csv,index,bundle_id,true_indice,true_option_idx,true_option_char,prediction,prediction_idx,hit,score_len_ok,candidate_count,scores,candidate_indices,gt_valid_choice,gt_score,gt_min_rank,gt_max_rank,gt_avg_rank,gt_in_top_tie,gt_unique_top1,gt_gap_to_top,gt_top_score,gt_second_margin,gt_top_tie_size,gt_all_tied,gt_all_zero,gt_positive_signal,pred_valid_choice,pred_score,pred_min_rank,pred_max_rank,pred_avg_rank,pred_in_top_tie,pred_unique_top1,pred_gap_to_top,pred_top_score,pred_second_margin,pred_top_tie_size,pred_all_tied,pred_all_zero,pred_positive_signal
HN_base,cooccurrence,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,0,6641,43996,6,G,A,0,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4759, 138877, 120965, 132290, 35673, 154987, 43996, 141160, 121824, 66993]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
HN_base,user_pref,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,0,6641,43996,6,G,A,0,0,1,10,"[0.9, 0.2, 0.0, 7.5, 1.3, 0.3, 4.0, 2.5, 10.3, 15.7]","[4759, 138877, 120965, 132290, 35673, 154987, 43996, 141160, 121824, 66993]",1,4.0,4,4,4.0,0,0,11.7,15.7,5.399999999999999,1,0,0,1,1,0.9,7,7,7.0,0,0,14.799999999999999,15.7,5.399999999999999,1,0,0,1
HN_base,cooccurrence,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,1,6753,212590,3,D,D,3,1,1,10,"[0, 0, 1, 0, 1, 2, 2, 0, 2, 1]","[163221, 139952, 175356, 212590, 188310, 162494, 100703, 149261, 120448, 51421]",1,0.0,7,10,8.5,0,0,2.0,2.0,1.0,3,0,0,1,1,0.0,7,10,8.5,0,0,2.0,2.0,1.0,3,0,0,1
HN_base,user_pref,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,1,6753,212590,3,D,D,3,1,1,10,"[11.3, 0.0, 23.7, 2.1, 12.4, 6.2, 3.1, 0.0, 34.0, 2.1]","[163221, 139952, 175356, 212590, 188310, 162494, 100703, 149261, 120448, 51421]",1,2.1,7,8,7.5,0,0,31.9,34.0,10.3,1,0,0,1,1,2.1,7,8,7.5,0,0,31.9,34.0,10.3,1,0,0,1
HN_base,cooccurrence,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,2,11971,212698,0,A,A,0,1,1,10,"[2, 2, 0, 1, 0, 0, 2, 0, 0, 1]","[212698, 74513, 151123, 188714, 65400, 145024, 31749, 162533, 180843, 196566]",1,2.0,1,3,2.0,1,0,0.0,2.0,1.0,3,0,0,1,1,2.0,1,3,2.0,1,0,0.0,2.0,1.0,3,0,0,1
HN_base,user_pref,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,2,11971,212698,0,A,A,0,1,1,10,"[0.0, 11.5, 6.9, 0.0, 4.1, 6.1, 4.0, 16.1, 0.0, 14.0]","[212698, 74513, 151123, 188714, 65400, 145024, 31749, 162533, 180843, 196566]",1,0.0,8,10,9.0,0,0,16.1,16.1,2.1000000000000014,1,0,0,1,1,0.0,8,10,9.0,0,0,16.1,16.1,2.1000000000000014,1,0,0,1
HN_base,cooccurrence,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,3,3179,158934,0,A,E,4,0,1,10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[158934, 119011, 107687, 145128, 182232, 182879, 16424, 168950, 168729, 122349]",1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1,0,0,1,1,0.0,2,10,6.0,0,0,1.0,1.0,1.0,1,0,0,1
HN_base,user_pref,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,3,3179,158934,0,A,E,4,0,1,10,"[1.5, 5.2, 3.7, 9.7, 0.0, 0.0, 2.6, 5.2, 1.3, 6.3]","[158934, 119011, 107687, 145128, 182232, 182879, 16424, 168950, 168729, 122349]",1,1.5,7,7,7.0,0,0,8.2,9.7,3.3999999999999995,1,0,0,1,1,0.0,9,10,9.5,0,0,9.7,9.7,3.3999999999999995,1,0,0,1
HN_base,cooccurrence,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,4,10486,46669,1,B,C,2,0,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[116686, 46669, 165087, 46062, 167776, 121292, 89041, 53230, 172099, 134733]",1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0,1,0.0,1,10,5.5,1,0,0.0,0.0,0.0,10,1,1,0
HN_base,user_pref,results\spotify_sparse\results_spotify_sparse_HN_C10_T5_20260506_115545.csv,4,10486,46669,1,B,C,2,0,1,10,"[0.0, 0.0, 6.5, 1.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[116686, 46669, 165087, 46062, 167776, 121292, 89041, 53230, 172099, 134733]",1,0.0,3,10,6.5,0,0,6.5,6.5,5.2,1,0,0,1,1,6.5,1,1,1.0,1,1,0.0,6.5,5.2,1,0,0,1
