method,signal,gt_cf_group,pred_cf_group,n,accuracy,mean_gt_avg_rank,mean_pred_avg_rank,mean_top_tie_size
HN_base,cooccurrence,gt_not_top,pred_not_top,49,0.5306122448979592,5.795918367346939,6.010204081632653,1.3673469387755102
HN_base,cooccurrence,gt_not_top,pred_top,15,0.0,5.0,1.4,1.8
HN_base,cooccurrence,gt_top,pred_not_top,26,0.0,1.1923076923076923,5.6923076923076925,1.3846153846153846
HN_base,cooccurrence,gt_top,pred_top,160,0.55625,4.259375,4.259375,7.51875
HN_co_occur,cooccurrence,gt_not_top,pred_top,64,0.0,5.609375,1.234375,1.46875
HN_co_occur,cooccurrence,gt_top,pred_not_top,1,0.0,1.0,2.0,1.0
HN_co_occur,cooccurrence,gt_top,pred_top,185,0.6270270270270271,3.845945945945946,3.845945945945946,6.691891891891892
HN_user_prefer,cooccurrence,gt_not_top,pred_not_top,48,0.2708333333333333,5.625,6.302083333333333,1.3958333333333333
HN_user_prefer,cooccurrence,gt_not_top,pred_top,16,0.0,5.5625,1.34375,1.6875
HN_user_prefer,cooccurrence,gt_top,pred_not_top,45,0.0,1.2444444444444445,5.733333333333333,1.488888888888889
HN_user_prefer,cooccurrence,gt_top,pred_top,141,0.48936170212765956,4.656028368794326,4.656028368794326,8.312056737588652
HN_base,user_pref,gt_not_top,pred_not_top,142,0.49295774647887325,6.144366197183099,6.190140845070423,1.0492957746478873
HN_base,user_pref,gt_not_top,pred_top,13,0.0,4.884615384615385,1.0384615384615385,1.0769230769230769
HN_base,user_pref,gt_top,pred_not_top,24,0.0,1.0416666666666667,6.0625,1.0833333333333333
HN_base,user_pref,gt_top,pred_top,71,0.6338028169014085,4.295774647887324,4.295774647887324,7.591549295774648
HN_co_occur,user_pref,gt_not_top,pred_not_top,129,0.5348837209302325,6.155038759689923,5.937984496124031,1.0465116279069768
HN_co_occur,user_pref,gt_not_top,pred_top,26,0.0,5.461538461538462,1.0384615384615385,1.0769230769230769
HN_co_occur,user_pref,gt_top,pred_not_top,23,0.0,1.0434782608695652,6.108695652173913,1.0869565217391304
HN_co_occur,user_pref,gt_top,pred_top,72,0.6527777777777778,4.25,4.25,7.5
HN_user_prefer,user_pref,gt_not_top,pred_not_top,18,0.7777777777777778,5.666666666666667,5.222222222222222,1.0555555555555556
HN_user_prefer,user_pref,gt_not_top,pred_top,137,0.0,6.087591240875913,1.0255474452554745,1.051094890510949
HN_user_prefer,user_pref,gt_top,pred_top,95,0.7157894736842105,3.473684210526316,3.473684210526316,5.947368421052632
