dataset,unique_hit_view,true_category_name,count,ratio_within_view
pog,BIxIB,Women's Chiffon and Floral Dresses,4,0.19047619047619047
pog,BIxIB,Women's Casual Shoes and Sneakers,3,0.14285714285714285
pog,BIxIB,Women's Mid-Length Woolen Coats,2,0.09523809523809523
pog,BIxIB,Women's High Waist Wide Leg Trousers,2,0.09523809523809523
pog,BIxIB,Men's Streetwear Hoodies and Sweatshirts,1,0.047619047619047616
pog,BIxIB,Women's Fleece-Lined Thermal Leggings,1,0.047619047619047616
pog,BIxIB,Women's Knit Sweaters and Pullovers,1,0.047619047619047616
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,1,0.047619047619047616
pog,BIxIB,Women's Cropped Denim Jeans,1,0.047619047619047616
pog,BIxIB,Women's High-Waist Fashion Skirts,1,0.047619047619047616
pog,BIxIB,Women's Pullover Knit Sweaters,1,0.047619047619047616
pog,BIxIB,Women's Fashion Heeled Sandals,1,0.047619047619047616
pog,BIxIB,Women's High-Top Sneakers,1,0.047619047619047616
pog,BIxIB,Women's Short Casual Jackets,1,0.047619047619047616
pog,IBxBI,Women's Heeled Ankle Boots,3,0.17647058823529413
pog,IBxBI,Women's Fashion Berets and Bucket Hats,3,0.17647058823529413
pog,IBxBI,Women's Casual Shoes and Sneakers,3,0.17647058823529413
pog,IBxBI,Men's Short Sleeve T-Shirts,1,0.058823529411764705
pog,IBxBI,Women's Loose Hoodies and Sweatshirts,1,0.058823529411764705
pog,IBxBI,Women's High-Waist Fashion Skirts,1,0.058823529411764705
pog,IBxBI,Men's Slim Fit Denim Jeans,1,0.058823529411764705
pog,IBxBI,Women's Cropped Denim Jeans,1,0.058823529411764705
pog,IBxBI,Women's Sterling Silver Necklaces,1,0.058823529411764705
pog,IBxBI,Fashion Drop and Stud Earrings,1,0.058823529411764705
pog,IBxBI,Women's Fashion Shoulder and Crossbody Bags,1,0.058823529411764705
pog,IUxUI,Women's Cropped Denim Jeans,3,0.21428571428571427
pog,IUxUI,Women's High-Waist Fashion Skirts,2,0.14285714285714285
pog,IUxUI,Women's Casual Shoes and Sneakers,2,0.14285714285714285
pog,IUxUI,Women's Fashion Shoulder and Crossbody Bags,1,0.07142857142857142
pog,IUxUI,Women's Mid-Length Woolen Coats,1,0.07142857142857142
pog,IUxUI,Men's Slim Fit Denim Jeans,1,0.07142857142857142
pog,IUxUI,Men's Thickened Workwear Cotton Jackets,1,0.07142857142857142
pog,IUxUI,Women's Heeled Ankle Boots,1,0.07142857142857142
pog,IUxUI,Women's Fashion Berets and Bucket Hats,1,0.07142857142857142
pog,IUxUI,Women's Chiffon and Floral Dresses,1,0.07142857142857142
pog_dense,BIxIB,Women's Leather Crossbody Bags,4,0.14814814814814814
pog_dense,BIxIB,Women's Dress Pumps and Heels,3,0.1111111111111111
pog_dense,BIxIB,Women's Fashion Sun Hats,3,0.1111111111111111
pog_dense,BIxIB,Women's High-Waist Mid-Length Skirts,2,0.07407407407407407
pog_dense,BIxIB,Women's Fashion Ankle Boots,2,0.07407407407407407
pog_dense,BIxIB,Women's High-Waist Cropped Jeans,2,0.07407407407407407
pog_dense,BIxIB,Women's Mules and Outdoor Slides,1,0.037037037037037035
pog_dense,BIxIB,Women's Mid-Length Trench Coats,1,0.037037037037037035
pog_dense,BIxIB,Women's Sterling Silver Stud Earrings,1,0.037037037037037035
pog_dense,BIxIB,Women's Oversized Pullover Sweaters,1,0.037037037037037035
pog_dense,BIxIB,Women's Chiffon Summer Dresses,1,0.037037037037037035
pog_dense,BIxIB,Women's Casual Short Sleeve T-Shirts,1,0.037037037037037035
pog_dense,BIxIB,Women's Ankle Strap Heeled Sandals,1,0.037037037037037035
pog_dense,BIxIB,Women's Korean Style Hoodies and Sweatshirts,1,0.037037037037037035
pog_dense,BIxIB,Women's White Canvas Sneakers,1,0.037037037037037035
pog_dense,BIxIB,Daniel Wellington Women's Quartz Watches,1,0.037037037037037035
pog_dense,BIxIB,Women's Fashion Drop Earrings,1,0.037037037037037035
pog_dense,IBxBI,Women's Leather Crossbody Bags,9,0.2727272727272727
pog_dense,IBxBI,Women's Dress Pumps and Heels,5,0.15151515151515152
pog_dense,IBxBI,Women's Fashion Sun Hats,3,0.09090909090909091
pog_dense,IBxBI,Women's Ankle Strap Heeled Sandals,2,0.06060606060606061
pog_dense,IBxBI,Women's Sterling Silver Stud Earrings,2,0.06060606060606061
pog_dense,IBxBI,Women's High-Waist Cropped Jeans,2,0.06060606060606061
pog_dense,IBxBI,Women's Fashion Ankle Boots,2,0.06060606060606061
pog_dense,IBxBI,Daniel Wellington Women's Quartz Watches,1,0.030303030303030304
pog_dense,IBxBI,Women's Chiffon Summer Dresses,1,0.030303030303030304
pog_dense,IBxBI,Women's High Waist Casual Trousers,1,0.030303030303030304
pog_dense,IBxBI,Women's High-Waist Mid-Length Skirts,1,0.030303030303030304
pog_dense,IBxBI,Women's Fashion Drop Earrings,1,0.030303030303030304
pog_dense,IBxBI,Men's Casual Hoodies and Sweatshirts,1,0.030303030303030304
pog_dense,IBxBI,Women's Fashion Quartz Watches,1,0.030303030303030304
pog_dense,IBxBI,Vans Classic Skate Shoes,1,0.030303030303030304
pog_dense,IUxUI,Women's Leather Crossbody Bags,3,0.23076923076923078
pog_dense,IUxUI,Women's Fashion Sun Hats,2,0.15384615384615385
pog_dense,IUxUI,Women's Dress Pumps and Heels,2,0.15384615384615385
pog_dense,IUxUI,Women's Chiffon Summer Dresses,2,0.15384615384615385
pog_dense,IUxUI,Women's High Waist Casual Trousers,1,0.07692307692307693
pog_dense,IUxUI,Women's Sterling Silver Stud Earrings,1,0.07692307692307693
pog_dense,IUxUI,Women's High-Waist Cropped Jeans,1,0.07692307692307693
pog_dense,IUxUI,Women's Fashion Drop Earrings,1,0.07692307692307693
