dataset,unique_hit_view,input_category_name,true_category_name,count
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,Women's Casual Shoes and Sneakers,2
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,Women's Chiffon and Floral Dresses,2
pog,BIxIB,Classic Branded Sneakers and Skate Shoes,Men's Streetwear Hoodies and Sweatshirts,1
pog,BIxIB,Women's Long-Sleeved Blouses and Shirts,Women's Fleece-Lined Thermal Leggings,1
pog,BIxIB,Women's Mid-Length Woolen Coats,Women's Fleece-Lined Thermal Leggings,1
pog,BIxIB,Sterling Silver Fashion Earrings,Women's Casual Shoes and Sneakers,1
pog,BIxIB,Women's Fashion Berets and Bucket Hats,Women's Casual Shoes and Sneakers,1
pog,BIxIB,Women's Heeled Ankle Boots,Women's Mid-Length Woolen Coats,1
pog,BIxIB,Women's Mules and Backless Slippers,Women's Mid-Length Woolen Coats,1
pog,BIxIB,Women's High Waist Wide Leg Trousers,Women's Mid-Length Woolen Coats,1
pog,BIxIB,Women's Casual Canvas Sneakers,Women's High Waist Wide Leg Trousers,1
pog,BIxIB,Women's Mid-Length Woolen Coats,Women's High Waist Wide Leg Trousers,1
pog,BIxIB,Women's Casual Shoes and Sneakers,Women's Chiffon and Floral Dresses,1
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,Women's Knit Sweaters and Pullovers,1
pog,BIxIB,Women's Pullover Knit Sweaters,Women's Fashion Shoulder and Crossbody Bags,1
pog,BIxIB,Women's Chiffon and Floral Dresses,Women's Casual Shoes and Sneakers,1
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,Women's Cropped Denim Jeans,1
pog,BIxIB,Women's Casual Shoes and Sneakers,Women's Cropped Denim Jeans,1
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,Women's High-Waist Fashion Skirts,1
pog,BIxIB,Women's High-Waist Fashion Skirts,Women's Pullover Knit Sweaters,1
pog,BIxIB,Minimalist Fashion Quartz Watches,Women's Chiffon and Floral Dresses,1
pog,BIxIB,Women's Sterling Silver Necklaces,Women's Fashion Heeled Sandals,1
pog,BIxIB,Women's Chiffon and Floral Dresses,Women's Fashion Heeled Sandals,1
pog,BIxIB,Women's High-Waist Fashion Skirts,Women's High-Top Sneakers,1
pog,BIxIB,Women's Fashion Shoulder and Crossbody Bags,Women's High-Top Sneakers,1
pog,BIxIB,Women's Casual Shoes and Sneakers,Women's Short Casual Jackets,1
pog,BIxIB,Women's Heeled Ankle Boots,Women's Chiffon and Floral Dresses,1
pog,BIxIB,Fashion Drop and Stud Earrings,Women's Chiffon and Floral Dresses,1
pog,BIxIB,Men's and Women's Wristwatches,Women's Chiffon and Floral Dresses,1
pog,BIxIB,Women's Casual Shoes and Sneakers,Women's High Waist Wide Leg Trousers,1
pog,IBxBI,Women's Fashion Shoulder and Crossbody Bags,Women's Heeled Ankle Boots,3
pog,IBxBI,Women's Fashion Shoulder and Crossbody Bags,Women's Casual Shoes and Sneakers,2
pog,IBxBI,Classic Canvas High and Low Top Sneakers,Men's Short Sleeve T-Shirts,1
pog,IBxBI,Women's Casual Shoes and Sneakers,Women's Loose Hoodies and Sweatshirts,1
pog,IBxBI,Women's Fashion Berets and Bucket Hats,Women's Heeled Ankle Boots,1
pog,IBxBI,Women's Heeled Ankle Boots,Women's Fashion Berets and Bucket Hats,1
pog,IBxBI,Women's Loose Hoodies and Sweatshirts,Women's Casual Shoes and Sneakers,1
pog,IBxBI,Women's Cropped Denim Jeans,Women's Casual Shoes and Sneakers,1
pog,IBxBI,Women's Padded Puffer Jackets,Women's High-Waist Fashion Skirts,1
pog,IBxBI,Women's Fashion Berets and Bucket Hats,Women's High-Waist Fashion Skirts,1
pog,IBxBI,Women's Knit Sweaters and Pullovers,Women's Heeled Ankle Boots,1
pog,IBxBI,Women's Fashion Berets and Bucket Hats,Women's Casual Shoes and Sneakers,1
pog,IBxBI,Women's Casual Shoes and Sneakers,Women's Fashion Berets and Bucket Hats,1
pog,IBxBI,Classic Canvas High and Low Top Sneakers,Men's Slim Fit Denim Jeans,1
pog,IBxBI,Women's Mid-Length Trench Coats,Women's Cropped Denim Jeans,1
pog,IBxBI,Women's Cropped Denim Jeans,Women's Heeled Ankle Boots,1
pog,IBxBI,Women's Loose Hoodies and Sweatshirts,Women's Sterling Silver Necklaces,1
pog,IBxBI,Women's Short Casual Jackets,Women's Sterling Silver Necklaces,1
pog,IBxBI,Women's Cropped Denim Jeans,Fashion Drop and Stud Earrings,1
pog,IBxBI,Women's Knit Sweaters and Pullovers,Fashion Drop and Stud Earrings,1
pog,IBxBI,Women's Casual Shoes and Sneakers,Women's Fashion Shoulder and Crossbody Bags,1
pog,IBxBI,Women's Fashion Shoulder and Crossbody Bags,Women's Fashion Berets and Bucket Hats,1
pog,IBxBI,Women's Casual Canvas Sneakers,Women's Fashion Berets and Bucket Hats,1
pog,IUxUI,Sterling Silver Fashion Earrings,Women's High-Waist Fashion Skirts,1
pog,IUxUI,Women's High Waist Wide Leg Trousers,Women's Fashion Shoulder and Crossbody Bags,1
pog,IUxUI,Women's Casual Shoes and Sneakers,Women's Fashion Shoulder and Crossbody Bags,1
pog,IUxUI,Women's Heeled Ankle Boots,Women's Cropped Denim Jeans,1
pog,IUxUI,Women's Casual Shoes and Sneakers,Women's Mid-Length Woolen Coats,1
pog,IUxUI,Women's Fashion Shoulder and Crossbody Bags,Women's Mid-Length Woolen Coats,1
pog,IUxUI,Women's Mid-Length Woolen Coats,Women's High-Waist Fashion Skirts,1
pog,IUxUI,Men's Thickened Workwear Cotton Jackets,Men's Slim Fit Denim Jeans,1
pog,IUxUI,Men's Long-Sleeved Casual and Formal Shirts,Men's Slim Fit Denim Jeans,1
pog,IUxUI,Men's Short Sleeve T-Shirts,Men's Thickened Workwear Cotton Jackets,1
pog,IUxUI,Men's Casual Joggers and Harem Pants,Men's Thickened Workwear Cotton Jackets,1
pog,IUxUI,Women's Mid-Length Woolen Coats,Women's Heeled Ankle Boots,1
pog,IUxUI,Women's Fleece-Lined Thermal Leggings,Women's Heeled Ankle Boots,1
pog,IUxUI,Women's Chiffon and Floral Dresses,Women's Fashion Berets and Bucket Hats,1
pog,IUxUI,Women's Fashion Shoulder and Crossbody Bags,Women's Fashion Berets and Bucket Hats,1
pog,IUxUI,Women's Fleece-Lined Thermal Leggings,Women's Casual Shoes and Sneakers,1
