dataset,embedding_space,unique_view,bundle_id,true_indice,true_option_char,candidate_indices,input_indices,view_context_items,rank_IBxBI,rank_IUxUI,rank_BIxIB,input_gt_sim,input_distractor_mean_sim,input_distractor_max_sim,input_gt_margin_vs_distractor_mean,input_gt_margin_vs_best_distractor,input_gt_rank_by_embedding,num_input_items,num_context_items,num_context_excl_input_items,context_contains_input,context_contains_gt,context_input_sim,context_gt_sim,context_distractor_mean_sim,context_distractor_max_sim,context_gt_margin_vs_distractor_mean,context_gt_margin_vs_best_distractor,context_excl_input_input_sim,context_excl_input_gt_sim,context_excl_input_distractor_mean_sim,context_excl_input_distractor_max_sim,context_excl_input_gt_margin_vs_distractor_mean,context_excl_input_gt_margin_vs_best_distractor
pog,text,IBxBI,16123,10378,J,"[36814, 3872, 29046, 44385, 47551, 5430, 14613, 46301, 29108, 10378]",[44926],[],1,4,5,0.2986738681793213,0.2711709290742874,0.35477370023727417,0.027502939105033875,-0.05609983205795288,3,1,0,0,0,0,,,,,,,,,,,,
pog,text,IBxBI,3227,26866,B,"[39760, 26866, 24291, 48231, 32361, 32643, 18450, 5916, 17692, 17067]",[1522],"[8431, 1522, 26743]",1,3,4,0.4056008458137512,0.4093690150313907,0.47690457105636597,-0.0037681692176395054,-0.07130372524261475,7,1,3,2,1,0,0.7942537665367126,0.6151913404464722,0.5313995745446947,0.6233938932418823,0.0837917659017775,-0.008202552795410156,0.5044053196907043,0.6210410594940186,0.4996083146995968,0.5881800651550293,0.12143274479442173,0.03286099433898926
pog,text,IBxBI,341,38297,G,"[46116, 11317, 33306, 10502, 9799, 18028, 38297, 16445, 37734, 25846]","[26743, 26119]","[14692, 39410, 123]",1,7,3,0.4289986491203308,0.46802066763242084,0.6742475032806396,-0.03902201851209003,-0.24524885416030884,8,2,3,3,0,0,0.7219065427780151,0.4961557686328888,0.514611906475491,0.634771466255188,-0.01845613784260225,-0.1386156976222992,0.7219065427780151,0.4961557686328888,0.514611906475491,0.634771466255188,-0.01845613784260225,-0.1386156976222992
pog,text,IBxBI,18951,43920,A,"[43920, 44630, 42150, 39691, 23389, 15546, 6485, 37610, 45761, 1671]",[28286],"[8025, 403]",1,5,5,0.4044661521911621,0.455954651037852,0.5195398330688477,-0.05148849884668988,-0.11507368087768555,8,1,2,2,0,0,0.6134545803070068,0.4442698359489441,0.49573685394393074,0.6270866394042969,-0.05146701799498665,-0.18281680345535278,0.6134545803070068,0.4442698359489441,0.49573685394393074,0.6270866394042969,-0.05146701799498665,-0.18281680345535278
pog,text,IBxBI,7017,17236,I,"[33262, 36431, 36355, 1302, 3980, 44387, 7937, 46952, 17236, 30321]",[3755],"[4394, 9626, 34082]",1,8,7,0.3276306092739105,0.3932833737797207,0.5880165100097656,-0.0656527645058102,-0.2603859007358551,8,1,3,3,0,0,0.527207612991333,0.45333799719810486,0.5058042969968584,0.614945650100708,-0.0524662997987535,-0.16160765290260315,0.527207612991333,0.45333799719810486,0.5058042969968584,0.614945650100708,-0.0524662997987535,-0.16160765290260315
pog,text,IBxBI,5470,25370,G,"[39013, 38138, 42881, 47454, 1126, 41961, 25370, 38498, 37409, 31567]","[40293, 42302]",[],1,2,2,0.47984251379966736,0.4398641685644786,0.527182936668396,0.039978345235188784,-0.04734042286872864,4,2,0,0,0,0,,,,,,,,,,,,
pog,text,IBxBI,16273,10818,C,"[4546, 6584, 10818, 6041, 27611, 19576, 4809, 13965, 18163, 46311]","[40422, 28460]",[],1,4,3,0.4537320137023926,0.4368780851364136,0.6211264729499817,0.016853928565979004,-0.1673944592475891,5,2,0,0,0,0,,,,,,,,,,,,
pog,text,IBxBI,14269,26865,E,"[29792, 12745, 20207, 14299, 26865, 47745, 8382, 20918, 7812, 618]","[29952, 2740]","[13111, 2123, 24848]",1,4,3,0.5301190614700317,0.4663773046599494,0.5551215410232544,0.06374175681008232,-0.025002479553222656,3,2,3,3,0,0,0.7183159589767456,0.5340502858161926,0.5187731583913168,0.6087948083877563,0.015277127424875858,-0.07474452257156372,0.7183159589767456,0.5340502858161926,0.5187731583913168,0.6087948083877563,0.015277127424875858,-0.07474452257156372
pog,text,IBxBI,6167,46775,A,"[46775, 15976, 14273, 27737, 11234, 20657, 20675, 16678, 41403, 38456]","[43306, 32220]",[],1,3,3,0.5124858617782593,0.43829898370636833,0.6138094663619995,0.07418687807189095,-0.10132360458374023,3,2,0,0,0,0,,,,,,,,,,,,
pog,text,IBxBI,1665,13718,D,"[38022, 46423, 38301, 13718, 6855, 12723, 29244, 30865, 3488, 5426]",[46256],"[13128, 25467, 35482]",1,4,3,0.2932138741016388,0.3823449909687042,0.4609047472476959,-0.08913111686706543,-0.16769087314605713,10,1,3,3,0,0,0.47751203179359436,0.4977017343044281,0.5851334830125173,0.7531625032424927,-0.08743174870808923,-0.2554607689380646,0.47751203179359436,0.4977017343044281,0.5851334830125173,0.7531625032424927,-0.08743174870808923,-0.2554607689380646
pog,text,IBxBI,15060,30993,G,"[46475, 44835, 21614, 13202, 10978, 13455, 30993, 21154, 23750, 2034]",[28081],"[17338, 43329, 1290]",1,8,8,0.32348573207855225,0.29768703877925873,0.3747190237045288,0.025798693299293518,-0.05123329162597656,2,1,3,3,0,0,0.7049980163574219,0.365761935710907,0.37674622072113884,0.5115298628807068,-0.010984285010231853,-0.1457679271697998,0.7049980163574219,0.365761935710907,0.37674622072113884,0.5115298628807068,-0.010984285010231853,-0.1457679271697998
pog,text,IBxBI,10137,13301,C,"[5869, 32599, 13301, 45179, 3394, 32183, 21754, 43247, 41530, 44983]",[8393],"[17955, 40907, 15489]",1,2,3,0.4885977506637573,0.4173245429992676,0.4817606806755066,0.07127320766448975,0.006837069988250732,1,1,3,3,0,0,0.5760682821273804,0.5827963948249817,0.489448176489936,0.6588780879974365,0.0933482183350457,-0.07608169317245483,0.5760682821273804,0.5827963948249817,0.489448176489936,0.6588780879974365,0.0933482183350457,-0.07608169317245483
pog,text,IBxBI,1403,18615,E,"[44304, 40817, 17487, 40387, 18615, 27561, 5667, 14240, 17426, 2344]","[2727, 37364]","[35569, 12505, 84]",1,2,6,0.49321338534355164,0.4243326783180237,0.5149757266044617,0.06888070702552795,-0.021762341260910034,2,2,3,3,0,0,0.6834557056427002,0.5628592371940613,0.5050972468323178,0.6418029069900513,0.057761990361743454,-0.07894366979598999,0.6834557056427002,0.5628592371940613,0.5050972468323178,0.6418029069900513,0.057761990361743454,-0.07894366979598999
pog,text,IBxBI,18292,34565,C,"[36169, 36791, 34565, 12565, 26986, 46096, 19893, 16560, 26209, 12497]","[32610, 38960]",[],1,4,3,0.3433281183242798,0.4632091257307265,0.5733746290206909,-0.1198810074064467,-0.23004651069641113,9,2,0,0,0,0,,,,,,,,,,,,
pog,text,IBxBI,9539,13906,D,"[30021, 16874, 30265, 13906, 15928, 43273, 34266, 18958, 1876, 11334]","[37013, 10898]","[15054, 14965, 31966]",1,2,2,0.32991135120391846,0.5169081820382012,0.6176012754440308,-0.18699683083428276,-0.2876899242401123,10,2,3,3,0,0,0.6642196178436279,0.44331783056259155,0.4818832178910573,0.5673378705978394,-0.03856538732846576,-0.1240200400352478,0.6642196178436279,0.44331783056259155,0.4818832178910573,0.5673378705978394,-0.03856538732846576,-0.1240200400352478
pog,text,IBxBI,17347,13483,G,"[38306, 18461, 39709, 29579, 14505, 34713, 13483, 16105, 44240, 30626]",[21544],"[17317, 32647, 28572]",1,3,2,0.39519578218460083,0.41895820366011727,0.5743139982223511,-0.023762421475516438,-0.17911821603775024,4,1,3,3,0,0,0.5968948006629944,0.5202001333236694,0.5516606238153245,0.647112250328064,-0.03146049049165511,-0.12691211700439453,0.5968948006629944,0.5202001333236694,0.5516606238153245,0.647112250328064,-0.03146049049165511,-0.12691211700439453
