dataset,embedding_space,unique_view,count,valid_context_count,input_gt_sim_mean,input_gt_sim_median,input_distractor_mean_sim_mean,input_distractor_mean_sim_median,input_distractor_max_sim_mean,input_distractor_max_sim_median,input_gt_margin_vs_distractor_mean_mean,input_gt_margin_vs_distractor_mean_median,input_gt_margin_vs_best_distractor_mean,input_gt_margin_vs_best_distractor_median,input_gt_rank_by_embedding_mean,input_gt_rank_by_embedding_median,context_input_sim_mean,context_input_sim_median,context_gt_sim_mean,context_gt_sim_median,context_distractor_mean_sim_mean,context_distractor_mean_sim_median,context_distractor_max_sim_mean,context_distractor_max_sim_median,context_gt_margin_vs_distractor_mean_mean,context_gt_margin_vs_distractor_mean_median,context_gt_margin_vs_best_distractor_mean,context_gt_margin_vs_best_distractor_median,context_excl_input_input_sim_mean,context_excl_input_input_sim_median,context_excl_input_gt_sim_mean,context_excl_input_gt_sim_median,context_excl_input_distractor_mean_sim_mean,context_excl_input_distractor_mean_sim_median,context_excl_input_distractor_max_sim_mean,context_excl_input_distractor_max_sim_median,context_excl_input_gt_margin_vs_distractor_mean_mean,context_excl_input_gt_margin_vs_distractor_mean_median,context_excl_input_gt_margin_vs_best_distractor_mean,context_excl_input_gt_margin_vs_best_distractor_median,num_context_items_mean,num_context_items_median,num_context_excl_input_items_mean,num_context_excl_input_items_median,context_contains_input_mean,context_contains_input_median,context_contains_gt_mean,context_contains_gt_median
pog,bi,BIxIB,21,15,0.09035928112765153,0.07864838093519211,-0.023918897519627263,-0.029510561376810074,0.2152187160792805,0.17192497849464417,0.11427817864727878,0.0770148519012663,-0.12485943495162896,-0.12214374542236328,4.619047619047619,4.0,0.8674363772074382,0.9352085590362549,0.09586740806698799,0.03234630823135376,-0.024273352980337764,-0.02544818114903238,0.21094877570867537,0.18023782968521118,0.12014076104732575,0.02928373134798474,-0.11508136764168739,-0.13758176565170288,0.8637280662854513,0.9403496980667114,0.09537863507866859,0.02277754247188568,-0.023831067317061957,-0.024259007225433987,0.21408174137274424,0.18707606196403503,0.11920970239573056,0.029222020672427282,-0.11870310629407564,-0.13696863874793053,5.857142857142857,7.0,5.0,6.0,0.7142857142857143,1.0,0.0,0.0
pog,bi,IBxBI,17,12,0.35553997108603225,0.24317459762096405,-0.027839168881863552,-0.009111435049109988,0.30774936299113664,0.24531224370002747,0.3833791399678958,0.24154541889826456,0.04779060809489559,-0.014460332691669464,3.1176470588235294,2.0,0.4959676501651605,0.5427393615245819,0.987921396891276,0.9964466691017151,-0.03845504830004992,-0.005278546156154739,0.27514215527723235,0.15904366225004196,1.026376445191326,0.9962284078614579,0.7127792416140437,0.8379248231649399,0.4938313451906045,0.5427393615245819,0.9871204445759455,0.9927122592926025,-0.03873874988682844,-0.005278546156154739,0.27563654724508524,0.15904366225004196,1.025859194462774,0.9962284078614579,0.7114838973308603,0.8379248231649399,2.0588235294117645,3.0,1.9411764705882353,3.0,0.11764705882352941,0.0,0.0,0.0
pog,bi,IUxUI,14,5,0.07316304956163679,0.016114655882120132,0.0025177696010186567,0.0051810329573022,0.27861323367272106,0.20398995280265808,0.07064527996061816,0.0074751290182272605,-0.20545018411108426,-0.2288057543337345,4.928571428571429,5.5,0.06895008385181427,-0.13488301634788513,0.012248147279024124,0.03669705241918564,-0.007314400499065716,0.015766130553351507,0.2949204444885254,0.21644160151481628,0.019562547778089846,0.062042218529515795,-0.28267229720950127,-0.20063621923327446,0.013202819228172302,-0.13488301634788513,0.019114438444375992,0.03669705241918564,-0.012885911307401127,0.015766130553351507,0.2938336402177811,0.21644160151481628,0.032000349751777124,0.08483917928404278,-0.2747192017734051,-0.17974454909563065,1.0714285714285714,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0
pog,text,BIxIB,21,15,0.4307617559319451,0.4346773326396942,0.4276909525432284,0.421367175049252,0.5657434066136678,0.5810855627059937,0.003070803388716678,-0.005235138866636513,-0.13498165068172274,-0.1473882794380188,5.333333333333333,6.0,0.7507765730222066,0.7577831745147705,0.629190597931544,0.63226318359375,0.5553753568066492,0.5627177556355795,0.6537452459335327,0.6610921621322632,0.07381524112489488,0.06795945763587952,-0.02455464800198873,-0.028457164764404297,0.624107293287913,0.6401538252830505,0.6217612385749817,0.62591552734375,0.5326167541521568,0.551773789856169,0.6369134624799092,0.6583707332611084,0.08914448442282502,0.09226465556356644,-0.015152223904927571,-0.038359761238098145,5.857142857142857,7.0,5.0,6.0,0.7142857142857143,1.0,0.0,0.0
pog,text,IBxBI,17,12,0.4044654825154473,0.4044661521911621,0.42501980202649936,0.4368780851364136,0.547073723638759,0.5551215410232544,-0.02055431951105205,-0.0037681692176395054,-0.14260824112331166,-0.11507368087768555,5.705882352941177,5.0,0.6515970056255659,0.6738376617431641,0.4863259568810463,0.49692875146865845,0.5059993744448379,0.5102081017361747,0.6258237063884735,0.6252402663230896,-0.019673417563791637,-0.02495831416712868,-0.13949774950742722,-0.13276390731334686,0.6126914843916893,0.6051746904850006,0.48311040302117664,0.49692875146865845,0.5002235668124976,0.5023527807659574,0.6221858660380045,0.6210161447525024,-0.01711316379132095,-0.02495831416712868,-0.1390754630168279,-0.13276390731334686,2.0588235294117645,3.0,1.9411764705882353,3.0,0.11764705882352941,0.0,0.0,0.0
pog,text,IUxUI,14,5,0.48500142778669086,0.4845750629901886,0.4403509212628243,0.45251408053769004,0.5971871273858207,0.6168431043624878,0.0446505065238665,0.029035641087426095,-0.11218569959912982,-0.08197325468063354,4.285714285714286,4.0,0.6964905261993408,0.6497650146484375,0.6341568827629089,0.6268037557601929,0.5151817944314745,0.5075390703148313,0.6810619950294494,0.6469722390174866,0.11897508833143447,0.07561884654892814,-0.046905112266540525,-0.04735761880874634,0.6617878794670105,0.6441701054573059,0.6388882517814636,0.6268037557601929,0.5112692866060469,0.5056628386179606,0.6765444874763489,0.6469722390174866,0.12761896517541677,0.07561884654892814,-0.03765623569488526,-0.04735761880874634,1.0714285714285714,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0
pog_dense,bi,BIxIB,27,27,0.5896396614887096,0.9029663801193237,-0.07600014488914131,-0.0019226111471652985,0.8772639058254383,0.9327049255371094,0.6656398063778509,0.8569296416309145,-0.2876242443367287,-0.006518423557281494,3.111111111111111,2.0,0.8651496624505078,0.9946007132530212,0.5858082354620651,0.9846948385238647,-0.09185169321396713,-0.05506615175141229,0.952153828408983,0.989099383354187,0.6776599286760322,0.9521481328540378,-0.36634559294691793,-0.0023822784423828125,0.8614527428591693,0.9904459714889526,0.5845304619934824,0.9838329553604126,-0.09218311742132093,-0.05434055791960822,0.9514075274820681,0.9878578782081604,0.6767135794148034,0.9535621537102593,-0.36687706548858573,-0.0025264620780944824,7.962962962962963,8.0,6.444444444444445,6.0,1.0,1.0,0.14814814814814814,0.0
pog_dense,bi,IBxBI,33,31,0.6954947321703939,0.9576085805892944,-0.05386684699492021,-0.11171998932129806,0.7946195503075918,0.9512214064598083,0.7493615791653142,0.7854842825068368,-0.09912481813719778,0.001819908618927002,2.121212121212121,1.0,0.6918022478780439,0.9700194597244263,0.9937329407661192,0.9978277087211609,0.01996456757588412,0.0002579159206814236,0.9432702160650684,0.981748104095459,0.9737683731902351,0.9993477397494845,0.05046272470105079,0.012238621711730957,0.6748282284165422,0.9642407894134521,0.994734541575114,0.9976699948310852,0.022239423922642512,0.0005067247483465406,0.9546380956967672,0.983871340751648,0.9724951176524714,0.9975704890158441,0.04009644587834676,0.006948977708816528,2.727272727272727,3.0,2.1818181818181817,2.0,0.48484848484848486,0.0,0.0,0.0
pog_dense,bi,IUxUI,13,13,0.6396014392375946,0.8206052780151367,-0.06882363336526941,0.02463357336819172,0.7686117658248315,0.8074917793273926,0.708425072602864,0.5301479548215866,-0.12901032658723685,-0.030526816844940186,3.230769230769231,3.0,0.3049905598163605,0.26363804936408997,0.35289618602165806,0.6637409925460815,-0.15384326526560846,-0.05150436030493842,0.792932621561564,0.8908481001853943,0.5067394512872665,0.71524535285102,-0.44003643553990585,-0.09569567441940308,0.3049905598163605,0.26363804936408997,0.35289618602165806,0.6637409925460815,-0.15384326526560846,-0.05150436030493842,0.792932621561564,0.8908481001853943,0.5067394512872665,0.71524535285102,-0.44003643553990585,-0.09569567441940308,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
pog_dense,text,BIxIB,27,27,0.4634407030211555,0.4351792335510254,0.4778135298701471,0.48412662082248265,0.5934559437963698,0.5724806189537048,-0.014372826848991611,-0.02772699793179828,-0.1300152407752143,-0.13158565759658813,6.185185185185185,7.0,0.8014806509017944,0.8004724383354187,0.6064508424864875,0.6079800128936768,0.5566989676451978,0.5595240460501777,0.6409143540594313,0.6390329599380493,0.04975187484128976,0.043718477090199825,-0.03446351157294379,-0.04623878002166748,0.6821170250574747,0.6899218559265137,0.6068934235307906,0.6137866973876953,0.5383169193571978,0.5432470175955031,0.6316396174607454,0.6273300647735596,0.06857650417359278,0.05709536870320642,-0.02474619392995481,-0.03662562370300293,7.962962962962963,8.0,6.444444444444445,6.0,1.0,1.0,0.14814814814814814,0.0
