dataset,embedding_space,unique_view,count,valid_context_count,input_gt_sim_mean,input_distractor_mean_sim_mean,input_gt_margin_vs_distractor_mean_mean,context_input_sim_mean,context_gt_sim_mean,context_gt_margin_vs_distractor_mean_mean,context_excl_input_input_sim_mean,context_excl_input_gt_sim_mean,context_excl_input_gt_margin_vs_distractor_mean_mean,context_contains_input_mean,context_contains_gt_mean
pog,bi,BIxIB,21,15,0.09035928112765153,-0.023918897519627263,0.11427817864727878,0.8674363772074382,0.09586740806698799,0.12014076104732575,0.8637280662854513,0.09537863507866859,0.11920970239573056,0.7142857142857143,0.0
pog,bi,IBxBI,17,12,0.35553997108603225,-0.027839168881863552,0.3833791399678958,0.4959676501651605,0.987921396891276,1.026376445191326,0.4938313451906045,0.9871204445759455,1.025859194462774,0.11764705882352941,0.0
pog,bi,IUxUI,14,5,0.07316304956163679,0.0025177696010186567,0.07064527996061816,0.06895008385181427,0.012248147279024124,0.019562547778089846,0.013202819228172302,0.019114438444375992,0.032000349751777124,0.07142857142857142,0.0
pog,text,BIxIB,21,15,0.4307617559319451,0.4276909525432284,0.003070803388716678,0.7507765730222066,0.629190597931544,0.07381524112489488,0.624107293287913,0.6217612385749817,0.08914448442282502,0.7142857142857143,0.0
pog,text,IBxBI,17,12,0.4044654825154473,0.42501980202649936,-0.02055431951105205,0.6515970056255659,0.4863259568810463,-0.019673417563791637,0.6126914843916893,0.48311040302117664,-0.01711316379132095,0.11764705882352941,0.0
pog,text,IUxUI,14,5,0.48500142778669086,0.4403509212628243,0.0446505065238665,0.6964905261993408,0.6341568827629089,0.11897508833143447,0.6617878794670105,0.6388882517814636,0.12761896517541677,0.07142857142857142,0.0
pog_dense,bi,BIxIB,27,27,0.5896396614887096,-0.07600014488914131,0.6656398063778509,0.8651496624505078,0.5858082354620651,0.6776599286760322,0.8614527428591693,0.5845304619934824,0.6767135794148034,1.0,0.14814814814814814
pog_dense,bi,IBxBI,33,31,0.6954947321703939,-0.05386684699492021,0.7493615791653142,0.6918022478780439,0.9937329407661192,0.9737683731902351,0.6748282284165422,0.994734541575114,0.9724951176524714,0.48484848484848486,0.0
pog_dense,bi,IUxUI,13,13,0.6396014392375946,-0.06882363336526941,0.708425072602864,0.3049905598163605,0.35289618602165806,0.5067394512872665,0.3049905598163605,0.35289618602165806,0.5067394512872665,0.0,0.0
pog_dense,text,BIxIB,27,27,0.4634407030211555,0.4778135298701471,-0.014372826848991611,0.8014806509017944,0.6064508424864875,0.04975187484128976,0.6821170250574747,0.6068934235307906,0.06857650417359278,1.0,0.14814814814814814
pog_dense,text,IBxBI,33,31,0.44731995373061206,0.45914135276267826,-0.011821399032066165,0.7641974379939418,0.4692269140674222,-0.016662934454538484,0.6500891824563344,0.4486679911613464,-0.02166626685195499,0.48484848484848486,0.0
pog_dense,text,IUxUI,13,13,0.47599175572395325,0.46811749614202053,0.007874259581932651,0.615565708050361,0.5418007648908175,0.026045269181585725,0.615565708050361,0.5418007648908175,0.026045269181585725,0.0,0.0
