bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio,valid_only_hit_rate,cfg_num_cans,cfg_num_token,cfg_toy_eval,cfg_seed,cfg_shuffle_seed,cfg_use_hard_negative
722.0,24445.0,4.0,E,[6606],"[43712, 10621, 30288, 19254, 24445, 47966, 27471, 34939, 39495, 35369]","1. 2018春新款?口黑色小蜜蜂高?鞋女小?新蝴蝶?尖???中??鞋
","A. 旅途原品_??牛皮?皮?肩包 ??款?古??女士斜跨女包[初?]
; B. DIN?版2018秋?新款自留款??28支美??羊毛系??腿?休??
; C. COCOBELLA字母印花磨毛打底衫女套???高??色?袖T恤TE593
; D. 5cm?增高小蜜蜂刺?明星同款小白鞋 女休?旅游?版系?板鞋春夏
; E. ?美?性??潮耳勾耳??款 ???古?廷?金???耳?女耳?
; F. 香港代?全皮包包女2019新款潮?版菱格??包小香??肩斜?包
; G. ???2019春??BF???休??女??松ins?色哈??校服?潮
; H. 帽子女秋冬天毛?帽?版冬款加???帽2018新款??百搭潮?耳帽
; I. ?皮?增高女鞋8cm秋冬季2018新款磨砂黑色厚底休???鞋女加?
; J. 高腰?松破洞牛仔?女夏2018新款?版?瘦chic?生百搭港味初??
",F,F,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
2266.0,10879.0,1.0,B,"[35611, 8973]","[1540, 10879, 26779, 21065, 9083, 5638, 19706, 45823, 28886, 17927]","1. 2019新款?版毛毛小包包女??百搭迷?小方包chic???肩斜?包
; 2. EEKE Studio 925??心女款心形???意?骨???小??品?物
","A. NOTHOMME日系潮牌?接???松??袖T恤半袖男士情?tee短袖?哈
; B. 2019春季新款女鞋里外?皮高?鞋?口尖??鞋百搭粗?中?工作鞋
; C. Special925?耳?耳?无耳洞?款流?耳???女??森系??耳?
; D. ???代 MLB棒球帽帽子男女紫色?舌遮?????LA道奇刺?CPEA
; E. 【永久下架】ONLY秋季新款低腰毛?微喇九分牛仔?女|117349647
; F. Sogo★?版chic?色???雷帽女秋冬可?南瓜帽文?休??家帽潮
; G. 大喜自制2018秋冬新款??撞色?接彩虹手?毛衣女套??松羊毛衫
; H. 2018新款?版?皮平底?鞋?古??鞋女春秋季防滑牛筋?底豆豆鞋
; I. 西西里男?春季港??白???衣?袖?版潮男?松bf?帽?衫外套
; J. ??女鞋2018新款粗??版???筒靴冬季中??靴瘦瘦靴?膝靴女
",C,C,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
4809.0,22427.0,1.0,B,[47294],"[7616, 22427, 11817, 34717, 10820, 43661, 4193, 43180, 20045, 17053]","1. MOERCC2018新款?肩包女士手提包?皮休?斜?包牛皮?古??女包
","A. A21秋冬男??衣 字母印花格子?接假?件????潮
; B. 芦夫人鞋子女春秋季2019新款百搭?版??淑女?口平底?鞋瓢鞋夏
; C. 太平?男? 冬款男士高???白色???典?皮潮休?鞋B2ZA64106
; D. 九月陌墨 2019秋季新款女?印花雪??接?衣裙 中?款休??
; E. 加?帆布鞋女2019新款冬?生?版原宿ulzzang百搭小白港?ins板鞋
; F. 西西里男?男短袖?衫港?chic?松夏季?版潮流英?中袖?衣
; G. 拾光定制2019春季新款?古低?蝴蝶?深口?鞋尖?四季??小皮鞋
; H. ?腿?女夏??2019春秋新款?感垂感???高腰??直筒?休??
; I. 阿黑 ??ins人?耳??脂?白色半?口圈圈大耳?街拍名媛耳?女
; J. 2019夏?新款OL????收腰短袖?瘦中?款荷???衣裙?雅名媛
",J,J,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
11737.0,39944.0,6.0,G,[41715],"[39915, 23668, 4207, 969, 17969, 8753, 39944, 4642, 15192, 45281]","1. 范智? 露?短袖女夏????色短款t恤?棉百搭修身?瘦?范上衣
","A. JHXC ?古格子牛角?毛?外套女中?款2018秋冬新款?面羊?大衣
; B. ?版夏天小?帽子潮女英?草帽 ?古蝴蝶???遮太?沙?帽子
; C. ?帽牛仔外套女?生短款?版?松bf百搭2017新款原宿?春秋?潮人
; D. K家???腿?女春夏薄款松?腰垂感百搭?瘦2019新款休????
; E. MASOOMAKE2018新款加??丁靴女英?? 冬季系?雪地靴女棉鞋短靴
; F. 水貂?豹?V?毛衣女2018秋季新款短款?松百搭??套???上衣
; G. 范智? 休????女?生?版?松原宿bf???腿?九分?女夏
; H. ?不二2018新款?松一字?格子?衫女夏小心机荷??短款?衣上衣
; I. 衣品?原?大?假?件??套??衫?MM女?中?款?松上衣春?
; J. ?丁靴女英??2017新款?皮?古方?高?女鞋秋冬季粗?短靴子女
",D,D,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
17869.0,43126.0,4.0,E,[32245],"[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]","1. 耳?女???????石????耳??美雪花水?耳?防?敏?品
","A. ??百??色?衫女?袖2019春?新款????OL上衣??磨毛?衣
; B. ?古一字?系?薄款?麻?衫女 夏季?版chic???色上衣娃娃衫
; C. 范智? 2018春?新款?古毛衣女?松?衫??衫外套
; D. 古伊萱2019春新款潮女??ins超火?版???珠?接手提?肩包包
; E. 夏?文定制 ????高腰?瘦半身裙短裙女春款??百搭?色A字裙
; F. ?家RMOJUL 2018夏?女?新款 ?布狗狗刺?A字牛仔裙半身裙SW
; G. 2018秋冬新款加?加厚半高??面金???衣女?松刺??版外套潮
; H. ???款耳?民族?古?耳?????超仙??瘦耳??新款耳?女
; I. 鹿??? 原?夏?舒适??全棉短袖?T?衣裙打底裙2色 1615#Q
; J. ?切?冬季短款加??帽?衣日系?古?松刺??色套?上衣男帽衫
",H,H,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
12361.0,26154.0,0.0,A,[32117],"[26154, 28539, 21189, 4960, 37285, 21853, 1654, 3688, 41202, 39433]","1. 特步板鞋休?鞋正品年春季????鞋情?潮流潮流情?款小白鞋
","A. AK男? 新款都市特工袖子印花??套??年休??衣上衣男潮
; B. 【特价】新款立?裁剪毛??形束脚?加厚休??男?松小脚哈??
; C. 凉鞋女夏2018新款?版?生仙女平底??百搭一字??平?白色女鞋
; D. ??同款超高腰牛仔?女春不????小脚??瘦修身破洞九分?潮
; E. EP雅? 2019秋冬新款女??花?帽套?上衣?袖?衣EJDAW5208A
; F. 原??皮女包??牛皮大容量女士大包包文??肩包托特包2019新款
; G. queenhot 拯救小短腿 基本款?力?瘦大?腿黑色打底?
; H. 西遇女鞋春秋季新款牛皮透???系?平底低?休?滑板鞋女小黑鞋
; I. 盆帽女夏季ulzzang原宿??妹?夫帽女?版?生可?日系防?帽子
; J. 2019春季ulzzang?古做?星星平底小?鞋女休?鞋街舞高?帆布
",B,B,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
4551.0,32272.0,2.0,C,"[32824, 24325]","[19155, 47719, 32272, 19995, 41106, 41550, 21652, 10778, 16170, 41367]","1. im向自制 秋季女百搭?袖?衣?版?古chic小?新格子bf??衫
; 2. 朴正?  春季新款中?款牛角?毛?外套女羊??子大衣
","A. 【?件249】猫?紫/原?日系女?古印花加棉?克外套加厚棒球服
; B. 素木原?大?撞色?接?衣裙女短袖高腰?瘦A字裙女OY3049
; C. EKOOL不??修身高腰打底?女外穿九分?身?力小脚??瘦??子
; D. ?佰格夏天小包包女2019上新款春款ins????百搭?肩斜?女包
; E. 五角星耳?女?性???????款吊?百搭性感??星星耳?耳?
; F. ?款?衣??女抽褶?松大衣廓形???外套?雅?古山本耀司
; G. 定制2018冬季新款蝴蝶??毛??色棉服?松加?加厚羊羔毛外套女
; H. ??名媛夏?2019新款ifashion裙子女?黑色?件套?衣裙中?款潮
; I. TASHUO包包女2018新款蛇?包??白??小方包?肩斜跨?琴包女包
; J. GXG男? 男士?色休?修身款?帽羽?服男外套#64211130
",D,D,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
379.0,39127.0,8.0,I,"[8719, 6839]","[13334, 35153, 27939, 44, 36231, 12369, 38568, 25367, 39127, 15496]","1. 特?出游拉菲草帽子 女士夏?版 大?沙?帽防紫外?遮?帽可折?
; 2. 九月陌墨 2019夏季新款女?中?娃娃??衣裙 ?版?松休?裙子女
","A. SX善喜2019款春一字?上衣女港?女?性感名媛??斜肩打底衫?松
; B. A21polo衫男 夏季???力潮流?年短袖男生休?男?上衣
; C. 夏天上新?皮小包包女2019新款潮百搭斜?手提包迷??皮女包?皮
; D. [早晨?]Converse Jack Purcell 匡威 ?口笑 低?皮?帆布鞋 T#
; E. VH女包新款潮流手提包???色斜?包?新牛皮通勤休?百搭?肩包
; F. 2018新款雪地靴女磨砂皮羊毛一?大毛球?生雪地棉鞋女平底保暖靴
; G. ?洲站一脚?白色???毛毛鞋女新款春豆豆鞋??泰迪毛毛鞋女鞋
; H. 微笑向暖法式?古裙?膝?幅刺??件套?衣裙仙女裙春?2019款女
; I. Keds秀晶款女百搭基?小白鞋皮面厚底松?鞋休?板鞋WH57310
; J. SINCE THEN?那以后深V?沙?裙度假短裙中?款?衣裙女 ?珍珠
",C,C,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
10076.0,11606.0,6.0,G,"[22106, 29575]","[18780, 18870, 26030, 42036, 48201, 30559, 11606, 35534, 10506, 19327]","1. 海?船??新款粉?花耳?女?????耳????性耳???耳?
; 2. VSVELSUS2018新款?肩斜?????小方包女包VA503902
","A. 短筒皮毛一?雪地靴女2018新款松?底棉鞋冬鞋保暖厚底短靴?版
; B. 《福利款》?色面包服   不退不? 介意?拍
; C. OSSO??珍鞋2017秋季新款金?一字?女鞋中?粗?中空方??鞋女
; D. 小辣椒?膝靴女2018新款?力靴中粗??筒瘦瘦靴子女秋冬季高筒靴
; E. 包包女2018新款 ???枝?牛皮百搭??梯形包 ?肩手提??女包
; F. 耳????雅??女???款花?吊?百搭耳?和田玉?花耳?耳?
; G. 人本2018厚底小白鞋女新款百搭皮面白色板鞋松?底系??色休?鞋
; H. BAO STYLE◆??金色?形??耳?女 ????大耳???耳?潮
; I. 女?秋?2018新款??潮亮????色?版?松????毛衣女套?
; J. S家原?女?秋季2018年新款?子?松??束脚???休??女
",I,I,0.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
14042.0,13907.0,1.0,B,"[582, 26217]","[359, 13907, 18639, 5486, 9889, 12199, 47474, 43932, 45516, 19213]","1. 李?斯男鞋夏季白色帆布鞋男低?布鞋子男一脚??人板鞋休?潮鞋
; 2. Mbbcar?美西海岸潮男猫?洗水??磨白?色赤耳丹?九分牛仔?男
","A. 短款?衣女2019春?新款?版?松木香屋6452系??排?小?子外套
; B. 吃茶去男款??有机棉??短袖T恤 白黑素色打底?色 休?文?
; C. CHROUSE&amp;KLOTH ??包包女新款2019新加坡小ck亮片百搭限定斜?包
; D. 港?oversize假?件?帽牛仔外套女春?2019新款?松?袖?克上衣
; E. 花栗鼠小姐 2019新款 ??百搭 基?款毛??牛仔半身裙黑色白色
; F. 空?一?2018nike中?男鞋高?耐克女鞋af1 mid黑色低?小白板鞋
; G. 妖精的口袋秋冬季潮羊毛?生?帽?接?子大衣中?加厚毛?外套女
; H. 二十八?春?日系?古街?潮牌???衫男士休??松情??衣?袖
; I. 人本帆布鞋女文?小白鞋女春季2019新款百搭透??生平底休?板鞋
; J. GBOY冬季潮流?性刺???衫男?年?松水洗毛衣日系套?打底?衫
",B,B,1.0,0.3534136546184739,0.996,0.3534136546184739,10,5,250,45,41,True
