bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
9388,27985,8,I,"[4787, 27786]","[24318, 15694, 29946, 22029, 8514, 14752, 14082, 19082, 27985, 28032]",1. 小跟短靴女2018新款网红百搭方头粗跟冬季加绒及裸靴短筒高跟靴子; 2. 限时7.5折 所有外套都配 百褶抽绳半高领打底针织连衣裙,A. 【打折】糖力2018夏装新款欧美蛋糕裙荷叶边印花雪纺连衣裙长裙女; B. 【MONA】中长款羊羔毛大衣女冬季新款驼色宽松原宿加厚复古外套潮; C. 银色亮面短裤女春夏季2019新款韩版靴裤高腰百搭外穿休闲阔腿裤子; D. 韩国东大门气质百搭长款CD不对称镶钻珍珠耳环夸张字母气质女耳饰; E. 韩都衣舍2018韩版女装夏装新款刺绣露肩假两件连衣裙OY7173.焕; F. A7seven 宽松显瘦纯色不规则毛衣外套女秋冬韩版学生百搭针织开衫; G. 迪桑娜春季新款女包真皮小方包女包撞色反毛单肩包链条豆腐斜挎包; H. 子晴冬季新款羊毛双面呢外套女气质修身百搭韩版chic保暖呢子大衣; I. ins网红贝雷帽女春秋韩版日系百搭画家帽黑色英伦八角帽女帽子夏; J. 夏季质感洋气小包包女ins潮大气时尚百搭手提斜挎女包网红水桶,H,H,0,0.334,0.966
21401,6491,9,J,"[3596, 27114]","[21181, 20779, 25159, 29904, 15203, 30855, 18915, 9556, 7144, 6491]",1. 正品冠琴手表男士超薄真皮带男表 非机械表时尚防水石英表潮流; 2. 沙滩帽女巴拿马草帽遮阳帽夏小清新海边海滩帽太阳帽度假防晒帽子,A. 人本帆布鞋女春韩版ins同款原宿街拍平底板鞋 学生百搭休闲小白鞋; B. 拉菲斯汀包包女2019夏季新款潮韩版时尚百搭单肩斜挎链条小方包; C. Fondberyl/菲伯丽尔新款一字带舒适低跟拖鞋FB82110131; D. 好质量小众日式简约优雅宽檐遮阳草帽 很细草编渔夫帽盆帽 可折叠; E. 【SASA小姐】定制 夏款时尚随性流苏边前后拉链设计牛仔短裤女; F. GENANX闪电潮牌六分裤男抽绳口袋装饰嘻哈宽松短裤男韩版潮流帅气; G. VANS范斯经典款男鞋女鞋黑白低帮Old Skool休闲滑板鞋VN-0D3HY28; H. 熊猫本 男仿棉麻短裤日系夏五分裤ifashion宽松亚麻弹性潮休闲裤; I. 勿上热风2018年春季新款淑女系带休闲鞋深口圆头小白鞋H13W8103; J. 【11.11零点6折清仓】衣品乐大码中长款针织拼接棉麻印花连衣裙,B,B,0,0.334,0.966
11208,12800,9,J,"[18531, 24847]","[14518, 18668, 1918, 10497, 15062, 6190, 28373, 19210, 1400, 12800]",1. 秋水伊人2018春秋装新款女装方领雪纺碎花系带印花小香风连衣裙子; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. 宽织带拉菲草平顶草帽女夏天英伦蝴蝶结礼帽短檐出游海边沙滩帽子; B. 衣品天成2018冬新款韩版加绒绣花连帽慵懒风卫衣女学生超火的上衣; C. 2019新款韩版百搭性感一字带仙女凉鞋小清新高跟鞋女夏细跟猫跟鞋; D. 淑女名媛女秋冬2018新款高腰裙子显瘦a字裙拼接修身连衣裙中长款; E. Belle/百丽凉鞋商场同款优雅尖头细高跟中空女鞋BGAH2AK7; F. 短靴女2018秋冬新款平底切尔西靴真皮磨砂复古马丁靴英伦及踝靴子; G. Mantova曼托瓦2019新乐福中性女鞋英伦白色浅口圆头平底真皮女; H. 抽绳水桶包大容量女2019新款网红同款真皮MG鹿皮单肩休闲斜跨小包; I. 冬季运动鞋女加绒厚底超火百搭老爹鞋ulzzang原宿学生网红智熏鞋; J. Steve Madden/思美登2018凉拖女鞋平底一字毛绒拖鞋外穿女SOFTEY,C,C,0,0.334,0.966
14200,16886,6,G,"[29032, 29124]","[12963, 550, 23108, 2558, 26738, 18050, 16886, 23669, 5285, 321]",1. 特价清仓不退换/高领针织衫连衣裙直筒内搭打底显瘦毛衣裙子女; 2. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包,A. 九月陌墨 2019秋季新款女装连帽拼接风衣外套女 韩版休闲宽松上衣; B. 劳士顿专柜正品女士手表女防水钨钢女表潮流时尚款女2019新款手链; C. 一脚蹬毛毛鞋女冬外穿2018新款百搭韩版粗跟单鞋尖头豆豆鞋女加绒; D. 秋冬新款水桶包女2018潮韩版手提斜挎百搭简约大容量时尚单肩包; E. 夏季度假平底凉鞋女2019新款罗马百搭绑带夹脚波西米亚学院风流苏; F. FAIRY WANG 18秋冬女装 高端立体剪裁时髦吸烟裤/西装裤 P18AW015; G. 网红瘦瘦靴粗跟短靴女2018秋冬新款百搭后拉链靴子英伦中跟马丁靴; H. 【SASA小姐】定制 春款白色蕾丝雪纺仙女丝质刺绣连衣裙配吊带 韩; I. 大象爱心棒球帽休闲百搭鸭嘴帽子女夏天防晒遮阳帽子出游户外帽; J. 茵曼新款女装春文艺范刺绣绣花牛仔背带裤女裤宽松直筒长裤,G,G,1,0.334,0.966
23312,27238,0,A,"[1932, 29124]","[27238, 24120, 9550, 27178, 29940, 13242, 29876, 14172, 23827, 25386]",1. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴; 2. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包,A. 稀有概率气质雾都蓝重工廓形风衣女长款过膝不对称设计感两穿外套; B. MG小象个性高腰牛仔裤女宽松2019新款chic直筒裤腰带修身毛边裤子; C. 嘉力奴新款双色小香单鞋粗跟明星同款欧美女士高跟鞋拼色浅口方头; D. Chinism春季休闲裤男侧边大口袋小脚裤工装裤简约宽松束脚裤潮; E. 雪地靴女2018新款羊皮毛一体水钻防滑防水冬季鞋子女棉鞋平底短靴; F. 钉珠亮片波浪纹系带收腰显瘦休闲连衣裙k; G. 2018秋季新款圆头粗跟单鞋女性感百搭短靴时尚羊猄皮高跟鞋欧洲站; H. 韩都衣舍2018韩版女装秋装新款立领条纹长袖中长款连衣裙EK8282囡; I. 蓝色复古修身呢子大衣加厚中长款羊毛呢外套秋冬季女装20199新款; J. ECCO爱步 春季圆头粗跟单鞋女 通勤浅口正装女鞋  雕塑45 230203,A,A,1,0.334,0.966
25705,17003,2,C,"[15228, 28196]","[3574, 6882, 17003, 17717, 30754, 2991, 19062, 443, 20406, 16014]",1. 小瑞靓包拼色菱格包包女2019新款简约百搭斜挎包单肩包小包包女包; 2. 【5折折扣】修身显瘦牛仔裤女直筒长裤灰色高腰薄绒小脚九分裤,A. 【CEBOSTIN】你要去哪儿 1021A1286 拼色手提单肩斜挎牛皮翅膀包; B. 高级感耳环女气质长款网红925银耳钉时尚流苏耳饰超仙大气耳坠; C. ins女鞋港风 超火网红单鞋2019秋季休闲运动真皮老爹鞋女松糕鞋; D. 唯璐库2019春季真皮高跟鞋通勤黑色蝴蝶结欧美女鞋细跟性感女单鞋; E. 学院风勋章v领毛衣女2018新款秋冬打底衫针织衫宽松短款上衣日系; F. 2019春秋新款露肩衬衫女修身显瘦假两件上衣拼接不规则条纹衬衣; G. 珂卡芙真皮韩版百搭小白鞋女2018新款春夏内增高松糕厚底休闲鞋女; H. 破洞牛仔九分裤女2018春秋新款时尚不规则毛边刺绣绣花显瘦牛仔裤; I. GUCCI/古驰GG MARMONT纯色珍珠双GLOGO装饰牛皮女士单肩斜挎包; J. 韩都衣舍2018夏装新款女装韩版镂空短袖吊带一字肩连衣裙IG8156僥,B,B,0,0.334,0.966
5022,23203,5,F,"[24914, 30641]","[6272, 16494, 6289, 6483, 18707, 23203, 30696, 23641, 10981, 8691]",1. 戈美其2018秋冬新款韩版瘦瘦靴 绒面粗跟小跟短靴休闲高跟靴子女; 2. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,A. 安小落自制毛呢格子半身裙子女春新中长款百搭宽松A字大摆伞裙; B. 施华洛世奇BETTER幸运草四叶草吊坠项链锁骨链女  送女友礼物; C. left lady 新款高端气质女装欧美大牌修身显瘦绣花蕾丝连衣裙; D. 仙人掌耳钉女925纯银ins气质迷你耳饰日韩小耳骨钉不对称百搭耳环; E. LIN CHAO ZHANG 海岛度假风 修身v领优雅真丝印花碎花连衣裙; F. JACD 小众丝绒斜挎包2019新款泰国刺绣风琴包链条单肩包绒面女包; G. 一力米灰2018新款方头高跟细跟针织袜靴女秋冬季显瘦猫跟瘦瘦短靴; H. 米菲迷你贝壳包小清新手提单肩包2019新款斜挎手拎包女韩版百搭; I. Belle/百丽穆勒鞋春商场款羊皮后空平跟女凉拖鞋BNUA2AH7; J. [VNOOK2018冬季新款]连帽毛针织衫柔软领扣羊毛套头毛衣 女两色,A,A,0,0.334,0.966
19001,29328,5,F,"[5502, 20676]","[22717, 24875, 20158, 26511, 27375, 29328, 15813, 8432, 11914, 3505]",1. 韩版2018夏季时尚个性潮女士手提包甜美蝴蝶结粉色亮皮漆皮女包包; 2. 百丽商场同款女靴粗跟袜靴短靴中靴BAG60DZ7,A. 哈森 秋冬牛皮革韩版潮流小白鞋  系带平底休闲板鞋女 HS78403; B. 韩都衣舍2019春新款女装蕾丝鱼尾温柔仙女裙打底裙连衣裙GJ7669荃; C. 九月陌墨 2019夏季新款女装T恤吊带雪纺连衣裙 中长款两件套裙; D. 淑女V领收腰显瘦蕾丝连体裤阔腿短裤潮k; E. 升级 爆款来啦~巨显瘦 不挑人 高弹力松紧腰加厚拉毛牛仔裤长裤女; F. 芭蕾舞女孩显脸瘦的耳环女长款适合圆脸耳坠韩国气质耳钉夸张耳饰; G. Daphne/达芙妮17舒适粗跟宴会高跟鞋 水钻花朵绒面一字带女凉鞋; H. 韩版ulzzang百搭丝绒单肩包时尚气质少女斜挎包个性锁扣链条小包; I. 戴拉925银针长款耳环女 气质网红耳坠无耳洞仿珍珠高级感耳夹耳饰; J. 花间裳/朔风a 复古民国风宽松两件套旗袍连衣裙 仙 2018春夏新款,B,B,0,0.334,0.966
23312,17404,3,D,"[1932, 29124]","[5699, 6914, 14828, 17404, 27597, 9827, 17087, 19728, 26859, 18921]",1. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴; 2. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包,A. 森马连衣裙女2018夏季新款套装裙两件套浪漫蕾丝吊带裙T恤裙子; B. 粗跟凉鞋女夏韩版气质一字扣中跟尖头真皮裸色包头单鞋米白工作鞋; C. Jeffrey Campbell紫红色绸缎粉钻尖头浅口低跟凉鞋女18年春夏新品; D. 文文婷2019新款秋冬高腰显瘦金丝绒裤黑色坠垂感阔腿直筒拖地裤子; E. 九月陌墨 2019夏季新款女装韩版条纹连衣裙女 中长休闲立领a字; F. 子晴斗篷毛呢外套女中长款韩版2018冬季新款小个子流行大衣双面呢; G. 2018春季新款宽松森系文艺复古高腰衬衫长袖连衣裙长全身裙; H. jadyrose高跟尖头拖鞋包头凉拖女夏外穿时尚穆勒鞋粗跟女士皮凉鞋; I. 衣品天成 2019春季新款韩版时尚修身露肩套头毛衣女原宿毛衣女; J. Macy's女士学生简约时尚潮流防水手表女钻表Anne Klein161001588,D,D,1,0.334,0.966
23040,22455,3,D,"[1215, 10858]","[8435, 4441, 4061, 22455, 6222, 1361, 13823, 781, 15613, 20473]",1. 【满3件200元】sukol少女裙子两件套中长款超火学院沙滩连衣裙潮; 2. 2019新款女包韩版ins超火复古豆腐包box小方包百搭空姐单肩斜挎包,A. 秋冬打底针织毛衣过膝配大衣的长裙子法国小众连衣裙娃娃复古加厚; B. 勿上热风2018秋季小清新尖头女士平底鞋浅口一字扣带单鞋H01W8528; C. 深入人心的舒适感 纽扣装饰 高领细坑条羊毛针织衫 米虫爱吃米; D. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110; E. 条纹衬衫女长袖2018春装新款宽松韩版百搭学生chic超火的衬衣上; F. 包包女2019新款秋冬款真皮女包2019百搭斜挎包菱格链条迷你小包潮; G. 喵唔复古粗跟圆头系带单鞋女2018秋新款学院风中跟真皮制服小皮鞋; H. 张景亦 抖音同款！韩版冷淡风气质显瘦露腰无袖中长款A字连衣裙女; I. MIUCO时尚镂空chic短裙+几何针织裙连衣裙两件套k; J. 西西小可定制灯笼袖毛衣女秋冬2018新款韩版甜美中长款开衫外套潮,D,D,1,0.334,0.966
