bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio,valid_only_hit_rate,cfg_num_cans,cfg_num_token,cfg_toy_eval,cfg_seed,cfg_shuffle_seed,cfg_use_hard_negative
9388,27985,9,J,"[27786, 4787]","[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]",1. ùÚ?7.5ï¹ á¶êóèâ÷ßÔ´ÛÕ ÛÝã¨õÎ?ÚâÍÔ?öèî¼???ëýÏÙ; 2. á³?Ó­ü¨Ò³2018ãæÎ³??ÛÝ÷³Û°?ðØ?ÔÏÌùÊ¥?ÐàÕ£ü¨Ó­÷ÕÍÔ?ü¨í­,A. éÍmomo2018õð?ãæÎ³ùûÚ«?ó©???ëýÏÙèâô¾?Î³Ù¾ëýÏÙ?ã£öèî¼ÏÙ; B. á³øÐøÐÒ³2018ãæÎ³ðÍ?÷úù¾ô¸ù¾ÌùÛÝ÷³Ú»?á³úÅ?×ÔÌ«??ÞØ?á³øÐ; C. ?ñÁéâÙ¾?äÐ???ïÈÙÊì¼????âÀ?ß¹; D. ??Ê«Ò³?ÔÏÌù2018ãæÎ³?÷úÍÔé¦?â±?ïÃÛÝã¨Aí®ÚâãóÏÙñé?Î³@; E. ???øÐ?Úâöéû¹Ò³ù¾èâô¾2018ãæÎ³?ù«øÁî¼Ùéý¨??ìÑÙÏ×ÍÕØöéû¹; F. 2018ãæÎ³ù¾Ìù?ÏÙí­???chic?ëýÏÙimissõ±à¹Ò³V???ßäèßèßß¹; G. ?ëýÓÞ?ðÄõÕéÚí¨?Ò³2018ãæÎ³Ùþ??øÖí©????Í¯â©á©ñ®???; H. õðõÕÒ³?èâ÷ßchicùû?puÏõ?èâ÷ßÒ³?â±ù«?ÐºÍÔé¦ÝÏßäù«ëýÒ³Ó­Î³; I. 2018õðÌùãæÎ³??aí®ÏÙÍÔé¦?ßæéÚí¨ÏÙÛÜßäÚâãóÏÙèáá³?í­Ó­ÏÙÒ³; J. ins???ÖôÙ¶Ò³õðõÕ?÷úìíÍ§ÛÝ÷³?Ê«Ù¶ýÙßäçÈ?ø¢ÊÇÙ¶Ò³Ù¶í­ù¾,H,H,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
21401,6491,7,H,"[3596, 27114]","[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]",1. ïáù¡Î®ÐÖâ¢øúÑûÞÍõ±ÚÝ?ù«?Ñûøú ÞªÏõÌþøú??ÛÁâ©à´çÈøúðÍ×µ; 2. ÞÞ?Ù¶Ò³÷éÑÚ?õ®Ù¶ó´?Ù¶ù¾á³?ãæú­?ú­?Ù¶÷¼?Ù¶ÓøÊ£ÛÁ?Ù¶í­,A. ??2018ù¾ãæÎ³á³?ãæÒ³ÞÍ?ÙÊöéû¹èâô¾øÁî¼ýÌ?ìéí®öéðÍH60W8207; B. ?Ô´ëýÞì2018Ò³??÷úù¾?ãæÎ³?â±éÚí¨ÏÙÓ­ÏÙAí®ÚâãóÏÙIG6888èé; C. ôø?õðõÕãæÎ³???áæÛÝ÷³?Êï???âÀTýÑÒ³ÓÞ?öèî¼ß¹ß¾ëý; D. ¡¼ùÚ?÷å?¡½CASSILEéÚù«??ÛÝ÷³ãáÜæ??øÐ???Ì·ÞØ?øÐ; E. ?÷úýÌ?Ó­?Ò³ãÒ2019ù¾?ãæÎ³ÛÝ÷³áóãó?ßæÏé???òÁ÷Õ?í­ê«âÖ; F. í­ôç?ßäñé?Î³?ØüÒùåÏÙ¾ÓÞëýÒ³ÔÏ?2018ãæÎ³?Øüô¾Ù¾?èâ÷ß; G. ýñå¯2019ù¾ÌùãæÎ³ÖÚÛÎîÔ?ùÃ??ÛÝã¨chicõ±à¹á´Ò³ÏÙâ¥é¦?ëýÏÙ; H. ¡¼11.11ÖÃïÃ6ï¹??¡½ëýù¡?ÓÞ?ñé?Î³???ïÈØöØ«ìÔü£?ëýÏÙ; I. ÑÑÚ·?Kimio??ðÍ×µÛÁâ©Ò³ÞÍâ¢øú?ßæ???êÂ?ÓÞ?èÓøúà´çÈøú; J. ?Ì«ê«??ÛÜ????ß¹Ò³2018ãæÎ³?âÀõð??áæ?Ûõ??Í§?ß¾ëý,A,A,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
11208,12800,3,D,"[18531, 24847]","[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",1. õÕâ©ì¥ìÑ2018õðõÕ?ãæÎ³Ò³?Û°?àä?áïü£Í§?ìÔü£á³úÅ??ëýÏÙí­; 2. ??ÖÚÑÖ???òÒñÁì¼? Ò³ãÒ???Î³ì¼?ãæÎ³insì¼??÷úì¼?ù¡,A. PPM2019õð?ãæÎ³éÚí¨èâ÷ßÒ³?áæÓ­Î³oversize?ßæbf?÷úÛÝ÷³Î©û¡; B. OTS2018ÔÏÌùãæÎ³ùûÚ«CHICèâ÷ßù«Ù¾ìé??ßäÏõ?Ü×??Ó­Î³èâ÷ßÒ³; C. MGá³ßÚá³?ãæéÚí¨èâ÷ßÒ³?áæõðÌù2019ãæÎ³ýÌ?Ó­Î³?Ðºchicß¾ëýðÍ; D. Steve Madden/ÞÖÚ¸Ôô2018ÕØöéÒ³û¹øÁî¼ìéí®Ù¾?öéû¹èâô¾Ò³SOFTEY; E. ìéÊÅ?Ù¾Ù¾û¹Ò³ÔÏÊ¥?èâô¾2018ãæÎ³ÛÝ÷³?÷ú?Í¯à¹Ò³îÜû¹ðØ??û¹; F. 13ÕÞù¡2018ãæÎ³ÍÔé¦ÛÝ÷³ñé?Î³??ÚâãóÏÙõÕÔÏÒ³øÐÔëÏÙá³?í­ÏÙí­; G. ù¾ÌùðÍû¹ÛÜßä÷ùû¹Ñû?÷úðÍ×µ????ýÌ?û¹øÁî¼ÛÝ÷³á³ÛÜû¹Ñûû¹í­; H. ü£×Êà©á³î» ÷îà¤Ú·??ëýÏÙÒ³ù¾2019ãæÎ³ñéÏÙ?ã¨?êõ?îÔ?ÏÙ; I. 2019ù¾?ãæÎ³Ò³áóãó?â±Ó­Î³??ßäÖÚÛÎ?ëýÏÙøÐÔëchicÏÙí­ L1874; J. AbbottVintage¡¸?Ðô?¡¹éÚù«öõ÷åøÐÓÞé»Õáâ¢ð«øÐ?Ì·Ò³øÐãæù¡,J,J,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
14200,16886,7,H,"[29124, 29032]","[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]",1. ¡¼Ñõ?¡½?Í¯×µÕÈøÐøÐÒ³2019ãæÎ³??ÛÝ÷³??Ò³øÐ?Ì·ÞØ???øÐ; 2. ÷åËÀ??Üô÷Ü?/ÍÔ???ß¹?ëýÏÙòÁ÷Õ?÷³öèî¼?â±Ù¾ëýÏÙí­Ò³,A. ???ù¡ø«î¸?ýÌ?Ê¶?ðÍ×µ÷â?à¢ÎÁ?éÚù«??÷ùû¹Ï¹û¹ÑûÒ³û¹; B. ÛÁ?ëýÒ³à¹Ò³ù¾Ìùñé?Î³õ±ÚÝ?áæ?÷ú?ßæÍö?ß¹èâ÷ß?????ß¹; C. ?à¹îÜ?ëýÏÙÒ³õðù¾ÛÜßäìéí®Ì·ÓøÊ£ÏÙÙ£ê°÷ï???ÏÙí­Ó­Î³á³?Ü×; D. Koradior/Ê±???ù¡ø«Ò³?2018ÔÏ?ãæÎ³ìÔü£ýÌ?ÍÔé¦áóãó?ëýÏÙ; E. ãæÎ³?àõì¼???ö¬Ú«ÑÑßäàøÏ¹??ûýï©????Üô??ðÍìÑì¼?Ò³; F. ÷å MintCheese?Ø¡?? ?Í¯á´Ò³Êï ?êõÝÏßä???í©?ß¾ëý; G. òÒòÒãæÎ³?÷ú?ßæ?â±ÍÔé¦Üô??ùÜ÷òéÚí¨?Ò³2018õÕÌùÎúÝÂ?í­ðÍ; H. ??â±â±ü¨ðØ?Ó­ü¨Ò³2018õÕÔÏãæÎ³ÛÝ÷³ý¨ÕÃ?ü¨í­çÈ?ñé??ïËü¨; I. ÑÑûÏ×áÚ»?á³øÐøÐ2019ÛÝ÷³ãæÎ³???Ì·øÐÞØ?øÐÒ³øÐ?÷úá³Û°øÐðÍ; J. ïÈÙüÙÞ2018ãæÎ³ýÌ??Íöý§î¼á³ÛÜû¹ä¢Ï¢?û¹Ò³DA98184-P4,H,H,1,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
23312,27238,2,C,"[29124, 1932]","[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1. ¡¼Ñõ?¡½?Í¯×µÕÈøÐøÐÒ³2019ãæÎ³??ÛÝ÷³??Ò³øÐ?Ì·ÞØ???øÐ; 2. ÙØ?2018õÕÔÏÎ³?Í¯øÁ?chicÓ­ü¨Ò³øÁî¼Øöû¹?ßæý¨Í§??Õô?ïËü¨,A. ??ñ®?àøàøá³?û¹Ò³?ù«÷ùû¹2018õÕÔÏãæÎ³åÏÍÄÙ¾?Í¯ýÌ?á³ÛÜû¹; B. Ú¸?Þì?ñ½ó×2018õðù¾ãæÎ³í©?ÕÕø¸ùë?÷òÔ×?áæ?â±éÚí¨Ó­?Ò³F; C. ýüêó?áã???Ô´?ñìÍïÎ©û¡?ëýÒ³?Î³?ã£Üô????Êï?ô¾èâ÷ß; D. araÓì???à¢ÎÁìéÊÅ?éÚù«Ò³û¹î¸?÷ßÊÅ?ÜØû¹ù«û¹Ò³  F1/2?; E. ??ÔÏãæÎ³??Ò³ÞÍýÌ?ü¨ÛÝ÷³????÷ß÷ÕÓ­ü¨H84W7401; F. ?ñ½ó×Ò³û¹2018ù¾ÌùãæÎ³?ù«ôÓ?ÕØöéû¹????èâô¾ÍÔ?Úâöéû¹ðÍ; G. zaõ®?øÐ insúÚäºù¾ô¸ÞØÎ¥??Ò³øÐ??ÔÒÎ³â©÷ÒøÐÚ»?á³õ®øÐÞÞ?; H. ¡¼??øÐ?¡½÷åËÀ??Üô÷Ü?/Ù¾Ù¾?Ê¥?ý§èâ÷ßÒ³ýÌ??áæÓÞ?ëý; I. ççççÊ« õÕÔÏãæÎ³??????÷Ú?Ò³ áæ?é¦?áæýÌ????í­Ò³; J. ÍÔé¦?û¡?Ò³??2018õÕÔÏãæÎ³?÷ú?áæÊ¥ý§áæ?é¦â¥ÊÅæÓÎ·?,C,C,1,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
25705,17003,6,G,"[15228, 28196]","[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",1. á³ßú?øÐ?ßä×ÔÌ«øÐøÐÒ³2019ãæÎ³??ÛÝ÷³ÞØ?øÐ?Ì·øÐá³øÐøÐÒ³øÐ; 2. ¡¼5ï¹ï¹?¡½áóãó?â±éÚí¨?Ò³òÁ÷Õ??üéßäÍÔé¦ÚÝ?á³ÊÅÎúÝÂ?,A. Ú¸?Fuzzykonß²???áæLOGOí©?ýÌ????âÀèâ÷ßÒ³õÕ ÛÝ÷³ß¾ëý; B. í©?Ôúø£âÀáæ?é¦?Î³?ã£ìÔü£?ëýÏÙ; C. çÈ??ðØ??û¹Ò³õÕÌù2018ãæÎ³?Í¯á³ù«û¹?÷úÛÝ÷³à¹Ò³??Ò³û¹; D. ¡¼Ñõ?¡½ãáÜæøÐ??øÐÞØÎ¥øÐøÐÒ³2018ãæÎ³?÷úÛÝ÷³???Ì·Ò³øÐðÍ; E. ????ÕØû¹Ò³ù¾Ìùñé??÷úÛÝ÷³?ßæøÁî¼??áæ?î¼ý§î¼÷ç?Ò³û¹; F. ê«??ù«Ò³øÐ??éÚù«ÓÞé»ÕáÒ³ÞÍÓÞøÐøÐÙþ??Ì·øÐöõ÷åøÐ2019ãæÎ³; G. insÒ³û¹ùû? õ±ûý???û¹2019õÕÌùýÌ????ù«ÖÕ?û¹Ò³áæ?û¹; H. MGá³ßÚ?ëýÏÙÒ³?ù¾Ìù2018ãæÎ³?÷ú?ßæ?ß¹ÏÙá´Ò³ãýÝÏßäà¹Ò³ÏÙí­; I. ??ÔÒÎ³ÞØ?øÐ?Ì·?sangleâ©÷ÒøÐÒ³2019ãæÎ³?ù«Ò³øÐ???Ì·øÐ; J. õðÌùï×?Íï?ü¨?ù«?ïËü¨Ñûû¹Ê¥?Øöû¹àäò¢ü¨?ü¨ÍÔ?û¹ðÍÑûü¨í­,A,A,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
5022,23203,5,F,"[24914, 30641]","[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]",1. ÍüÚ¸Ðì2018õÕÔÏãæÎ³?÷úâ±â±ü¨ ?ØüðØ?á³?Ó­ü¨ýÌ?ÍÔ?ü¨í­Ò³; 2. AI ÛöãÒ?Í¯?ÖôÙ¶ åÏÙ¾ùßÕáÍÔ?90% õÕÔÏÒ³?Ê«Ù¶Ù¾?ÑõÍþÙ¶í­,A. ÕÒÍ§Ò³??â±??ñìÍïöÒÝÂâÀ?â±ÛÝ÷³á³ýÙÏÙ???ëýÏÙõðãæÎ³2019; B. á³éâÊ«ù«ëýÒ³õÕÌù2019ãæÎ³èâ÷ß?âÀ?÷ú?â±õðõÕáóãóù«?ÐºÏõ?Ü×; C. á³Ó­ü¨Ò³õðÌù2019ãæÎ³Ø¨ÞãõÕÎ³Ò³èáü¨chic?ïËü¨Ò³ðØ???ü¨í­Ò³; D. õðÌù?Ï¢?û¹Ò³øÁî¼2019ãæÎ³ûÝïÊ???à¹Ò³á³?ãæöÔù«î¸??ìÑû¹; E. ?Ì«?û¹Ò³õðõÕ2018ãæÎ³çÈ??øÁî¼???ô¾ýÌ??ÜØû¹ ??û¹; F. JACD á³???ÞØ?øÐ2019ãæÎ³÷Á?í©??ÐÖøÐ???Ì·øÐ?ØüÒ³øÐ; G. áÈÙÊÍÔ??ßä???ëýÏÙÒ³ÔÏ2018ãæÎ³ÛÝ÷³÷ß??áæöèî¼ÏÙE3110; H. 2019ãæÎ³Ò³û¹ôÓ???ûÝïÊ?ÕØû¹Ò³???û¹Ò³ñé?ÍÔ?û¹í­Ò³ù¾; I. ã¿?Õ¦á¦ÐôÔ¯?îÜãý?? ãæÎ³?ßä?â©ïÜÒ³ÞÍ?Íé? 5279425; J. øÁî¼û¹Ò³î¸??û¹ðØ?2018?÷úãæÎ³õðõÕÒ³û¹Û°?ÙÏ×Íû¹ÛÝ÷³?ÜØû¹,G,G,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
19001,29328,7,H,"[5502, 20676]","[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]",1. ?÷ú2018ù¾Ìù???àõðÍÒ³ÞÍâ¢ð«øÐ?Ú¸ûÝïÊ?ÝÏßäÕÕù«öÔù«Ò³øÐøÐ; 2. ÛÝ?ßÂ?ÔÒÎ³Ò³ü¨ðØ??ü¨Ó­ü¨ñéü¨BAG60DZ7,A. TEENLADYê«??ñ½ó×?ÓÕßäåÏÙ¾á³Û°øÐÒ³2018ãæÎ³×ÔÌ«??øÐÒ³ÞØ?; B. øÐøÐÒ³øÐãæÎ³2019ðÍ?ù«Ò³øÐÞØ?øÐÒ³á³ck??ÛÝ÷³insâ¢ð«?Ì·øÐ; C. 2017õðÌùãæÎ³?÷ú??ôÓ?ñéÍöÍÔ?ÕØû¹?Øü?Ï¢òÒñÁàõÊïOL?û¹ðÍ; D. ??ÛÝ÷³2019ãæÎ³â¢øÐÒ³?ù«Ò³øÐøÐÓÞé»ÕáéÚù«á³øÐâ¢ð«øÐñéÒ´??; E. ¡¼÷åËÀ¡½BJHGõÕ?Ú¸Ê¶?chic?ïÈÓÞÏ¢ÓçÚ»óôÙ¾ÏêÕªÌ·?ëýðÍÑûèâ÷ß; F. ÛÜßäçÈ?ù¾ô¸?Ù¶ú­?ÛÁ?Ê¦ï¹??÷úó´?Ù¶Ò³ù¾ÌùÓøÊ£õ®Ù¶ÞÞ?Ù¶; G. ß²óô2017ù¾?ãæù¡ áæ?é¦ìÔü£àä?ÏÙùÃ?âÀ?ëýÏÙÒ³D722056L20; H. ÷ô?ÙñÒ³ú©??â±îÜì¼?Ò³?Î³ÎÁùê??ì¼?????ì¼???ì¼?; I. ßï×ûmini ÛÎ?ÏÙù¾Ìù2018ãæÎ³Aí®?ÏÙ?Í¯?êÂ?îÔ?Ì«í­?ëýÏÙÒ³; J. ?ïÈ?Ù¾Ò³øÐøÐ2018ãæÎ³?ù«?Ì·øÐ?÷ú????â¢ð«øÐÛÝ÷³ÞØ?øÐ,J,J,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
23312,17404,2,C,"[29124, 1932]","[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1. ¡¼Ñõ?¡½?Í¯×µÕÈøÐøÐÒ³2019ãæÎ³??ÛÝ÷³??Ò³øÐ?Ì·ÞØ???øÐ; 2. ÙØ?2018õÕÔÏÎ³?Í¯øÁ?chicÓ­ü¨Ò³øÁî¼Øöû¹?ßæý¨Í§??Õô?ïËü¨,A. ??ñ®?àøàøá³?û¹Ò³?ù«÷ùû¹2018õÕÔÏãæÎ³åÏÍÄÙ¾?Í¯ýÌ?á³ÛÜû¹; B. Ú¸?Þì?ñ½ó×2018õðù¾ãæÎ³í©?ÕÕø¸ùë?÷òÔ×?áæ?â±éÚí¨Ó­?Ò³F; C. ÙþÙþ?2019ãæÎ³õÕÔÏÍÔé¦?â±ÑÑ???ýÙßä?á÷Êï?÷ÚòÁ÷Õöéò¢?í­; D. araÓì???à¢ÎÁìéÊÅ?éÚù«Ò³û¹î¸?÷ßÊÅ?ÜØû¹ù«û¹Ò³  F1/2?; E. ??ÔÏãæÎ³??Ò³ÞÍýÌ?ü¨ÛÝ÷³????÷ß÷ÕÓ­ü¨H84W7401; F. ?ñ½ó×Ò³û¹2018ù¾ÌùãæÎ³?ù«ôÓ?ÕØöéû¹????èâô¾ÍÔ?Úâöéû¹ðÍ; G. zaõ®?øÐ insúÚäºù¾ô¸ÞØÎ¥??Ò³øÐ??ÔÒÎ³â©÷ÒøÐÚ»?á³õ®øÐÞÞ?; H. ¡¼??øÐ?¡½÷åËÀ??Üô÷Ü?/Ù¾Ù¾?Ê¥?ý§èâ÷ßÒ³ýÌ??áæÓÞ?ëý; I. ççççÊ« õÕÔÏãæÎ³??????÷Ú?Ò³ áæ?é¦?áæýÌ????í­Ò³; J. ÍÔé¦?û¡?Ò³??2018õÕÔÏãæÎ³?÷ú?áæÊ¥ý§áæ?é¦â¥ÊÅæÓÎ·?,J,J,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
23040,22455,4,E,"[1215, 10858]","[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]",1. ¡¼?3Ëì200êª¡½sukolá´Ò³ÏÙí­?Ëì÷ßñé?Î³õ±ûý?êÂÞÞ??ëýÏÙðÍ; 2. 2019ãæÎ³Ò³øÐ?÷úinsõ±ûý?Í¯ÔçÝ¯øÐboxá³Û°øÐÛÝ÷³Íöî»?Ì·ÞØ?øÐ,A. ÑÑÚ¸ýñ2018ù¾ÌùãæÎ³?ßäáóãó?â±Ó­Î³÷òÔ×Ó­âÀTýÑÒ³BNM82032; B. Marie Claireù¾Ìù??ÕØû¹ú­?ðØ?ÓøÊ£ïËí®??â©?øÁî¼MCà¹Ò³û¹; C. VME/ÙñØåãæÎ³ýÙÛÜ?îðûÝïÊ?éÚù«ôÓ??Íöñé??û¹VS5A1336; D. 2019õðÌùãæÎ³?Ú¸??ÛÝ÷³?ù«Û°?VÏ¢ðØ??û¹Ò³ñé???û¹ÛÜßä; E. ??õðãæÎ³á³?ãæá³ÛÜû¹Ò³øÁî¼ê«âÖû¹Í§???Ò³ýÌ?û¹ðÍH14W7110; F. S925?????Ú¸???ãýì¼???ÛÝ÷³ì¼??àõðÍìÑ??ì¼?Ò³; G. ÷òÔ×éÚí¨?Ò³õðõÕ2019ãæÎ³?÷ú?â±?Õô?ãóá³ÊÅ?ÍÔé¦ÎúÝÂ?í­ðÍ; H. ??Ù£ê°ìÔü£áóãó?ÏÙÖÚÌ·?â±ñé?Î³?ëýÏÙÏÙí­Ò³?õð?2019ãæÎ³; I. CHARLES£¦KEITHù¾ÌùÕØû¹Îßó©??×µ?ìéí®?ðØ?Ò³û¹CK1-60390311; J. ¡¼QC¡½???ïÈùÃ??ÓÞ?ñé?Î³???ëýÏÙk,F,F,0,0.355704698,0.986577181,0.360544218,10,5,250,45,41,False
