bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,cooccurrence_stats,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio,valid_only_hit_rate,cfg_num_cans,cfg_num_token,cfg_toy_eval,cfg_seed,cfg_shuffle_seed,cfg_use_hard_negative,cfg_use_cooccurrence,cfg_use_soft_cooccurrence,cfg_soft_cooccurrence_source,cfg_use_icl_retrieval,cfg_icl_retrieval_method,cfg_use_user_context,cfg_user_context_selection,cfg_use_item_bundle_affiliation_desc,cfg_item_bundle_affiliation_k,cfg_item_bundle_affiliation_alpha,cfg_item_bundle_affiliation_exclude_query_items,cfg_use_item_user_copurchase_desc,cfg_item_user_copurchase_k,cfg_item_user_copurchase_alpha,cfg_item_user_copurchase_exclude_query_items,cfg_use_bundle_graph_context,cfg_bundle_graph_context_k,cfg_bundle_graph_context_max_items
9388,27985,9,J,"[27786, 4787]","[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]",1. 限时7.5折 所有外套都配 百褶抽绳半高领打底针织连衣裙; 2. 小跟短靴女2018新款网红百搭方头粗跟冬季加绒及裸靴短筒高跟靴子,A. 于momo2018春装新款港味开叉针织连衣裙外穿长款毛衣裙过膝打底裙; B. 小包包女2018新款潮韩版夏天夏季百搭迷你小香风菱格链条斜挎小包; C. 钉珠羽毛图案蕾丝拼接木耳边翻领长袖衬衫; D. 梦梦家女装冬季2018新款韩版高腰显瘦圆点百褶A字半身裙中长款@; E. 马衔扣包头半拖鞋女夏外穿2018新款真皮平底无后跟懒人穆勒凉拖鞋; F. 2018新款夏季长裙子慵懒风chic连衣裙imiss超仙女V领纯蓝色娃娃衫; G. 满衣大码早秋牛仔裤女2018新款文艺贴布刺绣垮裤复古水洗做旧长裤; H. 春秋女装外套chic港风pu机车外套女显瘦皮夹克高腰粉色皮衣女短款; I. 2018春季新款绑带a字裙高腰学生牛仔裙白色半身裙矮小个子短裙女; J. ins网红贝雷帽女春秋韩版日系百搭画家帽黑色英伦八角帽女帽子夏,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 1, 'candidate_train_bundles': 316}]",J,J,1,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
21401,6491,7,H,"[3596, 27114]","[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]",1. 正品冠琴手表男士超薄真皮带男表 非机械表时尚防水石英表潮流; 2. 沙滩帽女巴拿马草帽遮阳帽夏小清新海边海滩帽太阳帽度假防晒帽子,A. 热风2018夏新款小清新女士软木拖鞋外穿平底休闲一字拖潮H60W8207; B. 韩都衣舍2018女装韩版夏装新款显瘦牛仔裙短裙A字半身裙IG6888僥; C. 初语春秋新款圆领宽松百搭质感条纹长袖T恤女大码打底衫上衣; D. 【限时特卖】CASSILE牛皮时尚百搭信封链条包钻扣单肩斜挎包; E. 韩版休闲短裤女式2019夏装新款百搭修身学生卷边运动直筒裤子原宿; F. 子晴拼色中长款双面尼羊毛大衣女冬装2018新款两面穿毛呢外套; G. 希野2019夏季新款露背吊带荷叶边百褶chic超仙少女裙收腰连衣裙; H. 【11.11零点6折清仓】衣品乐大码中长款针织拼接棉麻印花连衣裙; I. 金米欧Kimio时尚潮流防水女士手表学生简约学院风大气腕表石英表; J. 闺格原创蓝白竖条纹衬衫女2018新款长袖春装宽松韩范圆领系带上衣,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 14}, {'shared_train_bundles': 0, 'candidate_train_bundles': 3}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 5}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}]",A,A,0,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
11208,12800,3,D,"[18531, 24847]","[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",1. 秋水伊人2018春秋装新款女装方领雪纺碎花系带印花小香风连衣裙子; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. PPM2019春装新款牛仔外套女宽松短款oversize学生bf韩版百搭廓形; B. OTS2018冬季新款港味CHIC外套皮毛一体拼色机车服帅气短款外套女; C. MG小象小清新牛仔外套女宽松春季2019新款休闲短款夹克chic上衣潮; D. Steve Madden/思美登2018凉拖女鞋平底一字毛绒拖鞋外穿女SOFTEY; E. 一脚蹬毛毛鞋女冬加绒外穿2018新款百搭韩版复古仙女的鞋粗跟单鞋; F. 13良品2018新款高腰百搭中长款针织半身裙秋冬女包臀裙小个子裙子; G. 夏季潮鞋白色板鞋男韩版潮流圆头运动休闲鞋平底百搭小白鞋男鞋子; H. 花栗鼠小姐 波西米亚连衣裙女夏2019新款中裙压褶温柔风吊带裙; I. 2019夏装新款女修身显瘦短款玫红色露背连衣裙包臀chic裙子 L1874; J. AbbottVintage「玛奇朵」牛皮托特包大容量手提包单肩女包新品,"[{'shared_train_bundles': 1, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 2, 'candidate_train_bundles': 3}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}]",A,A,0,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
14200,16886,7,H,"[29124, 29032]","[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]",1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; 2. 特价清仓不退换/高领针织衫连衣裙直筒内搭打底显瘦毛衣裙子女,A. 设计师品牌低帮休闲街头潮流透气舒适真牛皮运动板鞋球鞋男女鞋; B. 防晒衣女仙女夏季中长款超薄宽松韩版学生空调衫外套针织冰丝开衫; C. 很仙的连衣裙女春夏白色一字肩度假裙名媛派对网纱裙子短款小礼服; D. Koradior/珂莱蒂尔品牌女装2018冬装新款印花休闲高腰修身连衣裙; E. 新款个性耳环纯银趣味金色星球韩国火箭时尚夸张不对称潮人耳钉女; F. 特 MintCheese独立设计 复古少女感 温柔粉色飘带领刺绣上衣; G. 珍珍新款韩版学生显瘦高腰不规则割破牛仔裤女2018秋季九分裤子潮; H. 网红瘦瘦靴粗跟短靴女2018秋冬新款百搭后拉链靴子英伦中跟马丁靴; I. 金狐狸迷你小包包2019百搭新款简约单肩包斜挎包女包韩版小方包潮; J. 接吻猫2018新款休闲镂空厚底小白鞋深口单鞋女DA98184-P4,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 12, 'candidate_train_bundles': 137}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}]",H,H,1,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
23312,27238,2,C,"[29124, 1932]","[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; 2. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴,A. 韩国做旧星星小脏鞋女真皮板鞋2018秋冬新款羊羔毛复古休闲小白鞋; B. 美汇舍欧洲站2018春夏新款刺绣亮片哈伦破洞宽松显瘦牛仔短裤女F; C. 稀有概率气质雾都蓝重工廓形风衣女长款过膝不对称设计感两穿外套; D. ara德国鹦鹉舒适一脚蹬牛皮女鞋低跟套脚乐福鞋皮鞋女  F1/2楦; E. 热风冬新款时尚女士休闲靴百搭简约圆头套筒短靴H84W7401; F. 欧洲站女鞋2018夏季新款真皮尖头凉拖鞋欧货时尚外穿高跟半拖鞋潮; G. za草编包 ins泫雅夏天斜跨编织女包网红同款水桶包迷你小草包沙滩; H. 【顺丰包邮】特价清仓不退换/毛毛领加绒厚外套女休闲宽松大风衣; I. 霓霓家 秋冬新款竖条纹针织阔腿裤女 松紧腰宽松休闲裤长裤子女; J. 高腰锥形裤女长裤2018秋冬新款韩版宽松加厚松紧腰收脚烟管裤,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}]",J,J,0,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
25705,17003,6,G,"[15228, 28196]","[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",1. 小瑞靓包拼色菱格包包女2019新款简约百搭斜挎包单肩包小包包女包; 2. 【5折折扣】修身显瘦牛仔裤女直筒长裤灰色高腰薄绒小脚九分裤,A. 美伢Fuzzykon三条杠宽松LOGO刺绣休闲运动长袖外套女秋 百搭上衣; B. 刺绣喇叭袖松紧腰长款过膝印花连衣裙; C. 英伦风粗跟单鞋女秋季2018新款复古小皮鞋韩版百搭仙女网红女鞋; D. 【南风】信封包链条包斜跨包包女2018新款韩版百搭时尚单肩女包潮; E. 罗马运动凉鞋女夏季中跟韩版百搭学生平底简约松糕底厚底坡跟女鞋; F. 原创真皮女包简约牛皮大容量女士大包包文艺单肩包托特包2019新款; G. ins女鞋港风 超火网红单鞋2019秋季休闲运动真皮老爹鞋女松糕鞋; H. MG小象连衣裙女装夏季2018新款韩版学生衬衫裙少女心粉色仙女裙子; I. 网红同款斜挎包宽肩带sangle水桶包女2019新款真皮女包宽带单肩包; J. 春季情侣工装靴真皮马丁靴男鞋加绒棉鞋雪地靴军靴高帮鞋潮男靴子,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 3}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}]",C,C,0,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
5022,23203,5,F,"[24914, 30641]","[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]",1. 戈美其2018秋冬新款韩版瘦瘦靴 绒面粗跟小跟短靴休闲高跟靴子女; 2. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,A. 冷系女装显瘦镶钻重工七分袖显瘦百搭小黑裙气质连衣裙春新款2019; B. 小羽家皮衣女秋季2019新款外套长袖韩版显瘦春秋修身皮夹克机车服; C. 小短靴女春季2019新款磨砂秋款女矮靴chic马丁靴女粗跟网红靴子女; D. 春季浅口单鞋女平底2019新款蝴蝶结网红仙女小清新漆皮低跟懒人鞋; E. 与格单鞋女春秋2018新款英伦风平底绑带两穿休闲乐福鞋 踩跟鞋; F. JACD 小众丝绒斜挎包2019新款泰国刺绣风琴包链条单肩包绒面女包; G. 素木高领纯色针织连衣裙女冬2018新款百搭套头宽松打底裙E3110; H. 2019新款女鞋尖头细跟蝴蝶结凉鞋女网红单鞋女中跟高跟鞋子女夏; I. 施华洛世奇跳动的心项链 新款银色蓝水晶女士锁骨链 5279425; J. 平底鞋女低跟单鞋粗跟2018韩版新款春秋女鞋方头穆勒鞋百搭乐福鞋,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 1, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 1, 'candidate_train_bundles': 2}, {'shared_train_bundles': 8, 'candidate_train_bundles': 9}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 1, 'candidate_train_bundles': 1}]",F,F,1,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
19001,29328,7,H,"[5502, 20676]","[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]",1. 韩版2018夏季时尚个性潮女士手提包甜美蝴蝶结粉色亮皮漆皮女包包; 2. 百丽商场同款女靴粗跟袜靴短靴中靴BAG60DZ7,A. TEENLADY原创欧洲站红撞色羊毛小方包女2018新款菱格链条包女斜挎; B. 包包女包新款2019潮真皮女包斜挎包女小ck时尚百搭ins手提单肩包; C. 2017春季新款韩版细跟尖头中空高跟凉鞋绒面浅口珍珠性感OL单鞋潮; D. 时尚百搭2019新款手包女真皮女包包大容量牛皮小包手提包中年妈妈; E. 【特价】BJHG秋欧美街头chic拼接大口袋迷彩毛圈落肩卫衣潮男外套; F. 白色英伦夏天礼帽海边防晒可折叠韩版遮阳帽女夏季度假草帽沙滩帽; G. 三彩2017夏装新品 松紧腰印花雪纺裙荷叶袖连衣裙女D722056L20; H. 芭蕾舞女孩显脸瘦的耳环女长款适合圆脸耳坠韩国气质耳钉夸张耳饰; I. 徐琳mini 背带裙夏季2018新款A字长裙复古学院风吊带格子连衣裙女; J. 拼接马毛女包包2018新款软皮单肩包韩版时尚铆钉手提包百搭斜挎包,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 6}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 0, 'candidate_train_bundles': 2}, {'shared_train_bundles': 0, 'candidate_train_bundles': 16}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 836}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}]",H,H,1,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
23312,17404,2,C,"[29124, 1932]","[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]",1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; 2. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴,A. 韩国做旧星星小脏鞋女真皮板鞋2018秋冬新款羊羔毛复古休闲小白鞋; B. 美汇舍欧洲站2018春夏新款刺绣亮片哈伦破洞宽松显瘦牛仔短裤女F; C. 文文婷2019新款秋冬高腰显瘦金丝绒裤黑色坠垂感阔腿直筒拖地裤子; D. ara德国鹦鹉舒适一脚蹬牛皮女鞋低跟套脚乐福鞋皮鞋女  F1/2楦; E. 热风冬新款时尚女士休闲靴百搭简约圆头套筒短靴H84W7401; F. 欧洲站女鞋2018夏季新款真皮尖头凉拖鞋欧货时尚外穿高跟半拖鞋潮; G. za草编包 ins泫雅夏天斜跨编织女包网红同款水桶包迷你小草包沙滩; H. 【顺丰包邮】特价清仓不退换/毛毛领加绒厚外套女休闲宽松大风衣; I. 霓霓家 秋冬新款竖条纹针织阔腿裤女 松紧腰宽松休闲裤长裤子女; J. 高腰锥形裤女长裤2018秋冬新款韩版宽松加厚松紧腰收脚烟管裤,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 1, 'candidate_train_bundles': 9}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}]",C,C,1,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
23040,22455,4,E,"[1215, 10858]","[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]",1. 【满3件200元】sukol少女裙子两件套中长款超火学院沙滩连衣裙潮; 2. 2019新款女包韩版ins超火复古豆腐包box小方包百搭空姐单肩斜挎包,A. 金美希2018夏季新款纯色修身显瘦短款破洞短袖T恤女BNM82032; B. Marie Claire夏季镶钻凉鞋海边粗跟度假丁字丝缎水钻平底MC仙女鞋; C. VME/舞魅新款黑白经典蝴蝶结牛皮尖头侧空中跟单鞋VS5A1336; D. 2019春季新款欧美简约百搭真皮方头V口粗跟单鞋女中跟奶奶鞋白色; E. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110; F. S925银针韩国甜美气质爱心耳钉简约百搭耳环个性潮人网红耳坠女; G. 破洞牛仔裤女春秋2019新款韩版显瘦弹力紧身小脚裤高腰九分裤子潮; H. 气质名媛印花修身长裙露肩显瘦中长款连衣裙裙子女装春装2019新款; I. CHARLES＆KEITH夏季凉鞋交叉绑带流苏一字带粗跟女鞋CK1-60390311; J. 【QC】网纱拼接荷叶边大摆中长款蕾丝连衣裙k,"[{'shared_train_bundles': 0, 'candidate_train_bundles': 3}, {'shared_train_bundles': 0, 'candidate_train_bundles': 6}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 7, 'candidate_train_bundles': 1634}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}, {'shared_train_bundles': 0, 'candidate_train_bundles': 3}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 0}, {'shared_train_bundles': 0, 'candidate_train_bundles': 1}]",E,E,1,0.6,1.0,0.6,10,5,250,45,41,True,True,False,bundle_smoothing_bi_lgcn,False,input_embedding,False,max_input_overlap_random_user_text_topk_items,False,3,0.5,False,False,3,0.5,False,False,1,5
