bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit
1851,24847,5,F,"[5973, 18106]","[2809, 8147, 28593, 4446, 15153, 24847, 22047, 16950, 6968, 23365]",1. Handu Yishe 2018 한국 스타일 여성 여름 의류 새로운 유행 학생 루즈 탑 반팔 티셔츠 AA10293; 2. [Xiangyun Edition] Huili 여성 신발 캔버스 신발 다목적 흰색 신발 커플 운동화 학생 스포츠 캐주얼 신발 가을,"A. V37 남자 스웨터 가을 한국 스타일 라운드 넥 긴 소매 스웨터 루즈 풀오버 Bottoming 스웨터 남자 스웨터; B. 별자리 팔찌 여성 스털링 실버 12 별자리 숲 딸기 크리스탈 팔찌 학생 천연 핑크 크리스탈 생일 선물; C. 미아오 커플 2018 가을, 겨울 여성을위한 새로운 플랫 캐주얼 탄성 양말 부츠 여성을위한 영국 복고풍 플랫 힐 벨트 버클 짧은 부츠; D. [디자이너 모델] 스케쳐스 여성화 신상 패션 스니커즈 화이트 슈즈 캐주얼 슈즈 68704; E. 파마 소셜 여성화 블랙 블루 실크 새틴 포인티드 토 하이힐 스틸레토 펌프스 여성용 중공 샌들; F. 한국어 루나 인터넷 연예인 모조 진주 귀걸이 여성 기질 긴 귀걸이 새로운 기능 귀걸이 한국 스타일 귀 보석; G. 여성용 모직 와이드 팬츠, 가을 겨울 크롭 팬츠, 새로운 하이웨이스트 한국형 캐주얼 팬츠, 루즈한 여성용 라지 사이즈 9부 스트레이트 팬츠; H. [클리어아웃] 타타 가을쇼핑몰 동스타일 영국 웨빙 버클 캐주얼 여성 로퍼 T3330CQ7; I. 2019 봄 새로운 스타일 지적 발가락 부드러운 신발 이브닝 신발 플랫 바닥 전 경기 중간 굽 요정 콩 신발 두꺼운 뒤꿈치 여성용 단일 신발; J. 광택 BOX 왁스 소가죽 패션 다목적 원 숄더 크로스 바디 핸드백 켈리 가방 핸드백 가죽 여성용 가방",G,G,0
10710,28183,7,H,"[1098, 21700]","[19312, 17276, 1142, 19524, 890, 12836, 17500, 28183, 13275, 29607]","1. Mengmengjia 여성 의류 가을 2018 새로운 스웨이드 캐주얼 바지 여성 하이 웨이스트 와이드 레그 팬츠 9 포인트 스트레이트 바지; 2. MG 코끼리 뿔 버튼 모직 코트 여성용 중간 길이 솔리드 컬러 탑 가을, 겨울 2018 New Sweet Hooded Coat","A. 한국판 블랙 2019 봄 가을 신상 뾰족한 신발 단검 섹시 뾰족한 하이힐 만능 신발 트렌드; B. Xiaodama-chan 홍콩 스타일 레오파드 프린트 스커트 가을 여성용 중간 길이 2018 하이 웨이스트 백 힙 스커트 여성용 와이드 힙 스커트; C. 여성을위한 여름 새 흰색 신발 2019 봄 한국 버전 다목적 기본 플랫 신발 여름 흰색 캔버스 신발; D. 블랙 데님 반바지 여성 여름 신상 슬리밍 한국식 하이 웨이스트 로우 엣지 라인 와이드 레그 루즈 인터넷 연예인 인 핫팬츠; E. 울짱 찢어진 데님 펜슬 팬츠 여성용 봄, 가을 2018 새로운 한국 스타일 꽉 끼는 피트 슬리밍 9포인트 팬츠; F. 작은 사슴은 새로운 노란색 격자 무늬 셔츠를 날고 싶어합니다 여성 여름 중간 길이 쇄골 누출 홍콩 스타일 탑 계획 경사 어깨 셔츠; G. 2018 봄 신상 다크 스트라이프 캐주얼 브이넥 셔츠 솔리드 컬러 다목적 싱글 브레스트 화이트 탑 여성용 긴 소매; H. 여성을위한 트렌디 한 ins 슈퍼 인기 가방 2019 새로운 작은 사각형 가방 세련된 모직 크로스 바디 백 여성을위한 다목적 체인 숄더백; I. 여성용 스노우 부츠 2018 새로운 겨울 단관 한국어 버전 다목적 학생 두꺼운 밑창 면화 여성용 벨벳 두꺼운 짧은 부츠; J. 유럽 ​​역 2019 봄 신작 패션 고양이 머리 긴팔 내부 티셔츠 여성 슬림 밝은 실크 바닥 티셔츠 여성 봄",J,J,0
18199,11399,9,J,"[9433, 13302]","[17856, 18001, 15520, 23658, 6854, 3823, 10222, 6330, 19882, 11399]","1. 과장된 한국 기질을 지닌 여성을 위한 오각별 귀걸이, 긴 펜던트, 다재다능한 섹시한 인터넷 연예인 스타 귀걸이 및 귀걸이; 2. 여성을위한 흰색 신발 봄 다목적 기본 가죽 학생 신발 플랫 단독 신발 정품 가죽 스니커즈 여성 캐주얼 신발","A. STACCATO/Sikatu 2017 여름 카운터 같은 스타일의 한 단어 스트랩 세련되고 우아한 여성 샌들 9E701BL7; B. 가을 긴팔 하이 칼라 루스 레터 자수 풀오버 블루 벨벳 시크 하라주쿠 bf 스웨트 쇼트 여성-; C. 왕동의 슬릿 실크 드레스가 곳곳에 있다. 나른하고 패셔너블한 GUAN Dong 2019 새로운 여름 롱 원피스; D. 샐러드 숄더 크로스 바디 여성 가방 03864 소가죽 사각 심플하고 우아한 다이애나 공주 가방 핸드백; E. 티미니 시계 여성용 방수 패션 인터넷 연예인 별이 빛나는 하늘 트렌드 라인석 여성용 시계 같은 스타일의 쿼츠 시계; F. 바오터우 샌들 여성 선녀 스타일 2019 신상 두꺼운 굽 한국어 버전 다재다능한 학생 인터넷 연예인 슈퍼 핫 부드러운 신발 트렌드; G. 여성용 가방 2019 새로운 유행 한국어 버전 다목적 크로스 바디 대용량 정품 가죽 세련되고 매력적인 여성용 숄더 핸드백; H. Shanai Coco 니트 드레스 겨울 2017 새로운 여성의 중간 길이 한국 스타일 슬림 피트 하이 칼라 바닥 스커트; I. Muyoumuji 신작 가을 블루 체크 무늬 서스펜더 드레스 스플 라이스 서스펜더 슬림 슬림 롱 스커트 M16540; J. 여름 여성용 한국식 접이식 수제 대형 챙 밀짚 모자, 다용도, 신선함, 해변 및 해변 여름 자외선 차단 모자",D,D,0
5081,8022,7,H,"[2198, 28059]","[20486, 10995, 22862, 2778, 9878, 9693, 10326, 8022, 3561, 5092]",1. 신상 작은 가방 2019 봄 신상 만능 인터넷 연예인 작은 검은 색 가방 심플하고 다재다능한 미니 숄더 크로스 백 여성용 가방; 2. [sheii Su Yinyin] 슈퍼 피드백! 신상품 SW 스퀘어 토 스퀘어 힐 스트레치 숏부츠 여성 양말 부츠,"A. 새로운 가을, 겨울 여성 한국 스타일 슬림핏 중간 길이 프릴 밑단 피쉬테일 니트 스웨터 드레스; B. 찢어진 바지 여름 착용 2019 새로운 느슨한 세탁 바지 반바지 청바지 여성용 밝은 색상 반바지; C. Tang Yan의 같은 스타일 핑크 양면 캐시미어 코트 여성 중간 길이 2018 새로운 여성 스트레이트 한국 스타일 모직 코트; D. 2019 신상 여성화 인터넷 연예인 싱글 슈즈 정품 가죽 두꺼운 숲 여성 스타일 연예인 스타일 복고풍 작은 가죽 신발 여성 신발; E. 2018 새로운 여성 봄 한국식 풀오버 긴팔 스웨트 셔츠 스플 라이스 데님 허리 가을 겨울 드레스 중간 길이; F. TATA/Her 봄 라운드 투 플랫 얕은 입 여성 신발 FJ506AQ7; G. 9부 청바지 여성 가을 ​​겨울 착용 2018 새로운 한국 스타일 다재다능한 하이 웨이스트 슬림 타이트 펜슬 팬츠 작은 발이 트렌디함; H. MG 리틀 엘리펀트 블랙 불규칙 스커트 여성 가을 ​​2018 새로운 하이 웨이스트 패션 기질 가죽 스커트 a 라인 짧은 스커트; I. 여성을위한 중간 길이 모직 코트 가을 2018 새로운 홍콩 스타일 복고풍 패션 작은 코트 여성 양면 모직 코트; J. 2017 태국 사용자 정의 사랑 미니 타조 깃털 술 가방 체인 어깨 크로스 바디 작은 사각형 가방",A,A,0
27846,17227,1,B,"[29351, 30265]","[24097, 17227, 9078, 25681, 25900, 2668, 15512, 1704, 25124, 26473]",1. Handu Yishe 2019 여성 여름 의류의 한국어 버전 새로운 유행 바닥 셔츠 유행 느슨한 반팔 티셔츠 JZ7061 Su; 2. 붉은 복숭아 하트 사랑 귀걸이 여성스러운 한국 성격 다목적 인터넷 연예인 귀걸이 귀걸이 2019 새로운 트렌드,"A. 안샤오뤄가 직접 만든 누에고치 모양의 인형 칼라 코트, 여성용 슬림 모직 코트, 중간 길이, 퀼팅 및 도톰함; B. Handu Yishe 2018 새로운 여성 여름 의류 한국어 버전 솔리드 컬러 컬 반바지와 청바지 여성용 GW9076; C. edacity 여성용 초인기 바지, 다용도 2018 가을 겨울 신한식 슬림 스트레이트 스키니진; D. 여성을위한 Zhou Dali 흰색 신발 2018 새로운 다재다능한 학생 한국 스타일 레이스 업 여름 흰색 신발 여성을위한 통기성 흰색 신발; E. Fanci Fan Qi 18K 골드 반지 반지 컬러 골드 나비 패션 보우 링 소녀 하트 여자 친구를위한 생일 선물; F. SOARIN 영국 스타일 레트로 9점 남성 정장 바지, 헤링본 패턴 슬림 스트레이트 팬츠 영국 스타일 9점 캐주얼 팬츠; G. Jindaban/Fengqing/2018 겨울 새로운 한국 스타일 중간 길이 주름 학생 캐주얼 슬림 스커트 여성을위한; H. Ins 슈퍼 핫 스웨터 여성 풀오버 2019 봄, 가을 새로운 한국 스타일 느슨한 후드 다목적 솔리드 컬러 cec 재킷 얇은 섹션; I. 훌라 메트로폴리스 시리즈 여성용 체인 크로스바디백 920357; J. Qigege 바닥 셔츠 2018 가을, 겨울 새로운 패션 얇은 작은 셔츠 일반 긴팔 v 넥 티셔츠 여성 바닥 셔츠",B,B,1
13897,23332,1,B,"[11181, 30641]","[14611, 23332, 20269, 25254, 26785, 26103, 14538, 9779, 29439, 23820]","1. MC2018 새로운 가을 스타일 느슨한 스탠드 칼라 모직 재킷 슬리밍 기질 유행 망토 코트 여성 겨울 중간 길이; 2. AI 프랑스 복고풍 베레모, 양모 함량 최대 90%, 가을 겨울 여성 화가 모자, 모직 호박 모자","A. 가을 겨울 여성용 마틴 부츠 플러스 벨벳 2019 신형 첼시 정품 가죽 누드 부츠 플랫 두꺼운 힐 스퀘어 발가락 영국식 여성용 짧은 부츠; B. 여성용 가방 2018 가을, 겨울 신작 패션 토트 백 정품 가죽 다목적 대용량 휴대용 숄더 백 여성용 대형 가방; C. 카시오 시계 여학생 복고풍 작은 사각형 시계 방수 패션 인터넷 연예인 사각형 스틸 벨트 시계 LTP-V007; D. Koradior/Koradior 정품 2019 봄 신상 캐주얼 기질 여성 레이스 원피스에 벨벳; E. 여성용 2019 신상 여름 얇은 루즈한 긴팔 니트 가디건 긴 에어컨 셔츠 재킷과 프린지 자외선 차단 의류; F. Meitudu 여성용 맞춤형 가방 2019 새 모델 틈새 디자인 미니멀리스트 성격 원 숄더 크로스 바디 부드러운 가죽 작은 가방; G. Tangli 봄 새로운 유럽과 미국의 옷 누드 깃털 커프스 드레스 스커트 슬림 스트랩 오프 숄더 드레스; H. 2019 여름 새 스타일 버클 스트랩 두꺼운 뒤꿈치 오픈 발가락 투명 샌들 여성용 크리스탈 라운드 힐 기질 요정 하이힐; I. 여성용 S925 스털링 실버 귀걸이, 한국식 귀걸이, 긴 귀걸이, 크리스탈 지르콘 술 귀걸이, 다용도 및 다용도; J. 여성을위한 작은 발 뒤꿈치 짧은 부츠 2018 겨울 새로운 지적 발가락 스틸레토 고양이 발 뒤꿈치 신발 카키색 스웨이드 발목 부츠 밝은 색상 누드 부츠",J,J,0
26362,4641,5,F,"[20461, 29124]","[6434, 16001, 18570, 21132, 6228, 4641, 16979, 18341, 25638, 9746]","1. 73Hours DEBBIE 2018 가을, 겨울 새 스타일 얇은 뒤꿈치 하이힐 부츠 슬림 부츠 짧은 부츠 여성 양말 부츠; 2. [Southern Wind] 레트로 방황 가방 여성 2019 새로운 패션 다목적 간단한 여성 가방 원 숄더 크로스 바디 체인 가방","A. 여름 파란색과 흰색 줄무늬 셔츠 남성용 긴팔 한국식 루즈하고 예쁜 트렌디 한 인터넷 연예인 얇은 셔츠 재킷; B. Yipinle 오리지널 대형 루즈 프린트 스플 라이스 후드 풀오버 스웨트 셔츠 바닥 셔츠 지방 MM 여성 봄 새 스타일; C. CHIC VEN 수제 2018 여름 새로운 스타일 한국 스타일의 세련된 다목적 하이 웨이스트 스택 디자인 바지 스커트 반바지 여성용; D. 로퍼 여성 2018 새로운 가을, 겨울 영국 스타일 여성 신발 슬립 온 작은 가죽 신발 라운드 발가락 플랫 캐주얼 여성 신발; E. Venuco 투명 가방 여성용 젤리 가방 2019 신상 미니 가방 핸드백 캔디 컬러 싱글 숄더 크로스 바디 백; F. Palm Home European Station 2018 새로운 중공업 유행 브랜드 스포츠 캐주얼 바지 여성 가을, 겨울 바지 느슨한 하렘 바지 유행; G. 유럽 ​​역 2019 봄과 여름 새 스타일 서양 편지 수 놓은 장식 조각 구슬 라운드 넥 느슨한 짧은 소매 줄무늬 티셔츠 여성 F; H. 여성용 운동화 2018 새로운 겨울 한국 버전 두꺼운 밑창 강화 다목적 플러스 벨벳 인터넷 연예인 스마트 훈제 신발 여성용 아빠 신발; I. 핑크 큰 헝겊 인형 새로운 가을 겨울 패션 달콤한 단색 간단한 연꽃 잎 칼라 슬림 니트 티셔츠 바닥 셔츠; J. 2017 새로운 겨울 한국 스타일 두꺼운 체리 스웨터 재킷 여성용 느슨한 랜턴 슬리브 중간 길이 니트 카디건",C,C,0
18950,1473,4,E,"[7143, 29328]","[19211, 7279, 19584, 11668, 1473, 29834, 6593, 19664, 28187, 2144]","1. Xiaorui 아름다운 가방 여성을위한 단색 작은 사각형 가방 2019 새로운 패션 간단한 크로스 바디 가방 단일 어깨 잠금 체인 작은 가방; 2. 얼굴을 더 갸름하게 보이게 해주는 발레리나 소녀들을 위한 귀걸이, 둥근 얼굴에 어울리는 여성용 롱 귀걸이, 한국형 귀걸이, 과장 귀걸이","A. 일본 달콤한 느슨한 풀오버 스웨터 여성 귀여운 부드러운 소녀 니트 스웨터 한국 스타일 학생 작은 신선한 핑크 탑 유행; B. NOTHOMME 일본 패션 브랜드 루즈 버전 드롭 숄더 올드 후드 재킷 재킷 남성과 여성 커플 힙합 스트리트 댄스; C. BT2019 여성용 새 여름 레이스 업 신발 발레 플랫 얕은 입 신발 크로스 패션 가죽 지적 발가락 샌들; D. 인스 다운 코튼 코트 여성 중간 길이 니하이 핑크 브레드 코트 시크 코튼 코트 오버사이즈 코튼 재킷 하라주쿠 트렌디; E. [4개 구매시 1개 무료] ALUONLINESHOP 자수 메쉬 여성 하이웨이스트 민소매 스커트 블랙 드레스; F. 여자를 위한 작은 향기 하이힐 2019 봄 가을 신상 섹시하고 다재다능한 울 뾰족한 발가락 작은 상큼한 신발; G. 플러시 귀걸이, 긴 펜던트, 한국 기질 귀걸이, 여성 개성, 다양하고 트렌디한 귀걸이, 플러시 볼 귀걸이, 스터드 귀걸이; H. 여성용 신형 화이트 슬리밍 귀걸이, 긴 술 귀걸이, 한국 기질 펜던트, 개성 넘치는 트렌디한 과장 귀걸이; I. 모조 밍크 자켓 가을, 겨울 여성 2018 새로운 한국어 스타일 느슨한 슬림 다목적 세련된 중간 길이 플러시 코트; J. Daphne/Daphne 여름 한 단어 두꺼운 굽 무지 통근 패션 두꺼운 굽 샌들 여성용",C,C,0
23812,18058,2,C,"[1244, 29124]","[25764, 21832, 18058, 20220, 13137, 28199, 24478, 19604, 112, 20219]",1. Pitaojia 2019 봄 한국 스타일 BF 느슨한 대비 색 접합 데님 재킷 여성 느슨한 지퍼 캐주얼 재킷; 2. [Southern Wind] 레트로 방황 가방 여성 2019 새로운 패션 다목적 간단한 여성 가방 원 숄더 크로스 바디 체인 가방,"A. achette 4JC2 봄 여름 중형 싱글 슈즈, 어부의 신발, 여성을 위한 편안하고 가벼운 플랫 슈즈; B. 코트 가을 여성 2018 새로운 여자 잘 생긴 탑 ​​긴 소매 느슨한 캐주얼 플러시 자켓 여성 세트 다목적 가을; C. 장베이베이 아이벨 인터넷 연예인 청바지 여성 가을 ​​하이웨이스트 2018 신상 찢어진 구멍 한국식 와이드 캐주얼 바지; D. 여성을위한 한 줄 버클 중공 샌들 여름 지적 발가락 하이힐 스틸레토 힐 얕은 입 단일 신발 정품 가죽 발가락 모자 여성 신발 캐주얼 신발; E. 여성용 프랑스 야마모토 스웨터 드레스, 빅토리아 틈새 슬릿 허리 무릎 높이 복고풍 슈퍼 요정 드레스 투피스 세트; F. PLAFIELD AnaRosha 2018 가을, 겨울 새 스타일 수 놓은 꽃 접합 메쉬 타조 깃털 스웨터 여성용 R; G. 곰팡이 가장자리 인터넷 연예인 스타일 모헤어 스웨터 풀오버 중간 길이 루즈 스타일 여성을위한 2019 새로운 봄, 여름 드레스; H. BJHG 유럽과 미국의 고민된 무릎 구멍 거지 청바지 유행 남성 하렘 바지 스트리트 루즈 캐주얼 바지; I. Rizu 오리지널 디자인 2018 겨울 신상 메탈 와이어 벨벳 해체 스커트; J. Ji Longxue 여성용 가방 2019 새로운 맞춤형 GL 링 핸드백 세련되고 다재다능한 소 가죽 대형 가방 크로스 바디 백",C,C,1
7794,18518,4,E,"[17457, 18214]","[26577, 3031, 26935, 27672, 18518, 30451, 14625, 9696, 10101, 980]","1. Mell Matisse Portrait 틈새 프랑스 비대칭 귀걸이 클립 여성용 귀 피어싱 없음 하이 엔드 디자인 단순; 2. 여성을위한 정품 가죽 다목적 통기성 흰색 신발 2019 새로운 봄, 여름 레저 스포츠 여행 플랫 신발 흰색 운동화","A. 부드러운 가죽 두꺼운 뒤꿈치 중간 뒤꿈치 싱글 신발 여성 2019 봄 화이트 로퍼 영국 슬립 온 진주 가죽 뮬; B. Xiaochong 게으른 캐시미어 스웨터 스커트 하프 터틀넥 니트 드레스 여성 슬림 a 라인 무릎 위 내부 스커트 가을, 겨울; C. 2018 가을 인터넷 연예인 여성 운동화 새로운 한국어 버전 얼짱 하라주쿠 다재다능한 학생 캐주얼 운동화 트렌드; D. NOTHOMME 일본 트렌디 브랜드 찢어진 블랙 캐주얼 팬츠 남성 핏 테이퍼드 팬츠 ifashion; E. 여성용 가방 2018 새로운 트렌디한 시크 체인 스몰 스퀘어 백 심플하고 다양한 싱글 숄더 크로스바디 백 미니 아코디언 백; F. MG 코끼리 느슨한 하이 웨스트 청바지 여성 겨울 레트로 스트레이트 바지 2018 신입생 얼짱 바지; G. 여성을위한 인터넷 연예인 스노우 부츠 2018 새로운 짧은 마틴 부츠 학생 따뜻한 두꺼운 면화 여성 겨울 플러스 벨벳 부츠 여성; H. 의류 Tiancheng 2019 새로운 여름 반팔 남성 라운드 넥 풀오버 유행 한국어 버전 ins 슈퍼 핫 프린트 티셔츠; I. 여성용 귀걸이, 롱 스타일, 한국식 이어클립, 둥근 얼굴에 어울리는 과장된 태슬 귀걸이, 인터넷 연예인, 다재다능한 유럽 및 미국 귀걸이; J. MISSFLY 블랙 반짝 이는 실크 지퍼 하이 웨이스트 스커트 2019 봄 새로운 한국 스타일 맞춤 패션 엉덩이 포옹 스커트",ERR_EX,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",0
