bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
560,96605,6,G,"[200571, 164962, 81248, 240649, 219357]","[38498, 121710, 50340, 194622, 197664, 231037, 96605, 154457, 52328, 176444]",1. Here - Alessia Cara - Know-It-All; 2. Easy - Radio Edit - Mat Zo & Porter Robinson - Electric Love 2013; 3. Cigarettes In The Theatre - Two Door Cinema Club - Tourist History; 4. Call It What You Want - Foster The People - Torches; 5. Apartment - Young the Giant - Young the Giant,A. I Love an Island Girl - Ballos - Yiota Lydia - Greek Holiday (Pop Songs by Greece's Most Popular Record Artists); B. Gwola - Honey Cocaine - Gwola; C. Sur la planche 2013 - La Femme - Psycho Tropical Berlin; D. Won't Be Coming Home (S.I.N.) - Ozzy Osbourne - No More Tears (Bonus Track Version); E. Reet Petite - Jackie Wilson - He's So Fine; F. We Wish You A Merry Christmas - The Springfields - The Christmas Album; G. Helena Beat - Foster The People - Torches; H. Alive In You - Live - Jesus Culture - Let It Echo Unplugged; I. Moving Pieces - Qulinez - Moving Pieces; J. Firelight - Matt Maher - Saints and Sinners,G,G,1,0.82,1.0
6507,107053,5,F,"[216641, 98067, 165515, 194789, 199181]","[192994, 27855, 102241, 184703, 126040, 107053, 17294, 111858, 100712, 43726]",1. Pendulum - FKA twigs - LP1; 2. Trap Queen - Fetty Wap - Fetty Wap; 3. Me & U - Cassie - Cassie; 4. No Diggity - Blackstreet - Another Level; 5. Can't Feel My Face - The Weeknd - Beauty Behind The Madness,A. No - Alejandro Fernandez - Grandes Exitos A La Manera De Alejandro Fernandez; B. Red Dress - Submotion Orchestra - Colour Theory; C. Sparks Will Fly - J. Cole - Born Sinner; D. What About Us - The Buzz Junkies Radio Edit - The Saturdays - What About Us; E. Something Different - Boehm Remix - Why Don't We - Something Different; F. Hips Don't Lie - Shakira - Oral Fixation Vol. 2; G. 青花瓷 - Jay Chou - 我很忙; H. Pinball Wizard - Live In Swansea 1976 - The Who - Live Greatest Hits; I. Type - Living Colour - Pride; J. Scrape (feat. Gucci Mane) - Party Favor - Party & Destroy,C,C,0,0.82,1.0
12962,159560,3,D,"[65355, 211359, 157454, 64010, 103615]","[10016, 218542, 198616, 159560, 84192, 113571, 12020, 39461, 15185, 108898]",1. 7 - Catfish and the Bottlemen - The Ride; 2. a million other things - pronoun - There's no one new around you.; 3. You Are Free - Jimmy Eat World - Integrity Blues; 4. Astrovan - Mt. Joy - Astrovan; 5. Dead Alive - The Shins - Heartworms,"A. Cui Cui - Charlie Palmieri - Leyendas De La Fania Vol.4; B. Fool For You - This Mystery Album Version - Nichole Nordeman - This Mystery; C. Psalm 46 (Lord of Hosts) - Shane & Shane - Psalms, Vol. 2; D. Man on the Moon - Zella Day - Man on the Moon; E. Angel - The King's Singers - Swimming Over London; F. Without Me - Instrumental - Mac Demarco - Another One; G. NYC Ghosts & Flowers - Sonic Youth - NYC Ghosts & Flowers; H. Los Anos Que Yo Tengo - Tololoche - Los Apreciables Del Norte - El Especial Con Tololoche; I. My Love's Leavin' - Fourplay - X; J. Sheep Go To Heaven - Cake - Prolonging the Magic",D,D,1,0.82,1.0
6085,134443,1,B,"[97926, 134090, 44820, 174996, 233351]","[78194, 134443, 64649, 189684, 181776, 23750, 197260, 173765, 112483, 91501]",1. Skinny Love - Birdy - Birdy; 2. Good For You - Selena Gomez - Revival; 3. Jar of Hearts - Christina Perri - lovestrong.; 4. Music Sounds Better - Big Time Rush - Elevate; 5. I Think About You - Austin Moon - Austin & Ally: Turn It Up,"A. Phantoms and Friends - Old Man Canyon - Phantoms & Friends; B. the words - Christina Perri - head or heart; C. She Said, I Said (Time We Let Go) - NLT - She Said, I Said (Time We Let Go); D. Pajarillo - El Halcon De La Sierra - Coleccion Diamante 3; E. Get You Home - Nick Fradiani - Hurricane; F. Me Myself & I - Boyz II Men - Collide; G. Bleed It Out - Linkin Park - Minutes To Midnight; H. Heartline - Joop Wolters - Out Of Order; I. Y Qué Querías - Los Pescadores Del Rio Conchos - Para Siempre; J. There's Nothing Holdin' Me Back / / Mercy - Joey Stamper - There's Nothing Holdin' Me Back / / Mercy",B,B,1,0.82,1.0
8542,121160,3,D,"[67084, 3002, 213065, 49885, 231315]","[202064, 225961, 62971, 121160, 70155, 144698, 227393, 6474, 113524, 120980]","1. Whistle While You Work - Adriana Caselotti - Snow White and the Seven Dwarfs; 2. That's What Friends Are For (The Vulture Song) - From ""The Jungle Book""/Soundtrack - Thurl Ravenscroft - The Jungle Book; 3. The Gospel Truth III - Cheryl Freeman - Hercules; 4. The Mob Song - Soundtrack - Chorus - Beauty And the Beast - Beauty and the Beast; 5. I'm Wishing/One Song - Adriana Caselotti - Snow White and the Seven Dwarfs","A. Solo Dance - Acoustic Mix - Martin Jensen - Solo Dance (From Morning Till Midnight); B. So Close - Tom Misch - So Close; C. Testify - Future - HNDRXX; D. Les Poissons - From ""The Little Mermaid”/Soundtrack Version - Rene Auberjonois - Little Mermaid; E. Lamentations Of The Heart - Philip Wesley - Dark Night Of The Soul; F. Bloodline - The Slow Show - White Water; G. Fences - Boombass Remix - Phoenix - Wolfgang Amadeus Phoenix; H. 1/2 - 2004 Digital Remaster - Brian Eno - Ambient 1/Music For Airports; I. Karma Satellite - Futures - The Karma Album; J. Set's Me Free - The Apache Relay - American Nomad - EP",D,D,1,0.82,1.0
17250,113233,6,G,"[234071, 163440, 77162, 194691, 224122]","[178614, 86566, 25370, 70315, 227531, 91652, 113233, 41056, 180560, 239161]",1. Sweater Weather - The Neighbourhood - I Love You.; 2. Bored To Death - blink-182 - California; 3. Jungle - X Ambassadors - VHS; 4. Makes No Difference - Sum 41 - Half Hour Of Power; 5. Stolen Dance - Milky Chance - Sadnecessary,"A. Divinity - ODESZA Remix - Porter Robinson - Worlds; B. Dirt Road Anthem - NASHVILLE ON TV - Nashville Country Hits; C. It's Gonna Last - The UMC's - Fruits Of Nature; D. Piano Song - Eryn Allen Kane - Piano Song; E. Porcelain - Courtney Barnett - The Double EP : A Sea Of Split Peas; F. El Rapido - Banda Renovacion - El Rapido; G. Midnight City - M83 - Hurry Up, We're Dreaming; H. Horticulture - Maxx Marshall - Horticulture; I. Drive - Alex D'Rosso - Drive; J. Is She Gon Pop - J. Cole - Born Sinner",G,G,1,0.82,1.0
8602,113522,9,J,"[102505, 233173, 226699, 194561, 155121]","[222284, 172958, 189861, 32730, 97945, 93363, 67692, 9632, 174974, 113522]",1. Shake It - Metro Station - Metro Station; 2. Needed Me - R3hab Remix - Rihanna - Needed Me; 3. Hype - Drake - Views; 4. Unforgettable - French Montana - Jungle Rules; 5. Waves - Kanye West - The Life Of Pablo,A. Powerful - Empire Cast - Empire: The Complete Season 2; B. Can We Still Be Friends - Tobias Jesso Jr. - Goon; C. 4-Ever - NB Ridaz - NB Ridaz.com; D. Beautiful - Betty Who - The Valley; E. Da Guadeloop - Amon Düül II - Hijack; F. Close - Roosevelt - Roosevelt; G. Chloe (You're the One I Want) - Emblem3 - Nothing To Lose (Deluxe Version); H. Cloudy Creek - John Williams - Dusty Porch; I. D.J.'s - Sublime - Jah Won't Pay The Bills; J. State Of Grace - Taylor Swift - Red,A,A,0,0.82,1.0
4689,53676,6,G,"[155363, 83154, 38950, 7391, 57853]","[67858, 199956, 26761, 91773, 106575, 123764, 53676, 133765, 213649, 211905]",1. It's So Hard (featuring Donell Jones) - Big Pun - Yeah Baby; 2. Bad Day - Chiddy Bang - The Preview; 3. Around The Way Girl - LL Cool J - Mama Said Knock You Out; 4. Crush On You - feat. YG - New Boyz - Too Cool To Care; 5. Deliverance - Bubba Sparxxx - Deliverance,"A. Five Nights at Freddy's 2 - Remastered - MiatriSs - Fnaf, Vol​. ​1; B. Diamond Eyes - Inner Wave - Sun Transmission; C. Roi Mai Toi Dua Em - Tuan Ngoc - La Do Muon Chieu; D. The Body Electric - Hurray For The Riff Raff - Small Town Heroes; E. A Quarter Quell - James Newton Howard - The Hunger Games: Catching Fire; F. Lolli Lolli (Pop That Body) - Three 6 Mafia - Total Club Hits Vol. 2; G. Good Lovin - Ludacris - Ludaversal; H. Guard Your Heart - 1GN - Unite; I. Raw - Wiz Khalifa - Blacc Hollywood; J. Birds of a Feather - The Civil Wars - Barton Hollow",F,F,0,0.82,1.0
1274,115639,4,E,"[25451, 174009, 76508, 198298, 112949]","[47985, 201459, 153771, 224079, 115639, 38493, 193494, 53396, 149618, 70797]",1. Calling (Lose My Mind) - Radio Edit - Sebastian Ingrosso - Calling (Lose My Mind); 2. The Way It Was - Wolfgang Gartner - Weekend In America; 3. Fight For You - Morgan Page - Believe (Bonus Track Version); 4. Middledistancerunner - Album Mix - Chicane - Giants; 5. Blessed Avicii - Original Mix - Tom Hangs & Shermanology - Club Life - Volume One Las Vegas (Continuous DJ Mix),A. Zelda's Theme From Legend of Zelda - Retro Crowd - Games X; B. Red 187 Killa - Big Lokote - The Dark Album; C. Let's Play a Game - Ramin Djawadi - Game of Thrones (Music from the HBO® Series - Season 6); D. Forgot About Dre - Dr. Dre - 2001; E. Last Chance - Kaskade - Atmosphere; F. I Waited For You - Valora - I Waited for You; G. Deep End - Daye Jack - Surf the Web; H. Tangled Up In You - Aaron Lewis - Town Line; I. Ingots - Kaki King - Legs to Make us Longer; J. Mesmerize - Tobu - Mesmerize,E,E,1,0.82,1.0
15323,17960,7,H,"[62060, 84196, 66880, 9748, 178447]","[67592, 22051, 61595, 244708, 208084, 7872, 228990, 17960, 152376, 216182]",1. Tiny Dancer - Elton John - Madman Across The Water; 2. Piece of My Heart - Big Brother & The Holding Company - Cheap Thrills; 3. Peace Train - Yusuf / Cat Stevens - Teaser And The Firecat; 4. You Make Loving Fun - Remastered - Fleetwood Mac - Rumours; 5. Go Your Own Way - 2004 Remastered Edition - Fleetwood Mac - Rumours,A. Stress Relief - Tech N9ne - The Lost Scripts of K.O.D. - EP; B. 22h31 - Fais les backs - Casseurs Flowters - Orelsan et Gringe sont les Casseurs Flowters; C. All I Want Is You - Judah & the Lion - Folk Hop N' Roll; D. Never Will Be Mine - Rye Rye - Go! Pop! Bang!; E. Gain The World - jahmiel - Gain The World - Single; F. Underground Army - Hans Zimmer - The Dark Knight Rises; G. Mutron Angel - Main Version - Clean - OutKast - Idlewild; H. Hey Hey What Can I Do - Led Zeppelin - Coda; I. Over The Rainbow - Oscar Peterson - Oscar Peterson Plays The Harold Arlen Song Book; J. La rosa de los vientos - Version 2011 - Mägo de Oz - Love and Oz,H,H,1,0.82,1.0
