bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
560,96605,9,J,"[182340, 32820, 30433, 39474, 147211, 81248, 232173, 227302, 201597, 77640]","[165460, 56673, 28016, 210215, 176372, 244909, 174599, 152892, 130867, 96605]","1. Bennie And The Jets - Remastered 2014 - Elton John - Goodbye Yellow Brick Road; 2. Electric Feel - MGMT - Oracular Spectacular/Congratulations; 3. Eat That Up, Its Good For You - Two Door Cinema Club - Tourist History; 4. Coming of Age - Foster The People - Supermodel; 5. You've Got Time - Regina Spektor - You've Got Time; 6. Cigarettes In The Theatre - Two Door Cinema Club - Tourist History; 7. Arm's Length - Kacy Hill - Bloo; 8. Climbing Walls - Strange Talk - Strange Talk; 9. Slide - Calvin Harris - Funk Wav Bounces Vol.1; 10. Chocolate - The 1975 - The 1975","A. 6 God - Drake - If You're Reading This It's Too Late; B. Hey Yo - 311 - MOSAIC; C. Run - JR JR - The Speed of Things; D. Soy Sinaloense - Gerardo Ortiz - El Primer Ministro (Version Deluxe); E. One More Time / Aerodynamic - Daft Punk - Alive 2007; F. Slow Down (Remix) - Clyde Carson - Slow Down (feat. Gucci Mane, E-40, Game & Dom Kennedy) [Remix] - Single; G. Wide Eyed Skeleton - Heath McNease - Wide Eyed Skeleton; H. 69 - Marsha Ambrosius - Friends & Lovers; I. Sleepin' Around - Austin Burke - Sleepin' Around; J. Helena Beat - Foster The People - Torches",ERR_EX,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",0,0.82,0.996
6507,107053,3,D,"[159648, 216641, 36329, 231948, 33214, 39419, 52538, 8320, 183622, 155350]","[93101, 163977, 236412, 107053, 153362, 164329, 96791, 158740, 198866, 223226]",1. Slow Motion - Trey Songz - Trigga Reloaded; 2. Pendulum - FKA twigs - LP1; 3. Danza Kuduro - Don Omar - Meet The Orphans; 4. Still Callin (feat. Teeflii) - Dom Kennedy - Get Home Safely; 5. Sexual Healing - Kygo Remix - Marvin Gaye - Sexual Healing; 6. Work Out - J. Cole - Cole World: The Sideline Story; 7. Be Real - Kid Ink - Full Speed; 8. Pour It Up - Rihanna - Unapologetic; 9. Outside - Calvin Harris - Motion; 10. My Type of Party - Dom Kennedy - My Type of Party,A. Dolo - Kid Ink - Full Speed; B. On Lock - NOAHJVMES - On Lock; C. Divina - Toro y Moi - Underneath The Pine; D. Hips Don't Lie - Shakira - Oral Fixation Vol. 2; E. Chemicals - Dexter Remix - Tiësto - Chemicals; F. Give Up The Ghost - Radiohead - The King Of Limbs; G. All We Do - Berner - Hempire; H. Mi Lluvia De Amor - Ephrem J - Mi Lluvia De Amor; I. Apple Pie - Travis Scott - Rodeo; J. Thirsty - PARTYNEXTDOOR - PARTYNEXTDOOR TWO,A,A,0,0.82,0.996
12962,159560,1,B,"[50592, 211359, 103615, 30483, 35542, 172988, 81261, 136540, 64010, 14708]","[203012, 159560, 60968, 94191, 207669, 244832, 117911, 189179, 4821, 247305]",1. Turn Away - Wet - The Middle / Turn Away; 2. a million other things - pronoun - There's no one new around you.; 3. Dead Alive - The Shins - Heartworms; 4. Fly East - Crystal Fighters - Everything Is My Family; 5. Casual Party - Band of Horses - Why Are You OK; 6. If I Wanted Someone - Dawes - Nothing Is Wrong / North Hills; 7. What Do You Love - Seeb - What Do You Love; 8. Dunes - Alabama Shakes - Sound & Color; 9. Astrovan - Mt. Joy - Astrovan; 10. Cocaine Jesus - Rainbow Kitten Surprise - RKS,"A. A Dream Is a Wish Your Heart Makes - David Choi - Everybody Loves Disney; B. Man on the Moon - Zella Day - Man on the Moon; C. No Way Out - Theory of a Deadman - Gasoline [Special Edition]; D. Ghost - Original Mix - Gemini Club - Ghost; E. Stella - Here We Go Magic - Be Small; F. Onstuh - Feed Me - Calamari Tuesday; G. Strawberry Syrup Sixteens - Audrey Air - Strawberry Syrup Sixteens; H. Lakini's Juice - Live - Secret Samadhi; I. Sunrise - The Tequila Mockingbird Orchestra - Follow My Lead, Lead Me to Follow; J. The Fall in Love - Wheatus - The Valentine Lp",B,B,1,0.82,0.996
6085,134443,1,B,"[110564, 216956, 109467, 80951, 171335, 174996, 205289, 9874, 44820, 147365]","[213036, 134443, 174912, 228020, 126359, 119794, 230524, 202665, 237820, 129617]",1. Say Something - A Great Big World - Is There Anybody Out There? - Track by Track Commentary; 2. Long Way Down - One Direction - Made In The A.M.; 3. Wouldn't Change A Thing - Demi Lovato - Wouldn't Change A Thing; 4. Hands To Myself - Selena Gomez - Revival; 5. Amnesia - 5 Seconds of Summer - 5 Seconds Of Summer; 6. Music Sounds Better - Big Time Rush - Elevate; 7. Let Me Go - Avril Lavigne - Avril Lavigne; 8. The Last Time - Taylor Swift - Red; 9. Jar of Hearts - Christina Perri - lovestrong.; 10. Stay - Album Version (Edited) - Rihanna - Unapologetic,"A. The Preacher - Brother Ali - Us; B. the words - Christina Perri - head or heart; C. Southern Ireland Irish Jig - Celtic Music Voyages - Celtic Music Collection: Irish Jigs, Irish Reels, Irish Laments and More; D. Runaway - Grace Mitchell - Design; E. That Girl Is Crafty - Tryhardninja - In Real Life; F. When I Give My Love - Keith Sweat - Get Up On It; G. Jeena Kya Aji Pyar Bina - From ""Dhan Daulat"" - Kishore Kumar - R.D. Burman: Prince of Bollywood; H. We Three Kings - Straight No Chaser - Christmas Cheers; I. First Fuck - 6LACK - First Fuck; J. Diet Mountain Dew - Lana Del Rey - Born To Die - The Paradise Edition",B,B,1,0.82,0.996
8542,121160,4,E,"[3002, 220712, 212818, 189388, 170389, 26845, 127927, 49885, 3013, 169576]","[49203, 162263, 184229, 31721, 121160, 12936, 181866, 203424, 79134, 226603]","1. That's What Friends Are For (The Vulture Song) - From ""The Jungle Book""/Soundtrack - Thurl Ravenscroft - The Jungle Book; 2. Supercalifragilisticexpialidocious - Julie Andrews - The Sherman Brothers Songbook; 3. Jolly Holiday - From ""Mary Poppins""/Soundtrack Version - Dick Van Dyke - Mary Poppins Original Soundtrack; 4. Out There - Tony Jay - The Hunchback Of Notre Dame; 5. Beauty and the Beast - Angela Lansbury - Beauty and the Beast; 6. Can You Feel The Love Tonight - Joseph Williams - The Lion King; 7. Steady As The Beating Drum - Chorus - Pocahontas - Pocahontas; 8. The Mob Song - Soundtrack - Chorus - Beauty And the Beast - Beauty and the Beast; 9. A Spoonful Of Sugar - Julie Andrews - The Sherman Brothers Songbook; 10. For the First Time in Forever - Kristen Bell - Frozen","A. Meherbaan (From ""Bang Bang"") - Vishal-Shekhar - Musical Bond: Vishal Shekhar & Anvita Dutt; B. One Minute To Midnight - Justice - Cross; C. Sicillani - The Mulberry Street Festiv... - Mob Hits - Wise Guy Collection; D. Local Honey - Sean Watkins - What to Fear; E. Les Poissons - From ""The Little Mermaid”/Soundtrack Version - Rene Auberjonois - Little Mermaid; F. Wild Frontier - The Prodigy - The Day Is My Enemy; G. Remy's Revaenge - From ""Ratatouille""/Score - Michael Giacchino - Ratatouille; H. Beach Rats - The Growlers - Hung At Heart; I. Intermission - Panic! At The Disco - A Fever You Can't Sweat Out; J. Mi Amigo Jesus - Marino - Mi Amigo Jesus / Hoy Lloro por Ti Señor (Doble Album)",E,E,1,0.82,0.996
17250,113233,9,J,"[203793, 161348, 195814, 107392, 184045, 77162, 42118, 209760, 129793, 140316]","[23266, 89972, 50314, 236937, 141797, 225600, 199349, 45203, 35768, 113233]","1. Fitzpleasure - alt-J - An Awesome Wave; 2. I Don’t Want To Be Here Anymore - Rise Against - The Black Market; 3. Stressed Out - Twenty One Pilots - Blurryface; 4. Animal - Miike Snow - Miike Snow; 5. Redbone - Childish Gambino - ""Awaken, My Love!""; 6. Jungle - X Ambassadors - VHS; 7. I'm Just A Kid - Simple Plan - No Pads, No Helmets...Just Balls; 8. Motivation - Sum 41 - All Killer, No Filler; 9. I Miss You - blink-182 - blink-182; 10. Backyard - Victoria Monet - Nightmares & Lullabies - Act 1","A. Poor Twisted Me - Metallica - Load; B. Baltimore Blues No. 1 - Deer Tick - War Elephant; C. Game Over - Radio Edit - Heatbeat - Game Over; D. Out Of My Head - John Newman - Tribute; E. aquarius - Quentin Sirjacq - Far Islands and Near Places; F. The Funk Theory - Me & My Toothbrush - The Funk Theory EP; G. Minecraft - Fonik - Spotlight Compilation Vol. 1; H. Stay - Artist Vs Poet - Remember This; I. Good Ole Boys Like Me - Don Williams - I Believe in You; J. Midnight City - M83 - Hurry Up, We're Dreaming",J,J,1,0.82,0.996
8602,113522,9,J,"[233173, 200158, 102505, 141332, 251041, 162543, 208876, 131452, 145557, 83853]","[73191, 16408, 92899, 234460, 78456, 240221, 13898, 143039, 120651, 113522]",1. Needed Me - R3hab Remix - Rihanna - Needed Me; 2. Call On Me - Ryan Riback Extended Remix - Starley - Call On Me; 3. Shake It - Metro Station - Metro Station; 4. Double Vision - 3OH!3 - Streets Of Gold; 5. $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) - Lil Dicky - Professional Rapper; 6. Wasted - Tiësto - A Town Called Paradise; 7. Don't Quit - DJ Khaled - Grateful; 8. Friends (with BloodPop®) - Justin Bieber - Friends (with BloodPop®); 9. (Not) The One - Bebe Rexha - All Your Fault: Pt. 2; 10. Gold Digger - Kanye West - Late Registration,A. Class - Catherine Zeta-Jones - Music From The Miramax Motion Picture Chicago; B. I'm With You - Grouplove - I'm With You; C. Morning Light - Wilderado - Latigo EP; D. Roses - Mos Def - The Ecstatic; E. Reincarnated Soul - The Wailers - Burnin'; F. Little Red Wagon - Audra Mae & The Almighty Sound - Audra Mae And The Almighty Sound; G. Volverte A Ver - Juanes - Mi Sangre; H. You Alone Can Rescue - Matt Redman - Passion: Awakening; I. He's Alive - Dolly Parton - White Limozeen; J. State Of Grace - Taylor Swift - Red,B,B,0,0.82,0.996
4689,53676,5,F,"[187526, 7391, 9853, 225731, 239024, 99813, 12227, 38901, 50624, 28866]","[48381, 176089, 73428, 134248, 172267, 53676, 192094, 75630, 68566, 134782]",1. Beautiful Girls - Sean Kingston - Sean Kingston; 2. Crush On You - feat. YG - New Boyz - Too Cool To Care; 3. nann nigga - Trick Daddy - www.thug.com; 4. Let Me Clear My Throat - Live - DJ Kool - Let Me Clear My Throat; 5. The Humpty Dance - Digital Underground - Sex Packets; 6. Izzo (H.O.V.A.) - JAY Z - The Blueprint; 7. Post To Be (feat. Chris Brown & Jhene Aiko) - Omarion - Sex Playlist; 8. Same Song - Edit Version - Digital Underground - Rhino Hi-Five: Digital Underground; 9. I Can - Nas - God's Son; 10. Anonymous - Main - Bobby V. - Special Occasion,A. Smother Me - The Used - Lies For The Liars; B. Tsomo Lekho Nafshi-Yeirusholayim Slavnyi Gorod - Kitka - Sanctuary: A Cathedral Concert; C. Everything’s Going On - Dead Meadow - Shivering King and Others; D. Everybody Is In The Place [Mix Cut] - I AM Hardwell Intro Edit - Hardwell - Hardwell Presents Revealed Vol. 5; E. Cloudshine - Reva DeVito - Cloudshine Deluxe; F. Good Lovin - Ludacris - Ludaversal; G. Cordon de Plata - Gustavo Santaolalla - Camino; H. Open Car - Porcupine Tree - Deadwing; I. Carried Away - George Strait - Blue Clear Sky; J. Euuhh (feat. Schoolboy Q & Twanup) - A$AP Ferg - The Rap Journalist News Brief,F,F,1,0.82,0.996
1274,115639,2,C,"[76508, 61536, 142560, 253856, 9037, 145475, 198298, 174009, 9124, 247599]","[175645, 26030, 115639, 18405, 153009, 208209, 165666, 115535, 62681, 22509]",1. Fight For You - Morgan Page - Believe (Bonus Track Version); 2. Alone With You - deadmau5 - Random Album Title; 3. Under Control - Calvin Harris - Motion; 4. When Love Takes Over (feat. Kelly Rowland) - feat. Kelly Rowland - David Guetta - One Love; 5. Believe - Morgan Page - Believe (Bonus Track Version); 6. My Feelings for You - Avicii - My Feelings For You; 7. Middledistancerunner - Album Mix - Chicane - Giants; 8. The Way It Was - Wolfgang Gartner - Weekend In America; 9. Imagination - Kaskade Club Remix - JES - Imagination; 10. Firestone - Kygo - Cloud Nine,"A. Se Le Ve - Impacto De Montemorelos - Impacto de Montemorelos; B. Funky Cold Medina (Re-Recorded / Remastered) - Tone-Loc - Funky Cold Medina (Re-Recorded / Remastered); C. Last Chance - Kaskade - Atmosphere; D. Ambitious Beggar - Peter Tosh - The Best Of; E. Break 'Em Off Somethin' - 2005 Digital Remaster - Master P - Ice Cream Man; F. Hands Down - Dashboard Confessional - A Mark, A Mission, A Brand, A Scar; G. Photograph - Weezer - Weezer (Green Album); H. What I've Been Looking For - High School Musical Cast - High School Musical; I. Caravan Sary - Kitaro - Synthesizer Greatest 5; J. Hangover - PSY - Hangover",C,C,1,0.82,0.996
15323,17960,1,B,"[62060, 178597, 77868, 20754, 9748, 132430, 178447, 84196, 93029, 66880]","[52939, 17960, 198943, 196300, 141559, 231096, 234362, 92774, 222310, 224445]",1. Tiny Dancer - Elton John - Madman Across The Water; 2. Gimme Shelter - The Rolling Stones - Let It Bleed; 3. Hey Jude - Remastered 2015 - The Beatles - 1; 4. Tuesday's Gone - Lynyrd Skynyrd - Pronounced' Leh-'Nerd 'Skin-'Nerd; 5. You Make Loving Fun - Remastered - Fleetwood Mac - Rumours; 6. Gold Dust Woman - 2004 Remastered Edition - Fleetwood Mac - Rumours; 7. Go Your Own Way - 2004 Remastered Edition - Fleetwood Mac - Rumours; 8. Piece of My Heart - Big Brother & The Holding Company - Cheap Thrills; 9. Uptown Girl - Billy Joel - An Innocent Man; 10. Peace Train - Yusuf / Cat Stevens - Teaser And The Firecat,"A. Victim - Trapt - Someone In Control; B. Hey Hey What Can I Do - Led Zeppelin - Coda; C. Settle The Score - The Creepshow - Life After Death; D. Time - Basia Bulat - Good Advice; E. Royal Blue - The American Scene - Haze; F. Stolen Dance - Radio Edit - Milky Chance - Stolen Dance; G. Right Away - Solar Skinner - New Blood Of Bass, Vol. 6; H. Here I Am Lord - The Vandals - Oi To The World; I. Sisters - Anastasia Barzee - Irving Berlin's White Christmas; J. Namania - Habib Koité - Afriki",B,B,1,0.82,0.996
