bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,hard_neg_count,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
560,96605,9,J,"[182340, 32820, 30433, 39474, 147211, 81248, 232173, 227302, 201597, 77640]","[236438, 14628, 8966, 197511, 195202, 207103, 185643, 184689, 168235, 96605]","1. Bennie And The Jets - Remastered 2014 - Elton John - Goodbye Yellow Brick Road; 2. Electric Feel - MGMT - Oracular Spectacular/Congratulations; 3. Eat That Up, Its Good For You - Two Door Cinema Club - Tourist History; 4. Coming of Age - Foster The People - Supermodel; 5. You've Got Time - Regina Spektor - You've Got Time; 6. Cigarettes In The Theatre - Two Door Cinema Club - Tourist History; 7. Arm's Length - Kacy Hill - Bloo; 8. Climbing Walls - Strange Talk - Strange Talk; 9. Slide - Calvin Harris - Funk Wav Bounces Vol.1; 10. Chocolate - The 1975 - The 1975",A. Coming of Age - Live From The Village - Foster The People - Spotify Sessions - Live From The Village; B. Doing It for the Money - Foster The People - Sacred Hearts Club; C. A Beginner's Guide to Destroying the Moon - Foster The People - Supermodel; D. Don't Stop (Color on the Walls) - Foster The People - Torches; E. Harden the Paint - Foster The People - Sacred Hearts Club; F. Sit Next to Me - Radio Edit - Foster The People - Sit Next to Me (Versions); G. Lotus Eater - Foster The People - Sacred Hearts Club; H. SHC - Foster The People - Sacred Hearts Club; I. Warrant - Foster The People - Torches; J. Helena Beat - Foster The People - Torches,9,C,C,0,0.52,1.0
6507,107053,3,D,"[159648, 216641, 36329, 231948, 33214, 39419, 52538, 8320, 183622, 155350]","[70971, 144343, 240687, 107053, 126957, 143292, 82824, 142625, 184420, 207356]",1. Slow Motion - Trey Songz - Trigga Reloaded; 2. Pendulum - FKA twigs - LP1; 3. Danza Kuduro - Don Omar - Meet The Orphans; 4. Still Callin (feat. Teeflii) - Dom Kennedy - Get Home Safely; 5. Sexual Healing - Kygo Remix - Marvin Gaye - Sexual Healing; 6. Work Out - J. Cole - Cole World: The Sideline Story; 7. Be Real - Kid Ink - Full Speed; 8. Pour It Up - Rihanna - Unapologetic; 9. Outside - Calvin Harris - Motion; 10. My Type of Party - Dom Kennedy - My Type of Party,A. Underneath Your Clothes - Shakira - Laundry Service (Alben für die Ewigkeit); B. Inevitable - Shakira - Grandes Exitos; C. Loca por Ti - Shakira - Shakira. (Deluxe Version); D. Hips Don't Lie - Shakira - Oral Fixation Vol. 2; E. Chantaje - Shakira - El Dorado; F. Loca - Live Version - Shakira - Live From Paris; G. Loca - Shakira - Sale El Sol; H. Mon Amour - Shakira - She Wolf (Deluxe Version); I. 23 - Shakira - Shakira. (Deluxe Version); J. She Wolf - Live Version - Shakira - Live From Paris,9,D,D,1,0.52,1.0
12962,159560,1,B,"[50592, 211359, 103615, 30483, 35542, 172988, 81261, 136540, 64010, 14708]","[168116, 159560, 29372, 132760, 140172, 115179, 30936, 195978, 12323, 250501]",1. Turn Away - Wet - The Middle / Turn Away; 2. a million other things - pronoun - There's no one new around you.; 3. Dead Alive - The Shins - Heartworms; 4. Fly East - Crystal Fighters - Everything Is My Family; 5. Casual Party - Band of Horses - Why Are You OK; 6. If I Wanted Someone - Dawes - Nothing Is Wrong / North Hills; 7. What Do You Love - Seeb - What Do You Love; 8. Dunes - Alabama Shakes - Sound & Color; 9. Astrovan - Mt. Joy - Astrovan; 10. Cocaine Jesus - Rainbow Kitten Surprise - RKS,A. High - Zella Day - Kicker; B. Man on the Moon - Zella Day - Man on the Moon; C. Jerome - Zella Day - Kicker; D. Sweet Ophelia - Gold Fields Remix - Zella Day - Sweet Ophelia; E. Hypnotic - Zella Day - Kicker; F. Hypnotic - Digster Live Session - Zella Day - Digster Live Session; G. East of Eden - Zella Day - Kicker; H. Compass - Zella Day - Kicker; I. Mustang Kids - Zella Day - Kicker; J. Hypnotic - Vanic Remix - Zella Day - Hypnotic,9,E,E,0,0.52,1.0
6085,134443,1,B,"[110564, 216956, 109467, 80951, 171335, 174996, 205289, 9874, 44820, 147365]","[175106, 134443, 152781, 186912, 85348, 190921, 213326, 248643, 216291, 94899]",1. Say Something - A Great Big World - Is There Anybody Out There? - Track by Track Commentary; 2. Long Way Down - One Direction - Made In The A.M.; 3. Wouldn't Change A Thing - Demi Lovato - Wouldn't Change A Thing; 4. Hands To Myself - Selena Gomez - Revival; 5. Amnesia - 5 Seconds of Summer - 5 Seconds Of Summer; 6. Music Sounds Better - Big Time Rush - Elevate; 7. Let Me Go - Avril Lavigne - Avril Lavigne; 8. The Last Time - Taylor Swift - Red; 9. Jar of Hearts - Christina Perri - lovestrong.; 10. Stay - Album Version (Edited) - Rihanna - Unapologetic,A. distance - Christina Perri - lovestrong.; B. the words - Christina Perri - head or heart; C. tragedy - Christina Perri - lovestrong.; D. miles - Christina Perri - lovestrong.; E. burning gold - Autograf Remix - Christina Perri - burning gold remixes; F. burning gold - Christina Perri - head or heart; G. merry christmas darling - Christina Perri - a very merry perri christmas; H. daydream - live at the ocean way studios - Christina Perri - the ocean way sessions; I. sad song - Christina Perri - lovestrong.; J. i believe - Christina Perri - head or heart,9,I,I,0,0.52,1.0
8542,121160,9,J,"[3002, 220712, 212818, 189388, 170389, 26845, 127927, 49885, 3013, 169576]","[12936, 162264, 79134, 144257, 184230, 49203, 203425, 181867, 31721, 121160]","1. That's What Friends Are For (The Vulture Song) - From ""The Jungle Book""/Soundtrack - Thurl Ravenscroft - The Jungle Book; 2. Supercalifragilisticexpialidocious - Julie Andrews - The Sherman Brothers Songbook; 3. Jolly Holiday - From ""Mary Poppins""/Soundtrack Version - Dick Van Dyke - Mary Poppins Original Soundtrack; 4. Out There - Tony Jay - The Hunchback Of Notre Dame; 5. Beauty and the Beast - Angela Lansbury - Beauty and the Beast; 6. Can You Feel The Love Tonight - Joseph Williams - The Lion King; 7. Steady As The Beating Drum - Chorus - Pocahontas - Pocahontas; 8. The Mob Song - Soundtrack - Chorus - Beauty And the Beast - Beauty and the Beast; 9. A Spoonful Of Sugar - Julie Andrews - The Sherman Brothers Songbook; 10. For the First Time in Forever - Kristen Bell - Frozen","A. Wild Frontier - The Prodigy - The Day Is My Enemy; B. Alone in the Light - Kyle Park - Big Time; C. Intermission - Panic! At The Disco - A Fever You Can't Sweat Out; D. Les Poissons - Remastered 2014 - Rene Auberjonois - Walt Disney Records The Legacy Collection: The Little Mermaid; E. Police & Thieves - Remastered - The Clash - The Clash; F. Meherbaan (From ""Bang Bang"") - Vishal-Shekhar - Musical Bond: Vishal Shekhar & Anvita Dutt; G. Belong To The World - The Weeknd - Kiss Land; H. Here Too Far - Beta Radio - Colony of Bees; I. Local Honey - Sean Watkins - What to Fear; J. Les Poissons - From ""The Little Mermaid”/Soundtrack Version - Rene Auberjonois - Little Mermaid",1,J,J,1,0.52,1.0
17250,113233,9,J,"[203793, 161348, 195814, 107392, 184045, 77162, 42118, 209760, 129793, 140316]","[39327, 90957, 56195, 211040, 135300, 207412, 174831, 54156, 49055, 113233]","1. Fitzpleasure - alt-J - An Awesome Wave; 2. I Don’t Want To Be Here Anymore - Rise Against - The Black Market; 3. Stressed Out - Twenty One Pilots - Blurryface; 4. Animal - Miike Snow - Miike Snow; 5. Redbone - Childish Gambino - ""Awaken, My Love!""; 6. Jungle - X Ambassadors - VHS; 7. I'm Just A Kid - Simple Plan - No Pads, No Helmets...Just Balls; 8. Motivation - Sum 41 - All Killer, No Filler; 9. I Miss You - blink-182 - blink-182; 10. Backyard - Victoria Monet - Nightmares & Lullabies - Act 1","A. Another Wave From You - M83 - Hurry Up, We're Dreaming; B. Oblivion (feat. Susanne Sundfør) - M83 - Oblivion (feat. Susanne Sundfør); C. Adieux - M83 - You And The Night; D. We Own The Sky - Edit - M83 - We Own The Sky; E. Klaus I Love You - M83 - Hurry Up, We're Dreaming; F. Year One, One Ufo - M83 - Hurry Up, We're Dreaming; G. Vision II - M83 - You And The Night; H. Mon Enfant - M83 - You And The Night; I. Steve McQueen - M83 - Hurry Up, We're Dreaming; J. Midnight City - M83 - Hurry Up, We're Dreaming",9,J,J,1,0.52,1.0
8602,113522,9,J,"[233173, 200158, 102505, 141332, 251041, 162543, 208876, 131452, 145557, 83853]","[39970, 12524, 54290, 226911, 44841, 239944, 11916, 127978, 89062, 113522]",1. Needed Me - R3hab Remix - Rihanna - Needed Me; 2. Call On Me - Ryan Riback Extended Remix - Starley - Call On Me; 3. Shake It - Metro Station - Metro Station; 4. Double Vision - 3OH!3 - Streets Of Gold; 5. $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) - Lil Dicky - Professional Rapper; 6. Wasted - Tiësto - A Town Called Paradise; 7. Don't Quit - DJ Khaled - Grateful; 8. Friends (with BloodPop®) - Justin Bieber - Friends (with BloodPop®); 9. (Not) The One - Bebe Rexha - All Your Fault: Pt. 2; 10. Gold Digger - Kanye West - Late Registration,A. You're Not Sorry - Taylor Swift - Fearless; B. I'm Only Me When I'm With You - Taylor Swift - Taylor Swift; C. Tied Together with a Smile - Taylor Swift - Taylor Swift; D. Clean - Taylor Swift - 1989; E. Change - Taylor Swift - Fearless; F. Wildest Dreams - Taylor Swift - 1989; G. Gorgeous - Taylor Swift - Gorgeous; H. The Story Of Us - Taylor Swift - Speak Now; I. Begin Again - Taylor Swift - Red; J. State Of Grace - Taylor Swift - Red,9,F,F,0,0.52,1.0
4689,53676,5,F,"[187526, 7391, 9853, 225731, 239024, 99813, 12227, 38901, 50624, 28866]","[42693, 173144, 65741, 242127, 162199, 53676, 174738, 69298, 66598, 131960]",1. Beautiful Girls - Sean Kingston - Sean Kingston; 2. Crush On You - feat. YG - New Boyz - Too Cool To Care; 3. nann nigga - Trick Daddy - www.thug.com; 4. Let Me Clear My Throat - Live - DJ Kool - Let Me Clear My Throat; 5. The Humpty Dance - Digital Underground - Sex Packets; 6. Izzo (H.O.V.A.) - JAY Z - The Blueprint; 7. Post To Be (feat. Chris Brown & Jhene Aiko) - Omarion - Sex Playlist; 8. Same Song - Edit Version - Digital Underground - Rhino Hi-Five: Digital Underground; 9. I Can - Nas - God's Son; 10. Anonymous - Main - Bobby V. - Special Occasion,A. Woozy - Ludacris - Release Therapy; B. Tell Me A Secret - Ludacris - Battle Of The Sexes; C. MVP - Ludacris - Theater Of The Mind; D. Runaway Love - Ludacris - Release Therapy; E. Area Codes - Album Version (Edited) - Ludacris - Word Of Mouf; F. Good Lovin - Ludacris - Ludaversal; G. Stand Up - Ludacris - Chicken - N - Beer; H. Get Lit - Ludacris - Ludaversal; I. Cry Babies (Oh No) - Ludacris - Word Of Mouf; J. Vitamin D - Eva Shaw Remix - Ludacris - Vitamin D,9,G,G,0,0.52,1.0
1274,115639,2,C,"[76508, 61536, 142560, 253856, 9037, 145475, 198298, 174009, 9124, 247599]","[168041, 24255, 115639, 14761, 145577, 191083, 157104, 108234, 62133, 22587]",1. Fight For You - Morgan Page - Believe (Bonus Track Version); 2. Alone With You - deadmau5 - Random Album Title; 3. Under Control - Calvin Harris - Motion; 4. When Love Takes Over (feat. Kelly Rowland) - feat. Kelly Rowland - David Guetta - One Love; 5. Believe - Morgan Page - Believe (Bonus Track Version); 6. My Feelings for You - Avicii - My Feelings For You; 7. Middledistancerunner - Album Mix - Chicane - Giants; 8. The Way It Was - Wolfgang Gartner - Weekend In America; 9. Imagination - Kaskade Club Remix - JES - Imagination; 10. Firestone - Kygo - Cloud Nine,A. Us - Kaskade - Automatic; B. Promise (feat. K.Flay) - Kaskade - Automatic; C. Last Chance - Kaskade - Atmosphere; D. Eyes - Kaskade - Fire & Ice; E. Lick It (Kaskades ICE Mix) - Kaskade - Fire & Ice; F. Waste Love - Kaskade - Fire & Ice; G. Everything - Big Room Mix - Kaskade - Here & Now; H. No One Knows Who We Are (feat. Lights) - Kaskade - No One Knows Who We Are (feat. Lights); I. Fire In Your New Shoes (feat. Martina of Dragonette) - Sultan & Ned Shepard Electric Daisy Remix - Kaskade - dance.love; J. A Little More (feat. Sansa) - Kaskade - Automatic,9,D,D,0,0.52,1.0
15323,17960,1,B,"[62060, 178597, 77868, 20754, 9748, 132430, 178447, 84196, 93029, 66880]","[44034, 17960, 184556, 175149, 134761, 194314, 206166, 94398, 245924, 238864]",1. Tiny Dancer - Elton John - Madman Across The Water; 2. Gimme Shelter - The Rolling Stones - Let It Bleed; 3. Hey Jude - Remastered 2015 - The Beatles - 1; 4. Tuesday's Gone - Lynyrd Skynyrd - Pronounced' Leh-'Nerd 'Skin-'Nerd; 5. You Make Loving Fun - Remastered - Fleetwood Mac - Rumours; 6. Gold Dust Woman - 2004 Remastered Edition - Fleetwood Mac - Rumours; 7. Go Your Own Way - 2004 Remastered Edition - Fleetwood Mac - Rumours; 8. Piece of My Heart - Big Brother & The Holding Company - Cheap Thrills; 9. Uptown Girl - Billy Joel - An Innocent Man; 10. Peace Train - Yusuf / Cat Stevens - Teaser And The Firecat,A. Fool In The Rain - Led Zeppelin - In Through The Out Door; B. Hey Hey What Can I Do - Led Zeppelin - Coda; C. Boogie With Stu - Led Zeppelin - Physical Graffiti; D. If It Keeps On Raining (Rough Mix) - Led Zeppelin - Coda; E. I Can't Quit You Baby - Led Zeppelin - Led Zeppelin; F. Black Country Woman - Led Zeppelin - Physical Graffiti; G. Custard Pie - Led Zeppelin - Physical Graffiti; H. Heartbreaker - Led Zeppelin - Led Zeppelin II; I. Black Dog - Led Zeppelin - Led Zeppelin IV; J. Misty Mountain Hop - Led Zeppelin - Led Zeppelin IV,9,H,H,0,0.52,1.0
