bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,hard_neg_count,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio,valid_only_hit_rate,cfg_num_cans,cfg_num_token,cfg_toy_eval,cfg_seed,cfg_shuffle_seed,cfg_use_hard_negative
6641,43996,6,G,"[172882, 198735, 54606, 208098, 28981]","[4759, 138877, 120965, 132290, 35673, 154987, 43996, 141160, 121824, 66993]","1. Passin' Me By - The Pharcyde - Bizarre Ride II The Pharcyde; 2. The Creator - Pete Rock & C.L. Smooth - All Souled Out; 3. The Chase, Part II - A Tribe Called Quest - Midnight Marauders; 4. Youthful Expression - A Tribe Called Quest - People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition); 5. F**k The Police (Street) - J Dilla - F**k The Police",A. The World Is Yours - Tip Mix - Nas - Illmatic XX; B. One Love - One L Main Mix - Nas - Illmatic XX; C. Blunt Ashes - Nas - Hip Hop Is Dead; D. Stay - Nas - Life Is Good; E. Bridging the Gap - Nas - Street's Disciple; F. Life's a Bitch - Arsenal Mix - Nas - Illmatic XX; G. Thief's Theme - Nas - Street's Disciple; H. You Know My Style - Nas - Street's Disciple; I. A Queens Story - Nas - Life Is Good; J. Get Down - Nas - God's Son,9,F,F,0,0.464,1.0,0.464,10,5,250,45,41,True
6753,212590,3,D,"[120648, 15143, 113088, 167424, 22776]","[163221, 139952, 175356, 212590, 188310, 162494, 100703, 149261, 120448, 51421]",1. Ain't My Type Of Hype - Full Force - Smoove; 2. Boys To Men - New Edition - Heart Break; 3. Come & Talk To Me - Jodeci - Forever My Lady; 4. You're Always On My Mind - SWV - It's About Time; 5. In The Heat Of The Moment - After 7 - After 7,"A. Alone - Jodeci - Diary Of A Mad Band; B. Lovefool - Willa - Lovefool; C. My Heart Belongs To U - Jodeci - Diary Of A Mad Band; D. U And I - Jodeci - Forever My Lady; E. Get On Up - Jodeci - The Show, The After Party, The Hotel; F. Love U 4 Life - Jodeci - The Show, The After Party, The Hotel; G. Freek'n You - Jodeci - The Show, The After Party, The Hotel; H. Late Bloomers - The Growlers - Late Bloomers; I. Cry For You - Jodeci - Diary Of A Mad Band; J. Come And Talk To Me Remix - Jodeci - R&B Hits",7,G,G,0,0.464,1.0,0.464,10,5,250,45,41,True
11971,212698,0,A,"[79675, 83961, 93176, 171422]","[212698, 74513, 151123, 188714, 65400, 145024, 31749, 162533, 180843, 196566]",1. This Could Be Us - Rae Sremmurd - SremmLife; 2. Worst Behavior - Drake - Nothing Was The Same; 3. Preach - Drake - If You're Reading This It's Too Late; 4. Now & Forever - Drake - If You're Reading This It's Too Late,A. I Know - Big Sean - Dark Sky Paradise; B. Guap - Big Sean - Hall Of Fame; C. Halfway Off The Balcony - Big Sean - I Decided.; D. Paradise - Extended - Big Sean - Dark Sky Paradise; E. Inspire Me - Big Sean - I Decided.; F. Living Single - Big Sean - Living Single; G. Switch Up - Big Sean - Hall Of Fame; H. Beware - Big Sean - Hall Of Fame; I. K.O - Big Sean - Money is the motive; J. Moves - Big Sean - I Decided.,9,A,A,1,0.464,1.0,0.464,10,5,250,45,41,True
3179,158934,0,A,"[163856, 154432, 137896, 171924, 211169]","[158934, 119011, 107687, 145128, 182232, 182879, 16424, 168950, 168729, 122349]",1. Just Kids - POWERS - Just Kids; 2. Valley Girls - blackbear - The Afterglow; 3. In the Room: Cruisin' - Gallant - In the Room: Cruisin'; 4. Phone Down - Lost Kings - Phone Down; 5. Pretend - Hovvdy - Taster,A. Bourbon (feat. Saba & Lophiile) - Gallant - Bourbon (feat. Saba & Lophiile); B. Miyazaki - Gallant - Ology; C. Percogesic - Gallant - Ology; D. Talking to Myself - Gallant - Ology; E. In the Room: Blue Bucket of Gold (feat. Sufjan Stevens) - Gallant - In the Room: Blue Bucket of Gold (feat. Sufjan Stevens); F. Bone + Tissue - Jim Eno Sessions - Gallant - Spotify Sessions; G. Weight in Gold - Ekali Remix - Gallant - Weight in Gold; H. Learn To Fly - Gallant - Learn To Fly; I. Weight in Gold - ATTLAS Remix - Gallant - Weight in Gold; J. Bone + Tissue - Gallant - Ology,9,A,A,1,0.464,1.0,0.464,10,5,250,45,41,True
10486,46669,1,B,"[45130, 122489, 117184, 155620, 55670]","[116686, 46669, 165087, 46062, 167776, 121292, 89041, 53230, 172099, 134733]",1. I Miss You - Adele - 25; 2. Never Let This Go - Paramore - All We Know Is Falling; 3. Blind Faith - Johnny Manuel - Blind Faith; 4. Superpower - Beyoncé - BEYONCÉ [Platinum Edition]; 5. Love On Top - Beyoncé - 4,A. Leave Me Lonely - Ariana Grande - Dangerous Woman; B. My Everything - Ariana Grande - My Everything; C. Tattooed Heart - Ariana Grande - Yours Truly; D. You’ll Never Know - Ariana Grande - Yours Truly; E. Almost Is Never Enough - Soundtrack Version - Ariana Grande - The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack); F. Dangerous Woman - Ariana Grande - Dangerous Woman; G. Let Me Love You - Ariana Grande - Dangerous Woman; H. One Last Time - Ariana Grande - My Everything; I. Jason's Song (Gave It Away) - Ariana Grande - Jason's Song (Gave It Away); J. Only 1 - Ariana Grande - My Everything,9,C,C,0,0.464,1.0,0.464,10,5,250,45,41,True
6673,113141,2,C,"[14383, 201239, 176399, 30541, 127508]","[167234, 167015, 113141, 146018, 152253, 204780, 153166, 112209, 24424, 88028]",1. Heaven Or Las Vegas - The Weeknd - Trilogy; 2. Coming Down - The Weeknd - Trilogy; 3. Gone - The Weeknd - Trilogy; 4. Lonely Star - The Weeknd - Trilogy; 5. Often - The Weeknd - Beauty Behind The Madness,A. Can't Feel My Face - The Weeknd - Beauty Behind The Madness; B. Die For You - The Weeknd - Starboy; C. Loft Music - The Weeknd - Trilogy; D. Can't Feel My Face - Martin Garrix Remix - The Weeknd - Beauty Behind The Madness; E. True Colors - The Weeknd - Starboy; F. False Alarm - The Weeknd - Starboy; G. Nothing Without You - The Weeknd - Starboy; H. Often - Kygo Remix - The Weeknd - Often; I. Shameless - The Weeknd - Beauty Behind The Madness; J. I Feel It Coming - The Weeknd - Starboy,9,A,A,0,0.464,1.0,0.464,10,5,250,45,41,True
4815,211509,1,B,"[1555, 33715, 180709, 24459, 132488]","[139796, 211509, 58345, 178833, 80195, 136493, 144742, 182895, 84775, 173536]",1. Petit Papa Noël - Josh Groban - Noel; 2. Give Me A Star - Bebe & Cece Winans - First Christmas; 3. Home - Ne-Yo - 100X Kerst; 4. Silent Night - 1999 - Remaster - Nat King Cole - Christmas For Kids: From One To Ninety-Two; 5. O Little Town Of Bethlehem - Nat King Cole - The Christmas Song,A. Be My Baby - Michael Bublé - To Be Loved; B. Ave Maria - Michael Bublé - Christmas; C. Me And Mrs. You - Michael Bublé - Totally Buble; D. Some Kind Of Wonderful - Michael Bublé - Crazy Love; E. L O V E - Michael Bublé - Collection; F. Cry Me A River - Michael Bublé - Crazy Love; G. How Sweet It Is - Michael Bublé - It's Time; H. Crazy Little Thing Called Love - Michael Bublé - Michael Bublé; I. Can't Buy Me Love - Michael Bublé - It's Time; J. At This Moment - Live - Michael Bublé - Crazy Love,9,B,B,1,0.464,1.0,0.464,10,5,250,45,41,True
5647,19773,5,F,"[101007, 85698, 36038, 111409, 17303]","[198556, 109962, 118245, 174269, 135587, 19773, 57733, 44756, 8952, 33857]",1. Banana Split For My Baby - 1991 Digital Remaster - Louis Prima - Capitol Collectors Series; 2. Love Me Or Leave Me ( My Baby Just Cares For Me) - Nina Simone - Jazz & the city - volume 2; 3. Between The Devil And The Deep Blue Sea - Blossom Dearie - Whisper For You; 4. Good Queen Bess - Johnny Hodges & His Orchestra - All Time Jazz: Swing; 5. Lindy Hopper's Delight (10-12-39) - Ella Fitzgerald - Complete Jazz Series 1939 - 1940,"A. One Time 4 Your Mind - Nas - Illmatic XX; B. Navigating Home - Mark Mancina - Moana; C. It's Only Dancing - jeremy messersmith - Heart Murmurs; D. Back Way - Cham - Team Cham; E. Lose Control - Colony House - When I Was Younger; F. Fireworks - Original Memphis Five - Great White Way Blues 1922-1931; G. Days Go By - Radio Edit - Dirty Vegas - Dirty Vegas; H. If I Ruled the World - BTS - O!RUL8,2?; I. Crush - Mandy Moore - The Best of Mandy Moore; J. You Were Right - Nora En Pure Remix - RÜFÜS - You Were Right",0,F,F,1,0.464,1.0,0.464,10,5,250,45,41,True
9840,175839,9,J,"[57545, 51064, 175516, 67096, 47590]","[172597, 109103, 86527, 184908, 127801, 116659, 42737, 90274, 111448, 175839]",1. U Can't Touch This - MC Hammer - Please Hammer Don't Hurt 'Em; 2. Dude (Looks Like A Lady) - Aerosmith - Permanent Vacation; 3. Free Fallin' - Tom Petty - Full Moon Fever; 4. I Gotta Feeling - The Black Eyed Peas - THE E.N.D. (THE ENERGY NEVER DIES); 5. Don't Stop Believin' - Journey - Escape,A. Come Together - Aerosmith - Aerosmith's Greatest Hits; B. Livin' On The Edge - Acoustic Version - Aerosmith - Young Lust: The Aerosmith Anthology; C. Dream On - Aerosmith - Aerosmith; D. Same Old Song and Dance - Aerosmith - Aerosmith's Greatest Hits; E. Livin' On The Edge - Aerosmith - Get A Grip; F. Sweet Emotion - Aerosmith - Aerosmith's Greatest Hits; G. Nobody's Fault - Aerosmith - Rocks; H. Helter Skelter - Aerosmith - Pandora's Box; I. Train Kept a Rollin' - Aerosmith - Get Your Wings; J. Walk This Way - Aerosmith - Toys In The Attic,9,C,C,0,0.464,1.0,0.464,10,5,250,45,41,True
7963,60048,1,B,"[145311, 151127, 43864, 67395, 156305]","[30524, 60048, 158665, 48171, 50311, 190243, 55552, 195777, 85343, 12120]","1. What You Don't Do - Tom Misch Remix - Lianne La Havas - Blood; 2. Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder - Signed Sealed And Delivered; 3. Son Of A Preacher Man - Mono Version - Dusty Springfield - Dusty In Memphis; 4. Season of the Witch - Donovan - Sunshine Superman; 5. Spliff - Fruition & Grant Farm - Meeting On the Mountain",A. Lights Out - Buck 65 - 20 ODD YEARS; B. Hey Rose - Streets of Laredo - Volume I & II; C. Girlfriend - Streets of Laredo - Volume I & II; D. Girlfriend - Live - Streets of Laredo - Spotify Session; E. Los Angeles - X - Los Angeles; F. Need A Little Help - Streets of Laredo - Volume I & II; G. Devil and the Sea - Streets of Laredo - Devil and the Sea; H. Houses Of The Holy - Rough Mix With Overdubs - Led Zeppelin - Physical Graffiti; I. Same Ole Something - Blue Ventures (feat. Lima Calbio) - Soca Gold 2001; J. Black Noir Schwarz - Original Mix - Psychemagik - Black Noir Schwarz,4,G,G,0,0.464,1.0,0.464,10,5,250,45,41,True
